375349415168724992	positive	@ZDF Die beiden sehen sich ja auch so ähnlich :-)	@ZDF die beide sehen sich ja auch so ähnlich :-)	NN ART PIS VVFIN PRF ADV ADV ADV ADJD $(	0/-- 3/NK 4/SB 1/-- 4/OA 4/MO 9/MO 9/MO 4/MO 9/--	case=nom|gender=fem|num=sg case=nom|*=True|num=pl case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|pers=3|num=pl _ _ _ pos=True EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
378048620714397697	positive	RT @xanaduserl : @bootboss @Piratenmaps Auch für den Wahlkampf gilt : No Bayern , No Fun :)	RT @xanaduserl : @bootboss @Piratenmaps auch für die Wahlkampf gelten : <UNKNOWN> Bayern , <UNKNOWN> Fun :)	NE NE $. NN NN ADV APPR ART NN VVFIN $. NE NE $, NE NE ADJD	2/PNC 0/-- 2/-- 3/-- 4/-- 7/MO 10/MO 9/NK 7/NK 5/-- 10/-- 13/PNC 10/SB 13/-- 16/NK 13/CJ 16/MNR	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ case=nom|gender=masc|num=pl _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=neut|num=sg _ _ _ EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True
373453582080942080	positive	@bwinkelkanone Jetzt spricht sie ausländisch ... ;-) Mit solchen Themen wird immer Wahlkampf gemacht . @TanteSilke @Freizeit_Tiger	@bwinkelkanone jetzt sprechen sie ausländisch ... ;-) mit solche Thema werden immer Wahlkampf machen . @TanteSilke @Freizeit_Tiger	NN ADV VVFIN PPER ADJD $. $( APPR PIAT NN VAFIN ADV NN VVPP $. ADJA NN	0/-- 3/MO 1/-- 3/SB 3/MO 5/-- 8/-- 14/MO 10/NK 8/NK 6/-- 14/MO 14/OA 11/OC 14/-- 15/-- 16/--	case=nom|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pers=3 pos=True _ EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false _ case=dat|gender=fem|num=pl case=dat|gender=fem|num=pl pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg _ _ _ case=nom|gender=masc|num=sg
351646767248445440	positive	@macsniper das war nicht impliziert . Impliziert war , dass andere leute im Wahlkampf an infoständen teil nehmen ;-)	@macsniper die sein nicht implizieren . implizieren sein , dass andere leute in Wahlkampf an Infostand teil nehmen ;-)	NN PDS VAFIN PTKNEG VVPP $. VVPP VAFIN $, KOUS PIS ADJD APPRART NN APPR NN PTKVZ VVINF $(	0/-- 3/SB 1/-- 5/NG 3/PD 5/-- 8/PD 6/-- 8/-- 18/CP 18/SB 18/MO 18/MO 13/NK 14/MNR 15/NK 7/MO 8/SB 18/--	comp=True case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind _ _ _ _ pers=3|num=sg|tense=past|mood=ind _ _ case=acc|*=True|num=pl case=acc|*=True|num=pl case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|gender=masc|num=pl _ _ EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True
380012157015842816	positive	Was hat @TheBorisBecker der #FDP bald voraus ? Bobele ist drin :-)	was haben @TheBorisBecker die #FDP bald voraus ? Bobele sein drin :-)	PIS VAFIN NN ART NN ADV PTKVZ $. NN VAFIN PAV $(	2/SB 0/-- 2/OA 5/NK 3/-- 7/MO 5/AG 7/-- 10/SB 8/-- 12/NK 10/--	case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind gender=masc|*=True|num=sg case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ _ case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
379467232008757248	positive	RT @mattimerker : In #Mühltal verteile ich mit @jsuckut Flyer von @brigittezypries & Herbert Dobner :) . #ltwhe #btw13 #SPD #Jusos #Wechsel	RT @mattimerker : in #Mühltal verteilen ich mit @jsuckut Flyer von @brigittezypries & Herbert Dobner :) . #ltwhe #btw13 #SPD #Jusos #Wechsel	NE NN $. APPR NN VVFIN PPER APPR NN NN APPR NN KON NE NE ADJD $. ADJA NN ADJA NN NN	2/SB 0/-- 2/-- 6/MO 4/NK 3/-- 6/SB 6/MO 8/NK 9/-- 10/PG 11/NK 15/JU 15/PNC 12/-- 15/MNR 16/-- 19/NK 17/-- 21/NK 19/CJ 21/NK	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ case=dat|gender=neut|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ case=dat|gender=fem|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=pl _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_6::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Polarity=positive|EmoExpression::markable_6::EmoExpression=True _ case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg
379297107150401537	negative	@snatte81 98%  der bayuvarischen Wähler wählen nicht die Piraten muahahahahahahahaha ;-)	@snatte81 @card@ die bayuvarischen Wähler wählen nicht die Pirat muahahahahahahahaha ;-)	NN CARD ART ADJA NN VVFIN PTKNEG ART NN NE $(	0/-- 6/SB 5/NK 5/NK 2/AG 1/-- 6/NG 9/NK 6/OA 9/NK 10/--	case=nom|gender=masc|num=pl Source::markable_100500103::Source=True|Source::markable_100500103::Anaphref=empty|Sentiment::markable_9::Intensity=medium|Sentiment::markable_9::Sentiment=True|Sentiment::markable_9::Sarcasm=false|Sentiment::markable_9::Polarity=negative case=gen|gender=masc|num=pl|Source::markable_100500103::Source=True|Sentiment::markable_9::Sentiment=True case=gen|Source::markable_100500103::Source=True|num=pl|Sentiment::markable_9::Sentiment=True|gender=masc|pos=True case=gen|gender=masc|num=pl|Source::markable_100500103::Source=True|Sentiment::markable_9::Sentiment=True EmoExpression::markable_100500104::Polarity=positive|EmoExpression::markable_100500104::Sarcasm=false|Sentiment::markable_9::Sentiment=True|EmoExpression::markable_100500104::Intensity=medium|EmoExpression::markable_100500104::SubjectiveFact=false|EmoExpression::markable_100500104::Uncertain=false|EmoExpression::markable_100500104::EmoExpression=True Negation::markable_100500105::EmoExpressionRef=emo-expression:markable_100500104|Negation::markable_100500105::Negation=True|Sentiment::markable_9::Sentiment=True case=acc|num=pl|Target::markable_100500106::Target=True|Target::markable_100500106::Anaphref=empty|gender=fem|Sentiment::markable_9::Sentiment=True|Target::markable_100500106::Preferred=true case=acc|gender=fem|num=pl|Target::markable_100500106::Target=True|Sentiment::markable_9::Sentiment=True case=nom|EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=strong|EmoExpression::markable_7::SubjectiveFact=false|gender=fem|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive|num=sg|Sentiment::markable_9::Sentiment=True EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|Sentiment::markable_9::Sentiment=True|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false
379369392339177472	positive	31  von 100  Wahlberechtigten #CSU 13  von 100  Wahlberechtigten #SPD 2 von 100  Wahlberechtigten #FDP ;-)	@card@ von @card@ wahlberechtigt #CSU @card@ von @card@ wahlberechtigt #SPD 2 von @card@ wahlberechtigt #FDP ;-)	CARD APPR CARD ADJA NN CARD APPR CARD ADJA NN CARD APPR CARD ADJA NN $(	0/-- 1/PG 5/NK 5/NK 2/NK 5/NK 6/PG 10/NK 10/NK 7/NK 10/NK 11/PG 15/NK 15/NK 12/NK 15/--	_ _ _ case=dat|gender=neut|num=pl|pos=True case=dat|gender=neut|num=pl _ _ _ case=dat|gender=neut|num=pl|pos=True case=dat|gender=neut|num=pl _ _ _ case=dat|gender=neut|num=pl|pos=True case=dat|gender=neut|num=pl EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false
362935107247546370	mixed	@drseltsam Das " x " soll übrigens für das für Twitter oft zu lange " CDU / CSU " stehen . Hab ich auch nur geklaut . ;-)	@drseltsam die " x " sollen übrigens für die für Twitter oft zu lang " CDU / CSU " stehen . haben ich auch nur klauen . ;-)	ADJD ART $( FM $( VMFIN ADV APPR ART APPR NN ADV APPR ADJA $( NE $( NE $( VVFIN $. VAIMP PPER ADV ADV VVPP $. $(	0/-- 4/NK 2/-- 6/SB 4/-- 1/-- 6/MO 20/MO 16/NK 14/MO 10/NK 14/MO 14/MO 16/NK 14/-- 8/NK 16/-- 16/CJ 18/-- 6/OC 20/-- 26/NK 26/SB 26/MO 26/MO 21/-- 26/-- 27/--	pos=True case=nom|gender=neut|num=sg _ _ _ pers=3|num=sg|tense=pres|mood=ind _ _ case=acc|gender=neut|num=sg _ case=acc|gender=masc|num=sg _ EmoExpression::markable_104010168::Sarcasm=false|EmoExpression::markable_104010168::Polarity=negative|EmoExpression::markable_104010168::EmoExpression=True|EmoExpression::markable_104010168::Uncertain=false|EmoExpression::markable_104010168::Intensity=medium|EmoExpression::markable_104010168::SubjectiveFact=false EmoExpression::markable_104010168::EmoExpression=True _ case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ pers=3|num=pl|tense=pres|mood=ind _ _ case=nom|*=True|num=sg|pers=1 _ _ _ _ EmoExpression::markable_12::Intensity=medium|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::SubjectiveFact=false|EmoExpression::markable_12::EmoExpression=True
373030057893040128	positive	@nadrosia 1.  Platz SPD , 2.  Platz ( punktgleich ) Die Linke , Piraten , 3.  Platz Grüne ; na , mal sehen ... ;-)	@nadrosia @card@ Platz SPD , @card@ Platz ( punktgleich ) die Linke , Pirat , @card@ Platz Grüne ; na , mal sehen ... ;-)	NN CARD NN NE $, CARD NN $( ADJD $( ART NN $, NN $, CARD NN NN $. ITJ $, ADV VVINF $. $(	0/-- 3/NK 1/-- 3/NK 4/-- 7/NK 9/AMS 7/-- 3/PAR 9/-- 12/NK 23/OA 12/-- 12/CJ 14/-- 17/NK 14/CJ 17/NK 18/-- 17/NK 20/-- 23/MO 3/OC 23/-- 24/--	case=nom|gender=fem|num=sg _ case=acc|gender=masc|num=sg case=nom|gender=fem|num=sg _ _ case=acc|gender=masc|num=sg _ pos=True _ case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl _ case=nom|gender=neut|num=pl _ _ case=acc|gender=masc|num=sg case=nom|*=True|num=pl _ _ _ _ _ _ EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false
358333804022210560	positive	@_Rya_ Mach ich . Angemeldet 8,  aber Piraten melden sich ja nicht an . ;-) Andere Piraten kommen auch zum Kennenlernen und Vernetzen	@_Rya_ machen ich . anmelden @card@ aber Pirat melden sich ja nicht an . ;-) andere Pirat kommen auch zu Kennenlernen und Vernetzen	NN VVIMP PPER $. VVPP CARD KON NN VVFIN PRF ADV PTKNEG PTKVZ $. $( PIAT NN VVFIN ADV APPRART NN KON NN	0/-- 1/-- 2/OA 3/-- 9/MO 5/MO 6/CD 7/CJ 4/-- 9/OA 9/MO 9/NG 9/SVP 13/-- 16/-- 17/NK 18/SB 14/-- 20/MO 18/MO 20/NK 21/CD 22/CJ	_ _ case=nom|*=True|num=sg|pers=1 _ _ _ _ case=nom|gender=masc|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|pers=3|num=pl _ _ _ _ EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True case=nom|*=True|num=pl case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ case=dat|gender=neut|num=sg
