TweetID,HandLabel,AnnotatorID
434828570574479360,Neutral,37
434828682352672768,Negative,36
434828730394230784,Negative,36
434828787793276928,Neutral,36
434828917174992896,Positive,36
434829014013067265,Positive,36
434829430746537985,Positive,37
434829430746537985,Neutral,36
434829552742068224,Positive,36
434829583859613696,Negative,36
434829846175551488,Negative,36
434829985426456576,Positive,36
434829985426456576,Positive,37
434830251885993984,Negative,30
434830497274142720,Positive,36
434830574491271168,Positive,36
434830668624060416,Positive,36
434830750689816576,Positive,37
434830750689816576,Positive,36
434830900472590336,Neutral,36
434831787362377728,Neutral,36
434831966773710848,Neutral,36
434832130716479488,Neutral,36
434832360295907328,Positive,36
434832670137532416,Neutral,36
434832765650206720,Positive,30
434832941156671488,Negative,36
434833332023877634,Negative,36
434833423942057984,Positive,36
434834073438011392,Neutral,36
434834476053835776,Neutral,30
434834577102995456,Negative,36
434834974252883968,Positive,36
434835053978587136,Negative,36
434835380580663296,Negative,36
434835380580663296,Positive,37
434835433667977217,Positive,30
434835478312157184,Positive,36
434835899361554432,Positive,36
434836050570379264,Positive,36
434836211027300353,Neutral,36
434836362228170752,Positive,30
434836646593585152,Negative,36
434836814680305664,Positive,36
434837042120646656,Negative,36
434837378780651520,Positive,36
434837378780651520,Positive,36
434837531201634304,Negative,36
434837578660212737,Neutral,30
434838000254849024,Neutral,36
434838176172351488,Neutral,36
434838527927271424,Neutral,36
434838828290162688,Negative,36
434838985228419075,Negative,36
434839128589758467,Negative,30
434839128589758467,Neutral,36
434839269132472320,Neutral,36
434839721681117185,Positive,36
434840421249081346,Positive,30
434840740859219968,Neutral,36
434840740859219968,Neutral,36
434840901123203073,Neutral,36
434840901123203073,Neutral,36
434840901756547072,Neutral,36
434841002742804480,Neutral,36
434841050100670466,Neutral,30
434841191029694465,Negative,36
434841679720624128,Negative,36
434841818086526976,Positive,36
434842075637379072,Positive,36
434842177890689026,Positive,36
434842852347371520,Negative,36
434843402249588736,Neutral,36
434843600547880961,Positive,36
434843661181128704,Negative,36
434843883462492160,Negative,30
434843970838200320,Negative,36
434844302326652929,Positive,36
434844944940163072,Positive,36
434845541332418560,Neutral,36
434845541332418560,Positive,36
434845963149406208,Positive,36
434847151148265472,Positive,36
434847247399149568,Negative,36
434847687402598400,Positive,30
434847901458890752,Positive,36
434848391303282688,Neutral,36
434849174237233152,Negative,36
434849174237233152,Negative,36
434849870269403136,Negative,36
434850330049019904,Neutral,36
434850330049019904,Neutral,36
434850714033348608,Negative,30
434852428975198208,Neutral,36
434854473857777665,Negative,36
434854759963828224,Negative,36
434854770567041024,Negative,36
434856581843681280,Positive,36
434856581843681280,Positive,36
434857290932707328,Positive,30
434858256683790336,Positive,36
434858768040726528,Positive,36
434858863867617280,Neutral,36
434858863867617280,Neutral,36
434859036085719040,Neutral,36
434859511392661504,Neutral,36
434859962578513920,Negative,36
434860666407911424,Neutral,36
434861496254750721,Positive,36
434862078843953152,Neutral,36
434862317717979136,Positive,30
434863064970952704,Neutral,36
434865258092851200,Negative,36
434865258092851200,Neutral,30
434865643255775232,Neutral,36
434865643255775232,Positive,36
434865793621569536,Neutral,36
434865797606154240,Neutral,36
434867513802117120,Neutral,36
434867513802117120,Positive,36
434867999989039104,Negative,36
434869146963431424,Positive,30
434873865723211776,Negative,36
434873865723211776,Negative,36
434874980153966592,Negative,36
434875766036525057,Neutral,36
434877043030097920,Positive,36
434879047467032576,Positive,30
434882938824830976,Positive,36
434887166099849217,Positive,36
434891449868754944,Neutral,36
434891449868754944,Neutral,36
434892314176389121,Positive,30
434893898087813121,Neutral,36
434895847311298560,Positive,36
434895847311298560,Positive,36
434896911988822017,Positive,36
434896911988822017,Positive,36
434900589898915840,Neutral,36
434900589898915840,Neutral,36
434903546736021504,Neutral,36
434906412678782976,Positive,36
434907641601851393,Neutral,36
434907864914989056,Neutral,36
434907968526888961,Negative,36
434908735761580032,Negative,30
434910139767087104,Positive,36
434910377517002753,Neutral,36
434911302587543552,Neutral,36
434913717579292673,Positive,30
434913717579292673,Positive,36
434914597943119872,Neutral,36
434919523888943104,Neutral,36
434919541098164225,Neutral,36
434919575063638016,Neutral,36
434920235721056257,Positive,36
434920235721056257,Neutral,36
434920483075940352,Positive,36
434920959330754560,Positive,36
434921187513090049,Neutral,36
434921279133872128,Neutral,36
434921279133872128,Neutral,36
434922920377614336,Positive,36
434925681391067136,Neutral,36
434926267969064960,Neutral,36
434926267969064960,Neutral,36
434930465666260992,Neutral,36
434930792410910720,Negative,36
434930792410910720,Negative,36
434932125394305024,Positive,36
434932387567247360,Neutral,36
434932387567247360,Positive,36
434933117619818496,Positive,30
434933675927801856,Neutral,36
434934513723269120,Positive,36
434934686146887680,Positive,36
