373986383125176320	positive	@_JennyGER_ das ganze plakative Gehabe lass ich mal durchgehen weil ' ' wahlkampf ' ' ist :-)	@_JennyGER_ die ganz plakative Gehabe laß ich mal durchgehen weil ' ' Wahlkampf ' ' sein :-)	NN ART ADJA ADJA NN ADJD PPER ADV VVFIN KOUS $( $( NN $( $( VAFIN $(	0/-- 5/NK 5/NK 5/NK 16/SB 16/PD 16/SB 16/MO 8/UC 16/CP 10/-- 11/-- 16/SB 13/-- 14/-- 1/-- 16/--	case=nom|gender=neut|num=sg case=nom|Sentiment::markable_100500229::Intensity=medium|Sentiment::markable_100500229::Sentiment=True|gender=neut|Target::markable_100500230::Anaphref=empty|Sentiment::markable_100500229::Polarity=positive|num=sg|Sentiment::markable_100500229::Sarcasm=false|Target::markable_100500230::Target=True|Target::markable_100500230::Preferred=true case=nom|num=sg|Sentiment::markable_100500229::Sentiment=True|Target::markable_100500230::Target=True|gender=neut|pos=True case=nom|EmoExpression::markable_100500231::Intensity=medium|Sentiment::markable_100500229::Sentiment=True|gender=neut|pos=True|EmoExpression::markable_100500231::Sarcasm=false|num=sg|EmoExpression::markable_100500231::Polarity=positive|Target::markable_100500230::Target=True|EmoExpression::markable_100500231::SubjectiveFact=false|EmoExpression::markable_100500231::Uncertain=false|EmoExpression::markable_100500231::EmoExpression=True case=nom|EmoExpression::markable_100500415::EmoExpression=True|Sentiment::markable_100500229::Sentiment=True|EmoExpression::markable_100500415::Uncertain=false|gender=neut|EmoExpression::markable_100500415::Sarcasm=false|EmoExpression::markable_100500415::Intensity=medium|num=sg|Target::markable_100500230::Target=True|EmoExpression::markable_100500415::SubjectiveFact=false|EmoExpression::markable_100500415::Polarity=negative _ case=nom|*=True|num=sg|pers=1 _ _ _ _ _ case=acc|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
349812581860515840	positive	:-) Die letzte von mir verfolgbare Quelle dieses Artikels geht in Richtung #CSU : " Die Arche und die Bürokratie " http://t.co/8EXOqt7yE7	:-) die letzt von ich verfolgbar Quelle dies Artikel gehen in Richtung #CSU : " die Arche und die Bürokratie " http://t.co/8EXOqt7yE7	$( ART ADJA APPR PPER ADJA NN PDAT NN VVFIN APPR NN NN $. $( ART NN KON ART NN $( CARD	2/-- 7/NK 7/NK 6/SBP 4/NK 7/NK 10/SB 9/NK 7/AG 0/-- 10/MO 11/NK 12/NK 13/-- 14/-- 17/NK 12/PAR 17/CD 20/NK 18/CJ 20/-- 17/PD	EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True _ case=dat|*=True|num=sg|pers=1 case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=gen|gender=neut|num=sg case=gen|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _
382855677909016577	positive	#GroKo ohne #CSU ? Booten #Merkel und #Gabriel den #Seehofer Horsti aus ? Ein gewagtes Gedankenspiel . ;-) http://t.co/UKlgZJ1WGJ #btw13	#GroKo ohne #CSU ? Boot #Merkel und #Gabriel die #Seehofer Horsti aus ? eine gewagt Gedankenspiel . ;-) http://t.co/UKlgZJ1WGJ #btw13	NN APPR NN $. NN NN KON NN ART NE NE PTKVZ $. ART ADJA NN $. $( NE CARD	0/-- 1/MNR 2/NK 3/-- 4/-- 5/NK 6/CD 7/CJ 11/NK 11/PNC 5/MNR 11/SVP 12/-- 16/NK 16/NK 13/-- 16/-- 19/-- 17/-- 19/NK	case=nom|gender=masc|num=sg _ case=acc|gender=fem|num=sg _ case=nom|gender=fem|num=pl case=nom|gender=fem|num=pl _ case=nom|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false _ _
380771514653876224	positive	RT @knutfinke : Zeit für eine Schwarze Socken Kampagne :-) RT @Doener : Bouffier ( #CDU ) schließt Koalition mit #AfD nicht aus http://t.co/fZ …	RT @knutfinke : Zeit für eine schwarz Socke Kampagne :-) RT @Doener : Bouffier ( #CDU ) schließen Koalition mit #AfD nicht aus http://t.co/fZ …	NE NN $. NN APPR ART ADJA NN NN $( NE NN $. ADJA $( NN $( VVFIN NN APPR NN PTKNEG APPR NN ADJA	2/SB 0/-- 2/-- 3/-- 4/MNR 8/NK 8/NK 5/NK 4/OA 9/-- 12/PNC 9/APP 12/-- 16/NK 14/-- 18/SB 16/-- 13/-- 18/OA 19/MNR 20/NK 18/NG 25/MO 23/NK 18/OC	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=dat|gender=masc|num=pl case=acc|gender=fem|num=sg case=acc|EmoExpression::markable_4::Uncertain=false|gender=fem|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True|num=sg|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ _ case=nom|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg _ case=dat|gender=masc|num=sg _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True
381190481176432640	positive	RT @Ballerstaedt : WAHLVERSPRECHEN : Wenn wir die 5%  holen komme ich zum LPT in Bottrop im Fummel ;-)	RT @Ballerstaedt : Wahlversprechen : wenn wir die @card@ holen kommen ich zu LPT in Bottrop in fummeln ;-)	NE ADJD $. NN $. KOUS PPER ART CARD VVINF VVFIN PPER APPRART NN APPR NE APPRART VVIMP $(	0/-- 1/PD 2/-- 11/PD 4/-- 11/CP 11/SB 10/OA 10/MO 11/OC 3/-- 11/SB 11/MO 13/NK 14/MNR 15/NK 16/MNR 17/NK 18/--	case=nom|*=True|num=sg pos=True _ case=nom|gender=neut|num=sg _ _ case=nom|*=True|num=pl|pers=1 case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
372707803686653952	mixed	RT @Frank_Hurlemann : Parteiisch : Es braucht mehr Piraten wie @netnrd , weniger juvenil - rotzige Egomanen :-) . #piraten	RT @Frank_Hurlemann : parteiisch : es brauchen mehr Pirat wie @netnrd , weniger juvenil - rotzige Egomanen :-) . #piraten	NE NN $. ADJD $. PPER VVFIN PIAT NN KOKOM ADJD $, ADV ADJD $( ADJA NN $( $. NN	2/SB 0/-- 2/-- 7/MO 4/-- 7/EP 3/-- 9/NK 7/OA 11/CM 7/MO 17/-- 14/MO 16/MO 14/-- 17/NK 11/-- 17/-- 18/-- 19/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ pos=True _ case=nom|Sentiment::markable_100500239::Sentiment=True|Sentiment::markable_100500239::Intensity=medium|gender=neut|pers=3|Sentiment::markable_100500239::Polarity=comparison|num=sg|Sentiment::markable_100500239::Sarcasm=false pers=3|Sentiment::markable_100500239::Sentiment=True|num=sg|tense=pres|mood=ind EmoExpression::markable_100500241::Uncertain=false|EmoExpression::markable_100500241::Polarity=positive|EmoExpression::markable_100500241::Sarcasm=false|*=True|Sentiment::markable_100500239::Sentiment=True|EmoExpression::markable_100500241::Intensity=medium|EmoExpression::markable_100500241::SubjectiveFact=false|EmoExpression::markable_100500241::EmoExpression=True case=acc|Sentiment::markable_100500239::Sentiment=True|num=pl|Target::markable_100500240::Anaphref=empty|gender=masc|Target::markable_100500240::Target=True|Target::markable_100500240::Preferred=true Sentiment::markable_100500239::Sentiment=True|Target::markable_100500240::Target=True Sentiment::markable_100500239::Sentiment=True|Target::markable_100500240::Target=True|pos=True Sentiment::markable_100500239::Sentiment=True Sentiment::markable_100500239::Sentiment=True|EmoExpression::markable_100500242::Polarity=negative|EmoExpression::markable_100500242::EmoExpression=True|EmoExpression::markable_100500242::Uncertain=false|EmoExpression::markable_100500242::Intensity=weak|EmoExpression::markable_100500242::Sarcasm=false|EmoExpression::markable_100500242::SubjectiveFact=false Sentiment::markable_100500239::Sentiment=True|Target::markable_100500243::Target=True|Target::markable_100500243::Preferred=false|pos=True|Target::markable_100500243::Anaphref=empty Sentiment::markable_100500239::Sentiment=True|Target::markable_100500243::Target=True case=acc|Sentiment::markable_100500239::Sentiment=True|num=pl|gender=fem|Target::markable_100500243::Target=True|pos=True case=acc|gender=fem|num=pl|Target::markable_100500243::Target=True|Sentiment::markable_100500239::Sentiment=True Sentiment::markable_100500239::Sentiment=True|EmoExpression::markable_6::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Polarity=positive|EmoExpression::markable_6::EmoExpression=True Sentiment::markable_100500239::Sentiment=True pers=3|num=pl|tense=past|mood=ind
382551743185186816	mixed	RT @Kalashnikitty22 : Seehofer hat die Grünen ausgeschlossen , aber die Linke nicht . :-)	RT @Kalashnikitty22 : Seehofer haben die Grüne ausschließen , aber die Linke nicht . :-)	NE NN $. NE VAFIN ART NN VVPP $, KON ART NN PTKNEG $. $(	2/SB 0/-- 2/-- 5/SB 3/-- 7/NK 8/OA 5/OC 8/-- 5/CD 12/NK 13/PAR 10/CJ 13/-- 14/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl EmoExpression::markable_100500416::EmoExpression=True|EmoExpression::markable_100500416::Uncertain=false|EmoExpression::markable_100500416::Intensity=medium|EmoExpression::markable_100500416::SubjectiveFact=false|EmoExpression::markable_100500416::Sarcasm=false|EmoExpression::markable_100500416::Polarity=negative _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive
354915348241317889	negative	Manche Parallelen zu Österreich verblüffen :) Klaus #Jarchow zu den politischen #Parteien in Deutschland : " Die ... http://t.co/WQMr7Y7Kqr	manche Parallele zu Österreich verblüffen :) Klaus #Jarchow zu die politisch #Parteien in Deutschland : " die ... http://t.co/WQMr7Y7Kqr	PIS NN APPR NE VVFIN NN NE NN APPR ART ADJA NN APPR NE $. $( PRELS $. NN	2/NK 5/SB 2/MNR 3/NK 0/-- 5/SB 8/PNC 6/NK 5/OP 12/NK 12/NK 9/NK 12/MNR 13/NK 14/-- 15/-- 7/NK 16/-- 18/--	case=nom|Target::markable_100500227::Target=True|*=True|Sentiment::markable_100500226::Sarcasm=false|num=pl|Sentiment::markable_100500226::Intensity=medium|Sentiment::markable_100500226::Polarity=negative|Target::markable_100500227::Anaphref=empty|Sentiment::markable_100500226::Sentiment=True|Target::markable_100500227::Preferred=true case=nom|*=True|num=pl|Sentiment::markable_100500226::Sentiment=True|Target::markable_100500227::Target=True Sentiment::markable_100500226::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_100500226::Sentiment=True mood=ind|EmoExpression::markable_100500228::Polarity=negative|pers=3|EmoExpression::markable_100500228::Sarcasm=false|num=pl|tense=pres|EmoExpression::markable_100500228::Intensity=medium|EmoExpression::markable_100500228::Uncertain=false|EmoExpression::markable_100500228::SubjectiveFact=false|Sentiment::markable_100500226::Sentiment=True|EmoExpression::markable_100500228::EmoExpression=True case=acc|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|gender=masc|EmoExpression::markable_8::Uncertain=false|EmoExpression::markable_8::SubjectiveFact=false|num=sg|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|Sentiment::markable_100500226::Sentiment=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=pl case=dat|gender=fem|num=pl|pos=True case=dat|gender=fem|num=pl _ case=dat|gender=neut|num=sg _ _ _ _ case=nom|gender=masc|num=pl
373750517752938496	positive	Du darfst auch mit #undDu twittern :) RT @DoroBaer : Ist #TVDuell offiziell ? Oder gibt es wieder 1000  verschiedene ?	du dürfen auch mit #undDu twittern :) RT @DoroBaer : sein #TVDuell offiziell ? oder geben es wieder @card@ verschieden ?	PPER VMFIN ADV APPR NN VVFIN NN NE ADJD $. VAFIN NN ADJD $. KON VVFIN PPER ADV CARD ADJA $.	2/SB 0/-- 4/MO 6/MO 4/NK 2/OC 8/PNC 6/NK 6/MO 9/-- 10/-- 11/SB 11/PD 13/-- 16/JU 14/-- 16/EP 16/MO 20/NK 16/OA 20/--	case=nom|*=True|num=sg|pers=2 pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|gender=fem|num=sg _ EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|*=True|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True case=nom|*=True|num=sg pos=True _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg pos=True _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ _ case=acc|gender=neut|num=pl|pos=True _
376071223014199297	positive	@ZDF Ist die Heute Show auch aus der Schweiz abrufbar ? :)	@ZDF sein die heute Show auch aus die Schweiz abrufbar ? :)	NN VAFIN PDS ADV NN ADV APPR ART NE ADJD $. ADJA	0/-- 1/-- 2/SB 2/MO 2/PD 7/MO 5/MNR 9/NK 7/NK 2/PD 10/-- 11/--	case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg pos=True _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
381761230928879616	positive	RT @Aykan_Ayse : Immer wieder amüsant , die irritierten Gesichter der #Wahlhelfer bei der Stimmabgabe einer #Deutsch-Türkin zu sehen :) #Wahl …	RT @Aykan_Ayse : immer wieder amüsant , die irritiert Gesicht die #Wahlhelfer bei die Stimmabgabe eine #Deutsch-Türkin zu sehen :) #Wahl …	NE NN $. ADV ADV ADJD $, ART ADJA NN ART NN APPR ART NN ART NN PTKZU VVINF ADJA NN ADJA	2/SB 0/-- 2/-- 5/MO 6/MO 3/-- 6/-- 10/NK 10/NK 19/OA 12/NK 10/AG 19/MO 15/NK 13/NK 17/NK 15/AG 19/PM 22/OC 21/NK 17/AG 6/CJ	case=nom|*=True|num=sg case=nom|*=True|num=sg _ Sentiment::markable_11::Polarity=positive|Sentiment::markable_11::Intensity=medium|Sentiment::markable_11::Sarcasm=false|Sentiment::markable_11::Sentiment=True Sentiment::markable_11::Sentiment=True EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::SubjectiveFact=false|EmoExpression::markable_12::EmoExpression=True|pos=True|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::Intensity=medium|Sentiment::markable_11::Sentiment=True Sentiment::markable_11::Sentiment=True case=nom|num=pl|Target::markable_13::Anaphref=empty|Target::markable_13::Preferred=true|*=True|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=nom|EmoExpression::markable_100500232::Uncertain=false|EmoExpression::markable_100500232::Intensity=weak|EmoExpression::markable_100500232::EmoExpression=True|*=True|pos=True|EmoExpression::markable_100500232::SubjectiveFact=false|EmoExpression::markable_100500232::Sarcasm=false|num=pl|EmoExpression::markable_100500232::Polarity=negative|Target::markable_13::Target=True|Sentiment::markable_11::Sentiment=True case=nom|gender=neut|num=pl|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=gen|gender=masc|num=pl|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=gen|gender=masc|num=pl|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=dat|gender=fem|num=sg|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=dat|gender=fem|num=sg|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=gen|gender=fem|num=sg|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=gen|gender=fem|num=sg|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=gen|EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Sarcasm=false|gender=fem|EmoExpression::markable_14::EmoExpression=True|pos=True|Sentiment::markable_11::Sentiment=True|num=sg|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg|pos=True
