381764388614836224	positive	@ozerergun09 @spdhh das hoffe ich. dafür haben wir alle ein halbes jahr wahlkampf gemacht :-)	@ozerergun09 @spdhh die hoffen ich. dafür haben wir alle eine halb Jahr wahlkampf machen :-)	CARD NN PDS VVFIN ADJD PAV VAFIN PPER PIS ART ADJA NN ADJD VVPP $(	0/-- 1/-- 4/SB 14/MO 4/MO 4/NK 2/-- 7/SB 8/NK 12/NK 12/NK 14/OA 14/MO 7/OC 14/--	_ _ case=nom|Target::markable_4::Preferred=true|Target::markable_4::Anaphref=empty|gender=neut|Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Sarcasm=false|num=sg|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium mood=subj|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::Sarcasm=false|Sentiment::markable_1::Sentiment=True|pers=3|EmoExpression::markable_3::Intensity=medium|num=sg|tense=pres|EmoExpression::markable_3::Uncertain=false|EmoExpression::markable_3::EmoExpression=True Source::markable_2::Source=True|Source::markable_2::Anaphref=empty|pos=True|Sentiment::markable_1::Sentiment=True _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=nom|*=True|num=pl case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg|pos=True case=acc|gender=neut|num=sg pos=True _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
381548902400274432	negative	Ach , das ist der #Bond mit diesem tuntigen Killer - Duo :-) @ZDF	ach , die sein die #Bond mit dies tuntigen Killer - Duo :-) @ZDF	ITJ $, PDS VAFIN ART NN APPR PDAT ADJA NN $( NN $( ADJA	3/NK 1/-- 4/SB 0/-- 6/NK 4/PD 6/MNR 10/NK 10/NK 7/NK 10/-- 4/PAR 12/-- 12/UC	Sentiment::markable_6::Polarity=negative|Sentiment::markable_6::Sentiment=True|Sentiment::markable_6::Intensity=medium|Sentiment::markable_6::Sarcasm=false Sentiment::markable_6::Sentiment=True case=nom|gender=neut|Sentiment::markable_6::Sentiment=True|num=sg pers=3|Sentiment::markable_6::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=nom|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg Sentiment::markable_6::Sentiment=True case=dat|num=sg|Target::markable_7::Target=True|Target::markable_7::Preferred=true|gender=masc|Sentiment::markable_6::Sentiment=True|Target::markable_7::Anaphref=empty case=dat|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=negative|gender=masc|Sentiment::markable_6::Sentiment=True|Target::markable_7::Target=True|pos=True|EmoExpression::markable_8::SubjectiveFact=false|num=sg|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg|Target::markable_7::Target=True Sentiment::markable_6::Sentiment=True|Target::markable_7::Target=True case=acc|gender=neut|Sentiment::markable_6::Sentiment=True|num=sg|Target::markable_7::Target=True case=acc|EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|gender=neut|Sentiment::markable_6::Sentiment=True|EmoExpression::markable_9::SubjectiveFact=false|num=sg|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::EmoExpression=True case=acc|gender=neut|num=sg|pos=True
374261096720637952	positive	RT @alexander_kurz : So , gerade hat die Angie den Peer versenkt ;-) #tvduell #cdu +	RT @alexander_kurz : so , gerade haben die Angie die Peer versenken ;-) #tvduell #cdu +	NE ADJD $. ADV $, ADV VAFIN ART NE ART NE VVPP $( NN NN KON	0/-- 1/PD 2/-- 12/MO 4/-- 12/MO 3/-- 9/NK 7/SB 11/NK 12/OA 7/OC 12/-- 12/PAR 14/NK 12/MO	case=nom|*=True|num=sg pos=True _ _ _ _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false case=nom|gender=fem|num=sg|pers=2 case=nom|gender=masc|num=sg _
348402833760063488	positive	@monah @ooniboni @bendy_ch Ui ! Ist das Heute ? ;-) Ne , Spässchen . Alles im grünen Bereich . Freue mich , bis später :-)	@monah @ooniboni @bendy_ch Ui ! sein die heute ? ;-) eine , Spässchen . alle in grün Bereich . freuen ich , bis spät :-)	ADJD NN ADJA NN $. VAFIN PDS ADV $. $( ART $, NN $. PIAT APPRART ADJA NN $. VVFIN PRF $, KOUS ADJD $(	0/-- 1/-- 2/-- 3/-- 4/-- 5/-- 6/SB 6/MO 8/-- 11/-- 9/-- 11/-- 11/APP 13/-- 14/-- 15/MO 18/NK 16/NK 18/-- 19/-- 20/OA 21/-- 24/MO 20/MO 24/--	pos=True case=nom|gender=masc|num=sg _ case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg _ _ EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false case=acc|*=True|num=pl|pers=3 _ case=acc|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::SubjectiveFact=false|gender=fem|EmoExpression::markable_12::EmoExpression=True|num=pl|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::Intensity=medium _ case=nom|EmoExpression::markable_10409973::SubjectiveFact=false|EmoExpression::markable_10409973::Sarcasm=false|EmoExpression::markable_10409973::Polarity=positive|gender=neut|EmoExpression::markable_10409973::Uncertain=false|num=sg|EmoExpression::markable_10409973::EmoExpression=True|EmoExpression::markable_10409973::Intensity=medium case=dat|gender=masc|num=sg|EmoExpression::markable_10409973::EmoExpression=True case=dat|gender=masc|num=sg|EmoExpression::markable_10409973::EmoExpression=True|pos=True case=dat|gender=masc|num=sg|EmoExpression::markable_10409973::EmoExpression=True _ mood=ind|EmoExpression::markable_13::EmoExpression=True|pers=1|num=sg|tense=pres|EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false case=acc|pers=1|num=sg|EmoExpression::markable_13::EmoExpression=True _ _ comp=True EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True
348128608872710144	negative	Zuviele #csu Tweets ! Ich block @Fran_Muc mal für 24 h ! #bwmisc Feeling :)	zuviele #csu Tweets ! ich blocken @Fran_Muc mal für 24 h ! #bwmisc Feeling :)	PIS NN NN $. PPER VVIMP ADV ADV APPR CARD NN $. NE NN ADJA	2/NK 0/-- 2/CJ 3/-- 7/SB 4/-- 6/MO 9/MO 7/-- 11/NK 9/NK 11/-- 14/PNC 12/-- 14/PNC	case=nom|EmoExpression::markable_18::SubjectiveFact=false|Sentiment::markable_16::Intensity=medium|*=True|Sentiment::markable_16::Sentiment=True|EmoExpression::markable_18::Intensity=medium|Sentiment::markable_16::Sarcasm=false|num=pl|EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::Uncertain=false|Sentiment::markable_16::Polarity=negative|EmoExpression::markable_18::Polarity=negative|EmoExpression::markable_18::Sarcasm=false case=nom|num=pl|Target::markable_17::Preferred=true|Target::markable_17::Target=True|*=True|Sentiment::markable_16::Sentiment=True|Target::markable_17::Anaphref=empty case=nom|*=True|num=pl|Sentiment::markable_16::Sentiment=True|Target::markable_17::Target=True Sentiment::markable_16::Sentiment=True case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ _ _ _ _ case=nom|*=True|num=sg case=nom|*=True|num=sg case=nom|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::SubjectiveFact=false|*=True|EmoExpression::markable_15::Uncertain=false|EmoExpression::markable_15::Polarity=positive|num=sg|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::Sarcasm=false
383593060690829312	positive	Hier wurde grade ein Plakat von der #FDP abgehangen und da meinte so ein alter Mann : " Ja der lacht jetzt nicht mehr so wie auf dem Bild " :-)	hier werden grade eine Plakat von die #FDP abhängen und da meinen so eine alt Mann : " ja die lachen jetzt nicht mehr so wie auf die Bild " :-)	ADV VAFIN PTKVZ ART NN APPR ART NN VVPP KON ADV VVFIN ADV ART ADJA NN $. $( PTKANT PDS VVFIN ADV PTKNEG ADV ADV KOKOM APPR ART NN $( $(	9/MO 0/-- 10/CJ 5/NK 2/SB 9/SBP 8/NK 6/NK 2/OC 2/CD 12/MO 10/CJ 12/MO 16/NK 16/NK 12/SB 16/-- 17/-- 21/DM 21/SB 12/OC 21/MO 21/NG 23/MO 21/MO 27/CM 25/CC 29/NK 27/NK 29/-- 30/--	_ pers=3|num=sg|tense=past|mood=ind pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ Sentiment::markable_19::Polarity=positive|Sentiment::markable_19::Intensity=medium|Sentiment::markable_19::Sarcasm=false|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|mood=ind|pers=3|num=sg|tense=past|Sentiment::markable_19::Sentiment=True|Target::markable_20::Anaphref=empty|Target::markable_20::Preferred=true Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True case=nom|Target::markable_20::Target=True|num=sg|Sentiment::markable_19::Sentiment=True|gender=masc|pos=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True Target::markable_20::Target=True|mood=ind|EmoExpression::markable_10409974::EmoExpression=True|EmoExpression::markable_10409974::Intensity=medium|EmoExpression::markable_10409974::Sarcasm=false|EmoExpression::markable_10409974::SubjectiveFact=false|pers=3|EmoExpression::markable_10409974::Polarity=positive|num=sg|tense=pres|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_10409974::Uncertain=false Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True|EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false|EmoExpression::markable_21::Intensity=medium
375009149958250496	positive	@Linke__Burb_Alt @GregorGysi ja un ich bin dabei morgens aufbau total freu :-)))	@Linke__Burb_Alt @GregorGysi ja un ich sein dabei morgens Aufbau total freuen :-)))	ADJA NN ADV NE PPER VAFIN PAV ADV NN ADJD VVIMP ADJA	0/-- 1/-- 4/MO 6/PD 6/SB 2/-- 9/NK 6/MO 6/PD 6/MO 6/CJ 6/MO	_ case=nom|gender=fem|num=sg _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=acc|gender=masc|num=sg Intensifier::markable_23::Intensifier=True|Intensifier::markable_23::Degree=medium|pos=True|Intensifier::markable_23::EmoExpressionRef=emo-expression:markable_22 EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
375642330562191362	positive	RT @danielmack : DANKE für 12 K . Verlose unter allen RT zwei GRÜNE Shirts für den WECHSEL in Hessen . Mit @talwazir Signatur ! :-) http://t.co / …	RT @danielmack : danke für 12 K . Verlose unter alle RT zwei grün Shirt für die wechseln in Hessen . mit @talwazir Signatur ! :-) http://t.co / …	NE NE $. PTKANT APPR CARD NN $. NN APPR PIAT NE CARD ADJA NN APPR ART VVIMP APPR NE $. APPR NN NN $. $( NE $( ADJA	2/PNC 0/-- 2/-- 5/DM 9/MO 7/NK 5/NK 7/-- 3/-- 9/MNR 12/NK 10/NK 15/NK 15/NK 12/APP 15/MNR 16/NK 17/NK 17/MNR 19/NK 20/-- 21/-- 22/NK 23/-- 24/-- 27/-- 25/-- 27/-- 27/UC	case=nom|*=True|num=sg case=nom|Sentiment::markable_26::Intensity=medium|Source::markable_27::Anaphref=empty|*=True|Sentiment::markable_26::Polarity=positive|num=sg|Source::markable_27::Source=True|Sentiment::markable_26::Sentiment=True|Sentiment::markable_26::Sarcasm=false Sentiment::markable_26::Sentiment=True EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|Sentiment::markable_26::Sentiment=True|EmoExpression::markable_28::Uncertain=false Sentiment::markable_26::Sentiment=True Target::markable_29::Anaphref=empty|Sentiment::markable_26::Sentiment=True|Target::markable_29::Target=True|Target::markable_29::Preferred=true Sentiment::markable_26::Sentiment=True|Target::markable_29::Target=True Sentiment::markable_26::Sentiment=True case=acc|*=True|num=pl _ case=dat|*=True|num=pl case=dat|*=True|num=pl _ case=gen|gender=neut|num=sg|pos=True case=gen|gender=neut|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|gender=neut|num=sg _ _ case=dat|gender=fem|num=sg case=nom|gender=fem|num=sg _ EmoExpression::markable_25::Intensity=medium|EmoExpression::markable_25::Polarity=positive|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false|EmoExpression::markable_25::EmoExpression=True _ _ _
365076305164763136	positive	@das_Ruhrgebiet @alios Ich stimme dir zu . Die FDP ist .... * prust * Naja lassen wir das . :-)	@das_Ruhrgebiet @alios ich stimmen du zu . die FDP sein .... * prust * Naja lassen wir die . :-)	NN NE PPER VVFIN PRF PTKVZ $. ART NE VAFIN ADJA XY NN XY NN VVFIN PPER PDS $. $(	0/-- 1/-- 4/SB 2/-- 4/OA 4/SVP 6/-- 9/NK 10/SB 7/-- 10/PD 11/-- 15/PNC 11/-- 16/MO 11/-- 16/SB 16/OA 18/-- 19/--	case=nom|gender=neut|num=sg pos=True case=nom|Sentiment::markable_30::Intensity=medium|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Sarcasm=false|*=True|Source::markable_31::Source=True|pers=1|num=sg|Source::markable_31::Anaphref=empty|Sentiment::markable_30::Polarity=positive Sentiment::markable_30::Sentiment=True|mood=ind|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::EmoExpression=True|pers=1|EmoExpression::markable_32::Intensity=medium|num=sg|tense=pres|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false case=dat|Sentiment::markable_30::Sentiment=True|*=True|pers=2|Target::markable_33::Preferred=true|num=sg|Target::markable_33::Anaphref=empty|Target::markable_33::Target=True EmoExpression::markable_32::EmoExpression=True|Sentiment::markable_30::Sentiment=True _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pos=True _ pers=2|num=sg|tense=pres|mood=ind _ _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|gender=neut|num=sg _ EmoExpression::markable_34::SubjectiveFact=false|EmoExpression::markable_34::Intensity=medium|EmoExpression::markable_34::EmoExpression=True|EmoExpression::markable_34::Polarity=positive|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Sarcasm=false
360854777636208641	positive	@RobertPorten Weiter so ! twittern wir ma , was das Zeug hält ! :-) #AfD	@RobertPorten weiter so ! twittern wir ma , was die Zeug halten ! :-) #AfD	NN ADV ADV $. VVFIN PPER NE $, PRELS ART NN VVFIN $. $( ADJA	0/-- 3/MO 1/-- 3/-- 4/-- 5/SB 5/OA 7/-- 12/OA 11/NK 12/OA 7/RC 12/-- 15/-- 13/--	_ _ _ _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::Polarity=positive _
381525568401203200	positive	@thelifeasannika Ich klöppel uns einen . Für Dich einen mit . :)	@thelifeasannika ich klöppeln wir eine . für du einen mit . :)	NN PPER VVIMP PRF PIS $. APPR PPER VVFIN PTKVZ $. ADJA	0/-- 3/UC 1/-- 3/NK 3/SB 5/-- 9/MO 7/NK 6/-- 9/SVP 10/-- 11/--	case=nom|gender=fem|num=sg case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=dat|*=True|num=pl|pers=1 case=acc|gender=masc|num=sg _ _ case=acc|*=True|num=sg|pers=2 case=acc|gender=masc|num=sg _ _ EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium
