311972225265836033	positive	%PosSmiley Der neue Papst : Es ist ein Argentinier %Link via %User	%PosSmiley die neu Papst : es sein eine Argentinier %Link via %User	ITJ ART ADJA NN $. PPER VAFIN ART NN XY APPR NE	7/NK 4/NK 4/NK 7/PD 4/-- 7/SB 0/-- 9/NK 7/PD 9/NK 9/MNR 11/NK	Sentiment::markable_1::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|EmoExpression::markable_2::EmoExpression=True case=nom|num=sg|Target::markable_3::Target=True|Target::markable_3::Anaphref=empty|gender=masc|Target::markable_3::Preferred=true|Sentiment::markable_1::Sentiment=True case=nom|num=sg|Target::markable_3::Target=True|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|pers=3|num=sg|Target::markable_3::Target=True|gender=neut|Sentiment::markable_1::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg
311920588497231875	positive	ooh , de neue Papst is süss , der gute %PosSmiley	ooh , de neu Papst is süß , die gut %PosSmiley	VVFIN $, FM ADJA NN NE ADJD $, ART ADJA ITJ	5/NK 1/-- 5/NK 5/NK 0/-- 0/NK 5/PAR 7/-- 11/NK 11/NK 7/DM	Sentiment::markable_4::Intensity=medium|Sentiment::markable_4::Sentiment=True|Sentiment::markable_4::Polarity=positive|Sentiment::markable_4::Sarcasm=false Sentiment::markable_4::Sentiment=True Sentiment::markable_4::Sentiment=True|Target::markable_5::Target=True|Target::markable_5::Preferred=true|*=True|Target::markable_5::Anaphref=empty case=acc|Sentiment::markable_4::Sentiment=True|num=sg|Target::markable_5::Target=True|gender=fem|pos=True case=acc|gender=fem|num=sg|Sentiment::markable_4::Sentiment=True|Target::markable_5::Target=True Sentiment::markable_4::Sentiment=True Sentiment::markable_4::Sentiment=True|EmoExpression::markable_6::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Polarity=positive|EmoExpression::markable_6::EmoExpression=True Sentiment::markable_4::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_4::Sentiment=True case=nom|Sentiment::markable_4::Sentiment=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::EmoExpression=True|gender=masc|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::SubjectiveFact=false|pos=True|EmoExpression::markable_7::Polarity=positive|num=sg case=nom|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|gender=masc|EmoExpression::markable_8::Uncertain=false|EmoExpression::markable_8::SubjectiveFact=false|num=sg|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|Sentiment::markable_4::Sentiment=True
311918752864288768	neutral	War auch mein erster Gedanke %PosSmiley Kardinal Jorge ? Hola , Chicas ! Papst "	sein auch mein erst Gedanke %PosSmiley Kardinal Jorge ? Hola , Chicas ! Papst "	VAFIN ADV PPOSAT ADJA NN ITJ NN NE $. NE $, NE $. NN $(	0/-- 5/MO 5/NK 5/NK 1/SB 7/NK 5/APP 7/NK 8/-- 0/-- 10/-- 0/-- 12/-- 0/-- 14/--	pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|*=True|num=sg _ case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg _
311908929766572032	positive	Die Welt hat einen neuen Papst %PosSmiley	die Welt haben eine neu Papst %PosSmiley	ART NN VAFIN ART ADJA NN ITJ	2/NK 3/SB 0/-- 6/NK 6/NK 3/OA 6/NK	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
311942701710987264	positive	" Bayern hat noch nie an einem Tag verloren , an dem ein neuer Papst gewählt wurde . FCBAFC und der heisst franz %PosSmiley	" Bayer haben noch nie an eine Tag verlieren , an die eine neu Papst wählen werden . FCBAFC und die heißen franz %PosSmiley	$( NN VAFIN ADV ADV APPR ART NN VVPP $, APPR PRELS ART ADJA NN VVPP VAFIN $. NE KON ART VVFIN ADJA ITJ	2/-- 3/SB 0/-- 5/MO 9/MO 9/MO 8/NK 6/NK 3/OC 9/-- 16/MO 11/NK 15/NK 15/NK 17/SB 17/OC 8/RC 17/-- 22/SB 19/CD 20/CJ 0/-- 22/MO 23/NK	_ case=nom|Sentiment::markable_12::Sentiment=True|Target::markable_13::Anaphref=empty|Target::markable_13::Preferred=true|gender=neut|Sentiment::markable_12::Sarcasm=false|Target::markable_13::Target=True|Sentiment::markable_12::Polarity=positive|num=sg|Sentiment::markable_12::Intensity=medium pers=3|Sentiment::markable_12::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_12::Sentiment=True Sentiment::markable_12::Sentiment=True|Negation::markable_15::EmoExpressionRef=emo-expression:markable_14|Negation::markable_15::Negation=True Sentiment::markable_12::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_12::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_12::Sentiment=True EmoExpression::markable_14::Polarity=negative|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|Sentiment::markable_12::Sentiment=True|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True _ _ case=dat|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=past|mood=ind _ case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false
311792272935096320	mixed	wieder schwarzer rauch beim konklave. einen neuen papst findet man doch so viel schneller ... %PosSmiley %Link	wieder schwarz rauchen bei konklave. eine neu Papst finden man doch so viel schnell ... %PosSmiley %Link	ADV ADJA VVIMP APPRART NN ART ADJA NN VVFIN PIS ADV ADV ADV ADJD $. ITJ XY	2/MO 3/NK 9/CJ 3/MO 4/NK 8/NK 8/NK 9/OA 0/-- 9/SB 9/MO 13/MO 14/MO 9/MO 14/-- 17/NK 0/--	_ EmoExpression::markable_10404343::Intensity=medium|EmoExpression::markable_10404343::SubjectiveFact=false|comp=True|EmoExpression::markable_10404343::Uncertain=false|EmoExpression::markable_10404343::Sarcasm=false|EmoExpression::markable_10404343::EmoExpression=True|EmoExpression::markable_10404343::Polarity=negative EmoExpression::markable_10404343::EmoExpression=True case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg _ _ _ comp=True _ EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium _
311950754535600128	positive	So , der neue Papst wurde gewählt %PosSmiley ... hoffentlich ändert sich nun was im Zusammenhang mit dem " Kondom - Verbot " und co .	so , die neu Papst werden wählen %PosSmiley ... hoffentlich ändern sich nun was in Zusammenhang mit die " Kondom - Verbot " und co .	ADV $, ART ADJA NN VAFIN VVPP ITJ $. ADV VVFIN PRF ADV PIS APPRART NN APPR ART $( NN $( NN $( KON VVFIN $.	7/MO 1/-- 5/NK 5/NK 6/SB 0/-- 6/OC 1/DM 7/-- 11/MO 0/-- 11/OA 11/MO 11/SB 11/MO 15/NK 16/MNR 20/NK 18/-- 17/NK 20/-- 20/CJ 22/-- 22/CD 24/CJ 25/--	_ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=ind _ EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium _ EmoExpression::markable_10404344::EmoExpression=True|EmoExpression::markable_10404344::Intensity=medium|EmoExpression::markable_10404344::Sarcasm=false|EmoExpression::markable_10404344::Uncertain=false|EmoExpression::markable_10404344::Polarity=positive|EmoExpression::markable_10404344::SubjectiveFact=false pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg _ case=nom|gender=neut|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ case=acc|gender=neut|num=sg _ _ _ _
311913897688956928	positive	Weist er Rauch bei %User heute - Papst Auftritt in der %User ? Das öffentlich - rechtliche ist ein Fuchs %PosSmiley HabemusPapam	weisen er Rauch bei %User heute - Papst Auftritt in die %User ? die öffentlich - rechtlich sein eine Fuchs %PosSmiley HabemusPapam	VVFIN PPER NE APPR NE ADV $( NN NN APPR ART NE $. PRELS ADJD $( ADJA VAFIN ART NN ITJ NN	0/-- 1/SB 1/OA 1/MO 4/NK 1/MO 6/-- 1/OA 8/NK 8/MNR 12/NK 10/NK 12/-- 18/SB 17/MO 15/-- 18/SB 0/-- 20/NK 18/SB 22/NK 18/PD	pers=3|num=sg|tense=pres|mood=ind case=nom|EmoExpression::markable_10404345::SubjectiveFact=true|EmoExpression::markable_10404345::Intensity=medium|EmoExpression::markable_10404345::Polarity=positive|gender=masc|EmoExpression::markable_10404345::Sarcasm=false|pers=3|num=sg|EmoExpression::markable_10404345::Uncertain=false|EmoExpression::markable_10404345::EmoExpression=True case=acc|gender=masc|EmoExpression::markable_10404345::EmoExpression=True|num=sg _ case=dat|*=True|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=nom|gender=neut|num=sg pos=True _ case=nom|gender=neut|num=sg|pos=True pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium case=nom|gender=neut|num=sg
312172552187437056	positive	Das ist auch so ziemlich das Interessanteste was ich bisher über den Papst gehört habe . %PosSmiley	die sein auch so ziemlich die interessant was ich bisher über die Papst gehören|hören haben . %PosSmiley	PDS VAFIN ADV ADV ADV ART ADJA PRELS PPER ADV APPR ART NN VVPP VAFIN $. ITJ	2/SB 0/-- 2/MO 5/MO 2/MO 7/NK 2/PD 14/OA 15/SB 14/MO 14/MO 13/NK 11/NK 15/OC 7/RC 15/-- 0/NK	case=nom|Target::markable_20::Target=True|gender=neut|num=sg|Sentiment::markable_19::Sentiment=True|Sentiment::markable_19::Sarcasm=false|Target::markable_20::Anaphref=markable_22|Sentiment::markable_19::Polarity=positive|Sentiment::markable_19::Intensity=medium|Target::markable_20::Preferred=true pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_19::Sentiment=True case=acc|EmoExpression::markable_21::EmoExpression=True|gender=neut|pos=True|EmoExpression::markable_21::Intensity=strong|num=sg|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false case=acc|Target::markable_22::Preferred=true|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_22::Target=True|gender=neut|Target::markable_22::Anaphref=empty case=nom|pers=1|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_22::Target=True|*=True Sentiment::markable_19::Sentiment=True|Target::markable_22::Target=True Sentiment::markable_19::Sentiment=True|Target::markable_22::Target=True case=acc|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_22::Target=True case=acc|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_22::Target=True Sentiment::markable_19::Sentiment=True|Target::markable_22::Target=True pers=3|num=sg|tense=pres|mood=subj|Target::markable_22::Target=True|Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false
311905252070813696	positive	Okay .. Weist er Rauch .. Um 21 Uhr zeigt sich der neue Papst .. Ich hoffe nachwievor auf Papst Bunga Bunga der I. %PosSmiley %Link	Okay .. weisen er Rauch .. um 21 Uhr zeigen sich die neu Papst .. ich hoffen nachwievor auf Papst Bunga Bunga die I. %PosSmiley %Link	NE NN VVFIN PPER NE NN APPR CARD NN VVFIN PRF ART ADJA NN NN PPER VVFIN ADJD APPR NN NN NN ART NE ITJ XY	2/PNC 0/-- 0/-- 3/SB 6/PNC 3/OA 10/MO 9/NK 7/NK 0/-- 10/OA 14/NK 14/NK 10/SB 10/OA 17/SB 0/-- 17/MO 17/OP 19/NK 20/NK 20/NK 24/NK 22/AG 20/NK 25/NK	case=nom|*=True|num=sg case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|EmoExpression::markable_10404346::Uncertain=false|gender=masc|EmoExpression::markable_10404346::Polarity=positive|EmoExpression::markable_10404346::Intensity=medium|pers=3|num=sg|EmoExpression::markable_10404346::SubjectiveFact=true|EmoExpression::markable_10404346::Sarcasm=false|EmoExpression::markable_10404346::EmoExpression=True case=acc|gender=masc|num=sg|EmoExpression::markable_10404346::EmoExpression=True case=acc|gender=masc|num=sg _ _ case=acc|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|Source::markable_25::Anaphref=empty|Source::markable_25::Source=True|Sentiment::markable_24::Intensity=medium|*=True|pers=1|Sentiment::markable_24::Sentiment=True|num=sg|Sentiment::markable_24::Sarcasm=false|Sentiment::markable_24::Polarity=positive EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|mood=ind|EmoExpression::markable_26::Intensity=medium|EmoExpression::markable_26::Polarity=positive|pers=1|Sentiment::markable_24::Sentiment=True|num=sg|tense=pres|EmoExpression::markable_26::SubjectiveFact=false|EmoExpression::markable_26::Uncertain=false Sentiment::markable_24::Sentiment=True|pos=True Sentiment::markable_24::Sentiment=True case=nom|Sentiment::markable_24::Sentiment=True|Target::markable_27::Anaphref=empty|num=sg|Target::markable_27::Preferred=true|gender=masc|Target::markable_27::Target=True case=acc|gender=masc|num=sg|Target::markable_27::Target=True|Sentiment::markable_24::Sentiment=True case=acc|gender=masc|num=sg|Target::markable_27::Target=True|Sentiment::markable_24::Sentiment=True case=gen|gender=fem|num=sg|Target::markable_27::Target=True|Sentiment::markable_24::Sentiment=True case=gen|gender=fem|num=sg|Target::markable_27::Target=True|Sentiment::markable_24::Sentiment=True EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|Sentiment::markable_24::Sentiment=True|EmoExpression::markable_28::EmoExpression=True|*=True|EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::Uncertain=false *=True
311965806705643520	positive	... aber der Papst ist doch kein Landsmann %PosSmiley	... aber die Papst sein doch keine Landsmann %PosSmiley	$. ADV ART NN VAFIN ADV PIAT NN ITJ	0/-- 4/MO 4/NK 5/SB 0/-- 5/MO 8/NK 5/PD 8/NK	_ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false
