378616125267144704	positive	@schwesterchen86 war es auch :) eine der letzten gelben / grünen zucchinis , tomaten , karotten etc ...	@schwesterchen86 sein es auch :) eine die letzt gelb / grün zucchinis , tomaten , karotten etc. ...	CARD VAFIN PPER ADV ADJD PIS ART ADJA ADJA $( ADJA NN $, ADJD $, VVFIN ADV $.	0/-- 1/-- 2/SB 2/MO 2/PD 2/PD 12/NK 12/NK 12/NK 9/-- 9/MO 6/AG 12/-- 2/PD 14/-- 2/CJ 16/MO 17/--	_ pers=3|num=sg|tense=past|mood=ind case=nom|gender=neut|num=sg|pers=3 _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|pos=True|EmoExpression::markable_1::Intensity=medium case=acc|gender=fem|num=sg case=gen|gender=fem|num=pl case=gen|gender=fem|num=pl|pos=True _ _ _ case=nom|gender=neut|num=sg _ _ _ pers=3|num=pl|tense=past|mood=ind _ _
355001185255686145	positive	RT @PiratenRGB : uebermorgen ist erster crypto friday in der steckgasse 6.  kommt vorbei und lasst euch verschluesseln :) http://t.co/UrGSLOz …	RT @PiratenRGB : uebermorgen sein erst crypto friday in die steckgasse @card@ kommen vorbei und lassen ihr verschluesseln :) http://t.co/UrGSLOz …	NE ADJD $. NN VAFIN ADJA ADJA NE APPR ART NN CARD VVFIN PTKVZ KON VVFIN PPER NN ADJA NN ADJA	0/-- 1/PD 2/-- 5/SB 3/-- 8/NK 8/NK 5/SB 13/MO 11/NK 9/NK 11/NK 5/CJ 13/SVP 13/CD 15/CJ 18/NK 21/MO 20/NK 18/AG 16/OC	case=nom|*=True|num=sg pos=True _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ _ pers=2|num=sg|tense=pres|mood=ind case=dat|*=True|num=pl|pers=2 _ case=gen|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|gender=masc|pos=True|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|num=pl|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::EmoExpression=True case=gen|gender=masc|num=pl case=gen|gender=masc|num=pl|pos=True
374812841322483712	positive	RT @janmz : An alle Piraten die zur #fsa13 am 7.9 . fahren : Wir treffen uns ab 12:00 Uhr am Piraten - LKW auf der Alexanderstraße . Seid dabei :)	RT @janmz : an alle Pirat die zu #fsa13 an @card@ . fahren : wir treffen wir ab @card@ Uhr an Pirat - LKW auf die Alexanderstraße . sein dabei :)	NE NN $. APPR PIAT NN ART APPRART NN APPRART CARD $. VVFIN $. PPER VVFIN PPER APPR CARD NN APPRART NN $( NE APPR ART NN $. VAFIN PAV ADJA	2/SB 0/-- 2/-- 13/MO 6/NK 4/NK 20/NK 13/MO 8/NK 9/MNR 10/NK 11/-- 16/PD 13/-- 16/SB 3/-- 16/OA 16/MO 20/NK 18/NK 16/MO 21/NK 22/-- 22/NK 16/MO 27/NK 25/NK 27/-- 28/-- 31/NK 29/PD	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ case=nom|gender=fem|num=pl case=nom|gender=fem|num=pl case=acc|gender=fem|num=sg case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=dat|gender=masc|num=sg _ _ _ _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|pers=1|num=pl _ _ case=dat|gender=fem|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=acc|*=True|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ pers=2|num=pl|mood=imp _ EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false
358321082723348483	mixed	@torsten_hautnah Aha ! Diese Einstellung ist also bei mehreren sogenannten Volksvertretern Programm ! Und wenn das jetzt Wähler lesen ? :-)	@torsten_hautnah aha ! dies Einstellung sein also bei mehrere sogenannt Volksvertreter Programm ! und wenn die jetzt Wähler lesen ? :-)	ADJD ITJ $. PDAT NN VAFIN ADV APPR PIAT ADJA NN NN $. KON KOUS PDS ADV NN VVINF $. $(	0/-- 3/NK 1/-- 5/NK 6/SB 3/-- 6/MO 6/MO 11/NK 11/NK 8/NK 6/PD 12/-- 19/JU 19/CP 19/SB 19/MO 19/OA 13/-- 19/-- 20/--	pos=True _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|gender=masc|num=pl case=dat|EmoExpression::markable_100500313::Sarcasm=false|EmoExpression::markable_100500313::EmoExpression=True|EmoExpression::markable_100500313::SubjectiveFact=false|gender=masc|EmoExpression::markable_100500313::Polarity=negative|pos=True|num=pl|EmoExpression::markable_100500313::Uncertain=true|EmoExpression::markable_100500313::Intensity=medium case=dat|gender=masc|num=pl case=nom|gender=neut|num=sg _ _ _ case=nom|gender=neut|num=sg _ case=acc|gender=masc|num=pl _ _ EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True
381129701965979648	positive	@enchanting_mana Ist der " Manuel Lautenschläger " schon da ? :) Der wollte heute auch zum Stammtisch kommen . Er ist wohl Interessent & Wähler .	@enchanting_mana sein die " Manuel Lautenschläger " schon da ? :) die wollen heute auch zu Stammtisch kommen . er sein wohl Interessent & Wähler .	NN VAFIN ART $( NE NN $( ADV PTKVZ $. NN PDS VMFIN ADV ADV APPRART NN VVINF $. PPER VAFIN ADV NN KON NN $.	0/-- 1/-- 6/NK 3/-- 6/PNC 2/SB 6/-- 2/MO 2/SVP 9/-- 13/SB 11/NK 10/-- 13/MO 16/MO 18/MO 16/NK 13/OC 18/-- 21/SB 19/-- 21/MO 21/PD 23/CD 24/CJ 25/--	case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ _ case=nom|EmoExpression::markable_5::Intensity=medium|gender=masc|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|num=sg|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::Polarity=positive case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=ind _ _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ pos=True _ case=acc|gender=masc|num=pl _
376643351237644288	positive	Dagegen die #FDP so : “ @fdprlp : Über 200  Gäste beim Frühschoppen mit @philipproesler und @Wissing in Siebeldingen . ” ;-)	dagegen die #FDP so : “ @fdprlp : über @card@ Gast bei Frühschoppen mit @philipproesler und @Wissing in Siebeldingen . ” ;-)	PAV ART NN ADV $. ADJA NN $. APPR CARD NN APPRART NN APPR NN KON NN APPR NN $. ADJA $(	4/NK 3/NK 4/OG 7/NK 4/-- 7/NK 0/-- 7/-- 8/-- 11/NK 9/NK 11/MNR 12/NK 13/MNR 14/NK 17/JU 15/-- 17/-- 18/NK 19/-- 20/-- 21/--	case=nom|*=True|num=pl case=nom|*=True|num=pl case=nom|*=True|num=pl _ _ case=dat|gender=neut|num=pl|comp=True case=nom|*=True _ _ _ case=nom|gender=masc|num=pl case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ case=dat|gender=fem|num=sg _ pers=3|num=sg|tense=past|mood=ind _ case=dat|gender=neut|num=sg _ _ EmoExpression::markable_6::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Polarity=positive|EmoExpression::markable_6::EmoExpression=True
383302955761278977	neutral	#Piratenpartei Fwd :( Von der Orga - Liste ) Anträge einreichen für den LPT 2013.3 : Beitrag kann na ... http://t.co/rLMhzLHbXl #Piraten #Forum	#Piratenpartei Fwd :( von die Orga - Liste ) Antrag einreichen für die LPT @card@ : Beitrag können na ... http://t.co/rLMhzLHbXl #Piraten #Forum	NN NE NN APPR ART NN $( NN $( NN VVFIN APPR ART NN CARD $. NN VMFIN ITJ $. NN NN NN	3/AG 1/NK 11/CJ 3/MNR 6/NK 4/NK 6/-- 3/PAR 8/-- 11/OA 0/-- 11/MO 14/NK 12/NK 14/NK 15/-- 18/SB 11/CJ 2/NK 18/-- 20/-- 21/NK 21/OA	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=dat|gender=fem|num=sg _ case=acc|gender=masc|num=pl _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl
373224782986498048	negative	RT @PLANETSAFER : #Wahlomat : LINKE , PSG , Piraten , Grüne , SPD. Aber ganz oben m 71,1 % : NPD !!! :-((( #Fail #Politik	RT @PLANETSAFER : #Wahlomat : linken , PSG , Pirat , Grüne , SPD. aber ganz oben m @card@ % : NPD !!! :-((( #Fail #Politik	NE NN $. NN $. VVFIN $, NN $, NN $, NN $, ADJA KON ADV ADV NN CARD NN $. NE ADJA NN NE NN	2/SB 0/-- 2/-- 3/-- 4/-- 4/NK 6/-- 4/CJ 8/-- 8/CJ 10/-- 10/CJ 12/-- 20/NK 14/CD 17/MO 18/MO 15/CJ 20/NK 12/CJ 20/-- 23/SB 4/SB 23/-- 26/PNC 24/NK	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=pl _ case=nom|*=True|num=pl _ case=nom|*=True|num=pl|pos=True Sentiment::markable_7::Polarity=negative|Sentiment::markable_7::Sentiment=True|Sentiment::markable_7::Sarcasm=false|Sentiment::markable_7::Intensity=strong|Target::markable_9::Anaphref=empty|Target::markable_9::Preferred=true|Target::markable_9::Target=True Sentiment::markable_7::Sentiment=True|Target::markable_9::Target=True Sentiment::markable_7::Sentiment=True|Target::markable_9::Target=True gender=masc|*=True|Sentiment::markable_7::Sentiment=True|Target::markable_9::Target=True Sentiment::markable_7::Sentiment=True|Target::markable_9::Target=True gender=neut|*=True|Sentiment::markable_7::Sentiment=True|Target::markable_9::Target=True Sentiment::markable_7::Sentiment=True|Target::markable_9::Target=True case=nom|*=True|num=sg|Sentiment::markable_7::Sentiment=True|Target::markable_9::Target=True case=nom|*=True|num=sg|Sentiment::markable_7::Sentiment=True case=nom|EmoExpression::markable_8::Intensity=strong|EmoExpression::markable_8::Polarity=negative|gender=masc|EmoExpression::markable_8::Uncertain=false|EmoExpression::markable_8::SubjectiveFact=false|num=sg|Sentiment::markable_7::Sentiment=True|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True case=nom|EmoExpression::markable_100500179::Uncertain=false|EmoExpression::markable_100500179::Intensity=medium|EmoExpression::markable_100500179::SubjectiveFact=false|gender=masc|EmoExpression::markable_100500179::EmoExpression=True|num=sg|Sentiment::markable_7::Sentiment=True|EmoExpression::markable_100500179::Sarcasm=false|EmoExpression::markable_100500179::Polarity=negative case=nom|gender=masc|num=sg
380412052764098560	positive	@trailer97 @gaejawen Meld dich mal bei loko @junge - piraten.de , die können nachschauen :)	@trailer97 @gaejawen Meld du mal bei loko @junge - piraten.de , die können nachschauen :)	CARD NN NN PPER ADV APPR NE NN $( VVFIN $, PRELS VMINF VVFIN ADJA	0/-- 1/-- 2/-- 3/NK 3/MO 3/MO 8/PNC 6/NK 10/-- 8/-- 10/-- 13/SB 14/SB 10/CJ 14/MO	_ _ case=nom|gender=masc|num=sg case=acc|*=True|num=sg|pers=2 _ _ case=dat|*=True|num=sg case=nom|gender=masc|num=pl _ pers=3|num=sg|tense=pres|mood=subj _ case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind pers=3|num=pl|tense=pres|mood=ind EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
367562930642255872	negative	RT @pirat_mel : Dabei :-) #GröDaZ RT @alios : heute 18.30 Demo “Nein zum Überwachungsstaat” in Erkelenz / NRW. Kommt zahlreich ! http://t.co/JFDg …	RT @pirat_mel : dabei :-) #GröDaZ RT @alios : heute @card@ Demo “Nein zu Überwachungsstaat” in Erkelenz / NRW. kommen zahlreich ! http://t.co/JFDg …	NE NN $. PAV $( NE NE NE $. ADV CARD NN NN APPRART NN APPR NN $( NN VVFIN ADJD $. NE ADJA	2/SB 0/-- 2/-- 8/NK 6/-- 8/PNC 8/PNC 3/-- 8/-- 12/MO 12/NMC 20/SB 12/NK 12/MNR 14/NK 15/MNR 16/NK 17/-- 17/CJ 9/-- 20/MO 21/-- 22/-- 23/UC	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false *=True *=True case=nom|*=True|num=sg _ _ _ case=nom|gender=neut|num=sg case=nom|Sentiment::markable_100500180::Intensity=medium|Sentiment::markable_100500180::Sentiment=True|EmoExpression::markable_100500183::Uncertain=false|gender=neut|EmoExpression::markable_100500183::Intensity=medium|Sentiment::markable_100500180::Polarity=negative|num=sg|Sentiment::markable_100500180::Sarcasm=false|EmoExpression::markable_100500183::Sarcasm=false|EmoExpression::markable_100500183::SubjectiveFact=false|EmoExpression::markable_100500183::EmoExpression=True|EmoExpression::markable_100500183::Polarity=negative case=dat|gender=neut|num=sg|Sentiment::markable_100500180::Sentiment=True case=dat|Target::markable_100500182::Target=True|Target::markable_100500182::Preferred=true|num=sg|Sentiment::markable_100500180::Sentiment=True|gender=neut|Target::markable_100500182::Anaphref=empty _ case=dat|gender=fem|num=sg _ case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind pos=True _ _ _
