311914253751836672	positive	Ich bi so ufgregt ! Wer isch jetzt de neui Papst ? ? %PosSmiley	ich bi so ufgregt ! wer isch jetzt de neui Papst ? ? %PosSmiley	PPER VVFIN ADV ADJD $. PWS VVFIN ADV NE ADJA NN $. $. ITJ	2/SB 0/-- 4/MO 2/MO 4/-- 7/SB 0/-- 7/MO 7/SB 11/NK 7/OA 11/-- 12/-- 12/NK	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|pos=True|EmoExpression::markable_1::Intensity=medium _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=ind _ case=nom|*=True|num=sg case=acc|*=True|num=sg case=acc|gender=fem|num=sg _ _ EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True
311920779350650880	positive	Och lass mal , ich hole mir demnächst die Papst - Tasse %PosSmiley .	Och laß mal , ich holen ich demnächst die Papst - Tasse %PosSmiley .	NN ADJD ADV $, PPER VVFIN PPER ADV ART NN $( NN ITJ $.	2/NK 6/PD 2/MO 3/-- 6/SB 0/-- 6/DA 6/MO 10/NK 6/OA 10/-- 10/CJ 12/NK 12/--	case=nom|gender=masc|num=sg _ _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=dat|*=True|num=sg|pers=1 _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg case=nom|EmoExpression::markable_3::EmoExpression=True|gender=fem|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Intensity=medium|num=sg|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Uncertain=false _
311918802801659904	positive	Der Papst heisst also Francisco und ist 77 ... Ich glaub nicht mal an die Kirche ... %PosSmiley Spricht auch deutsch ... %PosSmiley	die Papst heißen also Francisco und sein @card@ ... ich glauben nicht mal an die Kirche ... %PosSmiley sprechen auch deutsch ... %PosSmiley	ART NN VVFIN ADV NE KON VAFIN CARD $. PPER VVIMP PTKNEG ADV APPR ART NN $. ITJ VVFIN ADV ADJD $. ITJ	2/NK 3/SB 0/-- 3/MO 3/SB 3/CD 6/CJ 18/NK 8/-- 7/SB 10/NK 7/NG 12/MO 7/MO 16/NK 14/NK 16/-- 7/NK 0/-- 19/MO 19/MO 21/-- 21/DM	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True Target::markable_8::Target=True|mood=ind|Sentiment::markable_7::Intensity=medium|Target::markable_8::Anaphref=empty|Target::markable_8::Preferred=true|pers=3|Sentiment::markable_7::Polarity=positive|num=sg|tense=pres|Sentiment::markable_7::Sentiment=True|Sentiment::markable_7::Sarcasm=false Target::markable_8::Target=True|Sentiment::markable_7::Sentiment=True Target::markable_8::Target=True|pos=True|Sentiment::markable_7::Sentiment=True Sentiment::markable_7::Sentiment=True EmoExpression::markable_6::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|Sentiment::markable_7::Sentiment=True|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Polarity=positive|EmoExpression::markable_6::EmoExpression=True
311909498614849536	positive	" 100% Wahlbeteiligung ! Papst " und ein Mann wird ' s auch ... jaja. die Spannung steigt . Ich bin ja immer noch für einen Afrikaner %PosSmiley	" @card@ Wahlbeteiligung ! Papst " und eine Mann werden ' s auch ... jaja. die Spannung steigen . ich sein ja immer noch für eine Afrikaner %PosSmiley	$( CARD NN $. NN $( KON ART NN VAFIN $( NN ADV $. NE ART NN VVFIN $. PPER VAFIN ADV ADV ADV APPR ART NN ITJ	2/-- 3/NK 0/-- 3/-- 10/SB 5/-- 5/CD 9/NK 7/CJ 0/-- 10/-- 10/PAR 12/MO 13/-- 18/SB 17/NK 18/OA 0/-- 18/-- 21/SB 0/-- 21/MO 24/MO 21/MO 21/MO 27/NK 25/NK 27/NK	_ _ case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg|pers=3 _ _ case=nom|*=True|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|Source::markable_12::Anaphref=empty|Sentiment::markable_9::Intensity=medium|Source::markable_12::Source=True|*=True|pers=1|num=sg|Sentiment::markable_9::Sentiment=True|Sentiment::markable_9::Sarcasm=false|Sentiment::markable_9::Polarity=positive pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_9::Sentiment=True Sentiment::markable_9::Sentiment=True Sentiment::markable_9::Sentiment=True Sentiment::markable_9::Sentiment=True EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false|Sentiment::markable_9::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_9::Sentiment=True case=acc|Target::markable_11::Anaphref=empty|num=sg|Target::markable_11::Preferred=true|Sentiment::markable_9::Sentiment=True|gender=masc|Target::markable_11::Target=True EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|Sentiment::markable_9::Sentiment=True|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
311929261797822465	mixed	Meine TL hängt im Glaubenskrieg zwischen Papst und Fussball ... jedem bitte seine Religion %PosSmiley	Meine TL hängen in Glaubenskrieg zwischen Papst und Fußball ... jede bitten sein Religion %PosSmiley	NE NE VVFIN APPRART NN APPR NN KON NN $. PIS VVFIN PPOSAT NN ITJ	2/PNC 3/SB 0/-- 3/MO 4/NK 5/MNR 6/NK 7/CD 8/CJ 9/-- 12/SB 0/-- 14/NK 12/OA 12/DM	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=dat|gender=masc|num=sg case=dat|gender=masc|EmoExpression::markable_104014819::Polarity=negative|EmoExpression::markable_104014819::Sarcasm=true|num=sg|EmoExpression::markable_104014819::Uncertain=false|EmoExpression::markable_104014819::Intensity=medium|EmoExpression::markable_104014819::SubjectiveFact=false|EmoExpression::markable_104014819::EmoExpression=True _ case=dat|gender=masc|num=sg _ case=dat|gender=masc|num=sg _ case=dat|gender=masc|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True
311915526068789248	positive	Bin seit dem Disney - Club Antje Pieper - Fan %PosSmiley papst habemuspapam	sein seit die Disney - Club Antje Pieper - Fan %PosSmiley papst habemuspapam	VAFIN APPR ART NE $( NN NE NE $( NN ITJ ADJA NN	0/-- 1/MO 4/NK 2/NK 4/-- 1/PAR 8/PNC 6/NK 8/-- 6/PAR 13/NK 13/NK 10/NK	case=gen|Sentiment::markable_15::Intensity=medium|Sentiment::markable_15::Sarcasm=false|gender=fem|pers=3|num=sg|Sentiment::markable_15::Polarity=positive|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_15::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_15::Sentiment=True case=dat|Target::markable_16::Target=True|gender=masc|Target::markable_16::Anaphref=empty|pos=True|num=sg|Sentiment::markable_15::Sentiment=True|Target::markable_16::Preferred=true case=dat|gender=masc|num=sg|Target::markable_16::Target=True|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|*=True|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium *=True pers=2|num=sg|tense=pres|mood=ind case=dat|gender=masc|num=sg
311918052868493313	negative	Nein ! %PosSmiley Er ist nicht der Schwarze %NegSmiley unfair papst zdf	Nein ! %PosSmiley er sein nicht die schwarz %NegSmiley unfair papst zdf	NN $. ITJ PPER VAFIN PTKNEG ART ADJA ITJ ADJD ADJA NE	0/-- 1/-- 2/NK 5/SB 0/-- 5/NG 12/NK 12/NK 12/NK 11/MO 12/NK 5/PD	EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::SubjectiveFact=false|Sentiment::markable_19::Sarcasm=false|Sentiment::markable_19::Polarity=negative|EmoExpression::markable_22::Polarity=negative|Sentiment::markable_19::Intensity=strong|Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True|EmoExpression::markable_22::EmoExpression=True Sentiment::markable_19::Sentiment=True case=nom|Target::markable_20::Target=True|gender=masc|pers=3|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Anaphref=markable_21|Target::markable_20::Preferred=true pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True case=nom|gender=masc|num=sg|pos=True|Sentiment::markable_19::Sentiment=True case=nom|EmoExpression::markable_25::Polarity=negative|gender=masc|EmoExpression::markable_25::EmoExpression=True|EmoExpression::markable_25::Intensity=medium|num=sg|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false EmoExpression::markable_24::Sarcasm=false|pos=True|EmoExpression::markable_24::Intensity=medium|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=negative|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false pers=3|num=sg|tense=pres|mood=ind|Target::markable_21::Anaphref=empty|Target::markable_21::Target=True|Target::markable_21::Preferred=true _
311993808223080448	positive	Papst Franziskus verzichtet auf die Beifügung der Ordnungszahl I. , aber es gibt ihn auch vor dem Zweiten . %PosSmiley	Papst Franziskus verzichten auf die Beifügung die Ordnungszahl I. , aber es geben er auch vor die Zweite . %PosSmiley	NN NE VVFIN APPR ART NN ART NN NE $, KON PPER VVFIN PPER ADV APPR ART NN $. ITJ	3/SB 1/NK 0/-- 3/OP 6/NK 4/NK 8/NK 6/AG 8/NK 9/-- 3/CD 13/EP 11/CJ 13/OA 16/MO 13/MO 18/NK 16/NK 18/-- 0/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|*=True|num=sg _ _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg|pers=3 _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|EmoExpression::markable_26::SubjectiveFact=false|EmoExpression::markable_26::Polarity=positive
311968622652293122	positive	Ich vermute , Papst Franziskus I. hat bei der Namenswahl an Franz Beckenbauer gedacht . %PosSmiley fcb	ich vermuten , Papst Franziskus I. haben bei die Namenswahl an Franz Beckenbauer denken|gedenken . %PosSmiley fcb	PPER VVFIN $, NN NE NE VAFIN APPR ART NN APPR NE NE VVPP $. ITJ NN	2/SB 0/-- 2/-- 7/SB 6/PNC 4/NK 2/OC 14/MO 10/NK 8/NK 10/MNR 13/PNC 11/NK 7/OC 14/-- 17/NK 0/--	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false _
311911274625769472	positive	Und diskutiert , getippt + Analysiert wird bei uns %PosSmiley - aber erstmal Papst	und diskutieren , tippen + analysieren werden bei wir %PosSmiley - aber erstmal Papst	KON VVFIN $, VVPP KON VVPP VAFIN APPR PPER ITJ $( ADV ADV NN	2/JU 0/-- 2/-- 7/OC 4/CD 5/CJ 2/CJ 13/MO 8/NK 9/NK 10/-- 13/MO 14/NK 7/SB	_ pers=3|num=sg|tense=pres|mood=ind _ _ _ _ pers=3|num=sg|tense=pres|mood=ind _ case=dat|*=True|num=pl|pers=1 case=dat|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::EmoExpression=True|*=True|EmoExpression::markable_28::Intensity=medium|num=sg|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::Uncertain=false _ _ _ case=nom|gender=masc|num=sg
311950055181520897	positive	Sei nicht papstlicher als der Papst %PosSmiley	sein nicht papstlicher als die Papst %PosSmiley	VAFIN PTKNEG ADJA KOKOM ART NN ITJ	3/MO 3/NG 0/-- 6/CM 6/NK 3/CC 6/NK	pers=3|num=sg|tense=pres|mood=subj _ comp=True _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false
