311919759388192769	positive	Zum Glüch wurde der neue Papst heute gekürt %PosSmiley	zu Glüch werden die neu Papst heute küren %PosSmiley	APPRART NN VAFIN ART ADJA NN ADV VVPP ITJ	8/MO 1/NK 0/-- 6/NK 6/NK 3/SB 8/MO 3/OC 8/NK	case=dat|Sentiment::markable_1::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|gender=neut|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|num=sg|EmoExpression::markable_2::Sarcasm=false|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|EmoExpression::markable_2::EmoExpression=True case=dat|gender=neut|num=sg|EmoExpression::markable_2::EmoExpression=True|Sentiment::markable_1::Sentiment=True mood=ind|Target::markable_3::Anaphref=empty|Target::markable_3::Preferred=true|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True|pers=3|num=sg|tense=past case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|num=sg|Target::markable_3::Target=True|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::EmoExpression=True|EmoExpression::markable_4::Polarity=positive|Sentiment::markable_1::Sentiment=True
311906517546856450	positive	Is’ echt so ! %PosSmiley Mir scheissegal , wieviel Papstwitze hier kursieren . Mich bewegt das . Trotz allem . Papst Konklave	Is’ echt so ! %PosSmiley ich scheissegal , wieviele Papstwitz hier kursieren . ich bewegen die . trotz alle . Papst Konklave	ADJD ADJD ADV $. ITJ PPER ADJD $, PWAV NN ADV VVINF $. PPER VVFIN PDS $. APPR PIS $. NN NN	0/MO 0/-- 2/MO 3/-- 3/DM 7/DA 0/-- 7/-- 12/MO 12/SB 12/MO 7/MO 12/-- 15/SB 0/-- 15/OA 16/-- 0/-- 18/NK 19/-- 0/-- 21/NK	pos=True pos=True _ _ Sentiment::markable_6::Sentiment=True case=dat|pers=1|num=sg|Source::markable_7::Source=True|Source::markable_7::Anaphref=empty|Sentiment::markable_6::Sentiment=True|*=True EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=negative|Sentiment::markable_6::Sentiment=True|pos=True|EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false Sentiment::markable_6::Sentiment=True Target::markable_9::Anaphref=empty|Sentiment::markable_6::Sentiment=True|Target::markable_9::Target=True|Target::markable_9::Preferred=true case=acc|gender=masc|Sentiment::markable_6::Sentiment=True|num=pl|Target::markable_9::Target=True Sentiment::markable_6::Sentiment=True|Target::markable_9::Target=True pers=3|num=pl|tense=pres|mood=ind|Sentiment::markable_6::Sentiment=True|Target::markable_9::Target=True _ case=acc|Source::markable_12::Anaphref=markable_10|Source::markable_12::Source=True|*=True|pers=1|Sentiment::markable_11::Polarity=positive|num=sg|Sentiment::markable_11::Intensity=medium|Sentiment::markable_11::Sentiment=True|Sentiment::markable_11::Sarcasm=false mood=ind|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::SubjectiveFact=false|pers=3|num=sg|tense=pres|EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|Sentiment::markable_11::Sentiment=True case=acc|Target::markable_14::Target=True|num=sg|Target::markable_14::Anaphref=empty|Target::markable_14::Preferred=true|gender=neut|Sentiment::markable_11::Sentiment=True Sentiment::markable_11::Sentiment=True _ case=dat|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311929520116617216	positive	als ich hörte der neue papst ist ein argentinier dachte ich an Lionel Messi der 1. %PosSmiley %User	als ich hören die neu Papst sein eine Argentinier denken ich an Lionel Messi die 1. %PosSmiley %User	KOKOM PPER VVFIN ART ADJA NN VAFIN ART NN VVFIN PPER APPR NE NN ART ADJA ITJ NE	2/CM 3/SB 0/-- 6/NK 6/NK 7/SB 3/OC 9/NK 7/SB 9/NK 10/SB 10/MO 12/NK 7/PD 18/NK 18/NK 18/NK 14/AG	_ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=past|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=1|num=sg|tense=past|mood=ind case=nom|*=True|num=sg|pers=1 _ case=acc|*=True|num=sg gender=fem|*=True|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg|pos=True case=gen|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::SubjectiveFact=false|gender=fem|EmoExpression::markable_15::Uncertain=false|EmoExpression::markable_15::Polarity=positive|num=sg|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::Sarcasm=false case=gen|gender=fem|num=sg
311927121712922624	positive	Wer ist der neue Papst ? %PosSmiley %Link	wer sein die neu Papst ? %PosSmiley %Link	PWS VAFIN ART ADJA NN $. ITJ XY	2/SB 0/-- 5/NK 5/NK 2/SB 5/-- 5/NK 0/--	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium _
311922836941963264	positive	Der neue Papst löst in mir so ein wunderschönes Gefühl aus . ♥ I feel blessed %PosSmiley	die neu Papst lösen in ich so eine wunderschön Gefühl aus . ♥ I feel blessed %PosSmiley	ART ADJA NN VVFIN APPR PPER ADV ART ADJA NN PTKVZ $. ADJA NN ADJA NN ITJ	3/NK 3/NK 4/SB 0/-- 4/MO 5/NK 10/MO 10/NK 10/NK 4/OA 4/SVP 11/-- 14/NK 0/-- 16/NK 14/CJ 16/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|*=True|num=sg|pers=1 _ case=nom|gender=neut|num=sg case=nom|EmoExpression::markable_104012636::Sarcasm=false|EmoExpression::markable_104012636::Polarity=positive|gender=neut|EmoExpression::markable_104012636::Uncertain=false|pos=True|EmoExpression::markable_104012636::Intensity=strong|num=sg|EmoExpression::markable_104012636::EmoExpression=True|EmoExpression::markable_104012636::SubjectiveFact=false case=nom|gender=neut|num=sg _ _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|EmoExpression::markable_104012637::EmoExpression=True|gender=neut|EmoExpression::markable_104012637::SubjectiveFact=false|num=sg|EmoExpression::markable_104012637::Polarity=positive|EmoExpression::markable_104012637::Sarcasm=false|EmoExpression::markable_104012637::Uncertain=false|EmoExpression::markable_104012637::Intensity=strong _
311907822730366976	positive	%PosSmiley jetzt bin ich aber Gespannt wer der Neue Papst ist .	%PosSmiley jetzt sein ich aber spannen wer die neu Papst sein .	ITJ ADV VAFIN PPER ADV VVPP PWS ART ADJA NN VAFIN $.	2/DM 3/MO 0/-- 3/SB 3/MO 3/PD 11/SB 10/NK 10/NK 11/PD 6/OC 11/--	EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _
311981791202377728	neutral	Jetzt gar keine mehr %PosSmiley " Der neue Papst %User : Vor 2 Minuten noch 25 ' 000 Twitter - Follower , jetzt schon 56 ' 000 ! "	jetzt gar keine mehr %PosSmiley " die neu Papst %User : vor 2 Minute noch 25 ' @card@ Twitter - Follower , jetzt schon 56 ' @card@ ! "	ADV ADV PIAT PIS ITJ $( ART ADJA NN NE $. APPR CARD NN ADV CARD $( CARD NN $( NN $, ADV ADV CARD $( CARD $. $(	4/MO 3/MO 27/NK 28/NK 12/MO 5/-- 9/NK 9/NK 5/NK 9/NK 10/-- 19/MNR 14/NK 12/NK 16/MO 19/NK 16/-- 16/CJ 4/CC 19/-- 19/CJ 21/-- 25/MO 25/MO 4/MO 25/-- 25/PAR 0/-- 28/--	_ _ case=nom|gender=fem|num=sg *=True case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ case=dat|gender=fem|num=pl _ _ _ _ gender=masc|*=True _ case=acc|gender=masc|num=pl _ _ _ _ _ _ _ _
312099418033758208	neutral	%PosSmiley Der neue Papst schafft den Google Reader ab . Das haben wir nun davon .	%PosSmiley die neu Papst schaffen die Google Reader ab . die haben wir nun davon .	ITJ ART ADJA NN VVFIN ART NN NN PTKVZ $. PDS VAFIN PPER ADV PAV $.	5/DM 4/NK 4/NK 5/SB 0/-- 7/NK 5/OA 7/NK 5/SVP 9/-- 14/OA 0/-- 12/SB 12/MO 12/NK 11/--	_ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=acc|gender=neut|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ _
311919039930851328	mixed	oh - massive Ton - und Bildaussetzer bei Rizzoli und Isles %NegSmiley Hallo , Papst ( @pontifex ) , mach das mal heile ! Danke !	oh - massiv Ton - und Bildaussetzer bei Rizzoli und Isles %NegSmiley Hallo , Papst ( @pontifex ) , machen die mal heilen ! danke !	ITJ $( ADJA NN $( KON NN APPR NN KON ADJA ITJ NN $, NN $( NN $( $, VVIMP PRELS ADV VVFIN $. PTKANT $.	4/NK 1/-- 4/NK 0/-- 4/-- 4/CD 6/CJ 4/MNR 8/NK 9/CD 13/NK 13/NK 4/APP 13/-- 13/CJ 15/-- 10/CJ 20/-- 18/-- 0/-- 23/OA 23/MO 20/OC 23/-- 0/-- 25/--	_ _ case=nom|gender=fem|num=pl|pos=True case=nom|gender=fem|num=pl _ _ case=nom|gender=masc|num=pl _ case=dat|gender=masc|num=sg _ case=acc|gender=neut|num=sg|pos=True case=acc|EmoExpression::markable_20::Uncertain=false|gender=neut|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::EmoExpression=True|num=sg|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=negative case=acc|gender=neut|num=sg _ case=acc|gender=masc|num=sg _ case=acc|gender=masc|num=sg _ _ pers=3|num=sg|tense=past|mood=ind case=acc|gender=neut|num=sg _ _ _ EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false|EmoExpression::markable_21::Intensity=medium _
311825751311798272	positive	was würde da der Papst dazu sagen ? Ich hoffe , das versetzt ihn nicht gleich in die Wechseljahre ? %PosSmiley MM	was werden da die Papst dazu sagen ? ich hoffen , die versetzen er nicht gleich in die Wechseljahr ? %PosSmiley MM	PIS VAFIN ADV ART NN PAV VVINF $. PPER VVFIN $, PDS VVFIN PPER PTKNEG ADJD APPR ART NN $. ITJ NE	2/SB 0/-- 7/MO 5/NK 7/OC 5/NK 2/OC 7/-- 10/SB 0/-- 10/-- 13/SB 10/OC 13/OA 13/NG 17/MO 13/MO 19/NK 17/NK 19/-- 13/DM 0/--	case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=subj _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg|pers=3 _ pos=True _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive case=nom|*=True|num=sg
311912675242278912	positive	sorry würde dir ja schreiben schaue aber gerade die papst wahl an und wer der neue papst ist ! %PosSmiley	sorry werden du ja schreiben schauen aber gerade die papst Wahl an und wer die neu Papst sein ! %PosSmiley	NN VAFIN PPER ADV VVINF VVFIN ADV ADV ART ADJA NN PTKVZ KON PWS ART ADJA NN VAFIN $. ITJ	2/OC 0/-- 5/DA 5/MO 2/OC 5/OC 6/MO 6/MO 11/NK 11/NK 6/OA 6/SVP 6/CD 18/SB 17/NK 17/NK 18/PD 13/CJ 18/-- 18/NK	_ pers=3|num=sg|tense=past|mood=subj case=dat|*=True|num=sg|pers=2 _ _ pers=3|num=sg|tense=pres|mood=subj _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false
311905323038425088	positive	Neuer Papst ist gewählt .. Ich bin es nicht %PosSmiley	neu Papst sein wählen .. ich sein es nicht %PosSmiley	ADJA NN VAFIN VVPP NN PPER VAFIN PPER PTKNEG ITJ	2/NK 3/SB 0/-- 3/PD 4/OA 7/SB 0/-- 7/PD 7/NG 7/NK	case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=fem|num=sg case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
311914765658255360	positive	Mal gespannt wer der neue Papst ist %PosSmiley	Mal spannen wer die neu Papst sein %PosSmiley	NN VVPP PWS ART ADJA NN VAFIN ITJ	2/MO 0/-- 7/SB 6/NK 6/NK 7/SB 2/PAR 7/NK	_ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=dat|EmoExpression::markable_25::Polarity=positive|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::EmoExpression=True|pers=3|EmoExpression::markable_25::Intensity=medium|num=sg|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false
311799961165639680	mixed	Von uns kommen die nicht %PosSmiley Wenn ' s nervt , abschalten ! Papst Konklave	von wir kommen die nicht %PosSmiley wenn ' s nerven , abschalten ! Papst Konklave	APPR PPER VVFIN ART PTKNEG ITJ KOUS $( NN VVFIN $, VVINF $. NN NN	3/MO 1/NK 0/-- 10/NK 10/NG 10/DM 10/CP 7/-- 10/OA 3/SB 10/-- 10/CJ 12/-- 0/-- 14/NK	_ case=dat|*=True|num=pl|pers=1 pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl _ EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|EmoExpression::markable_26::SubjectiveFact=false|EmoExpression::markable_26::Polarity=positive _ _ _ EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=negative|EmoExpression::markable_27::Sarcasm=false _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311931250870996992	positive	GUT %PosSmiley ein bescheidener Mann Kardinal Bergoglio ist der neue Papst Franziskus	gut %PosSmiley eine bescheiden Mann Kardinal Bergoglio sein die neu Papst Franziskus	ADJD ITJ ART ADJA NN NN NE VAFIN ART ADJA NN NE	5/MO 5/NK 5/NK 5/NK 8/SB 7/PNC 5/NK 0/-- 11/NK 11/NK 8/SB 11/NK	EmoExpression::markable_104012649::EmoExpression=True|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Sarcasm=false|EmoExpression::markable_104012649::SubjectiveFact=false|pos=True|EmoExpression::markable_104012649::Uncertain=false|Sentiment::markable_30::Intensity=medium|EmoExpression::markable_104012649::Intensity=medium|EmoExpression::markable_104012649::Sarcasm=false|Sentiment::markable_30::Polarity=positive|EmoExpression::markable_104012649::Polarity=positive EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|Sentiment::markable_30::Sentiment=True|mood=ind|EmoExpression::markable_28::EmoExpression=True|pers=3|EmoExpression::markable_28::Intensity=medium|num=sg|tense=past|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::Uncertain=false case=nom|num=sg|Sentiment::markable_30::Sentiment=True|gender=masc|Target::markable_31::Target=True|Target::markable_31::Preferred=true|Target::markable_31::Anaphref=empty case=nom|Target::markable_31::Target=True|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_32::Polarity=positive|gender=masc|pos=True|EmoExpression::markable_32::EmoExpression=True|num=sg|EmoExpression::markable_32::Intensity=medium|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false case=nom|gender=masc|Target::markable_31::Target=True|num=sg|Sentiment::markable_30::Sentiment=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311925424299057154	neutral	* ACHTUNG %PosSmiley Papst - erste Rede ! Der neue Papst tritt vor das Volk :	* Achtung %PosSmiley Papst - erst Rede ! die neu Papst treten vor die Volk :	XY NN ITJ NN $( ADJA NN $. ART ADJA NN VVFIN APPR ART NN $.	2/NK 7/CJ 4/NK 2/NK 4/-- 7/NK 0/-- 7/-- 11/NK 11/NK 12/SB 0/-- 12/MO 15/NK 13/NK 15/--	_ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _
