322366239513141248	positive	ja das stimmt , aber bislang habe ich dich auch noch nicht auf ein foto gesehen %PosSmiley	ja die stimmen , aber bislang haben ich du auch noch nicht auf eine Foto sehen %PosSmiley	ADV PDS VVFIN $, KON ADV VAFIN PPER PPER ADV ADV PTKNEG APPR ART NN VVPP ITJ	2/MO 3/SB 0/-- 3/-- 3/CD 16/MO 5/CJ 7/SB 16/OA 12/MO 12/MO 16/NG 16/MO 15/NK 13/NK 7/OC 16/NK	_ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=acc|gender=neut|num=sg|pers=3 _ _ _ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
328199569202618368	positive	ich werde versuchen , damit klarzukommen %PosSmiley	ich werden versuchen , damit klarkommen %PosSmiley	PPER VAFIN VVINF $, PAV VVIZU ITJ	2/SB 0/-- 2/OC 3/-- 6/NK 3/OC 6/NK	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ _ _ EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True
322408110226538496	positive	na siehst du , ist doch schon fast alles %PosSmiley %PosSmiley	na sehen du , sein doch schon fast alle %PosSmiley %PosSmiley	ITJ VVFIN PPER $, VAFIN ADV ADV ADV PIS ITJ ITJ	2/DM 0/-- 2/SB 3/-- 2/OC 5/MO 5/MO 9/MO 5/SB 11/NK 5/NK	_ pers=2|num=sg|tense=pres|mood=ind *=True _ pers=3|num=sg|tense=pres|mood=ind _ _ _ case=acc|gender=neut|num=sg EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True
327510965354627072	positive	aus München komm ich ! Aber ich wohn jetzt in Montreal %PosSmiley	aus München kommen ich ! aber ich wohnen jetzt in Montreal %PosSmiley	APPR NE VVIMP PPER $. KON PPER VVIMP ADV APPR NE ITJ	3/MO 1/NK 0/-- 3/UC 4/-- 10/JU 10/SB 7/NK 8/MO 0/-- 10/NK 10/MO	_ case=dat|gender=neut|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=dat|gender=neut|num=sg EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
323813304894103552	positive	i has nid gseh , aber %PosSmiley gnüg tue mit lüt wo s'gfühl hän e HR yytrag eröffni ihres persönliche eldorado %PosSmiley	i has nid gseh , aber %PosSmiley gnüg tun mit lüt wo s'gfühl hän e HR yytrag eröffni ihr persönlich eldorado %PosSmiley	FM FM NE NE $, ADV ITJ ADJD VVFIN APPR NN PWAV NN ADJD ADJA NE NN NE PPOSAT ADJA NN ITJ	2/NK 9/MO 0/PNC 2/APP 4/-- 8/MO 8/DM 9/MO 0/-- 9/MO 10/NK 15/MO 15/SB 15/MO 6/CJ 17/NK 15/SB 17/NK 21/NK 21/NK 11/AG 11/NK	_ _ _ _ _ _ _ pos=True pers=3|num=sg|tense=pres|mood=subj _ case=dat|gender=fem|num=sg _ case=dat|gender=fem|num=sg _ _ _ case=acc|gender=masc|num=sg _ case=gen|gender=masc|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg EmoExpression::markable_6::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Polarity=positive|EmoExpression::markable_6::EmoExpression=True
323834802757332992	positive	Da ist auch die nächste Folge vom KSV. Heute in der Europa League gegen die Queen es Park Rangers %PosSmiley ...	da sein auch die nah Folge von KSV. heute in die Europa League gegen die Queen es Park Rangers %PosSmiley ...	ADV VAFIN ADV ART ADJA NN APPRART NN ADV APPR ART NE NE APPR ART NN PPER NN NN ITJ $.	2/MO 0/-- 6/MO 6/NK 6/NK 2/SB 6/MNR 7/NK 2/MO 2/MO 13/NK 13/PNC 10/NK 2/MO 16/NK 14/NK 2/EP 2/PD 18/NK 19/NK 19/--	_ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl case=nom|gender=neut|num=sg|pers=3 case=nom|gender=masc|num=sg case=gen|gender=masc|num=sg case=gen|EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|gender=masc|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive|num=sg _
323568753000468481	mixed	Fuck my life ich habe nur noch 10 Minuten Internet , aber würde gerne die ganze Nacht durch James Arthur hören . %NegSmiley	Fuck my life ich haben nur noch 10 Minute Internet , aber werden gerne die ganz Nacht durch James Arthur hören . %NegSmiley	NN NE VVFIN PPER VAFIN ADV ADV CARD NN NN $, KON VAFIN ADV ART ADJA NN APPR NE NE VVFIN $. ITJ	3/MO 1/NK 0/-- 5/SB 3/OC 8/MO 8/MO 9/NK 5/OA 9/NK 10/-- 5/CD 12/CJ 21/MO 17/NK 17/NK 21/OA 21/MO 20/PNC 18/NK 13/OC 21/-- 0/NK	EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=negative|Sentiment::markable_8::Intensity=strong|Sentiment::markable_8::Sentiment=True|EmoExpression::markable_9::SubjectiveFact=false|Sentiment::markable_8::Sarcasm=false|EmoExpression::markable_9::Intensity=strong|EmoExpression::markable_9::Sarcasm=false|Sentiment::markable_8::Polarity=negative|EmoExpression::markable_9::EmoExpression=True Sentiment::markable_8::Sentiment=True|EmoExpression::markable_9::EmoExpression=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_8::Sentiment=True|EmoExpression::markable_9::EmoExpression=True case=nom|Target::markable_10::Anaphref=empty|Source::markable_12::Anaphref=empty|Target::markable_10::Target=True|Source::markable_12::Source=True|*=True|Sentiment::markable_8::Sentiment=True|pers=1|num=sg|Target::markable_10::Preferred=true pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_8::Sentiment=True|Target::markable_10::Target=True Sentiment::markable_8::Sentiment=True|Target::markable_10::Target=True Sentiment::markable_8::Sentiment=True|Target::markable_10::Target=True Sentiment::markable_8::Sentiment=True|Target::markable_10::Target=True case=acc|gender=fem|num=pl|Target::markable_10::Target=True|Sentiment::markable_8::Sentiment=True case=nom|gender=fem|num=sg|Target::markable_10::Target=True|Sentiment::markable_8::Sentiment=True _ _ Sentiment::markable_100500206::Polarity=positive|mood=subj|Sentiment::markable_100500206::Intensity=medium|Sentiment::markable_100500206::Sarcasm=false|Sentiment::markable_100500206::Sentiment=True|pers=3|num=sg|tense=past EmoExpression::markable_100500207::Intensity=medium|EmoExpression::markable_100500207::SubjectiveFact=false|EmoExpression::markable_100500207::EmoExpression=True|EmoExpression::markable_100500207::Polarity=positive|Sentiment::markable_100500206::Sentiment=True|EmoExpression::markable_100500207::Sarcasm=false|EmoExpression::markable_100500207::Uncertain=false case=acc|num=sg|Target::markable_100500208::Target=True|Target::markable_100500208::Preferred=true|gender=fem|Target::markable_100500208::Anaphref=empty|Sentiment::markable_100500206::Sentiment=True case=acc|num=sg|Target::markable_100500208::Target=True|gender=fem|pos=True|Sentiment::markable_100500206::Sentiment=True case=acc|gender=fem|num=sg|Target::markable_100500208::Target=True|Sentiment::markable_100500206::Sentiment=True Target::markable_100500208::Target=True|Sentiment::markable_100500206::Sentiment=True case=acc|gender=neut|num=sg|Target::markable_100500208::Target=True|Sentiment::markable_100500206::Sentiment=True case=acc|gender=neut|num=sg|Target::markable_100500208::Target=True|Sentiment::markable_100500206::Sentiment=True Target::markable_100500208::Target=True|Sentiment::markable_100500206::Sentiment=True Sentiment::markable_100500206::Sentiment=True EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=negative|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false|Sentiment::markable_100500206::Sentiment=True
328038483472035840	positive	Sowas sehen sonst nur Laudatoren . Und ich natürlich %PosSmiley DeutscherFilmpreis2013 Morgen Vormittag in %User ...	sowas sehen sonst nur Laudator . und ich natürlich %PosSmiley DeutscherFilmpreis2013 Morgen Vormittag in %User ...	PIS VVFIN ADV ADV NN $. KON PPER ADV ITJ CARD NN NN APPR NE $.	2/SB 0/-- 2/MO 5/MO 2/OA 5/-- 12/JU 12/NK 8/MO 12/NK 12/NK 0/-- 12/NK 12/MNR 14/NK 15/--	_ _ _ _ case=nom|gender=masc|num=pl _ _ case=nom|*=True|num=sg|pers=1 _ EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|pos=True|EmoExpression::markable_13::SubjectiveFact=false _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|gender=neut|num=sg _
322462276546342912	positive	dann Checks ich trotzdem nicht %PosSmiley %PosSmiley	dann Checks ich trotzdem nicht %PosSmiley %PosSmiley	ADV NN PPER PAV PTKNEG ITJ ITJ	2/MO 0/-- 2/SB 5/NK 2/NG 7/NK 2/NK	_ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True EmoExpression::markable_15::Polarity=positive|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false
322327651975049216	positive	Stadtwerke .. Hatte vergessen , nach Umzug die Endabrechnung zu begleichen %PosSmiley ... Direkt mal bezahlt . Sonst kommt Dog .. Mit seiner Frau ... %PosSmiley	Stadtwerk .. haben vergessen , nach Umzug die Endabrechnung zu begleichen %PosSmiley ... Direkt mal bezahlen . sonst kommen Dog .. mit sein Frau ... %PosSmiley	NN NN VAFIN VVPP $, APPR NN ART NN PTKZU VVINF ITJ $. NN ADV VVPP $. ADV VVFIN NE NN APPR PPOSAT NN $. ITJ	0/-- 1/NK 0/-- 3/OC 4/-- 11/MO 6/NK 9/NK 11/OA 11/PM 12/NK 4/NK 11/-- 0/-- 16/MO 14/OC 16/-- 19/MO 0/-- 21/PNC 19/SB 0/-- 24/NK 22/NK 24/-- 0/NK	case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl pers=3|num=sg|tense=past|mood=ind _ _ _ case=dat|gender=masc|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium _ pos=True _ _ _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium
322364993779683328	positive	Ja ! %PosSmiley Ein Traum das nicht realität sein kann %NegSmiley ' Ich will Trauemen ' - Neon Doge es %PosSmiley	Ja ! %PosSmiley eine Traum die nicht realität sein können %NegSmiley ' ich wollen Trauemen ' - Neon Doge es %PosSmiley	NN $. ITJ ART NN PDS PTKNEG ADJD VAINF VMFIN ITJ $( PPER VMFIN NN $( $( NN NN PPER ITJ	0/-- 1/-- 2/NK 5/NK 10/SB 9/PD 9/NG 9/PD 10/OC 0/-- 18/NK 11/-- 14/SB 18/PAR 14/OA 15/-- 16/-- 10/SB 18/NK 10/EP 10/DM	_ _ EmoExpression::markable_100500210::Polarity=positive|EmoExpression::markable_100500210::Sarcasm=false|EmoExpression::markable_100500210::Uncertain=false|EmoExpression::markable_100500210::Intensity=medium|EmoExpression::markable_100500210::SubjectiveFact=false|EmoExpression::markable_100500210::EmoExpression=True case=nom|Sentiment::markable_18::Sarcasm=false|Target::markable_20::Target=True|gender=neut|Sentiment::markable_18::Intensity=medium|num=sg|Sentiment::markable_18::Sentiment=True|Sentiment::markable_18::Polarity=positive|Target::markable_20::Anaphref=empty|Target::markable_20::Preferred=true case=nom|gender=neut|num=sg|Sentiment::markable_18::Sentiment=True|Target::markable_20::Target=True case=nom|gender=neut|num=sg|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True pos=True|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_18::Sentiment=True EmoExpression::markable_19::EmoExpression=True|EmoExpression::markable_19::Uncertain=false|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=negative|Sentiment::markable_18::Sentiment=True _ case=nom|Sentiment::markable_100500211::Sarcasm=false|Sentiment::markable_100500211::Sentiment=True|*=True|Sentiment::markable_100500211::Intensity=medium|Source::markable_100500212::Source=True|pers=1|num=sg|Sentiment::markable_100500211::Polarity=positive|Source::markable_100500212::Anaphref=empty EmoExpression::markable_100500213::SubjectiveFact=false|EmoExpression::markable_100500213::Intensity=medium|EmoExpression::markable_100500213::Sarcasm=false|mood=ind|Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_100500213::EmoExpression=True|EmoExpression::markable_100500213::Uncertain=false|pers=1|EmoExpression::markable_100500213::Polarity=positive|num=sg|tense=pres case=acc|EmoExpression::markable_100500297::Intensity=medium|Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_100500297::Sarcasm=false|Target::markable_100500214::Preferred=true|gender=neut|Target::markable_100500214::Anaphref=empty|EmoExpression::markable_100500297::SubjectiveFact=false|EmoExpression::markable_100500297::Polarity=positive|num=pl|EmoExpression::markable_100500297::Uncertain=true|Target::markable_100500214::Target=True|EmoExpression::markable_100500297::EmoExpression=True Sentiment::markable_100500211::Sentiment=True _ gender=masc|*=True case=nom|gender=fem|num=sg case=acc|gender=neut|num=sg|pers=3 _
323910410434654209	positive	Leute auf die man sich verlassen kann . %PosSmiley %Link	Leute auf die man sich verlassen können . %PosSmiley %Link	NN APPR ART PIS PRF VVINF VMFIN $. ITJ XY	0/-- 1/MNR 2/NK 7/SB 6/OA 7/OC 3/RC 7/-- 10/NK 0/--	case=nom|Sentiment::markable_21::Sarcasm=false|Target::markable_22::Target=True|Sentiment::markable_21::Intensity=medium|*=True|Target::markable_22::Preferred=true|num=pl|Sentiment::markable_21::Polarity=positive|Sentiment::markable_21::Sentiment=True|Target::markable_22::Anaphref=empty Sentiment::markable_21::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_21::Sentiment=True case=nom|*=True|num=sg|Sentiment::markable_21::Sentiment=True case=acc|EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::Uncertain=false|pers=3|num=sg|EmoExpression::markable_23::EmoExpression=True|Sentiment::markable_21::Sentiment=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Sarcasm=false EmoExpression::markable_23::EmoExpression=True|Sentiment::markable_21::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|EmoExpression::markable_23::EmoExpression=True|Sentiment::markable_21::Sentiment=True Sentiment::markable_21::Sentiment=True Target::markable_100500225::Target=True|Target::markable_100500225::Preferred=true|Sentiment::markable_21::Sentiment=True|Target::markable_100500225::Anaphref=empty _
