311914253751836672	positive	Ich bi so ufgregt !! Wer isch jetzt de neui Papst ?? :))	ich bi so ufgregt !! wer isch jetzt de neui Papst ?? :))	PPER VVFIN ADV ADJA NN PWS VVFIN ADV NE ADJA NN ADJA NN	2/SB 0/-- 4/MO 5/NK 2/OA 7/SB 5/-- 7/MO 11/AG 11/NK 7/OA 11/NK 12/--	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ mood=ind|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|pers=3|num=sg|tense=pres|EmoExpression::markable_1::Intensity=medium|EmoExpression::markable_1::SubjectiveFact=false case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=ind _ case=nom|*=True|num=sg case=acc|*=True|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg|pos=True EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True
311920779350650880	positive	@schwan Och lass mal , ich hole mir demnächst die Papst - Tasse ;-) .	@schwan Och laß mal , ich holen ich demnächst die Papst - Tasse ;-) .	NN NN ADJD ADV $, PPER VVFIN PPER ADV ART NN $( NN $( $.	0/-- 3/NK 7/PD 3/MO 4/-- 7/SB 1/-- 7/DA 7/MO 11/NK 7/OA 11/-- 11/CJ 13/-- 14/--	case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg _ _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=dat|*=True|num=sg|pers=1 _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg case=nom|EmoExpression::markable_3::EmoExpression=True|gender=fem|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Intensity=medium|num=sg|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Uncertain=false _
311918802801659904	positive	Der #Papst heißt also #Francisco und ist 77 ... Ich glaub nicht mal an die #Kirche ... :) Spricht auch deutsch ... ;)	die #Papst heißen also #Francisco und sein @card@ ... ich glauben nicht mal an die #Kirche ... :) sprechen auch deutsch ... ;)	ART NN VVFIN ADV NN KON VAFIN CARD $. PPER VVIMP PTKNEG ADV APPR ART NN $. ADJD VVFIN ADV ADJD $. ADJA	2/NK 3/SB 0/-- 3/MO 3/OA 3/CD 6/CJ 5/NK 8/-- 7/SB 10/NK 7/NG 12/MO 7/MO 16/NK 14/NK 16/-- 19/MO 17/-- 19/MO 19/MO 21/-- 22/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|*=True|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Intensity=medium|pos=True|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True Target::markable_8::Target=True|mood=ind|Sentiment::markable_7::Intensity=medium|Target::markable_8::Anaphref=empty|Target::markable_8::Preferred=true|pers=3|Sentiment::markable_7::Polarity=positive|num=sg|tense=pres|Sentiment::markable_7::Sentiment=True|Sentiment::markable_7::Sarcasm=false Target::markable_8::Target=True|Sentiment::markable_7::Sentiment=True Target::markable_8::Target=True|pos=True|Sentiment::markable_7::Sentiment=True Sentiment::markable_7::Sentiment=True EmoExpression::markable_6::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|Sentiment::markable_7::Sentiment=True|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Polarity=positive|EmoExpression::markable_6::EmoExpression=True
311909498614849536	positive	“100 % Wahlbeteiligung ! #Papst ” und ein Mann wird ' s auch… . jaja. die Spannung steigt . Ich bin ja immer noch für einen Afrikaner :)	“100 % Wahlbeteiligung ! #Papst ” und eine Mann werden ' s auch… . jaja. die Spannung steigen . ich sein ja immer noch für eine Afrikaner :)	CARD NN NN $. NN ADJD KON ART NN VAFIN $( NN VVFIN $. NE ART NN VVFIN $. PPER VAFIN ADV ADV ADV APPR ART NN ADJA	2/NK 0/-- 2/NK 3/-- 6/MO 12/NK 6/CD 9/NK 10/SB 7/CJ 10/-- 13/OA 4/-- 13/-- 18/SB 17/NK 18/OA 13/SB 18/-- 21/SB 19/-- 21/MO 24/MO 21/MO 28/MO 27/NK 25/NK 21/PD	_ gender=neut|*=True case=nom|gender=fem|num=sg _ _ pos=True _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=subj _ case=nom|*=True|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|Source::markable_12::Anaphref=empty|Sentiment::markable_9::Intensity=medium|Source::markable_12::Source=True|*=True|pers=1|num=sg|Sentiment::markable_9::Sentiment=True|Sentiment::markable_9::Sarcasm=false|Sentiment::markable_9::Polarity=positive pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_9::Sentiment=True Sentiment::markable_9::Sentiment=True Sentiment::markable_9::Sentiment=True Sentiment::markable_9::Sentiment=True EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false|Sentiment::markable_9::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_9::Sentiment=True case=acc|Target::markable_11::Anaphref=empty|num=sg|Target::markable_11::Preferred=true|Sentiment::markable_9::Sentiment=True|gender=masc|Target::markable_11::Target=True case=acc|EmoExpression::markable_10::Intensity=medium|gender=masc|pos=True|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::Uncertain=false|num=sg|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|Sentiment::markable_9::Sentiment=True|EmoExpression::markable_10::SubjectiveFact=false
311929261797822465	mixed	Meine TL hängt im Glaubenskrieg zwischen Papst und Fußball ... jedem bitte seine Religion ;-)	mein TL hängen in Glaubenskrieg zwischen Papst und Fußball ... jede bitten sein Religion ;-)	PPOSAT NE VVFIN APPRART NN APPR NN KON NN $. PIS VVFIN PPOSAT NN $(	2/NK 3/SB 0/-- 3/MO 4/NK 5/MNR 6/NK 7/CD 8/CJ 9/-- 12/SB 10/-- 14/NK 12/OA 14/--	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=dat|gender=masc|num=sg case=dat|gender=masc|EmoExpression::markable_104014819::Polarity=negative|EmoExpression::markable_104014819::Sarcasm=true|num=sg|EmoExpression::markable_104014819::Uncertain=false|EmoExpression::markable_104014819::Intensity=medium|EmoExpression::markable_104014819::SubjectiveFact=false|EmoExpression::markable_104014819::EmoExpression=True _ case=dat|gender=masc|num=sg _ case=dat|gender=masc|num=sg _ case=dat|gender=masc|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True
311915526068789248	positive	Bin seit dem Disney - Club Antje Pieper - Fan :-) @ZDF @ZDFheute #papst #habemuspapam	sein seit die Disney - Club Antje Pieper - Fan :-) @ZDF @ZDFheute #papst #habemuspapam	VAFIN APPR ART NE $( NN NE NE $( NN $( NN ADJA NN NN	0/-- 1/MO 4/NK 2/NK 4/-- 4/PAR 8/PNC 6/NK 8/-- 1/SB 10/-- 10/CJ 12/-- 13/-- 14/NK	case=gen|Sentiment::markable_15::Intensity=medium|Sentiment::markable_15::Sarcasm=false|gender=fem|pers=3|num=sg|Sentiment::markable_15::Polarity=positive|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_15::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_15::Sentiment=True case=dat|Target::markable_16::Target=True|gender=masc|Target::markable_16::Anaphref=empty|pos=True|num=sg|Sentiment::markable_15::Sentiment=True|Target::markable_16::Preferred=true case=dat|gender=masc|num=sg|Target::markable_16::Target=True|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True case=nom|EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|gender=masc|num=sg|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium case=nom|EmoExpression::markable_18::EmoExpression=True|gender=masc|EmoExpression::markable_18::Intensity=medium|num=sg|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false case=nom|gender=masc|num=sg case=nom|gender=masc|num=pl|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311918052868493313	negative	Neeeein ! : oo Er ist nicht der Schwarze :( #unfair #papst #zdf	Neeeein ! : oo er sein nicht die schwarz :( #unfair #papst #zdf	NN $. $. VVIMP PPER VAFIN PTKNEG ART ADJA NN ADJA NN NE	0/-- 1/-- 4/-- 12/NK 6/SB 2/-- 6/NG 10/NK 10/NK 6/PD 12/NK 10/AG 12/NK	case=nom|EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|gender=masc|EmoExpression::markable_22::EmoExpression=True|num=sg|EmoExpression::markable_22::SubjectiveFact=false|Sentiment::markable_19::Sarcasm=false|Sentiment::markable_19::Polarity=negative|EmoExpression::markable_22::Polarity=negative|Sentiment::markable_19::Intensity=strong|Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True|EmoExpression::markable_22::EmoExpression=True Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True case=nom|Target::markable_20::Target=True|gender=masc|pers=3|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Anaphref=markable_21|Target::markable_20::Preferred=true pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True case=nom|gender=masc|num=sg|pos=True|Sentiment::markable_19::Sentiment=True case=nom|EmoExpression::markable_25::Polarity=negative|gender=masc|EmoExpression::markable_25::EmoExpression=True|EmoExpression::markable_25::Intensity=medium|num=sg|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false case=nom|EmoExpression::markable_24::Sarcasm=false|gender=masc|pos=True|EmoExpression::markable_24::Intensity=medium|num=sg|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=negative|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false case=nom|num=sg|Target::markable_21::Target=True|Target::markable_21::Anaphref=empty|gender=masc|Target::markable_21::Preferred=true case=nom|gender=masc|num=sg
311993808223080448	positive	@welt Papst Franziskus verzichtet auf die Beifügung der Ordnungszahl I. , aber es gibt ihn auch vor dem Zweiten . :-)	@welt Papst Franziskus verzichten auf die Beifügung die Ordnungszahl I. , aber es geben er auch vor die Zweite . :-)	NN NN NE VVFIN APPR ART NN ART NN NE $, KON PPER VVFIN PPER ADV APPR ART NN $. $(	0/-- 4/SB 2/NK 1/-- 4/OP 7/NK 5/NK 9/NK 7/AG 9/NK 10/-- 4/CD 14/EP 12/CJ 14/OA 17/MO 14/MO 19/NK 17/NK 19/-- 20/--	case=nom|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|*=True|num=sg _ _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg|pers=3 _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|EmoExpression::markable_26::SubjectiveFact=false|EmoExpression::markable_26::Polarity=positive
311968622652293122	positive	Ich vermute , Papst Franziskus I. hat bei der Namenswahl an Franz Beckenbauer gedacht . :-) #fcb	ich vermuten , Papst Franziskus I. haben bei die Namenswahl an Franz Beckenbauer denken|gedenken . :-) #fcb	PPER VVFIN $, NN NE NE VAFIN APPR ART NN APPR NE NE VVPP $. $( ADJA	2/SB 0/-- 2/-- 7/SB 6/PNC 4/NK 2/OC 14/MO 10/NK 8/NK 10/MNR 13/PNC 11/NK 7/OC 14/-- 17/-- 15/--	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false _
311911274625769472	positive	@HZSportTV @SPORT1 Und diskutiert , getippt + Analysiert wird bei uns :-) - aber erstmal #Papst	@HZSportTV @SPORT1 und diskutieren , tippen + analysieren werden bei wir :-) - aber erstmal #Papst	NN ADJD KON VVFIN $, VVPP KON VVPP VAFIN APPR PPER $( $( ADV ADV NN	0/-- 1/-- 4/JU 2/-- 4/-- 9/OC 6/CD 7/CJ 4/CJ 15/MO 10/NK 11/-- 12/-- 15/MO 16/NK 9/SB	_ pos=True _ pers=3|num=sg|tense=pres|mood=ind _ _ _ _ pers=3|num=sg|tense=pres|mood=ind _ case=dat|*=True|num=pl|pers=1 EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false _ _ _ case=acc|gender=masc|num=sg
311950055181520897	positive	RT @Sebastien_Ferre : @_Goulven_ Sei nicht papstlicher als der Papst ;-)	RT @Sebastien_Ferre : @_Goulven_ sein nicht papstlicher als die Papst ;-)	NE NN $. ADJD VAFIN PTKNEG ADJA KOKOM ART NN $(	2/SB 0/-- 2/-- 3/-- 7/MO 7/NG 4/-- 10/CM 10/NK 7/CC 10/--	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ pos=True pers=3|num=sg|tense=pres|mood=subj _ comp=True _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false
