369517901734096896	positive	Piraten bei puls4 ! gleich geht los %PosSmiley %Link	Pirat bei puls4 ! gleich gehen los %PosSmiley %Link	NN APPR CARD $. ADJD VVFIN PTKVZ ITJ XY	0/-- 1/MNR 2/NK 3/-- 6/MO 0/-- 6/SVP 7/NK 7/NK	case=nom|Target::markable_4::Preferred=true|Target::markable_4::Anaphref=empty|gender=masc|Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Sarcasm=false|num=pl|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True pos=True|Sentiment::markable_1::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false _
380655300216225792	mixed	38 CDU + 6 FDP + 6 AfD hiess es heute früh . %NegSmiley Aber morgens am Bahnhof beim Verteilen sieht es nach 85% RotGrün aus . %PosSmiley	@card@ CDU + 6 FDP + 6 AfD heißen es heute früh . %NegSmiley aber morgens an Bahnhof bei Verteilen sehen es nach @card@ rotgrün aus . %PosSmiley	CARD NE KON CARD NE KON CARD NN VVFIN PPER ADV ADJD $. ITJ KON ADV APPRART NN APPRART NN VVFIN PPER APPR CARD ADJD PTKVZ $. ITJ	8/NK 1/SB 2/CD 5/NK 3/CJ 1/CD 6/CJ 9/MO 0/-- 9/EP 9/MO 9/MO 12/-- 21/DM 21/CD 17/MO 21/MO 17/NK 18/MNR 19/NK 0/-- 21/EP 21/MO 23/NK 21/MO 21/SVP 26/-- 0/NK	Target::markable_10::Anaphref=empty|Sentiment::markable_9::Intensity=medium|Target::markable_10::Preferred=true|Sentiment::markable_9::Sentiment=True|Sentiment::markable_9::Sarcasm=false|Target::markable_10::Target=True|Sentiment::markable_9::Polarity=negative case=nom|gender=fem|num=sg|Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True case=nom|gender=fem|num=sg|Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True gender=fem|*=True|Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Sentiment::markable_9::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_9::Sentiment=True|pers=3 Sentiment::markable_9::Sentiment=True pos=True|Sentiment::markable_9::Sentiment=True Sentiment::markable_9::Sentiment=True EmoExpression::markable_5::Intensity=medium|Sentiment::markable_9::Sentiment=True|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=negative Sentiment::markable_6::Polarity=positive|Sentiment::markable_6::Sentiment=True|Sentiment::markable_6::Intensity=medium|Sentiment::markable_6::Sarcasm=false Sentiment::markable_6::Sentiment=True case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|Sentiment::markable_6::Sentiment=True|num=sg|pers=3 Sentiment::markable_6::Sentiment=True Target::markable_7::Preferred=true|Sentiment::markable_6::Sentiment=True|Target::markable_7::Anaphref=empty|Target::markable_7::Target=True Sentiment::markable_6::Sentiment=True|pos=True|Target::markable_7::Target=True Sentiment::markable_6::Sentiment=True Sentiment::markable_6::Sentiment=True EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|Sentiment::markable_6::Sentiment=True|EmoExpression::markable_8::Uncertain=false
381735322511368193	positive	Ich habe den Grünen beide Stimmen gegeben . Nette Grüsse aus Flensburg %PosSmiley	ich haben die Grüne beide Stimme|Stimmen geben . nett Gruß aus Flensburg %PosSmiley	PPER VAFIN ART NN PIAT NN VVPP $. ADJA NN APPR NE ITJ	2/SB 0/-- 4/NK 7/OA 6/NK 4/AG 2/OC 7/-- 10/NK 0/-- 10/MNR 11/NK 12/NK	case=nom|Source::markable_12::Anaphref=empty|Source::markable_12::Source=True|*=True|pers=1|Sentiment::markable_11::Polarity=positive|num=sg|Sentiment::markable_11::Intensity=medium|Sentiment::markable_11::Sentiment=True|Sentiment::markable_11::Sarcasm=false pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_11::Sentiment=True case=acc|num=sg|Target::markable_13::Anaphref=empty|Target::markable_13::Preferred=true|gender=masc|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=acc|gender=masc|num=sg|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_11::Sentiment=True case=acc|EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Sarcasm=false|gender=fem|EmoExpression::markable_14::EmoExpression=True|Sentiment::markable_11::Sentiment=True|num=pl|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium Sentiment::markable_11::Sentiment=True _ case=nom|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::SubjectiveFact=false|gender=masc|pos=True|EmoExpression::markable_15::Uncertain=false|EmoExpression::markable_15::Polarity=positive|num=pl|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::Sarcasm=false case=nom|gender=masc|num=pl _ case=dat|gender=neut|num=sg case=dat|EmoExpression::markable_16::EmoExpression=True|gender=neut|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium|EmoExpression::markable_16::Polarity=positive|num=sg|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::SubjectiveFact=false
367622871226388480	positive	Es gibt natürlich den Themenübersichtsflyer , so als Zwischending noch , gell %PosSmiley %Link	Es geben natürlich die Themenübersichtsflyer , so als Zwischending noch , gell %PosSmiley %Link	NN VVFIN ADV ART NN $, ADV KOKOM NN ADV $, ITJ ITJ XY	2/SB 0/-- 2/MO 5/NK 2/OA 5/-- 8/MO 2/MO 8/NK 8/MO 10/-- 0/NK 8/NK 0/NK	case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ _ case=nom|gender=masc|num=sg _ _ _ EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium _
381812762948960256	mixed	42 %schwarz ! Rot - grün und auch rot - rot - grün ist nichts und wird auch nichts %PosSmiley Daumendrücken für die Liberalen ! btw13	@card@ %schwarz ! Rot - grün und auch rot - rot - grün sein nichts und werden auch nichts %PosSmiley Daumendruck für die Liberale ! btw13	CARD NN $. NE $( ADJD KON ADV ADJD $( ADJD $( ADJD VAFIN PIS KON VAFIN ADV PIAT ITJ NN APPR ART NN $. CARD	2/NK 0/-- 2/-- 11/SB 4/-- 4/CJ 6/CD 9/MO 7/CJ 9/-- 13/MO 11/-- 14/PD 0/-- 14/SB 14/CD 16/CJ 21/MO 21/NK 21/NK 17/SB 21/MNR 24/NK 22/NK 24/-- 0/--	_ pos=True _ case=nom|Sentiment::markable_18::Sarcasm=false|Target::markable_19::Target=True|Sentiment::markable_18::Intensity=medium|*=True|num=sg|Sentiment::markable_18::Sentiment=True|Sentiment::markable_18::Polarity=negative|Target::markable_19::Anaphref=empty|Target::markable_19::Preferred=true Target::markable_19::Target=True|Sentiment::markable_18::Sentiment=True Target::markable_19::Target=True|pos=True|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True Target::markable_20::Anaphref=empty|Sentiment::markable_18::Sentiment=True|pos=True|Target::markable_20::Preferred=true|Target::markable_20::Target=True Target::markable_20::Target=True|Sentiment::markable_18::Sentiment=True Target::markable_20::Target=True|pos=True|Sentiment::markable_18::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_18::Sentiment=True Target::markable_20::Target=True|pos=True|Sentiment::markable_18::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_18::Sentiment=True EmoExpression::markable_21::EmoExpression=True|gender=neut|*=True|EmoExpression::markable_21::Intensity=medium|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=negative|EmoExpression::markable_21::Sarcasm=false|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|gender=neut|*=True|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::EmoExpression=True|Sentiment::markable_18::Sentiment=True|EmoExpression::markable_23::Polarity=negative|EmoExpression::markable_23::Sarcasm=false case=acc|EmoExpression::markable_24::Sarcasm=false|gender=neut|EmoExpression::markable_24::Intensity=medium|num=sg|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|Sentiment::markable_18::Sentiment=True|EmoExpression::markable_24::SubjectiveFact=false case=acc|EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|gender=neut|EmoExpression::markable_26::Polarity=positive|Sentiment::markable_25::Polarity=positive|num=sg|Sentiment::markable_25::Sarcasm=false|Sentiment::markable_25::Intensity=medium|EmoExpression::markable_26::SubjectiveFact=false|Sentiment::markable_25::Sentiment=True Sentiment::markable_25::Sentiment=True case=acc|Target::markable_27::Anaphref=empty|num=pl|Target::markable_27::Preferred=true|Sentiment::markable_25::Sentiment=True|*=True|Target::markable_27::Target=True case=acc|*=True|Sentiment::markable_25::Sentiment=True|num=pl|Target::markable_27::Target=True Sentiment::markable_25::Sentiment=True _
350698135019982848	positive	Früher verbrannte Politik Hexen , heute verspricht sie dem Wähler Milliardengeschenke . Symbolpolitik gestern und heute %PosSmiley	früher verbrannt Politik Hexe|Hexen , heute versprechen sie die Wähler Milliardengeschenke . Symbolpolitik gestern und heute %PosSmiley	ADV ADJA NN NN $, ADV VVFIN PPER ART NN NN $. NN ADV KON ADV ITJ	2/MO 3/NK 7/CJ 3/NK 4/-- 7/MO 0/-- 7/SB 10/NK 7/DA 7/OA 11/-- 0/-- 13/MO 14/CD 15/CJ 14/DM	comp=True case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=pl _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pers=3 case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=acc|gender=neut|num=pl _ case=nom|gender=fem|num=sg _ _ _ EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false
374222913320124416	positive	Danke aus USA ! %PosSmiley Livestream ARDMediathek auch im Ausland %Link ab 20.15 Uhr tvduell	Dank aus USA ! %PosSmiley Livestream ARDMediathek auch in Ausland %Link ab @card@ Uhr tvduell	NN APPR NE $. ITJ NN NN ADV APPRART NN XY APPR CARD NN ADJD	0/-- 1/MNR 2/NK 3/-- 2/MO 0/-- 6/NK 12/MO 12/MO 9/NK 0/-- 15/MO 14/NK 12/NK 6/PD	EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false _ case=nom|*=True|num=pl _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg case=acc|gender=masc|num=sg _ _ gender=fem|*=True pos=True
383213928559693824	positive	" Antiautoritäre tendenzlinke Naivlibertäre " ist die treffenste Beschreibung der PPat die ich je hörte %PosSmiley %Link	" antiautoritär tendenzlinke Naivlibertäre " sein die treffenste Beschreibung die PPat die ich je hören %PosSmiley %Link	$( ADJA ADJA NN $( VAFIN ART ADJA NN ART NN PRELS PPER ADV VVFIN ITJ XY	2/-- 4/NK 4/NK 6/PD 4/-- 0/-- 9/NK 9/NK 6/SB 11/NK 9/AG 15/OA 15/SB 15/MO 9/RC 15/DM 16/NK	Sentiment::markable_31::Intensity=strong|Sentiment::markable_31::Sarcasm=false|Sentiment::markable_31::Sentiment=True|Sentiment::markable_31::Polarity=positive case=nom|EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|gender=neut|pos=True|EmoExpression::markable_35::EmoExpression=True|num=pl|EmoExpression::markable_35::SubjectiveFact=false|Sentiment::markable_31::Sentiment=True|EmoExpression::markable_35::Polarity=negative case=nom|EmoExpression::markable_36::EmoExpression=True|gender=neut|pos=True|EmoExpression::markable_36::Intensity=medium|num=pl|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|Sentiment::markable_31::Sentiment=True|EmoExpression::markable_36::Polarity=negative|EmoExpression::markable_36::Sarcasm=false case=nom|EmoExpression::markable_37::Uncertain=false|gender=neut|EmoExpression::markable_37::Sarcasm=false|Sentiment::markable_31::Sentiment=True|EmoExpression::markable_37::EmoExpression=True|num=pl|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=negative Sentiment::markable_31::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_31::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True|sup=True case=nom|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=gen|Target::markable_34::Target=True|num=sg|Target::markable_34::Anaphref=empty|gender=fem|Sentiment::markable_31::Sentiment=True|Target::markable_34::Preferred=true case=acc|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=nom|pers=1|num=sg|Source::markable_32::Source=True|*=True|Sentiment::markable_31::Sentiment=True|Source::markable_32::Anaphref=empty Sentiment::markable_31::Sentiment=True pers=1|num=sg|tense=past|mood=ind|Sentiment::markable_31::Sentiment=True Sentiment::markable_31::Sentiment=True _
370604383614304256	positive	Grösser als myLGS ? %PosSmiley Die myLGS hat von mir gerade eine 8 x10m grosse orange Plane geschenkt bekommen %PosSmiley PIRATEN DresdenOrange	groß als myLGS ? %PosSmiley die myLGS haben von ich gerade eine 8 x10m groß orange Plane schenken bekommen %PosSmiley Pirat DresdenOrange	ADJD KOKOM NN $. ITJ ART NN VAFIN APPR PPER ADV ART CARD ADJA ADJA ADJA NN VVPP VVPP ITJ NN NN	5/NK 3/CM 1/CC 3/-- 0/NK 7/NK 8/SB 0/-- 19/SBP 9/NK 17/MO 17/NK 14/MO 17/NK 17/NK 17/NK 18/OA 19/OC 8/OC 21/NK 19/SB 19/OA	comp=True _ case=nom|gender=fem|num=sg _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|*=True|num=sg|pers=1 _ case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ _ EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|EmoExpression::markable_39::Polarity=positive|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg
355241171917864961	positive	Momentan brauchen wir Geld %PosSmiley Also diese Spendenplattform sharen , mit Tag Neiwahlen : ...	momentan brauchen wir Geld %PosSmiley also dies Spendenplattform sharen , mit Tag Neiwahlen : ...	ADJD VVFIN PPER NN ITJ ADV PDAT NN VVFIN $, APPR NN NN $. $.	2/MO 0/-- 2/SB 2/OA 4/NK 2/MO 8/NK 9/OA 2/OC 9/-- 9/MO 11/NK 12/NK 13/-- 14/--	pos=True pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|gender=neut|num=sg case=acc|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::SubjectiveFact=false|gender=neut|EmoExpression::markable_40::Sarcasm=false|num=sg|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::Polarity=positive _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg pers=3|num=pl|tense=pres|mood=ind _ _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True _ _
371723710790909952	positive	ja , tut er bei mir . Natürlich nicht jeden Tag und ich habe noch Wasser und grünen Tee dazu %PosSmiley	ja , tun er bei ich . natürlich nicht jede Tag und ich haben noch Wasser und grün Tee dazu %PosSmiley	ADV $, VVFIN PPER APPR PPER $. ADV PTKNEG PIAT NN KON PPER VAFIN ADV NN KON ADJA NN PAV ITJ	3/MO 1/-- 0/-- 3/SB 3/MO 5/NK 6/-- 11/MO 11/NG 11/NK 0/-- 11/CD 14/SB 12/CJ 16/MO 14/OA 16/CD 19/NK 17/CJ 16/NK 16/NK	_ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 _ case=dat|*=True|num=sg|pers=1 _ _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=acc|gender=neut|num=sg _ case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg _ EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|EmoExpression::markable_41::SubjectiveFact=false|EmoExpression::markable_41::Polarity=positive|EmoExpression::markable_41::Sarcasm=false
