311924950309163010	positive	Neuer Papst sogar ein sehr netter !! :) ich freue mich auf seine Tätigkeiten	neu Papst sogar eine sehr nett !! :) ich freuen ich auf sein Tätigkeit	ADJA NN ADV ART ADV ADJA ADJA NN PPER VVFIN PRF APPR PPOSAT NN	2/NK 0/-- 6/MO 6/NK 6/MO 7/PD 2/AG 10/VO 10/SB 7/-- 10/OA 10/OP 14/NK 12/NK	case=nom|Target::markable_2::Preferred=true|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Sarcasm=false|num=sg|Target::markable_2::Anaphref=empty|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|Target::markable_2::Target=True case=nom|gender=masc|num=sg|Target::markable_2::Target=True|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_1::Sentiment=True Intensifier::markable_4::EmoExpressionRef=emo-expression:markable_3|Intensifier::markable_4::Intensifier=True|Intensifier::markable_4::Degree=medium|Sentiment::markable_1::Sentiment=True case=nom|EmoExpression::markable_3::EmoExpression=True|gender=masc|EmoExpression::markable_3::SubjectiveFact=false|pos=True|EmoExpression::markable_3::Sarcasm=false|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_3::Intensity=medium|num=sg|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Uncertain=false case=nom|gender=masc|num=sg|pos=True|Sentiment::markable_1::Sentiment=True EmoExpression::markable_5::Intensity=medium|mood=subj|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|Sentiment::markable_1::Sentiment=True|pers=1|num=sg|tense=past|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::Polarity=positive case=nom|Sentiment::markable_6::Polarity=positive|Source::markable_7::Anaphref=empty|Sentiment::markable_6::Sentiment=True|*=True|Sentiment::markable_6::Sarcasm=false|pers=1|Sentiment::markable_6::Intensity=medium|num=sg|Source::markable_7::Source=True EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::EmoExpression=True|num=sg|tense=pres|EmoExpression::markable_10408073::Uncertain=false|EmoExpression::markable_10408073::EmoExpression=True|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_10408073::SubjectiveFact=false|mood=ind|EmoExpression::markable_10408073::Intensity=medium|EmoExpression::markable_10408073::Polarity=positive|EmoExpression::markable_8::Uncertain=false|EmoExpression::markable_10408073::Sarcasm=false|pers=1|EmoExpression::markable_8::Sarcasm=false|Sentiment::markable_6::Sentiment=True case=acc|pers=1|EmoExpression::markable_8::EmoExpression=True|num=sg|Sentiment::markable_6::Sentiment=True Sentiment::markable_6::Sentiment=True case=acc|num=pl|Target::markable_9::Target=True|Target::markable_9::Anaphref=empty|gender=fem|Sentiment::markable_6::Sentiment=True|Target::markable_9::Preferred=true case=acc|gender=fem|Sentiment::markable_6::Sentiment=True|num=pl|Target::markable_9::Target=True
311932740620673024	positive	@saitam nix da Hochzeit gibt es bei den katholen nur für hetros . Daher keine weisse Kutsche für weiss kittel #papst #franziskus :-)	@saitam nix da Hochzeit geben es bei die katholen nur für hetros . daher keine weiß Kutsche für weiß kittel #papst #franziskus :-)	NN PIS ADV NN VVFIN PPER APPR ART ADJA ADV APPR NE $. PAV PIAT ADJA NN APPR ADJD ADJA NN NN $(	0/-- 5/DA 2/MO 5/OA 1/-- 5/EP 5/MO 9/NK 7/NK 11/MO 5/MO 11/NK 12/-- 17/NK 17/NK 17/NK 13/-- 17/MNR 20/MO 22/NK 22/NK 18/NK 22/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=acc|EmoExpression::markable_10408074::EmoExpression=True|EmoExpression::markable_10408074::Sarcasm=false|gender=fem|EmoExpression::markable_10408074::SubjectiveFact=true|EmoExpression::markable_10408074::Polarity=positive|EmoExpression::markable_10408074::Uncertain=false|num=sg|EmoExpression::markable_10408074::Intensity=medium pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=dat|*=True|num=pl case=dat|*=True|num=pl|pos=True _ _ case=acc|*=True|num=sg _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ pos=True pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
311918350341111809	positive	Hat der neue #Papst eigentlich auch Probezeit ? ;-) #conclave	haben die neu #Papst eigentlich auch Probezeit ? ;-) #conclave	VAFIN ART ADJA NN ADV ADV NN $. $( ADJA	0/-- 4/NK 4/NK 1/SB 1/MO 7/MO 1/OA 7/-- 10/-- 8/--	pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ case=nom|gender=fem|num=sg _ EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false case=nom|gender=fem|num=pl|pos=True
312021813037248512	negative	RT @hipsterschwein : Wieder kein Moslem als Papst . :-(	RT @hipsterschwein : wieder keine Moslem als Papst . :-(	NE NN $. ADV PIAT NN KOKOM NN $. $(	2/SB 0/-- 2/-- 6/MO 6/NK 3/-- 6/CD 7/NK 8/-- 9/--	case=nom|*=True|num=sg case=nom|Sentiment::markable_12::Sentiment=True|Source::markable_13::Anaphref=empty|Sentiment::markable_12::Sarcasm=true|*=True|Sentiment::markable_12::Polarity=negative|num=sg|Source::markable_13::Source=True|Sentiment::markable_12::Intensity=medium Sentiment::markable_12::Sentiment=True Target::markable_14::Target=True|Target::markable_14::Preferred=true|Sentiment::markable_12::Sentiment=True|Target::markable_14::Anaphref=empty case=nom|gender=masc|num=sg|Sentiment::markable_12::Sentiment=True|Target::markable_14::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_12::Sentiment=True|Target::markable_14::Target=True Target::markable_14::Target=True|Sentiment::markable_12::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_12::Sentiment=True|Target::markable_14::Target=True Sentiment::markable_12::Sentiment=True Sentiment::markable_12::Sentiment=True|EmoExpression::markable_15::Polarity=negative|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false
311845799040532480	positive	@Sissl DAS Outlook bitte ;-) So wie DAS #Gott , DAS #Papst , DAS #Microsoft . @winkelreka	@Sissl DAS Outlook bitten ;-) so wie die #Gott , die #Papst , die #Microsoft . @winkelreka	NN NE NE VVFIN $( ADV KOKOM ART NN $, PRELS NN $, PRELS NE $. NN	0/-- 3/PNC 1/-- 3/OC 4/-- 4/MO 9/CM 9/NK 6/CC 9/-- 12/NK 9/APP 12/-- 15/NK 12/APP 15/-- 16/--	case=nom|gender=neut|num=sg *=True case=nom|*=True|num=sg _ EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=nom|*=True|num=sg _ case=nom|gender=neut|num=sg
311914467829108737	positive	@cestlisa_ ein junger , schwarzer , moderner Papst :-)	@cestlisa_ eine jung , schwarz , modern Papst :-)	NN ART ADJA $, ADJA $, ADJA NN $(	0/-- 8/NK 8/NK 3/-- 3/CJ 5/-- 5/CJ 1/-- 8/--	_ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True _ case=nom|gender=masc|num=sg|pos=True _ case=nom|EmoExpression::markable_10408075::SubjectiveFact=true|gender=masc|EmoExpression::markable_10408075::Uncertain=false|pos=True|num=sg|EmoExpression::markable_10408075::Intensity=medium|EmoExpression::markable_10408075::Sarcasm=false|EmoExpression::markable_10408075::EmoExpression=True|EmoExpression::markable_10408075::Polarity=positive case=nom|gender=masc|num=sg EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium
311920656914735104	mixed	Der Papst sieht aber putzig aus . Ich mag ihn . Auch wenn mir die Kirche schnurz ist . :) #HabemusPapam #pope	die Papst sehen aber putzig aus . ich mögen er . auch wenn ich die Kirche schnurz sein . :) #HabemusPapam #pope	ART NN VVFIN ADV ADJD PTKVZ $. PPER VMFIN PPER $. ADV KOUS PPER ART NN VVPP VAFIN $. ADJA NN NN	2/NK 3/SB 0/-- 3/MO 3/MO 3/SVP 6/-- 9/SB 7/-- 9/OA 10/-- 18/MO 18/CP 17/DA 16/NK 18/SB 18/PD 11/-- 18/-- 21/NK 19/-- 21/NK	case=nom|Target::markable_19::Target=True|Sentiment::markable_18::Sarcasm=false|gender=masc|Sentiment::markable_18::Intensity=medium|num=sg|Target::markable_19::Preferred=true|Sentiment::markable_18::Polarity=positive|Target::markable_19::Anaphref=empty|Sentiment::markable_18::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_18::Sentiment=True|Target::markable_19::Target=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Sarcasm=false|pos=True|EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True case=nom|Sentiment::markable_21::Sarcasm=false|Source::markable_22::Source=True|Sentiment::markable_21::Intensity=medium|*=True|pers=1|num=sg|Sentiment::markable_21::Polarity=positive|Source::markable_22::Anaphref=empty|Sentiment::markable_21::Sentiment=True EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|mood=ind|EmoExpression::markable_23::Uncertain=false|pers=1|num=sg|tense=pres|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::EmoExpression=True|Sentiment::markable_21::Sentiment=True|EmoExpression::markable_23::Sarcasm=false case=acc|gender=masc|Target::markable_24::Anaphref=markable_19|pers=3|num=sg|Target::markable_24::Target=True|Target::markable_24::Preferred=true|Sentiment::markable_21::Sentiment=True Sentiment::markable_21::Sentiment=True Sentiment::markable_25::Sentiment=True|Sentiment::markable_25::Polarity=negative|Sentiment::markable_25::Sarcasm=false|Sentiment::markable_25::Intensity=weak Sentiment::markable_25::Sentiment=True case=dat|pers=1|num=sg|Source::markable_27::Source=True|Source::markable_27::Anaphref=empty|Sentiment::markable_25::Sentiment=True|*=True case=nom|num=sg|gender=fem|Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True|Target::markable_26::Preferred=true|Target::markable_26::Anaphref=empty case=nom|gender=fem|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_26::Target=True EmoExpression::markable_28::Intensity=weak|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=negative|EmoExpression::markable_28::EmoExpression=True|Sentiment::markable_25::Sentiment=True|EmoExpression::markable_28::Uncertain=false pers=3|Sentiment::markable_25::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_25::Sentiment=True Sentiment::markable_25::Sentiment=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg
311920496134455296	positive	Der neue Papst grüßt sie alle :)) Der Papst ist doch nur ein normaler mensch ;) @School__Haters	die neu Papst grüßen sie alle :)) die Papst sein doch nur eine normal Mensch ;) @School__Haters	ART ADJA NN VVFIN PPER PIAT NN ART NN VAFIN ADV ADV ART ADJA NN ADJA NN	3/NK 3/NK 4/SB 0/-- 4/SB 7/NK 4/MO 9/NK 10/SB 4/CJ 10/MO 15/MO 15/NK 15/NK 10/PD 17/NK 15/AG	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg EmoExpression::markable_10408076::Intensity=medium|EmoExpression::markable_10408076::Sarcasm=false|EmoExpression::markable_10408076::Uncertain=false|mood=ind|EmoExpression::markable_10408076::SubjectiveFact=false|pers=3|num=sg|tense=pres|EmoExpression::markable_10408076::EmoExpression=True|EmoExpression::markable_10408076::Polarity=positive case=acc|*=True|num=pl|pers=3 case=acc|*=True|num=pl case=acc|EmoExpression::markable_29::Intensity=medium|*=True|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Uncertain=false|num=pl|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::SubjectiveFact=false case=nom|Target::markable_31::Target=True|Target::markable_31::Preferred=true|Sentiment::markable_30::Sarcasm=false|gender=masc|Target::markable_31::Anaphref=empty|Sentiment::markable_30::Intensity=medium|num=sg|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Polarity=positive case=nom|gender=masc|Target::markable_31::Target=True|num=sg|Sentiment::markable_30::Sentiment=True pers=3|Sentiment::markable_30::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_30::Sentiment=True case=nom|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_32::Polarity=positive|gender=masc|pos=True|EmoExpression::markable_32::EmoExpression=True|EmoExpression::markable_32::Intensity=medium|num=sg|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false case=nom|gender=masc|num=sg|Sentiment::markable_30::Sentiment=True case=gen|gender=neut|num=sg|Sentiment::markable_30::Sentiment=True|pos=True case=gen|gender=neut|num=sg
311905357234573312	positive	:-) RT @onlinegott : Natürlich wurde jetzt ein neuer #Papst gefunden , schließlich wollen die Jungs raus Champions League gucken .	:-) RT @onlinegott : natürlich werden jetzt eine neu #Papst finden , schließlich wollen die Jungs raus Champions League gucken .	$( NE NN $. ADV VAFIN ADV ART ADJA NN VVPP $, ADV VMFIN ART NN ADV NN NE VVINF $.	2/-- 3/PNC 0/-- 3/-- 11/MO 4/-- 11/MO 10/NK 10/NK 6/SB 6/OC 11/-- 14/MO 6/CJ 16/NK 14/SB 14/MO 20/OA 18/AG 14/OC 20/--	EmoExpression::markable_33::Sarcasm=false|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=positive|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::Intensity=medium|EmoExpression::markable_33::SubjectiveFact=false case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ _ EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|mood=ind|EmoExpression::markable_35::EmoExpression=True|pers=3|num=pl|tense=pres|EmoExpression::markable_35::SubjectiveFact=false|Sentiment::markable_34::Sarcasm=false|Sentiment::markable_34::Sentiment=True|Sentiment::markable_34::Intensity=medium|Sentiment::markable_34::Polarity=positive|EmoExpression::markable_35::Polarity=positive case=nom|num=pl|Source::markable_36::Anaphref=empty|Sentiment::markable_34::Sentiment=True|gender=masc|Source::markable_36::Source=True case=nom|gender=masc|num=pl|Sentiment::markable_34::Sentiment=True|Source::markable_36::Source=True Sentiment::markable_34::Sentiment=True case=gen|Target::markable_37::Anaphref=empty|num=sg|Target::markable_37::Preferred=true|Target::markable_37::Target=True|Sentiment::markable_34::Sentiment=True|gender=neut case=gen|gender=neut|num=sg|Sentiment::markable_34::Sentiment=True|Target::markable_37::Target=True Sentiment::markable_34::Sentiment=True|Target::markable_37::Target=True _
311934946287689728	positive	RT @ESA_de : Bei all den hitzigen Tweets zum neuen Papst kuemmern wir uns lieber um kuehle #Nordlichter in Nord - Finnland ! :) #esaaurora # ...	RT @ESA_de : bei alle die hitzig Tweets zu neu Papst kuemmern wir wir lieb um kuehle #Nordlichter in Nord - Finnland ! :) #esaaurora # ...	NE ADJD $. APPR PIAT ART ADJA NN APPRART ADJA NN VVFIN PPER PRF ADJD APPR NN NN APPR NN $( NE $. ADJA NN XY $.	0/-- 1/PD 2/-- 12/MO 8/NK 8/NK 8/NK 4/NK 8/MNR 11/NK 9/NK 3/-- 12/SB 12/OA 12/MO 12/OP 16/NK 12/MO 18/MNR 19/NK 20/-- 20/NK 22/-- 25/NK 23/-- 25/NK 26/--	case=nom|*=True|num=sg case=nom|Sentiment::markable_38::Intensity=medium|*=True|Sentiment::markable_38::Sentiment=True|Source::markable_39::Anaphref=empty|num=sg|Sentiment::markable_38::Polarity=positive|Sentiment::markable_38::Sarcasm=false|Source::markable_39::Source=True Sentiment::markable_38::Sentiment=True Sentiment::markable_38::Sentiment=True *=True|Sentiment::markable_38::Sentiment=True case=dat|gender=fem|num=pl|Sentiment::markable_38::Sentiment=True case=gen|gender=neut|num=sg|Sentiment::markable_38::Sentiment=True|pos=True case=gen|gender=neut|num=sg|Sentiment::markable_38::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True|pos=True case=dat|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|mood=ind|EmoExpression::markable_40::SubjectiveFact=false|Sentiment::markable_38::Sentiment=True|pers=1|num=pl|tense=pres|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::Polarity=positive case=nom|*=True|num=pl|Sentiment::markable_38::Sentiment=True|pers=1 case=acc|pers=1|num=pl|Sentiment::markable_38::Sentiment=True|EmoExpression::markable_40::EmoExpression=True Sentiment::markable_38::Sentiment=True EmoExpression::markable_40::EmoExpression=True|Sentiment::markable_38::Sentiment=True case=acc|Target::markable_41::Anaphref=empty|num=pl|gender=masc|Target::markable_41::Preferred=true|Sentiment::markable_38::Sentiment=True|Target::markable_41::Target=True case=acc|gender=masc|num=pl|Sentiment::markable_38::Sentiment=True|Target::markable_41::Target=True Sentiment::markable_38::Sentiment=True|Target::markable_41::Target=True case=dat|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True|Target::markable_41::Target=True Sentiment::markable_38::Sentiment=True|Target::markable_41::Target=True case=nom|gender=neut|num=sg|Sentiment::markable_38::Sentiment=True|Target::markable_41::Target=True Sentiment::markable_38::Sentiment=True EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|Sentiment::markable_38::Sentiment=True|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _
311955254566584320	positive	OSTERN ist gerettet : Wir haben einen neuen #Papst - und auch unser #Gewinnspiel mit süßem Osterhasen läuft noch ! :-) http://t.co/bHZe7DNsdF	Ostern sein retten : wir haben eine neu #Papst - und auch unser #Gewinnspiel mit süß Osterhase laufen noch ! :-) http://t.co/bHZe7DNsdF	NN VAFIN VVPP $. PPER VAFIN ART ADJA NN $( KON ADV PPOSAT NN APPR ADJA NN VVFIN ADV $. $( NE	2/SB 0/-- 2/PD 3/-- 6/SB 2/CJ 9/NK 9/NK 6/OA 9/-- 6/CD 14/MO 14/NK 18/SB 14/MNR 17/NK 15/NK 11/CJ 18/MO 19/-- 22/-- 20/--	case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_10408079::Intensity=medium|EmoExpression::markable_10408079::EmoExpression=True|EmoExpression::markable_10408079::Polarity=positive|EmoExpression::markable_10408079::Uncertain=false|EmoExpression::markable_10408079::Sarcasm=false|EmoExpression::markable_10408079::SubjectiveFact=false _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ _ Sentiment::markable_44::Sarcasm=false|Sentiment::markable_44::Sentiment=True|Sentiment::markable_44::Polarity=positive|Sentiment::markable_44::Intensity=medium case=nom|num=sg|Target::markable_45::Preferred=true|gender=neut|Target::markable_45::Target=True|Target::markable_45::Anaphref=empty|Sentiment::markable_44::Sentiment=True case=nom|gender=neut|Target::markable_45::Target=True|num=sg|Sentiment::markable_44::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_44::Sentiment=True case=dat|num=sg|gender=masc|Target::markable_45::Target=True|pos=True|Sentiment::markable_44::Sentiment=True case=dat|gender=masc|Target::markable_45::Target=True|num=sg|Sentiment::markable_44::Sentiment=True EmoExpression::markable_10408080::SubjectiveFact=false|EmoExpression::markable_10408080::Uncertain=false|EmoExpression::markable_10408080::EmoExpression=True|mood=ind|EmoExpression::markable_10408080::Sarcasm=false|EmoExpression::markable_10408080::Intensity=medium|pers=3|num=sg|tense=pres|EmoExpression::markable_10408080::Polarity=positive|Target::markable_45::Target=True|Sentiment::markable_44::Sentiment=True Target::markable_45::Target=True|EmoExpression::markable_10408080::EmoExpression=True|Sentiment::markable_44::Sentiment=True Sentiment::markable_44::Sentiment=True EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True|Sentiment::markable_44::Sentiment=True _
