322366239513141248	positive	@knorx100 ja das stimmt , aber bislang hab ich dich auch noch nicht auf ein foto gesehen :)	@knorx100 ja die stimmen , aber bislang haben ich du auch noch nicht auf eine Foto sehen :)	NN ADV PDS VVFIN $, KON ADV VAIMP PPER PPER ADV ADV PTKNEG APPR ART NN VVPP ADJA	0/-- 3/MO 4/SB 1/-- 4/-- 4/CD 17/MO 17/NK 17/SB 17/OA 13/MO 13/MO 17/NG 17/MO 16/NK 14/NK 18/MO 6/CJ	_ _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=acc|gender=neut|num=sg|pers=3 _ _ _ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ case=acc|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|gender=neut|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|pos=True|num=sg|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Intensity=medium
328199569202618368	positive	@_Misanthrop_ ich werd versuchen , damit klarzukommen :)	@_Misanthrop_ ich werd versuchen , damit klarkommen :)	VVFIN PPER NE VVFIN $, PAV VVIZU ADJD	0/-- 4/SB 7/DA 1/-- 4/-- 7/NK 4/OC 7/MO	_ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind pers=3|num=pl|tense=pres|mood=ind _ _ _ EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|pos=True|EmoExpression::markable_2::EmoExpression=True
322408110226538496	positive	@leax3xd na siehst du , ist doch schon fast alles :) :*	@leax3xd na sehen du , sein doch schon fast alle :) :*	NN ITJ VVFIN PPER $, VAFIN ADV ADV ADV PIAT ADJA NN	0/-- 3/DM 1/-- 3/SB 4/-- 3/OC 6/MO 6/MO 10/MO 12/NK 12/NK 6/PD	case=nom|gender=neut|num=sg _ pers=2|num=sg|tense=pres|mood=ind *=True _ pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=neut|num=sg case=nom|EmoExpression::markable_3::EmoExpression=True|gender=neut|EmoExpression::markable_3::SubjectiveFact=false|pos=True|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Intensity=medium|num=sg|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Uncertain=false case=nom|EmoExpression::markable_4::Uncertain=false|gender=neut|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True|num=sg|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium
327510965354627072	positive	@FredPoulin98 aus München komm ich ! Aber ich wohn jetzt in Montreal :)	@FredPoulin98 aus München kommen ich ! aber ich wohnen jetzt in Montreal :)	NN APPR NE VVIMP PPER $. KON PPER VVIMP ADV APPR NE ADJA	0/-- 4/MO 2/NK 1/-- 4/UC 5/-- 13/JU 13/SB 13/NK 9/MO 13/MO 11/NK 6/--	case=nom|gender=fem|num=pl _ case=dat|gender=neut|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=dat|gender=neut|num=sg case=gen|EmoExpression::markable_5::Intensity=medium|gender=masc|EmoExpression::markable_5::EmoExpression=True|pos=True|EmoExpression::markable_5::Uncertain=false|num=pl|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::Polarity=positive
323813304894103552	positive	@stevenegal i has nid gseh , aber ha gnueg tue mit lüt wo s'gfühl hän e HR yytrag eröffni ihres persönliche eldorado :*)	@stevenegal i has nid gseh , aber ha gnueg tun mit lüt wo s'gfühl hän e HR yytrag eröffni ihr persönlich eldorado :*)	ADJD NE NE VVFIN NE $, KON NE NN VVFIN APPR NN PWAV NN ADJD ADJA NE NN NE PPOSAT ADJA NN ADJA	0/-- 3/PNC 4/MO 1/-- 4/OA 5/-- 4/CD 9/PNC 10/SB 7/CJ 10/MO 11/NK 16/MO 16/SB 16/MO 10/CJ 18/NK 16/SB 18/NK 22/NK 22/NK 23/OA 16/MO	pos=True _ _ _ _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=subj _ case=dat|gender=fem|num=sg _ case=dat|gender=fem|num=sg _ _ _ case=acc|gender=masc|num=sg _ case=gen|gender=masc|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|EmoExpression::markable_6::SubjectiveFact=false|pos=True|EmoExpression::markable_6::Sarcasm=false|num=sg|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::EmoExpression=True|EmoExpression::markable_6::Polarity=positive
323834802757332992	positive	Da ist auch die nächste Folge vom KSV. Heute in der Europa League gegen die Queens Park Rangers :-) ... http://t.co/NsBgKPthKA	da sein auch die nah Folge von KSV. heute in die Europa League gegen die Queen Park Rangers :-) ... http://t.co/NsBgKPthKA	ADV VAFIN ADV ART ADJA NN APPRART NN ADV APPR ART NE NE APPR ART NN NN NN $( $. NE	2/MO 0/-- 6/MO 6/NK 6/NK 2/SB 6/MNR 7/NK 2/MO 2/MO 13/NK 13/PNC 10/NK 2/MO 16/NK 14/NK 16/NK 2/PD 18/-- 19/-- 20/--	_ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|gender=masc|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive|num=sg _ _
323568753000468481	mixed	Fuck my life ich habe nur noch 10  Minuten Internet , aber würde gerne die ganze Nacht durch James Arthur hören . :(	Fuck my life ich haben nur noch @card@ Minute Internet , aber werden gerne die ganz Nacht durch James Arthur hören . :(	NN NE VVFIN PPER VAFIN ADV ADV CARD NN NN $, KON VAFIN ADV ART ADJA NN APPR NE NE VVFIN $. ADJA	3/MO 1/NK 0/-- 5/SB 3/OC 8/MO 8/MO 9/NK 5/OA 9/NK 10/-- 5/CD 12/CJ 21/MO 17/NK 17/NK 21/OA 21/MO 20/PNC 18/NK 13/OC 21/-- 22/--	EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=negative|Sentiment::markable_8::Intensity=strong|Sentiment::markable_8::Sentiment=True|EmoExpression::markable_9::SubjectiveFact=false|Sentiment::markable_8::Sarcasm=false|EmoExpression::markable_9::Intensity=strong|EmoExpression::markable_9::Sarcasm=false|Sentiment::markable_8::Polarity=negative|EmoExpression::markable_9::EmoExpression=True Sentiment::markable_8::Sentiment=True|EmoExpression::markable_9::EmoExpression=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_8::Sentiment=True|EmoExpression::markable_9::EmoExpression=True case=nom|Target::markable_10::Anaphref=empty|Source::markable_12::Anaphref=empty|Target::markable_10::Target=True|Source::markable_12::Source=True|*=True|Sentiment::markable_8::Sentiment=True|pers=1|num=sg|Target::markable_10::Preferred=true pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_8::Sentiment=True|Target::markable_10::Target=True Sentiment::markable_8::Sentiment=True|Target::markable_10::Target=True Sentiment::markable_8::Sentiment=True|Target::markable_10::Target=True Sentiment::markable_8::Sentiment=True|Target::markable_10::Target=True case=acc|gender=fem|num=pl|Target::markable_10::Target=True|Sentiment::markable_8::Sentiment=True case=nom|gender=fem|num=sg|Target::markable_10::Target=True|Sentiment::markable_8::Sentiment=True _ _ Sentiment::markable_100500206::Polarity=positive|mood=subj|Sentiment::markable_100500206::Intensity=medium|Sentiment::markable_100500206::Sarcasm=false|Sentiment::markable_100500206::Sentiment=True|pers=3|num=sg|tense=past EmoExpression::markable_100500207::Intensity=medium|EmoExpression::markable_100500207::SubjectiveFact=false|EmoExpression::markable_100500207::EmoExpression=True|EmoExpression::markable_100500207::Polarity=positive|Sentiment::markable_100500206::Sentiment=True|EmoExpression::markable_100500207::Sarcasm=false|EmoExpression::markable_100500207::Uncertain=false case=acc|num=sg|Target::markable_100500208::Target=True|Target::markable_100500208::Preferred=true|gender=fem|Target::markable_100500208::Anaphref=empty|Sentiment::markable_100500206::Sentiment=True case=acc|num=sg|Target::markable_100500208::Target=True|gender=fem|pos=True|Sentiment::markable_100500206::Sentiment=True case=acc|gender=fem|num=sg|Target::markable_100500208::Target=True|Sentiment::markable_100500206::Sentiment=True Target::markable_100500208::Target=True|Sentiment::markable_100500206::Sentiment=True case=acc|gender=neut|num=sg|Target::markable_100500208::Target=True|Sentiment::markable_100500206::Sentiment=True case=acc|gender=neut|num=sg|Target::markable_100500208::Target=True|Sentiment::markable_100500206::Sentiment=True Target::markable_100500208::Target=True|Sentiment::markable_100500206::Sentiment=True Sentiment::markable_100500206::Sentiment=True EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=negative|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false|Sentiment::markable_100500206::Sentiment=True
328038483472035840	positive	RT @1LIVE_Kinomann : Sowas sehen sonst nur Laudatoren . Und ich natürlich :-) #DeutscherFilmpreis2013 Morgen Vormittag in @1LIVE http://t.co / …	RT @1LIVE_Kinomann : sowas sehen sonst nur Laudator . und ich natürlich :-) #DeutscherFilmpreis2013 Morgen Vormittag in @1LIVE http://t.co / …	NE NN $. PIS VVFIN ADV ADV NN $. KON PPER ADV $( CARD NN NN APPR ADJA NN $( ADJD	2/SB 0/-- 2/-- 5/SB 3/-- 5/MO 8/MO 5/OA 8/-- 15/JU 15/NK 11/MO 12/-- 15/NK 9/-- 15/NK 15/MNR 17/NK 18/-- 19/-- 19/PD	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ _ _ _ case=nom|gender=masc|num=pl _ _ case=nom|*=True|num=sg|pers=1 _ EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false _ case=acc|gender=fem|num=pl case=acc|gender=masc|num=sg _ case=dat|gender=neut|num=pl|pos=True _ _ _
322462276546342912	positive	@xymlop dann Checks ich trotzdem nicht :) haha	@xymlop dann Checks ich trotzdem nicht :) haha	NN ADV NN PPER PAV PTKNEG ADJA NN	0/-- 3/MO 1/-- 3/SB 8/NK 7/NG 8/NK 3/OA	case=nom|gender=masc|num=sg _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True EmoExpression::markable_15::Polarity=positive|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false
322327651975049216	positive	#Stadtwerke .. Hatte vergessen , nach Umzug die Endabrechnung zu begleichen :-) ... Direkt mal bezahlt . Sonst kommt Dog .. Mit seiner Frau ... ;)	#Stadtwerke .. haben vergessen , nach Umzug die Endabrechnung zu begleichen :-) ... Direkt mal bezahlen . sonst kommen Dog .. mit sein Frau ... ;)	NN NN VAFIN VVPP $, APPR NN ART NN PTKZU VVINF $( $. NN ADV VVPP $. ADV VVFIN NE NN APPR PPOSAT NN $. ADJA	0/-- 1/NK 2/-- 3/OC 4/-- 11/MO 6/NK 9/NK 11/OA 11/PM 4/OC 11/-- 12/-- 13/-- 16/MO 14/OC 16/-- 19/MO 17/-- 21/PNC 19/SB 21/-- 24/NK 22/NK 24/-- 25/--	case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl pers=3|num=sg|tense=past|mood=ind _ _ _ case=dat|gender=masc|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium _ pos=True _ _ _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium
322364993779683328	positive	@Laraanit @leonie_swag @larilovejustin Ja !! :D Ein Traum das nicht realitaet sein kann :( ' Ich will Trauemen ' - Neon Dogs ;)	@Laraanit @leonie_swag @larilovejustin Ja !! :D eine Traum die nicht realitaet sein können :( ' ich wollen Trauemen ' - Neon Dogs ;)	ADJA NN NE NN ADJA NN ART NN PDS PTKNEG ADJD VAINF VMFIN ADJD $( PPER VMFIN NN $( $( NN NN ADJD	0/-- 1/-- 2/-- 3/-- 4/MO 13/SB 8/NK 13/SB 13/SB 13/NG 12/PD 13/OC 5/-- 13/MO 14/-- 17/SB 13/CJ 17/OA 18/-- 19/-- 17/PAR 21/NK 17/MO	_ case=nom|gender=masc|num=sg _ _ _ case=nom|EmoExpression::markable_100500210::Uncertain=false|gender=masc|EmoExpression::markable_100500210::EmoExpression=True|EmoExpression::markable_100500210::Polarity=positive|num=sg|EmoExpression::markable_100500210::Sarcasm=false|EmoExpression::markable_100500210::Intensity=medium|EmoExpression::markable_100500210::SubjectiveFact=false case=nom|Sentiment::markable_18::Sarcasm=false|Target::markable_20::Target=True|gender=masc|Sentiment::markable_18::Intensity=medium|num=sg|Sentiment::markable_18::Sentiment=True|Sentiment::markable_18::Polarity=positive|Target::markable_20::Anaphref=empty|Target::markable_20::Preferred=true case=nom|gender=masc|num=sg|Sentiment::markable_18::Sentiment=True|Target::markable_20::Target=True case=acc|gender=neut|num=sg|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True pos=True|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_18::Sentiment=True EmoExpression::markable_19::EmoExpression=True|EmoExpression::markable_19::Uncertain=false|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=negative|Sentiment::markable_18::Sentiment=True _ case=nom|Sentiment::markable_100500211::Sarcasm=false|Sentiment::markable_100500211::Sentiment=True|*=True|Sentiment::markable_100500211::Intensity=medium|Source::markable_100500212::Source=True|pers=1|num=sg|Sentiment::markable_100500211::Polarity=positive|Source::markable_100500212::Anaphref=empty EmoExpression::markable_100500213::SubjectiveFact=false|EmoExpression::markable_100500213::Intensity=medium|EmoExpression::markable_100500213::Sarcasm=false|mood=ind|Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_100500213::EmoExpression=True|EmoExpression::markable_100500213::Uncertain=false|pers=1|EmoExpression::markable_100500213::Polarity=positive|num=sg|tense=pres case=acc|EmoExpression::markable_100500297::Intensity=medium|Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_100500297::Sarcasm=false|Target::markable_100500214::Preferred=true|gender=neut|Target::markable_100500214::Anaphref=empty|EmoExpression::markable_100500297::SubjectiveFact=false|EmoExpression::markable_100500297::Polarity=positive|num=pl|EmoExpression::markable_100500297::Uncertain=true|Target::markable_100500214::Target=True|EmoExpression::markable_100500297::EmoExpression=True Sentiment::markable_100500211::Sentiment=True _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pos=True
