327476868259409922	positive	Cheets ! %Link schauen wir mal , ob der %User gerade raus geht %PosSmiley fb	Cheets ! %Link schauen wir mal , ob die %User gerade raus gehen %PosSmiley fb	NN $. XY VVFIN PPER ADV $, KOUS ART NE ADV ADV VVFIN ITJ NN	0/-- 1/-- 0/-- 0/-- 4/SB 4/MO 6/-- 13/CP 10/NK 13/SB 12/MO 13/MO 4/OC 15/NK 13/SB	_ _ pos=True pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium case=acc|gender=fem|num=sg
322433320413720576	positive	Und ich will auf ein Konzert ... %NegSmiley	und ich wollen auf eine Konzert ... %NegSmiley	KON PPER VMFIN APPR ART NN $. ITJ	3/JU 3/SB 0/-- 3/MO 6/NK 4/NK 6/-- 3/DM	Sentiment::markable_100500208::Intensity=medium|Sentiment::markable_100500208::Sentiment=True|Sentiment::markable_100500208::Polarity=positive|Sentiment::markable_100500208::Sarcasm=false case=nom|pers=1|num=sg|Source::markable_100500209::Source=True|Sentiment::markable_100500208::Sentiment=True|Source::markable_100500209::Anaphref=empty|*=True mood=ind|EmoExpression::markable_100500210::Uncertain=false|Sentiment::markable_100500208::Sentiment=True|EmoExpression::markable_100500210::Intensity=medium|EmoExpression::markable_100500210::EmoExpression=True|pers=1|EmoExpression::markable_100500210::Polarity=positive|num=sg|tense=pres|EmoExpression::markable_100500210::Sarcasm=false|EmoExpression::markable_100500210::SubjectiveFact=false Sentiment::markable_100500208::Sentiment=True case=acc|num=sg|Target::markable_100500211::Anaphref=empty|Sentiment::markable_100500208::Sentiment=True|gender=neut|Target::markable_100500211::Preferred=true|Target::markable_100500211::Target=True case=acc|gender=neut|num=sg|Sentiment::markable_100500208::Sentiment=True|Target::markable_100500211::Target=True Sentiment::markable_100500208::Sentiment=True EmoExpression::markable_2::Uncertain=false|Sentiment::markable_100500208::Sentiment=True|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=negative|EmoExpression::markable_2::EmoExpression=True
323886945191206912	positive	dieses mal lesen sich diese testnachrichten wirklich , wie Nachrichten aus einer eckkneipe %PosSmiley sehr lustig vhs Hamburg	dies mal lesen sich diese testnachrichten wirklich , wie Nachricht aus eine Eckkneipe %PosSmiley sehr lustig vhs Hamburg	PDAT ADV VVFIN PRF PDS VVFIN ADJD $, KOKOM NN APPR ART NN ITJ ADV ADJA NN NE	2/NK 3/MO 0/-- 3/OA 6/SB 3/SB 6/MO 7/-- 10/CM 6/MO 10/MNR 13/NK 11/NK 17/NK 16/MO 17/NK 10/PAR 17/AG	case=acc|Sentiment::markable_6::Polarity=positive|Sentiment::markable_6::Intensity=medium|num=sg|gender=neut|Sentiment::markable_6::Sentiment=True|Sentiment::markable_6::Sarcasm=false Sentiment::markable_6::Sentiment=True pers=3|Sentiment::markable_6::Sentiment=True|num=pl|tense=pres|mood=ind case=acc|pers=3|Sentiment::markable_6::Sentiment=True|num=pl case=nom|num=pl|Target::markable_7::Target=True|Target::markable_7::Preferred=true|gender=masc|Sentiment::markable_6::Sentiment=True|Target::markable_7::Anaphref=empty pers=3|num=pl|tense=past|mood=ind|Target::markable_7::Target=True|Sentiment::markable_6::Sentiment=True Sentiment::markable_6::Sentiment=True|pos=True Sentiment::markable_6::Sentiment=True Sentiment::markable_6::Sentiment=True case=nom|gender=fem|Sentiment::markable_6::Sentiment=True|num=pl Sentiment::markable_6::Sentiment=True case=dat|gender=fem|Sentiment::markable_6::Sentiment=True|num=sg case=dat|gender=fem|Sentiment::markable_6::Sentiment=True|num=sg case=dat|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|Sentiment::markable_6::Sentiment=True|*=True|EmoExpression::markable_8::SubjectiveFact=false|num=sg|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false Intensifier::markable_4::EmoExpressionRef=emo-expression:markable_3|Sentiment::markable_6::Sentiment=True|Intensifier::markable_4::Intensifier=True|Intensifier::markable_4::Degree=strong EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|Sentiment::markable_6::Sentiment=True|pos=True|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::Uncertain=false gender=fem|*=True|num=pl case=nom|gender=neut|num=sg
322370446563635200	negative	ok war gelogen , ich habe gar kein whatsapp %NegSmiley	ok sein lügen , ich haben gar keine whatsapp %NegSmiley	NN VAFIN VVPP $, PPER VAFIN ADV PIAT ADJA ITJ	2/SB 0/-- 2/PD 3/-- 6/SB 2/CJ 8/MO 9/NK 6/OC 9/NK	_ pers=3|num=sg|tense=past|mood=ind EmoExpression::markable_100500212::Uncertain=false|EmoExpression::markable_100500212::Polarity=negative|EmoExpression::markable_100500212::Sarcasm=false|EmoExpression::markable_100500212::Intensity=medium|EmoExpression::markable_100500212::SubjectiveFact=false|EmoExpression::markable_100500212::EmoExpression=True _ case=nom|Target::markable_11::Anaphref=empty|Sentiment::markable_9::Intensity=medium|Target::markable_11::Target=True|*=True|pers=1|num=sg|Target::markable_11::Preferred=true|Sentiment::markable_9::Sentiment=True|Sentiment::markable_9::Sarcasm=false|Sentiment::markable_9::Polarity=negative pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_9::Sentiment=True|Target::markable_11::Target=True Target::markable_11::Target=True|Sentiment::markable_9::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_9::Sentiment=True|Target::markable_11::Target=True case=acc|gender=neut|num=sg|Sentiment::markable_9::Sentiment=True|Target::markable_11::Target=True EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=negative|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|Sentiment::markable_9::Sentiment=True|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
327355256096829440	positive	ja %PosSmiley man bezeichnet es heute aber eher als Zukunftstag : 3	ja %PosSmiley man bezeichnen es heute aber eher als Zukunftstag : 3	ADV ITJ PIS VVFIN PPER ADV ADV ADV KOKOM NN $. CARD	4/MO 4/DM 4/SB 0/-- 4/OA 4/MO 4/MO 4/MO 10/CM 8/CC 10/-- 4/MO	_ mood=ind|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::SubjectiveFact=false|EmoExpression::markable_12::EmoExpression=True|pers=3|num=sg|tense=pres|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::Intensity=medium case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ _ _ _ case=nom|gender=masc|num=sg _ _
328037357553057793	negative	Das habe ich noch nicht getestet %NegSmiley Möööööp !	die haben ich noch nicht testen %NegSmiley Möööööp !	PDS VAFIN PPER ADV PTKNEG VVPP ITJ NN $.	6/OA 0/-- 2/SB 5/MO 6/NG 2/OC 8/NK 6/OA 8/--	case=acc|Sentiment::markable_13::Sarcasm=false|Target::markable_14::Anaphref=empty|gender=neut|Target::markable_14::Preferred=true|num=sg|Target::markable_14::Target=True|Sentiment::markable_13::Polarity=negative|Sentiment::markable_13::Sentiment=True|Sentiment::markable_13::Intensity=medium pers=1|Target::markable_14::Target=True|num=sg|tense=pres|mood=ind|Sentiment::markable_13::Sentiment=True case=nom|pers=1|num=sg|Target::markable_14::Target=True|Sentiment::markable_13::Sentiment=True|*=True Target::markable_14::Target=True|Sentiment::markable_13::Sentiment=True Target::markable_14::Target=True|Sentiment::markable_13::Sentiment=True Target::markable_14::Target=True|Sentiment::markable_13::Sentiment=True EmoExpression::markable_15::Polarity=negative|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|Sentiment::markable_13::Sentiment=True|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false case=acc|gender=masc|num=sg _
323851330143789058	positive	Als Tipp für den angehenden Spielleiter : Fang mit einer Kneipschlägerei zum Kennenlernen an . %PosSmiley	als Tip für die angehend Spielleiter : Fang mit eine Kneipschlägerei zu Kennenlernen an . %PosSmiley	KOKOM NN APPR ART ADJA NN $. NN APPR ART NN APPRART NN PTKVZ $. ITJ	8/MO 1/NK 2/MNR 6/NK 6/NK 3/NK 6/-- 0/-- 8/MNR 11/NK 9/NK 11/MNR 12/NK 8/SVP 14/-- 0/NK	_ case=nom|gender=masc|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ case=acc|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ _ EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium
323917563979522048	mixed	das was sie nach dem Arsch retweetet haben . %PosSmiley	die was sie nach die Arsch retweetet haben . %PosSmiley	PDS PRELS PPER APPR ART NN VVPP VAFIN $. ITJ	8/SB 7/OA 7/OA 7/MO 6/NK 4/NK 8/OC 0/-- 8/-- 0/NK	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=acc|pers=3|*=True _ case=dat|gender=masc|num=sg case=dat|EmoExpression::markable_100500213::SubjectiveFact=false|EmoExpression::markable_100500213::Sarcasm=false|EmoExpression::markable_100500213::EmoExpression=True|gender=masc|EmoExpression::markable_100500213::Uncertain=false|EmoExpression::markable_100500213::Intensity=strong|EmoExpression::markable_100500213::Polarity=negative|num=sg _ pers=3|num=pl|tense=pres|mood=ind _ EmoExpression::markable_19::EmoExpression=True|EmoExpression::markable_19::Uncertain=false|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=positive
322128150563803136	positive	NNNoooiiiinnnn ... Laing hatte heute ein Kurzkonzert in Berlin %NegSmiley fb	NNNoooiiiinnnn ... Laing haben heute eine Kurzkonzert in Berlin %NegSmiley fb	NE $. NE VAFIN ADV ART NN APPR NE ITJ NN	0/-- 1/-- 4/SB 0/-- 4/MO 7/NK 4/OA 7/MNR 8/NK 11/NK 4/OA	case=nom|Sentiment::markable_100500216::Sentiment=True|gender=neut|Sentiment::markable_100500216::Polarity=positive|Sentiment::markable_100500216::Sarcasm=false|EmoExpression::markable_100500218::Uncertain=false|EmoExpression::markable_100500218::Intensity=medium|num=sg|EmoExpression::markable_100500218::EmoExpression=True|EmoExpression::markable_100500218::SubjectiveFact=false|EmoExpression::markable_100500218::Polarity=positive|EmoExpression::markable_100500218::Sarcasm=false|Sentiment::markable_100500216::Intensity=medium Sentiment::markable_100500216::Sentiment=True case=nom|Target::markable_100500217::Preferred=true|num=sg|Sentiment::markable_100500216::Sentiment=True|Target::markable_100500217::Anaphref=empty|*=True|Target::markable_100500217::Target=True pers=3|num=sg|tense=past|mood=ind|Target::markable_100500217::Target=True|Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True|Target::markable_100500217::Target=True case=acc|gender=neut|num=sg|Sentiment::markable_100500216::Sentiment=True|Target::markable_100500217::Target=True case=acc|gender=neut|num=sg|Sentiment::markable_100500216::Sentiment=True|Target::markable_100500217::Target=True Sentiment::markable_100500216::Sentiment=True|Target::markable_100500217::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_100500216::Sentiment=True|Target::markable_100500217::Target=True case=dat|EmoExpression::markable_20::Uncertain=false|Sentiment::markable_100500216::Sentiment=True|gender=neut|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::EmoExpression=True|num=sg|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=negative _
322273151843172352	positive	tja wie immer halt %PosSmiley ich liebe dich auch mein Herzchen %PosSmiley	tja wie immer halt %PosSmiley ich lieben du auch mein Herzchen %PosSmiley	NN KOKOM ADV PTKVZ ITJ PPER VVFIN PPER ADV PPOSAT NN ITJ	7/MO 3/CM 1/MO 1/MO 4/NK 7/SB 0/-- 7/OA 7/MO 11/NK 7/OA 11/NK	_ _ _ _ EmoExpression::markable_21::EmoExpression=True|mood=ind|EmoExpression::markable_21::Intensity=medium|pers=1|num=sg|tense=pres|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false case=nom|Sentiment::markable_22::Intensity=medium|*=True|Sentiment::markable_22::Sentiment=True|pers=1|Source::markable_23::Source=True|num=sg|Sentiment::markable_22::Sarcasm=false|Source::markable_23::Anaphref=empty|Sentiment::markable_22::Polarity=positive mood=ind|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Intensity=strong|Sentiment::markable_22::Sentiment=True|pers=1|num=sg|tense=pres|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false case=acc|*=True|Sentiment::markable_22::Sentiment=True|pers=2|num=sg|Target::markable_25::Target=True|Target::markable_25::Preferred=true|Target::markable_25::Anaphref=empty Sentiment::markable_22::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_22::Sentiment=True case=acc|gender=neut|EmoExpression::markable_100500214::SubjectiveFact=false|Sentiment::markable_22::Sentiment=True|EmoExpression::markable_100500214::Sarcasm=false|num=sg|EmoExpression::markable_100500214::Polarity=positive|EmoExpression::markable_100500214::EmoExpression=True|EmoExpression::markable_100500214::Uncertain=false|EmoExpression::markable_100500214::Intensity=medium EmoExpression::markable_100500215::SubjectiveFact=false|EmoExpression::markable_100500215::Polarity=positive|EmoExpression::markable_100500215::Sarcasm=false|EmoExpression::markable_100500215::Uncertain=false|EmoExpression::markable_100500215::EmoExpression=True|EmoExpression::markable_100500215::Intensity=medium|Sentiment::markable_22::Sentiment=True
323821102872813568	positive	man kommt rum . %PosSmiley wenn keine Vorlesung dazwischen kommt , dann wäre ich dabei .	man kommen rum . %PosSmiley wenn keine Vorlesung dazwischen kommen , dann sein ich dabei .	PIS VVFIN PTKVZ $. ITJ KOUS PIAT NN PAV VVFIN $, ADV VAFIN PPER PAV $.	2/SB 0/-- 2/SVP 3/-- 12/DM 10/CP 8/NK 10/SB 8/NK 12/RE 10/-- 13/MO 0/-- 13/SB 9/NK 14/--	case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|EmoExpression::markable_26::SubjectiveFact=false|EmoExpression::markable_26::Polarity=positive _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ _ pers=3|num=sg|tense=past|mood=subj case=nom|*=True|num=sg|pers=1 _ _
