tweetid	sentiment	text
367189542857482240	neutral	Tainted Talents (Ateliertagebuch.) » Wir sind nicht allein http://t.co/9rhta65MSx
368327046574776321	neutral	Aber wenigstens kommt #Supernatural heute mal wieder um 22 Uhr - ein schwacher Trost
368309870673793024	neutral	DARLEHEN - Angebot für Schufa-freie Darlehen: Günstiger Anbieter für Online DARLEHEN in Deutschland http://t.co/G84qcIGk7k
362896018389475328	neutral	ANRUF ERWÜNSCHT: Hardcore Teeny Vicky Carrera: Hallo mein süßer, ich bin die 20 jährige Vicky aus Deutschland.... http://t.co/LvwyZgew4Q
367912309303148545	neutral	"Na? Wo sind Frankens heimliche Talente? - Die ersten Bewerbungen für den Talentwettbewerb ""Wer ko, der darf!""... http://t.co/MHGsyZDOdJ"
364291928692490241	positive	... Glück breitet sich aus ...
376428554260475904	negative	@Moramee unachtsam *seufz*
372600329143345152	neutral	#jobs #Sales #Medien #TV #Tele M1 sucht #Persönlichkeit #Werbe #Verkauf im #Aussendienst (m/w) http://t.co/2IR8EazQoQ
395707232194940929	neutral	Happy Halloween liebe Studenten, zeigt eure gruseligen Seiten!
374506338434686976	neutral	Die App „iDelete“ hat mir 3,4 MB belegten Speicher freigemacht. Das Löschen dieser App bringt mir 16,4 MB freien Speicher. Und tschüss!
371276107690938368	negative	@HalfEatenCrayon Moi???? @Ratzsa1 @Atheistspinner @Lenn_Len @lillai23
395083010925535232	neutral	"Check out the new page at times about the first world war!
Schaut euch mal die neue Seite an über den ersten... http://t.co/QGRGXZ7rnR"
395077566618673152	negative	@schenklklopfer Jop und wenn sich die Agenda nicht noch ändert muss er abends lernen :-\
392574984876326912	neutral	Grunderwerbsteuer wird erhöht: Der Immobilienkauf wird teurer http://t.co/Y1Sx5hWMLW
369077227020775424	neutral	#Gruppenliga: #SGAE mit Pörschmann, Choteschovsky, Dreßbach, Schneider, Körner, Siegfart, A. Geiger, S. Grochow, C. Geiger, Müller, Kraus
377173500571955200	negative	Talente: Tumblr, Internet, allein sein, nerven. http://t.co/P9kvkOWflM
377442007406632960	neutral	W&amp;V: Apple-Event: Viele Details sickern vorher durch http://t.co/hfyVE5n75b
365814322745704451	positive	Baden. Endlich. Wundervoll. http://t.co/SzpUyPU2ur
365817573524258816	neutral	@fimbultyr Hm ... was machen wir denn da ...? Über seine Mailadresse vielleicht? Oder schaltet mich einfach wieder an. :)
389649172343046144	neutral	Neue Nutzungsbedingungen bei #Google+ kurz vorgestellt - http://t.co/iKoiWZokIg
368328631883673600	neutral	RT @ruv_de: Der Bereich Personal in #Wiesbaden sucht: Experten (m/w) Berechtigungskonzeption/-management. http://t.co/HOjI9VfDHy #ruv #karr…
391459333210664960	neutral	"RT @ndaktuell: Berichte über ""vertrauensbildende Zusicherung"" der #SPD: Lassen Große Koalition bis 2017 nicht platzen http://t.co/unNTLqM33q"
390609403680145408	neutral	schneller limit. of listerine fuck. DOWN you like. Sonne später Kräuterlimonade #TagABeautifulLanguage Essen. and listen listerine on 3?
373022301195104256	neutral	Affe, Braunbär, Chamäleon, Dachs, Elefant, Fledermaus, Goldfisch, Hase, Igel, JAGUAR, KAKADU, LACHMÖWE, Maulwurf, NACHTIGALL, Opossum...
370043435426021376	positive	RT @Aterful: @Aluenschen Ach ja... :DD
370904014268792832	negative	@fkb71 honess bekommt ne sehr hohe gesldstrafe und das max. an bewährung.
365153451279269890	neutral	EWR-Beitritt würde «delikate Fragen» provozieren http://t.co/Tl9coNU8sD
385041792556863488	neutral	Große Dinge werfen ihren Schatten voraus! http://t.co/eT62ejhHnN
392732464193351680	positive	"@Zwitscheriki Hmmm, vielleicht fehlt dir der Glaube?
Oder du hast einfach die falsche Kühlschrankmarke:-)"
385464200925290496	neutral	#ONLINE #sicher #Druck ▸ #web-to-print #Businesslösungen Beispiel: Produktgruppe #Roll-Up-Displays http://t.co/FKJsEiUfn9
385420743715983361	neutral	Arbeit, Soziales, Selbständigkeit &amp; Beruf • # Immer mehr Menschen ab 60 arbeitslos... http://t.co/WuUL2hIcau
368814034377641984	neutral	@scherbenfressen ich hab kein wa :/ geht auchh fb?
372233700806623232	neutral	Interims Management: Vor-und Nachteile für den Einsatz als eine große B... http://t.co/4t8gZqQgoT
374871351716487168	negative	Welches Geschenk hast du zuletzt bekommen? — Eine Bettdecke o.O http://t.co/YaMilfwt4F
375181021542879232	negative	Nervt mich voll, dass ich Samstag nicht da hin kann.
364692833027883008	neutral	Neue Pop-CDs: Die Editors schrumpfen die Welt http://t.co/9mRQpLeqwc via @welt
390218079671955456	neutral	RT @ReiseRenner: #Vattenfall muss weg, #Energieversorgung gehört in öffentliche Hand. Hier #Briefwahl für #Volksbegehren beantragen http://…
390089318355992576	neutral	Post Edited: Gardasee- Ferienwohnungen http://t.co/kVnzbuU0Pn
395899788346290176	neutral	#GEWINNSPIELTEILNAHME #gratis! Mit Glück eine #Playstation 4✔ GEWINNEN? ➽http://t.co/FKaTZkRs1d ✔ #gewinnspiel
375157302846062593	positive	Mirabellen frisch aus dem Garten ❤ #obst #ernte #healthy #herbst #yummy #mirabellen http://t.co/u5poZLbewJ
389691308425891840	neutral	RT @SZ_TopNews: Herr Kaiser macht Karriere, Herr Lehmann geht leer aus: Wie der Nachname die #Karriere beeinflusst. http://t.co/BE3Lecdtc3
373569754394791936	positive	@Zwinkimo @Joshtree4 @fcblogin ick hoffe hat allen gefallen in der verrückten Bude.. Und man sieht sich mal wieder, &amp; ick hab mehr zeit :-)
393746244310679552	neutral	http://t.co/xEKg4g2zmI Berlin Seitensprung gesucht? Wir machen Deinen Wunsch wahr
366605209163665408	negative	@FC_Basel was probiert? Seit doch bitte wenigstens realistisch! Nix habt ihr erreicht seit Beginn der Meisterschaft!
390813813312086016	neutral	@ungehalten @maunini kenn aber auch keinen anderen account der so viel liebe beherbergt.
365613428393521153	neutral	@lovatomiles jealous much? Mönchengladbach muss gewinnen okay.
395282261056442368	positive	@DouniaSlimani Sieht super aus. Ende. 😉
371705977546235904	neutral	@AndreBonhote EW nicht Stromer
365817631955103745	neutral	@rainbow2303 Lavabit wurde aus diesen Grund heut geschlossen. Snowden hatte diesen Dienst benutzt
376494782211584001	neutral	@irweinerr #SaidNoOneEver
363258582298394624	neutral	Antipasti aus den Super Zucchini von @CK_eins &amp; @KdTheShuggafree gemacht \ö/ http://t.co/HWCQHHFNaF
395818838262308864	neutral	Nicht vergessen: Das bissige #Musical Vergnügen heute im König Albert Theater! http://t.co/PAz7CH5Og0
365149684978810880	negative	den ganzen tag wildwasserbahn fahren war vielleicht doch nicht sooo gut..
395906717558771712	neutral	RT @_fluoreszent: warum sollte eine freund_innenschaft nicht romantisch sein?
391489377333178368	neutral	Soziale Empfehlungen bald auch in #Google+ möglich. #Update http://t.co/gtNKNFxl0r
376549719469998080	neutral	"05:37: ""If Today Was Your Last Day"" von Nickelback"
389422935712489473	neutral	Interessant dabei: Eine konkrete Person meint Cyrus offenbar nicht. Vielmehr scheint sie davon auszugehen, dass... http://t.co/60iohvjfrc
368322470278737920	neutral	"""Willkür öffentlich machen"": Mollath will Psychiatrie-Patienten helfen http://t.co/ai0MVw0L0R #Panorama"
374196538836135936	positive	Time to sleep... guten nacht...
376072122524639232	positive	@leslesss Heck yeah.. Buuffoonnn doin well. Forza Azzuri!
376027457205190659	neutral	@Gronkh Siehst heute echt gut aus! Haste abgenommen? #Elektrotitte
372665374560763904	neutral	Onlinegame gratis Battlestar Galactica Space-Game http://t.co/roEQsFxmua einfach ausprobieren #Weltraum Battlestar Galactica
374774035722166272	neutral	Wetter: Häufig sonnig, vereinzelt Schauer http://t.co/pB4dQWUsrl
370919025511239680	neutral	.@KURIERat: Serie: Was braucht Österreich? Aufträge an die Politik. http://t.co/bicX3xMFfZ #nrw13 Und brauchen auch irgendwelche Frauen was?
390453665120534528	neutral	@ChristianNbg @_klingebiel Kaputt nicht unbedingt. Aber man sollte eine Kaffeemaschine auch richtig benutzen :D
368035802204221440	positive	Facebook macht unglücklich. Könnt ihr das bestätigen? :) #SocialMedia http://t.co/GcJb8VqQ5V via @meedia
367275450361741312	neutral	Musikalische Sonne zum Wasserfest: „I Come From The Sun“ gewinnen Bandcontest http://t.co/b8nfLEt7Gp #leipzig #liz
363232816814759937	negative	Nein: unterirdisch! RT @ernke: Politisch bleibt also in Lübeck alles anders …
374264612012953600	positive	Melde mich dann morgen wieder. Geht früh los. Gute Nacht. :)
362802862780190720	positive	Ahhhh @1LIVE, bitte spielt ihn nochmal ok? Danke :) #imascheregen #hinterland
395246727034585088	neutral	"RT @RalphVoss: Wir Füchse stehen ja auf Listen.
Danke, @Zora_Red !"
392898688462233600	neutral	Guten Morgen! Draußen schon November-Licht. Da mag man gar nicht glauben, was gestern für schönes Wetter war...
368837350576496641	neutral	@schafzwitschern danke, nicht nötig, habe genug Fachliteratur hier.
372343838934720512	positive	RT @SuNoguchi: Schrott Ankauf Lahib ( http://t.co/lrguFNkX ) macht das Unmögliche möglich ;)
370125933060956161	neutral	JETZT BUCHEN - Kochkurs Indische Küche am Mi. 18.09.13... http://t.co/mCGU54TYQz
367967837794881536	positive	Schon lange nicht mehr so intensiv geträumt und so lange geschlafen 😳
367222916691550208	negative	@DerUebersteiger Ho- Ho- Hochverrat!
390562641519083520	neutral	Gesehen...... http://t.co/elMi45JSX0
394838004541296642	neutral	Eagles-Damen gegen Würzburg erfolgreich http://t.co/OWDp1HOk93 #leipzig #news
395849356424663040	neutral	Macbook Air braucht sehr lange, um aus dem Sleep wieder aufzuwachen. Jemand Tipps?
377487343386902528	neutral	RT @tosepower: Alemania: Neuer, Lahm, Mertesacker, Boateng, Schmelzer, KHEDIRA, Kroos, Müller, Özil, Draxler, Klose.
377106139819020288	neutral	RT @FabsMac: Wie. Kann. Man. Keine. Ewoks. Mögen.
374568023887060992	neutral	@air_dal @mmarsching Auswirkungen des #om13gate? Verstärkung vom Feminazgul-Flügel? SCNR
372097725908537344	neutral	Topfavorit Gatlin gewinnt 100 m: US-Star Justin Gatlin triumphierte in Linz – und wird auch nächstes Jahr wied... http://t.co/Xs3VTG2xKF
369074764909801472	neutral	@Raptilicus @DerTimsen @Die4Ever__De @wewius Wohl wahr, aber auch unvermeidlich.
362999718244548608	positive	@ChrisPakusch Sportlich, sportlich! Gönn dir zwischen deinen ganzen Terminen auch eine Pause
374634750939758592	neutral	Gabriel: Kinder sollen Hausaufgaben ohne Hilfe erledigen
372994077723090944	neutral	Aktionsplan: Regierung beschließt Hilfe für Menschen mit seltenen Krankheiten http://t.co/oJ3qy6dLh5 via @SPIEGELONLINE #gesundheit
395546321983406080	neutral	Le Gourmand Vintage: 225 Liter: Handverlesene Winzer präsentieren ihre aktuellsten Tropfen http://t.co/EDuuiTtIGM
392861787168964609	neutral	die kleine hörgalerie has phone number +49 7721 9167016. Call now or check http://t.co/xyIdN8N6kT #KLEINE #VILLINGENSCHWENNINGEN
375188588218310656	negative	“@sanitario_: Ich bin so Scheiße drauf, #ich #könnte #glatt #anfangen, #hashtags #zu #nutzen!” Dito!
371218343552090113	neutral	@linux_frickler das is auch ganz ok (mag das blaubeer lieber) aber echt teuer
366244578841464832	positive	@recomedic Lieber Gruß an unsere Freunde in Polen aus dem Norden #Deutschland #Ostholstein
367976595635859456	positive	@ShaSo1305 komm shaso nicht aufgeben ;-) vlt ists n bug. Versuchs einfach so um 17-18 nochmal :-) immer positiv denken :-)
369374829641621504	neutral	#seitensprung Liebesbriefe: Fremdgehen und Freunde bleiben - Berliner Morgenpost: Berichte ueber Seitensprung ... http://t.co/Dj03vEHf4e
367056918780841984	neutral	"Babybedarf: ""#8: Playshoes 507136 - Ärmel-Lätzchen lang Arm, Giraffe"" http://t.co/ZHzGwn56N4 #Baby #Süß #Bedarf #Kleink..."
