369517901734096896	positive	Piraten bei puls4 ! gleich geht los :-) http://t.co/EGeZ2oiZrQ	Pirat bei puls4 ! gleich gehen los :-) http://t.co/EGeZ2oiZrQ	NN APPR CARD $. ADJD VVFIN ADJD $( NN	0/-- 1/MNR 2/NK 3/-- 6/MO 4/-- 6/MO 7/-- 7/PAR	case=nom|Target::markable_4::Preferred=true|Target::markable_4::Anaphref=empty|gender=masc|Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Sarcasm=false|num=pl|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True pos=True|Sentiment::markable_1::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false _
380655300216225792	mixed	@JP_Stich 38  CDU + 6 FDP + 6 AfD hieß es heut früh . :( Aber morgens am Bahnhof beim Verteilen siehts nach 85%  RotGrün aus . ;)	@JP_Stich @card@ CDU + 6 FDP + 6 AfD heißen es heuen früh . :( aber morgens an Bahnhof bei Verteilen siehts nach @card@ rotgrün aus . ;)	NN CARD NE KON CARD NE KON CARD NN VVFIN PPER VVFIN ADJD $. NN KON ADV APPRART NN APPRART NN NN APPR CARD ADJD PTKVZ $. ADJA	0/-- 9/NK 2/SB 3/CD 6/NK 4/CJ 2/CD 7/CJ 10/MO 1/-- 10/EP 10/OC 12/MO 13/-- 14/-- 15/CD 18/MO 15/CJ 18/NK 15/MO 20/NK 21/NK 21/MNR 23/NK 23/MO 23/SVP 26/-- 27/--	case=nom|gender=masc|num=sg Target::markable_10::Anaphref=empty|Sentiment::markable_9::Intensity=medium|Target::markable_10::Preferred=true|Sentiment::markable_9::Sentiment=True|Sentiment::markable_9::Sarcasm=false|Target::markable_10::Target=True|Sentiment::markable_9::Polarity=negative case=nom|gender=fem|num=sg|Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True case=nom|gender=fem|num=sg|Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True gender=fem|*=True|Target::markable_10::Target=True|Sentiment::markable_9::Sentiment=True pers=3|num=sg|tense=past|mood=ind|Sentiment::markable_9::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_9::Sentiment=True|pers=3 Sentiment::markable_9::Sentiment=True pos=True|Sentiment::markable_9::Sentiment=True Sentiment::markable_9::Sentiment=True case=nom|EmoExpression::markable_5::Intensity=medium|gender=masc|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::Uncertain=false|num=sg|Sentiment::markable_9::Sentiment=True|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::Polarity=negative Sentiment::markable_6::Polarity=positive|Sentiment::markable_6::Sentiment=True|Sentiment::markable_6::Intensity=medium|Sentiment::markable_6::Sarcasm=false Sentiment::markable_6::Sentiment=True case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=gen|gender=neut|Sentiment::markable_6::Sentiment=True|num=sg Sentiment::markable_6::Sentiment=True Target::markable_7::Preferred=true|Sentiment::markable_6::Sentiment=True|Target::markable_7::Anaphref=empty|Target::markable_7::Target=True Sentiment::markable_6::Sentiment=True|pos=True|Target::markable_7::Target=True Sentiment::markable_6::Sentiment=True Sentiment::markable_6::Sentiment=True EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|Sentiment::markable_6::Sentiment=True|EmoExpression::markable_8::Uncertain=false
381735322511368193	positive	@GoeringEckardt Ich habe den Grünen beide Stimmen gegeben . Nette Grüße aus Flensburg :)	@GoeringEckardt ich haben die Grüne beide Stimme|Stimmen geben . nett Gruß aus Flensburg :)	NE PPER VAFIN ART NN PIAT NN VVPP $. ADJA NN APPR NE ADJA	0/-- 3/SB 1/-- 5/NK 8/OA 7/NK 5/AG 3/OC 8/-- 11/NK 14/MO 11/MNR 12/NK 9/--	case=nom|gender=neut|num=sg case=nom|Source::markable_12::Anaphref=empty|Source::markable_12::Source=True|*=True|pers=1|Sentiment::markable_11::Polarity=positive|num=sg|Sentiment::markable_11::Intensity=medium|Sentiment::markable_11::Sentiment=True|Sentiment::markable_11::Sarcasm=false pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_11::Sentiment=True case=acc|num=sg|Target::markable_13::Anaphref=empty|Target::markable_13::Preferred=true|gender=masc|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=acc|gender=masc|num=sg|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_11::Sentiment=True case=acc|EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Sarcasm=false|gender=fem|EmoExpression::markable_14::EmoExpression=True|Sentiment::markable_11::Sentiment=True|num=pl|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium Sentiment::markable_11::Sentiment=True _ case=acc|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::SubjectiveFact=false|gender=fem|pos=True|EmoExpression::markable_15::Uncertain=false|EmoExpression::markable_15::Polarity=positive|num=sg|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::Sarcasm=false case=acc|gender=fem|num=sg _ case=dat|gender=neut|num=sg case=dat|EmoExpression::markable_16::EmoExpression=True|gender=neut|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium|EmoExpression::markable_16::Polarity=positive|num=sg|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::SubjectiveFact=false
367622871226388480	positive	@gruenler Es gibt natürlich den Themenübersichtsflyer , so als Zwischending noch , gell :) http://t.co/XH9eKu2iqQ	@gruenler es geben natürlich die Themenübersichtsflyer , so als Zwischending noch , gell :) http://t.co/XH9eKu2iqQ	NN PPER VVFIN ADV ART NN $, ADV KOKOM NN ADV $, ITJ ADJA NN	0/-- 3/EP 1/-- 3/MO 6/NK 3/OA 6/-- 9/MO 3/MO 9/NK 9/MO 11/-- 9/NK 15/NK 9/NK	comp=True case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ _ case=nom|gender=masc|num=sg _ _ _ case=dat|EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|gender=neut|pos=True|num=pl|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium case=dat|gender=neut|num=pl
381812762948960256	mixed	42 %schwarz ! Rot - grün und auch rot - rot - grün ist nix und wird auch nix :) Daumendrücken für die Liberalen ! #btw13	@card@ %schwarz ! Rot - grün und auch rot - rot - grün sein nix und werden auch nix :) Daumendruck für die Liberale ! #btw13	CARD NN $. NE $( ADJD KON ADV ADJD $( ADJD $( ADJD VAFIN PIS KON VAFIN ADV PIS ADJA NN APPR ART NN $. CARD	2/NK 0/-- 2/-- 11/SB 4/-- 4/CJ 6/CD 9/MO 7/CJ 9/-- 13/MO 11/-- 14/PD 3/-- 14/SB 14/CD 16/CJ 21/MO 21/NK 21/NK 17/SB 21/MNR 24/NK 22/NK 24/-- 25/--	_ pos=True _ case=nom|Sentiment::markable_18::Sarcasm=false|Target::markable_19::Target=True|Sentiment::markable_18::Intensity=medium|*=True|num=sg|Sentiment::markable_18::Sentiment=True|Sentiment::markable_18::Polarity=negative|Target::markable_19::Anaphref=empty|Target::markable_19::Preferred=true Target::markable_19::Target=True|Sentiment::markable_18::Sentiment=True Target::markable_19::Target=True|pos=True|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True Target::markable_20::Anaphref=empty|Sentiment::markable_18::Sentiment=True|pos=True|Target::markable_20::Preferred=true|Target::markable_20::Target=True Target::markable_20::Target=True|Sentiment::markable_18::Sentiment=True Target::markable_20::Target=True|pos=True|Sentiment::markable_18::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_18::Sentiment=True Target::markable_20::Target=True|pos=True|Sentiment::markable_18::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_18::Sentiment=True case=nom|EmoExpression::markable_21::EmoExpression=True|gender=masc|EmoExpression::markable_21::Intensity=medium|num=sg|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=negative|EmoExpression::markable_21::Sarcasm=false|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|Sentiment::markable_18::Sentiment=True|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Polarity=negative|EmoExpression::markable_23::Sarcasm=false case=acc|EmoExpression::markable_24::Sarcasm=false|gender=neut|pos=True|EmoExpression::markable_24::Intensity=medium|num=pl|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|Sentiment::markable_18::Sentiment=True|EmoExpression::markable_24::SubjectiveFact=false case=acc|EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|gender=neut|EmoExpression::markable_26::Polarity=positive|Sentiment::markable_25::Polarity=positive|num=pl|Sentiment::markable_25::Sarcasm=false|Sentiment::markable_25::Intensity=medium|EmoExpression::markable_26::SubjectiveFact=false|Sentiment::markable_25::Sentiment=True Sentiment::markable_25::Sentiment=True case=acc|Target::markable_27::Anaphref=empty|num=pl|Target::markable_27::Preferred=true|gender=fem|Sentiment::markable_25::Sentiment=True|Target::markable_27::Target=True case=acc|gender=fem|Sentiment::markable_25::Sentiment=True|num=pl|Target::markable_27::Target=True Sentiment::markable_25::Sentiment=True _
350698135019982848	positive	RT @JohnSturges : Früher verbrannte Politik Hexen , heute verspricht sie dem Wähler Milliardengeschenke . Symbolpolitik gestern und heute ;-)	RT @JohnSturges : früher verbrennen Politik Hexe|Hexen , heute versprechen sie die Wähler Milliardengeschenke . Symbolpolitik gestern und heute ;-)	NE ADJD $. ADV VVFIN NN NN $, ADV VVFIN PPER ART NN NN $. NN ADV KON ADV $(	0/-- 1/PD 2/-- 5/MO 3/-- 5/SB 5/OA 7/-- 10/MO 5/CJ 10/SB 13/NK 10/DA 10/OA 14/-- 15/-- 16/MO 17/CD 18/CJ 19/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True _ comp=True pers=3|num=sg|tense=past|mood=ind case=acc|gender=fem|num=sg case=nom|gender=fem|num=pl _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pers=3 case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=acc|gender=neut|num=pl _ case=nom|gender=fem|num=sg _ _ _ EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false
374222913320124416	positive	Danke aus USA ! ;-) MT @ARDde @Christiane @planspark #Livestream #ARDMediathek auch im Ausland http://t.co/kVuXV1OGEH ab 20.15 Uhr #tvduell	Dank aus USA ! ;-) MT @ARDde @Christiane @planspark #Livestream #ARDMediathek auch in Ausland http://t.co/kVuXV1OGEH ab @card@ Uhr #tvduell	NN APPR NE $. $( ADJA NN NE NN NN NN ADV APPRART NN NE APPR CARD NN NN	0/-- 1/MNR 2/NK 3/-- 6/-- 7/NK 4/-- 7/-- 8/-- 9/-- 10/NK 13/MO 10/PAR 13/NK 14/NK 13/CJ 18/NK 16/NK 18/NK	EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false _ case=nom|*=True|num=pl _ EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false case=nom|gender=neut|num=pl|pos=True case=nom|gender=neut|num=pl case=nom|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg case=dat|*=True|num=sg _ _ gender=fem|*=True pos=True
383213928559693824	positive	" Antiautoritäre tendenzlinke Naivlibertäre " ist die treffenste Beschreibung der #PPat die ich je hörte :) http://t.co/oqsrxYhjup	" antiautoritär tendenzlinke Naivlibertäre " sein die treffenste Beschreibung die #PPat die ich je hören :) http://t.co/oqsrxYhjup	$( ADJA ADJA NN $( VAFIN ART ADJA NN ART NN PRELS PPER ADV VVFIN ADJA NN	2/-- 4/NK 4/NK 6/PD 4/-- 0/-- 9/NK 9/NK 6/SB 11/NK 9/AG 15/OA 15/SB 15/MO 9/RC 17/NK 15/OA	Sentiment::markable_31::Intensity=strong|Sentiment::markable_31::Sarcasm=false|Sentiment::markable_31::Sentiment=True|Sentiment::markable_31::Polarity=positive case=nom|EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|gender=neut|pos=True|EmoExpression::markable_35::EmoExpression=True|num=pl|EmoExpression::markable_35::SubjectiveFact=false|Sentiment::markable_31::Sentiment=True|EmoExpression::markable_35::Polarity=negative case=nom|EmoExpression::markable_36::EmoExpression=True|gender=neut|pos=True|EmoExpression::markable_36::Intensity=medium|num=pl|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|Sentiment::markable_31::Sentiment=True|EmoExpression::markable_36::Polarity=negative|EmoExpression::markable_36::Sarcasm=false case=nom|EmoExpression::markable_37::Uncertain=false|gender=neut|EmoExpression::markable_37::Sarcasm=false|Sentiment::markable_31::Sentiment=True|EmoExpression::markable_37::EmoExpression=True|num=pl|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=negative Sentiment::markable_31::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_31::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True|sup=True case=nom|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=gen|Target::markable_34::Target=True|num=sg|Target::markable_34::Anaphref=empty|gender=fem|Sentiment::markable_31::Sentiment=True|Target::markable_34::Preferred=true case=acc|gender=fem|num=sg|Sentiment::markable_31::Sentiment=True case=nom|pers=1|num=sg|Source::markable_32::Source=True|*=True|Sentiment::markable_31::Sentiment=True|Source::markable_32::Anaphref=empty Sentiment::markable_31::Sentiment=True pers=1|num=sg|tense=past|mood=ind|Sentiment::markable_31::Sentiment=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_31::Sentiment=True case=acc|gender=masc|num=sg
370604383614304256	positive	Größer als #myLGS ? :D RT @Fl0range Die #myLGS hat von mir gerade eine 8 x10m große orange Plane geschenkt bekommen :) #PIRATEN #DresdenOrange	groß als #myLGS ? :D RT @Fl0range die #myLGS haben von ich gerade eine 8 x10m groß orange Plane schenken bekommen :) #PIRATEN #DresdenOrange	ADJD KOKOM NN $. NN NE NN ART NN VAFIN APPR PPER ADV ART CARD ADJA ADJA ADJA NN VVPP VVFIN ADJA NN ADJA	0/-- 3/CM 1/CC 3/-- 4/-- 5/NK 5/PD 9/NK 10/SB 7/-- 20/SBP 11/NK 20/MO 19/NK 16/MO 19/NK 19/NK 19/NK 10/SB 10/OC 23/NK 23/NK 24/OA 20/MO	comp=True _ case=nom|gender=fem|num=sg _ case=nom|EmoExpression::markable_38::Sarcasm=false|EmoExpression::markable_38::EmoExpression=True|gender=fem|EmoExpression::markable_38::Uncertain=false|EmoExpression::markable_38::Intensity=medium|EmoExpression::markable_38::Polarity=positive|num=sg|EmoExpression::markable_38::SubjectiveFact=false case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|*=True|num=sg|pers=1 _ case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ _ EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|EmoExpression::markable_39::Polarity=positive|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True
355241171917864961	positive	RT @jerryweyer : @PP_Flaschenpost Momentan brauchen wir Geld :) Also diese Spendenplattform sharen , mit Tag #Neiwahlen : https://t.co/1jD5Tx8…	RT @jerryweyer : @PP_Flaschenpost momentan brauchen wir Geld :) also dies Spendenplattform sharen , mit Tag #Neiwahlen : https://t.co/1jD5Tx8…	NE NE $. NN ADJD VVFIN PPER NN ADJD ADV PDAT NN VVFIN $, APPR NN NN $. NN	2/PNC 0/-- 2/-- 3/-- 6/MO 4/-- 6/SB 6/OA 6/MO 6/MO 12/NK 6/OA 6/MO 13/-- 6/MO 15/NK 16/NK 17/-- 6/OA	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg pos=True pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|gender=neut|num=sg case=acc|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::SubjectiveFact=false|gender=neut|EmoExpression::markable_40::Sarcasm=false|num=sg|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::Polarity=positive _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg pers=3|num=pl|tense=pres|mood=ind _ _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True _ case=nom|gender=neut|num=pl
371723710790909952	positive	@hoferchr ja , tut er bei mir . Natürlich nicht jeden Tag und ich habe noch Wasser und grünen Tee dazu :)	@hoferchr ja , tun er bei ich . natürlich nicht jede Tag und ich haben noch Wasser und grün Tee dazu :)	NN ADV $, VVFIN PPER APPR PPER $. ADV PTKNEG PIAT NN KON PPER VAFIN ADV NN KON ADJA NN PAV ADJA	0/-- 4/MO 2/-- 1/-- 4/SB 4/MO 6/NK 7/-- 12/MO 12/NG 12/NK 15/CJ 15/JU 15/SB 8/-- 17/MO 15/OA 17/CD 20/NK 18/CJ 17/NK 15/MO	case=nom|gender=fem|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 _ case=dat|*=True|num=sg|pers=1 _ _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=acc|gender=neut|num=sg _ case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg _ case=gen|EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|gender=masc|EmoExpression::markable_41::Polarity=positive|EmoExpression::markable_41::Sarcasm=false|pos=True|num=pl|EmoExpression::markable_41::SubjectiveFact=false
