tweetid	sentiment	text
311907658150072322	negative	So und nun Papst bis zum Abwinken , ich mach mal Twitter und Fernsehen aus %PosSmiley
311948937328222208	positive	Man könnte den Eindruck bekommen , Til Schweiger ist jetzt Papst ... %PosSmiley
311835939909541888	negative	"Ich bin ja nur Papst geworden weil ich damals beim Konklave "" Reise nach Jerusalem "" verloren habe . %NegSmiley"
311911823802789889	positive	keine Ahnung ... ich gucke ja nicht . %PosSmiley Papst Wei
311918156706889729	negative	Auweia ! Jetzt sind die Brasilianer aber angepisst %NegSmiley papst
311923777149751297	positive	aber hallo und der Papst sitzt in der ersten Reihe %PosSmiley %PosSmiley
311830847240171520	positive	Treffen sich zwei Päpste ... Oh , ab demnächst ist das ja gar nicht mehr so unwahrscheinlich %PosSmiley Papst
311918748091170816	positive	Das war noch nicht der Papst %PosSmiley
311916502221737985	positive	' habemus papam ' we have a popa , wir haben einen papst ! %PosSmiley
311882272737484800	positive	Ich glaub , die Möwe auf dem Schornstein trended gleich %PosSmiley . konklave papst
311918277322473472	positive	Naja so wirklich jünger is er halt nicht , aber naja .. Jetzt wisse mal des auch %PosSmiley Papst
311804389490831360	negative	Stimmt . Wo bleibt der Allmächtige ? Hat er sich von seinen Stellvertretern auf Erden abgewandt ? %NegSmiley Papst Vatikan Kardinäle Gott
311974095426306049	negative	Wieder kein Moslem als Papst . %NegSmiley
311910338427777024	negative	Hoffentlich ist es nicht Silvio Berlusconi %PosSmiley Papst und so
311911221500719105	positive	Stellt euch vor der Vatikan wäre in Holland , dann wüssten wir jetzt schon er papst ist , kein Gardinen in holland %PosSmiley
311923156531167232	positive	du irritierst Gerade den Inhalt meiner timeline ... %PosSmiley Papst
311905819895681024	positive	OH JA PAPST - da weiss ich schon dass wir morgen in Religion nicht viel machen werden ausser reden %PosSmiley
311916442901696514	positive	Der Papst muss sich noch Schminken %PosSmiley hat mein Bruder gesagt %PosSmiley %PosSmiley
311916495951253504	positive	Beim ZDF bibbern sie schon : Komm endlich raus , Papst ! Um 20:45 Uhr kommt Fussball ! %PosSmiley
