322318691100397568	positive	@EinfachJohannes die rote hose ist ja mal mega *-*	@EinfachJohannes die rot Hose sein ja mal mega *-*	NN ART ADJA NN VAFIN ADV ADV NN XY	0/-- 4/NK 4/NK 5/SB 1/-- 5/MO 8/MO 5/PD 8/NK	case=nom|gender=neut|num=sg case=nom|Target::markable_3::Anaphref=empty|gender=fem|Target::markable_3::Preferred=true|num=sg|Target::markable_3::Target=True|Sentiment::markable_2::Intensity=medium|Sentiment::markable_2::Sarcasm=false|Sentiment::markable_2::Polarity=positive|Sentiment::markable_2::Sentiment=True case=nom|num=sg|Target::markable_3::Target=True|gender=fem|pos=True|Sentiment::markable_2::Sentiment=True case=nom|gender=fem|num=sg|Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_2::Sentiment=True Sentiment::markable_2::Sentiment=True Sentiment::markable_2::Sentiment=True EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::EmoExpression=True|*=True|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium|Sentiment::markable_2::Sentiment=True EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|*=True|EmoExpression::markable_1::Sarcasm=false|Sentiment::markable_2::Sentiment=True|EmoExpression::markable_1::Intensity=medium
328258644674224128	mixed	@wuarrr ich will wieder tief rappen ! :(	@wuarrr ich wollen wieder tief rappen ! :(	NN PPER VMFIN ADV ADJD VVINF $. ADJA	0/-- 3/SB 1/-- 6/MO 6/MO 3/OC 6/-- 7/--	case=nom|gender=masc|num=sg case=nom|pers=1|num=sg|*=True|Source::markable_100500221::Source=True|Source::markable_100500221::Anaphref=empty EmoExpression::markable_100500222::Intensity=medium|mood=ind|EmoExpression::markable_100500222::SubjectiveFact=false|EmoExpression::markable_100500222::Sarcasm=false|pers=1|num=sg|tense=pres|EmoExpression::markable_100500222::Polarity=positive|EmoExpression::markable_100500222::EmoExpression=True|EmoExpression::markable_100500222::Uncertain=false _ Target::markable_100500223::Target=True|Target::markable_100500223::Preferred=true|pos=True|Target::markable_100500223::Anaphref=empty Target::markable_100500223::Target=True _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=negative
327297468352040960	positive	@ArminWolf ich war brav und hab die zib2 gesehen #strebertweet :-)	@ArminWolf ich sein brav und haben die zib2 sehen #strebertweet :-)	NN PPER VAFIN ADJD KON VAIMP ART NN VVPP ADJA $(	0/-- 3/SB 1/-- 3/PD 3/CD 10/NK 8/NK 9/OA 10/MO 5/CJ 10/--	case=nom|gender=masc|num=sg case=nom|Sentiment::markable_6::Polarity=positive|Target::markable_7::Preferred=true|Sentiment::markable_6::Sentiment=True|*=True|Sentiment::markable_6::Sarcasm=false|pers=1|Sentiment::markable_6::Intensity=medium|num=sg|Target::markable_7::Target=True|Target::markable_7::Anaphref=empty pers=1|Sentiment::markable_6::Sentiment=True|num=sg|tense=past|mood=ind EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|Sentiment::markable_6::Sentiment=True|pos=True|EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false _ pers=3|num=sg|tense=past|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=acc|gender=fem|num=sg|pos=True case=acc|EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|gender=fem|EmoExpression::markable_9::SubjectiveFact=false|num=sg|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::EmoExpression=True
328220039897563137	positive	@logansworldwide joa . Ah ok . Yeay *-* hm nicht viel . Hab mir die bravo vorhin durchgelesen . Und das BTR poster abfotografiert xD stell es	@logansworldwide Joa . ah ok . Yeay *-* hm nicht viel . haben ich die bravo vorhin durchlesen . und die BTR poster abfotografieren xD stellen es	NN NE $. ITJ VVFIN $. NE XY XY PTKNEG ADV $. VAIMP PPER ART ITJ ADV VVPP $. KON ART NE NN VVPP ADJA VVIMP PPER	0/-- 1/-- 2/-- 5/DM 3/-- 5/-- 6/-- 9/PNC 6/-- 11/NG 7/MO 11/-- 18/NK 18/DA 16/NK 17/DM 18/MO 12/-- 18/-- 24/JU 22/NK 24/SB 22/NK 19/-- 26/NK 24/PAR 26/OA	case=nom|gender=masc|num=pl case=nom|*=True|num=sg _ _ _ _ EmoExpression::markable_100500219::Uncertain=false|EmoExpression::markable_100500219::Intensity=medium|EmoExpression::markable_100500219::Sarcasm=false|EmoExpression::markable_100500219::SubjectiveFact=false|EmoExpression::markable_100500219::Polarity=positive|EmoExpression::markable_100500219::EmoExpression=True EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false _ _ _ _ pers=3|num=sg|tense=past|mood=ind case=dat|*=True|num=sg|pers=1 case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=gen|gender=fem|num=sg|sup=True _ case=nom|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|gender=neut|pos=True|EmoExpression::markable_11::Intensity=strong|num=sg|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3
323860703297560576	mixed	@Y_TITTY_OG ha ! Du wirst mich beneiden ! :))) Ich hab das noch nicht mal :(	@Y_TITTY_OG ha ! du werden ich beneiden ! :))) ich haben die noch nicht mal :(	NN NE $. PPER VAFIN PRF VVINF $. NN PPER VAIMP PDS ADV PTKNEG ADV ADJD	0/-- 1/-- 2/-- 5/SB 3/-- 7/OA 5/OC 7/-- 8/-- 9/SB 10/NK 9/OA 14/MO 9/NG 14/MO 9/PD	case=nom|gender=neut|num=sg _ _ case=nom|Sentiment::markable_15::Intensity=medium|Sentiment::markable_15::Sarcasm=false|Source::markable_16::Source=True|*=True|Source::markable_16::Anaphref=empty|pers=2|num=sg|Sentiment::markable_15::Polarity=positive|Sentiment::markable_15::Sentiment=True pers=2|Sentiment::markable_15::Sentiment=True|num=sg|tense=pres|mood=ind case=acc|Target::markable_17::Anaphref=empty|Target::markable_17::Preferred=true|Target::markable_17::Target=True|*=True|pers=1|num=sg|Sentiment::markable_15::Sentiment=True EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium Sentiment::markable_15::Sentiment=True case=nom|EmoExpression::markable_19::Uncertain=false|gender=masc|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::EmoExpression=True|num=sg|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_19::Intensity=strong|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=positive case=nom|Sentiment::markable_12::Sentiment=True|Sentiment::markable_12::Sarcasm=false|Target::markable_14::Anaphref=empty|*=True|pers=1|Target::markable_14::Preferred=true|Sentiment::markable_12::Polarity=negative|num=sg|Target::markable_14::Target=True|Sentiment::markable_12::Intensity=medium pers=1|Sentiment::markable_12::Sentiment=True|num=sg|tense=pres|mood=ind|Target::markable_14::Target=True case=acc|gender=neut|num=sg|Sentiment::markable_12::Sentiment=True|Target::markable_14::Target=True Sentiment::markable_12::Sentiment=True|Target::markable_14::Target=True Sentiment::markable_12::Sentiment=True|Target::markable_14::Target=True Sentiment::markable_12::Sentiment=True|Target::markable_14::Target=True Sentiment::markable_12::Sentiment=True|EmoExpression::markable_13::EmoExpression=True|pos=True|EmoExpression::markable_13::Polarity=negative|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false
323893817159843840	positive	@CtfCrea @gui_99_ davon werde ich aber auch nicht jünger :-)) Nicht auf dem Foto , nicht real :-))	@CtfCrea @gui_99_ davon werden ich aber auch nicht jung :-)) nicht auf die Foto , nicht real :-))	NN ADJD PAV VAFIN PPER ADV ADV PTKNEG ADJD ADJD PTKNEG APPR ART NN $, PTKNEG ADJD ADJA	0/-- 1/-- 18/NK 2/-- 4/SB 4/MO 9/MO 9/NG 10/MO 4/MO 4/NG 4/MO 14/NK 12/NK 14/-- 17/NG 18/MO 4/MO	case=nom|gender=neut|num=sg pos=True _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ _ EmoExpression::markable_100500218::Intensity=medium|EmoExpression::markable_100500218::SubjectiveFact=false|EmoExpression::markable_100500218::EmoExpression=True|EmoExpression::markable_100500218::Polarity=positive|comp=True|EmoExpression::markable_100500218::Sarcasm=false|EmoExpression::markable_100500218::Uncertain=false EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ _ pos=True EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false|EmoExpression::markable_21::Intensity=medium
322304280876957697	mixed	@Michi191 Ne , ich will ja was anderes im Fernsehen sehen ... Aber dabei nicht die Musik ausmachen :(	@Michi191 eine , ich wollen ja was andere in Fernsehen sehen ... aber dabei nicht die Musik ausmachen :(	CARD ART $, PPER VMFIN ADV PIAT PIS APPRART NN VVINF $. KON PAV PTKNEG ART NN VVFIN ADJA	0/-- 8/NK 2/-- 5/SB 1/-- 5/MO 8/NK 11/OA 11/MO 9/NK 5/OC 11/-- 18/JU 18/NK 18/NG 17/NK 18/OA 12/-- 18/MO	_ case=gen|gender=fem|Sentiment::markable_100500226::Sarcasm=false|pers=3|num=sg|Sentiment::markable_100500226::Intensity=medium|Sentiment::markable_100500226::Sentiment=True|Sentiment::markable_100500226::Polarity=positive Sentiment::markable_100500226::Sentiment=True case=nom|Source::markable_100500230::Source=True|Source::markable_100500230::Anaphref=empty|*=True|Source::markable_100500227::Anaphref=empty|pers=1|num=sg|Sentiment::markable_100500226::Sentiment=True|Source::markable_100500227::Source=True EmoExpression::markable_100500230::Sarcasm=false|EmoExpression::markable_100500230::SubjectiveFact=false|EmoExpression::markable_100500233::SubjectiveFact=false|EmoExpression::markable_100500230::Polarity=positive|EmoExpression::markable_100500233::Sarcasm=false|EmoExpression::markable_100500230::EmoExpression=True|EmoExpression::markable_100500233::Intensity=medium|num=sg|tense=pres|EmoExpression::markable_100500230::Intensity=medium|EmoExpression::markable_100500233::Polarity=positive|mood=ind|EmoExpression::markable_100500233::Uncertain=false|pers=1|EmoExpression::markable_100500233::EmoExpression=True|EmoExpression::markable_100500230::Uncertain=false|Sentiment::markable_100500226::Sentiment=True Sentiment::markable_100500226::Sentiment=True case=acc|num=sg|Target::markable_100500229::Target=True|Target::markable_100500229::Preferred=true|gender=neut|Target::markable_100500229::Anaphref=empty|Sentiment::markable_100500226::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_100500226::Sentiment=True|Target::markable_100500229::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_100500226::Sentiment=True|Target::markable_100500229::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_100500226::Sentiment=True|Target::markable_100500229::Target=True Sentiment::markable_100500226::Sentiment=True|Target::markable_100500229::Target=True Sentiment::markable_100500226::Sentiment=True Sentiment::markable_100500230::Sentiment=True|Sentiment::markable_100500230::Polarity=negative|Sentiment::markable_100500230::Sarcasm=false|Sentiment::markable_100500230::Intensity=weak Sentiment::markable_100500230::Sentiment=True Negation::markable_100500232::EmoExpressionRef=empty|Sentiment::markable_100500230::Sentiment=True|Negation::markable_100500232::Negation=True case=acc|num=sg|Target::markable_100500231::Target=True|Target::markable_100500231::Preferred=true|Sentiment::markable_100500230::Sentiment=True|gender=fem|Target::markable_100500231::Anaphref=empty case=acc|gender=fem|num=sg|Target::markable_100500231::Target=True|Sentiment::markable_100500230::Sentiment=True Sentiment::markable_100500230::Sentiment=True|Target::markable_100500231::Target=True EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|gender=fem|*=True|pos=True|EmoExpression::markable_22::EmoExpression=True|num=sg|EmoExpression::markable_22::SubjectiveFact=false|Sentiment::markable_100500230::Sentiment=True|EmoExpression::markable_22::Polarity=negative
327445585055580160	negative	@_Giuulia :(((( Von welchem Verlag sind eure Englischbücher ?	@_Giuulia :(((( von welche Verlag sein euer Englischbücher ?	NE NN APPR PRELS NN VAFIN PPOSAT NN $.	0/-- 6/SB 2/MNR 5/NK 3/NK 1/-- 8/NK 6/SB 8/--	case=nom|gender=neut|num=sg case=nom|EmoExpression::markable_23::SubjectiveFact=false|gender=fem|EmoExpression::markable_23::Intensity=strong|EmoExpression::markable_23::Uncertain=false|num=sg|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=negative|EmoExpression::markable_23::Sarcasm=false _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=3|num=pl|tense=pres|mood=ind case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl _
328180126594506753	positive	So , bin auf dem geburtstag . Lkohol wurde nich nicht verzehrt . Kommt aber no h :)	so , sein auf die Geburtstag . Lkohol werden nich nicht verzehren . kommen aber no h :)	ADV $, VAFIN APPR ART NN $. NN VAFIN ADJD PTKNEG VVPP $. VVFIN ADV NE NN ADJD	3/MO 1/-- 0/-- 3/MO 6/NK 4/NK 6/-- 9/SB 7/-- 12/MO 12/NG 9/OC 12/-- 13/-- 14/MO 17/NK 14/SB 14/MO	_ _ pers=1|num=sg|tense=pres|mood=ind _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=ind _ _ _ _ pers=3|num=sg|tense=pres|mood=ind _ _ _ EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
323728980429647872	positive	@SETTER_ME awww .. thank youu von &lt;3 :) hehe	@SETTER_ME awww .. thank youu von &lt;3 :) hehe	NN ADJA ADJA NN NN APPR CARD NN ADJA	0/-- 3/MO 1/-- 9/SB 4/NK 4/MNR 8/NK 6/NK 3/--	case=nom|gender=fem|num=sg _ case=dat|*=True|num=sg|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ EmoExpression::markable_100500217::Intensity=medium|EmoExpression::markable_100500217::Polarity=positive|EmoExpression::markable_100500217::SubjectiveFact=false|EmoExpression::markable_100500217::EmoExpression=True|EmoExpression::markable_100500217::Uncertain=false|EmoExpression::markable_100500217::Sarcasm=false EmoExpression::markable_25::Polarity=positive|gender=fem|*=True|EmoExpression::markable_25::EmoExpression=True|EmoExpression::markable_25::Intensity=medium|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false pers=3|num=sg|tense=pres|mood=subj
328104229334032384	positive	Sana mag stop na ulit yung car :))	Sana mögen stop na ulit yung car :))	NE VMFIN ITJ ITJ ADJA NN NE ADJA	2/SB 0/-- 6/NK 6/NK 6/NK 8/DA 6/NK 2/SB	case=nom|Sentiment::markable_26::Intensity=medium|Source::markable_27::Anaphref=empty|*=True|Sentiment::markable_26::Polarity=positive|num=sg|Source::markable_27::Source=True|Sentiment::markable_26::Sentiment=True|Sentiment::markable_26::Sarcasm=false EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|mood=ind|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false|pers=3|EmoExpression::markable_28::Intensity=medium|num=sg|tense=pres|EmoExpression::markable_28::Polarity=positive|Sentiment::markable_26::Sentiment=True Target::markable_29::Anaphref=empty|Sentiment::markable_26::Sentiment=True|Target::markable_29::Target=True|pos=True|Target::markable_29::Preferred=true Sentiment::markable_26::Sentiment=True|Target::markable_29::Target=True case=dat|num=sg|gender=fem|Sentiment::markable_26::Sentiment=True|Target::markable_29::Target=True|pos=True case=dat|gender=fem|Target::markable_29::Target=True|num=sg|Sentiment::markable_26::Sentiment=True case=nom|*=True|Target::markable_29::Target=True|num=sg|Sentiment::markable_26::Sentiment=True case=nom|Sentiment::markable_26::Sentiment=True|*=True|EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|num=sg|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false
