sentenceid	sentenceurl	sentence	fact_rater1	fact_rater2	fact_rater3	fact_majority	pol_rater1	pol_rater2	pol_rater3	pol_majority
1	http://www.helmut-zenz.de/hzmausba.htm	Den Weltkrieg wertete er als gerechten Krieg , einen dem deutschen Volk aufgezwungenen Bewährungskampf .	s	s	s	s	+	+	0	+
2	http://www.burhoff.de/rspr/texte/bn_00012.htm	Eine verfestigte Neigung , auf beziehungs- bzw. partnerschaftliche Probleme mit der Begehung von Straftaten zum Nachteil des jeweiligen Partners zu reagieren , stellt sich grundsätzlich auch als eine die Anordnung der Sicherungsverwahrung zu begründen vermögende Persönlichkeitsstörung dar ( zu vgl. BGH Urteil vom 12.12.2002 - 4 StR 343/ 02 - unveröffentlicht ) .	o	o	o	o	-	0	-	-
3	http://www.aktion-leben.de/Religioese_Fragen/sld03.htm	Alle Menschen guten Willens müssen sich einsetzen , besonders in ihrem Berufsbereich und in der Ausübung ihrer Bürgerrechte , damit die moralisch unannehmbaren staatlichen Gesetze und die unerlaubten praktischen Verhaltensweisen geändert werden .	s	s	s	s	0	0	0	0
4	http://www.mpibpc.mpg.de/groups/pr/PR/03_10/	In der Chemotherapie viraler Infektionen und zahlreicher Krebserkrankungen werden häufig Wirkstoffe eingesetzt , die in ihrer Struktur den physiologischen Bausteinen der Nukleinsäuren ähneln .	o	o	o	o	0	0	0	0
5	http://www.nahost-politik.de/fundamentalismus/transfer.htm	Und doch wird in Israel über diese Möglichkeit in jüngster Zeit auf subtile , aber höchst beunruhigende Weise diskutiert .	s	s	s	s	-	-	-	-
6	http://www.napoleon-online.de/html/tb_november.html	Heute Morgen machten die Belagerten einen Ausfall , wurden aber mit bedeutendem Verlust zurückgetrieben .	o	o	o	o	-	0	-	-
7	http://www.canisianum.at/vortraege05/leher05.html	Dann braucht nur irgendein Geheimerlass anzuordnen dass das bei den Geisteskranken erprobte Verfahren auf andere Unproduktive auszudehnen ist , dass es auch bei den unheilbar Lungenkranken , bei den Altersschwachen , bei den Arbeitsinvaliden , bei den schwer kriegsverletzten Soldaten anzuwenden ist .	s	s	s	s	-	-	-	-
8	http://www.lexjahnel.com/	Die Ermittlung des Welteinkommens kann bei Steuerausländern praktische Schwierigkeiten bereiten .	s	o	s	s	-	0	-	-
9	http://www.agpf.de/Bundesregierung79.htm	Die dualistische Sicht teilt die Welt und die Menschen ein in Gut und Böse , Gerettete und Nichtgerettete , Antikommunisten und Kommunisten usw. und bewirkt so eine soziale Abkapselung bis hin zur Ablehnung aller Nichtsektenmitglieder .	s	s	s	s	-	-	-	-
10	http://www.kraftfeld.biz/index.php?module=010100&amp;article=12&amp;s=2573106e3c6de8499b034d6daac197e4	Die große Mehrzahl der Menschen arbeitet nur notgedrungen , und aus dieser natürlichen Arbeitsscheu der Menschen leiten sich die schwierigsten sozialen Probleme ab .	s	s	s	s	-	-	-	-
11	http://horvath.members.1012.at/hunt.htm	Das Wiedererstarken des Islam führt aber auch verstärkt zu fundamentalistischen Bewegungen .	s	s	s	s	-	-	-	-
12	http://www.rosalux.de/fileadmin/rls_uploads/pdfs/Schriften/Rechts_Antifa.pdf	Mit der Ernennung zum Ehrenmitglied des Präsidiums wird sie dem JNF-Berlin mit ihren Erfahrungen als unverzichtbare Kraft erhalten bleiben .	o	s	s	s	+	+	+	+
13	http://beihilfe.rp-kassel.de/static/abt1/ebeihilfe/psychoB.htm	Dies gilt auch dann , wenn sich die Verhaltenstherapie als nicht notwendig erweist .	o	o	s	o	0	0	0	0
