311915164473647104	positive	RT @ericullrich : Jetzt müsste Berlusconi auf dem Balkon erscheinen :) #papst	RT @ericullrich : jetzt müssen Berlusconi auf die Balkon erscheinen :) #papst	NE NE $. ADV VMFIN NN APPR ART NN VVFIN ADJA NN	2/PNC 0/-- 2/-- 5/MO 3/-- 5/SB 10/MO 9/NK 7/NK 5/OC 12/NK 10/OA	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=acc|gender=fem|num=sg|sup=True case=acc|gender=fem|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|gender=masc|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|pos=True|num=sg|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Intensity=medium case=dat|gender=masc|num=sg
311919262602260480	negative	Ich finde der Papst hätte sich Mike nennen sollen . :)	ich finden die Papst haben sich Mike nennen sollen . :)	PPER VVFIN ART NN VAFIN PRF NE VVINF VMFIN $. ADJA	2/SB 0/-- 4/NK 5/SB 2/OC 8/OA 5/SB 9/OC 5/OC 9/-- 10/--	case=nom|Source::markable_100500125::Anaphref=empty|*=True|pers=1|num=sg|Sentiment::markable_100500124::Sarcasm=false|Sentiment::markable_100500124::Intensity=weak|Source::markable_100500125::Source=True|Sentiment::markable_100500124::Polarity=negative|Sentiment::markable_100500124::Sentiment=True EmoExpression::markable_104010498::Sarcasm=false|mood=ind|EmoExpression::markable_104010498::SubjectiveFact=false|EmoExpression::markable_104010498::Uncertain=true|EmoExpression::markable_104010498::Intensity=weak|pers=1|num=sg|tense=pres|EmoExpression::markable_104010498::EmoExpression=True|Sentiment::markable_100500124::Sentiment=True|EmoExpression::markable_104010498::Polarity=positive case=nom|gender=masc|num=sg|Sentiment::markable_100500124::Sentiment=True case=nom|Target::markable_100500126::Preferred=true|num=sg|gender=masc|Sentiment::markable_100500124::Sentiment=True|Target::markable_100500126::Anaphref=empty|Target::markable_100500126::Target=True pers=3|num=sg|tense=past|mood=subj|Sentiment::markable_100500124::Sentiment=True case=dat|pers=3|num=sg|Sentiment::markable_100500124::Sentiment=True case=nom|*=True|num=pl|Sentiment::markable_100500124::Sentiment=True Sentiment::markable_100500124::Sentiment=True pers=3|num=pl|tense=pres|mood=ind|Sentiment::markable_100500124::Sentiment=True Sentiment::markable_100500124::Sentiment=True EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|Sentiment::markable_100500124::Sentiment=True|EmoExpression::markable_2::EmoExpression=True
311903553553833984	positive	Erstmal Papst auf dem Balkon angucken :)	Erstmal Papst auf die Balkon angucken :)	NN NN APPR ART NN VVFIN ADJD	6/SB 1/NK 1/MNR 5/NK 3/NK 0/-- 6/MO	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false
311916893671919616	negative	@GuidoTartarotti apropos stones : es könnte erstmals einen papst geben , der jünger ist als mick jagger ;-)	@GuidoTartarotti apropos stones : es können erstmals eine Papst geben , die jung sein als mick jagger ;-)	NN ADV ADJD $. PPER VMFIN ADV ART NN VVINF $, PRELS ADJD VAFIN KOKOM ADJD NN $(	0/-- 3/MO 6/MO 3/-- 6/SB 1/-- 6/MO 9/NK 10/OA 6/OC 10/-- 14/SB 14/PD 9/RC 16/CM 13/CC 15/NK 17/--	case=nom|gender=masc|num=sg _ pos=True _ case=nom|Sentiment::markable_100500128::Intensity=weak|Sentiment::markable_100500128::Sentiment=True|Sentiment::markable_100500128::Sarcasm=false|gender=neut|Sentiment::markable_100500128::Polarity=negative|pers=3|num=sg pers=3|num=sg|tense=past|mood=subj|Sentiment::markable_100500128::Sentiment=True Sentiment::markable_100500128::Sentiment=True case=acc|Target::markable_100500129::Anaphref=empty|num=sg|Target::markable_100500129::Preferred=true|Sentiment::markable_100500128::Sentiment=True|Target::markable_100500129::Target=True|gender=masc case=acc|gender=masc|num=sg|Sentiment::markable_100500128::Sentiment=True|Target::markable_100500129::Target=True Sentiment::markable_100500128::Sentiment=True Sentiment::markable_100500128::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_100500128::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_100500128::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_100500128::Sentiment=True Sentiment::markable_100500128::Sentiment=True pos=True|Sentiment::markable_100500128::Sentiment=True comp=True|Sentiment::markable_100500128::Sentiment=True EmoExpression::markable_4::Uncertain=false|Sentiment::markable_100500128::Sentiment=True|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True
311925261551693824	positive	RT @AustenKateLOST : Wie auf einmal Papst - Accounts aus dem Boden schießen :)	RT @AustenKateLOST : wie auf einmal Papst - Accounts aus die Boden schießen :)	NE NN $. KOUS APPR ADV NN $( NN APPR ART NN VVFIN ADJA	2/SB 0/-- 2/-- 5/MO 13/MO 5/NK 5/NK 7/-- 7/APP 9/MNR 12/NK 10/NK 3/-- 13/MO	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ _ _ case=acc|gender=fem|num=sg _ case=gen|gender=neut|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=3|num=pl|tense=pres|mood=ind case=acc|EmoExpression::markable_5::Intensity=medium|gender=masc|EmoExpression::markable_5::EmoExpression=True|pos=True|EmoExpression::markable_5::Uncertain=false|num=sg|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::Polarity=positive
311924681429090306	negative	@FraukeTime Ja .. Wir waren Papst .. * schnief * :-( Das waren noch Zeiten .. @HubbelSuse	@FraukeTime Ja .. wir sein Papst .. * schnief * :-( die sein noch Zeit .. @HubbelSuse	ADJA NN NN PPER VAFIN NN ADJA XY ADJD XY $( PDS VAFIN ADV NN ADJA ADJA	0/-- 1/-- 2/NK 5/SB 3/-- 5/PD 6/NK 7/-- 12/MO 7/-- 10/-- 13/SB 7/-- 13/MO 13/SB 13/OC 16/--	_ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=past|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True EmoExpression::markable_100500127::Sarcasm=false|EmoExpression::markable_100500127::Uncertain=false|EmoExpression::markable_100500127::Intensity=weak|EmoExpression::markable_100500127::SubjectiveFact=false|EmoExpression::markable_100500127::Polarity=negative|EmoExpression::markable_100500127::EmoExpression=True EmoExpression::markable_100500127::EmoExpression=True|pos=True EmoExpression::markable_100500127::EmoExpression=True EmoExpression::markable_6::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Polarity=negative|EmoExpression::markable_6::EmoExpression=True case=nom|gender=neut|num=sg pers=3|num=pl|tense=past|mood=ind _ case=nom|gender=fem|num=pl case=nom|gender=fem|num=pl|pos=True _
311953500823228417	negative	Kein schwarzer #Papst . Also wird das Papamobil doch nicht von Westcoast Customs gepimpt :-(	keine schwarz #Papst . also werden die Papamobil doch nicht von Westcoast Customs gepimpt :-(	PIAT ADJA NN $. ADV VAFIN ART NN ADV PTKNEG APPR NN NE ADJA $(	3/NK 3/NK 0/-- 3/-- 6/MO 4/-- 8/NK 6/SB 14/MO 14/NG 14/SBP 11/NK 12/AG 6/OC 14/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ _ case=dat|gender=fem|num=sg case=gen|*=True|num=sg _ EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=negative
311914353316225027	positive	Na jetzt kommt ... spannt uns nicht auf die Folter #Pabst :-)	na jetzt kommen ... spannen wir nicht auf die Folter #Pabst :-)	ITJ ADV VVFIN $. VVFIN PPER PTKNEG APPR ART NN VVFIN $(	2/DM 3/MO 0/-- 3/-- 4/-- 5/SB 5/NG 11/MO 10/NK 8/NK 5/CJ 11/--	_ _ pers=3|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=ind case=acc|*=True|num=pl|pers=1 _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false
311933985074855936	positive	* lach * Judith Juhász wies mich darauf hin , dass der Papst in Ungarn " I. Ferenc " heißt . Das heißt ja dann wohl ... ICH BIN PAPST ;-)	* lachen * Judith Juhász weisen ich darauf hin , dass die Papst in Ungarn " I. Ferenc " heißen . die heißen ja dann wohl ... ich sein Papst ;-)	XY VVIMP XY NE NE VVFIN PRF PAV PTKVZ $, KOUS ART NN APPR NE $( NE NE $( VVFIN $. PDS VVFIN ADV ADV ADV $. PPER VAFIN NN $(	0/-- 0/-- 0/-- 5/PNC 6/SB 0/-- 6/OA 6/NK 6/SVP 9/-- 20/CP 13/NK 20/SB 13/MNR 14/NK 15/-- 18/PNC 15/PAR 18/-- 6/MO 20/-- 23/SB 21/-- 23/MO 23/MO 23/MO 26/-- 29/SB 27/-- 29/PD 30/--	EmoExpression::markable_100500130::Uncertain=false|EmoExpression::markable_100500130::Intensity=medium|EmoExpression::markable_100500130::Sarcasm=false|EmoExpression::markable_100500130::SubjectiveFact=false|EmoExpression::markable_100500130::Polarity=positive|EmoExpression::markable_100500130::EmoExpression=True EmoExpression::markable_100500130::EmoExpression=True EmoExpression::markable_100500130::EmoExpression=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=past|mood=ind case=acc|*=True|num=sg|pers=1 _ _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=neut|num=sg _ *=True case=dat|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=past|mood=ind case=nom|gender=neut|num=sg EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True
311917125470134272	neutral	Bischofberger : " Johannes Paul II. hat als erster Papst eine Doppelnamen gewählt . " Was war mit dem I. desselben ( Doppel - ) Names ?	Bischofberger : " Johannes Paul II. haben als erst Papst eine Doppelname wählen . " was sein mit die I. derselb ( Doppel - ) Names ?	NE $. $( NE NE NE VAFIN KOKOM ADJA NN ART NN VVPP $. $( PWS VAFIN APPR ART NE PDAT $( NN $( $( NN $.	0/-- 1/-- 2/-- 5/PNC 7/SB 5/PNC 1/RS 13/MO 10/NK 8/NK 12/NK 13/OA 7/OC 13/-- 14/-- 17/SB 15/-- 17/MO 20/NK 18/NK 23/NK 21/-- 17/PD 23/-- 24/-- 23/CJ 26/--	case=nom|*=True|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg *=True pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=past|mood=ind _
311916720333942784	positive	@akopalypse nee , es sollte doch ein " junger " zum Papst gewählt werden ;-)	@akopalypse nee , es sollen doch eine " jung " zu Papst wählen werden ;-)	NN VVFIN $, PPER VMFIN ADV ART $( ADJA $( APPRART NN VVPP VAINF $(	0/-- 5/MO 2/-- 5/SB 1/-- 13/MO 9/NK 7/-- 4/RE 9/-- 13/MO 11/NK 14/OC 5/OC 14/--	case=nom|gender=fem|num=sg _ _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=neut|num=sg _ case=gen|gender=masc|num=pl|pos=True _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
