311904570395734016	positive	Ob das das Internet aushält ? Soviel Papst auf einmal . Habemus ... %PosSmiley	ob die die Internet aushalten ? soviele Papst auf einmal . Habemus ... %PosSmiley	KOUS PDS ART NN VVFIN $. PIAT NN APPR ADV $. NN $. ITJ	5/CP 5/SB 4/NK 5/SB 0/-- 5/-- 8/NK 0/-- 8/MNR 9/NK 10/-- 0/-- 12/-- 12/NK	_ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ *=True case=nom|*=True|num=sg _ _ _ case=nom|gender=masc|num=sg _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
311907229513166849	positive	Wer wird jetzt Papst ? Die Spannung steigt und ich nehme noch Tipps entgegen %PosSmiley	wer werden jetzt Papst ? die Spannung steigen und ich nehmen noch Tip entgegen %PosSmiley	PWS VAFIN ADV NN $. ART NN VVFIN KON PPER VVFIN ADV NN PTKVZ ITJ	2/SB 0/-- 2/MO 2/PD 4/-- 7/NK 8/SB 0/-- 8/CD 11/SB 9/CJ 11/MO 11/OA 11/SVP 11/DM	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg _ case=nom|gender=fem|EmoExpression::markable_104013042::SubjectiveFact=false|EmoExpression::markable_104013042::Uncertain=false|EmoExpression::markable_104013042::Intensity=medium|num=sg|EmoExpression::markable_104013042::EmoExpression=True|EmoExpression::markable_104013042::Polarity=positive|EmoExpression::markable_104013042::Sarcasm=false case=nom|gender=fem|num=sg|EmoExpression::markable_104013042::EmoExpression=True pers=3|num=sg|tense=pres|mood=ind|EmoExpression::markable_104013042::EmoExpression=True _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=pl _ EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True
311924188925526017	positive	Mute das Wort Papst doch %PosSmiley	Mut die Wort Papst doch %PosSmiley	NN ART NN NN ADV ITJ	0/-- 3/NK 1/OA 3/NK 3/MNR 5/DM	case=nom|gender=fem|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg _ EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false
311927020424671232	mixed	Also alles wie gehabt : Franziskus ist Schwul enhetzer ! %NegSmiley Wenn er das auch als Papst bleibt , hat er bei mir verschissen !	also alle wie haben : Franziskus sein schwul enhetzer ! %NegSmiley wenn er die auch als Papst bleiben , haben er bei ich verscheißen !	ADV PIS KOKOM VAPP $. NE VAFIN ADJD NN $. ITJ KOUS PPER PDS ADV KOKOM NN VVFIN $, VAFIN PPER APPR PPER VVPP $.	4/MO 4/SB 4/CM 7/CJ 4/-- 7/SB 0/-- 9/NK 7/PD 9/-- 1/DM 18/CP 18/SB 18/OA 16/MO 18/MO 16/NK 24/MO 18/-- 0/-- 20/SB 24/MO 22/NK 20/OC 24/--	_ case=nom|gender=neut|num=sg _ _ _ case=gen|Sentiment::markable_4::Sentiment=True|Source::markable_5::Anaphref=empty|gender=neut|Sentiment::markable_4::Sarcasm=false|Sentiment::markable_4::Polarity=negative|num=sg|Source::markable_5::Source=True|Sentiment::markable_4::Intensity=medium pers=3|Sentiment::markable_4::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|Sentiment::markable_4::Sentiment=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::EmoExpression=True|gender=neut|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::SubjectiveFact=false|EmoExpression::markable_7::Polarity=negative|Target::markable_6::Target=True|num=sg|Target::markable_6::Preferred=true|Target::markable_6::Anaphref=empty case=nom|gender=neut|num=sg|Sentiment::markable_4::Sentiment=True|EmoExpression::markable_7::EmoExpression=True Sentiment::markable_4::Sentiment=True Sentiment::markable_4::Sentiment=True|EmoExpression::markable_10050091::EmoExpression=True|EmoExpression::markable_10050091::Intensity=medium|EmoExpression::markable_10050091::Sarcasm=false|EmoExpression::markable_10050091::Uncertain=false|EmoExpression::markable_10050091::Polarity=negative|EmoExpression::markable_10050091::SubjectiveFact=false _ case=nom|gender=masc|num=sg|pers=3 case=acc|gender=neut|num=sg _ _ case=nom|Target::markable_11::Anaphref=empty|num=sg|Target::markable_11::Preferred=true|Target::markable_11::Target=True|gender=masc pers=3|num=sg|tense=pres|mood=ind _ Sentiment::markable_8::Intensity=medium|mood=ind|Sentiment::markable_8::Sentiment=True|Sentiment::markable_8::Sarcasm=false|pers=3|num=sg|tense=pres|Sentiment::markable_8::Polarity=positive case=nom|Target::markable_10::Anaphref=markable_11|gender=masc|Sentiment::markable_8::Sentiment=True|pers=3|num=sg|Target::markable_10::Preferred=true|Target::markable_10::Target=True Sentiment::markable_8::Sentiment=True case=dat|pers=1|Source::markable_12::Anaphref=empty|num=sg|Source::markable_12::Source=True|*=True|Sentiment::markable_8::Sentiment=True EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=negative|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=strong|Sentiment::markable_8::Sentiment=True|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True _
311880626007576578	positive	Das wohl heute meistgesehene Tier der Welt %PosSmiley Papst Vatikan Rom	die wohl heute meistgesehene Tier die Welt %PosSmiley Papst Vatikan Rom	ART ADV ADV ADJA NN ART NN ITJ NN NN NE	5/NK 4/MO 4/MO 5/NK 0/-- 7/NK 5/AG 9/NK 5/PAR 11/PNC 9/NK	case=nom|gender=neut|num=sg _ _ case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|pos=True|EmoExpression::markable_13::SubjectiveFact=false case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=neut|num=sg
311920793984593920	positive	Ich finde den Papst putzig %PosSmiley	ich finden die Papst putzig %PosSmiley	PPER VVFIN ART NN ADJD ITJ	2/SB 0/-- 4/NK 2/OA 2/MO 2/DM	case=nom|Source::markable_15::Source=True|Sentiment::markable_14::Sentiment=True|Sentiment::markable_14::Polarity=positive|*=True|Sentiment::markable_14::Intensity=medium|pers=1|num=sg|Source::markable_15::Anaphref=empty|Sentiment::markable_14::Sarcasm=false pers=1|Sentiment::markable_14::Sentiment=True|num=sg|tense=pres|mood=ind case=acc|gender=masc|Sentiment::markable_14::Sentiment=True|num=sg case=acc|Sentiment::markable_14::Sentiment=True|num=sg|Target::markable_16::Target=True|gender=masc|Target::markable_16::Anaphref=empty|Target::markable_16::Preferred=true EmoExpression::markable_17::SubjectiveFact=false|Sentiment::markable_14::Sentiment=True|EmoExpression::markable_17::Polarity=positive|pos=True|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium Sentiment::markable_14::Sentiment=True|EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium
311919273033490432	negative	Kein schwarzer Papst %NegSmiley Typisch für die sog . " Kinderficker Sekte " , keine Weltoffenheit .	keine schwarz Papst %NegSmiley typisch für die saugen . " Kinderficker Sekt|Sekte " , keine Weltoffenheit .	PIAT ADJA NN ITJ ADJD APPR PDS VVFIN $. $( ADJA NN $( $, PIAT NN $.	3/NK 3/NK 8/SB 8/DM 8/MO 8/MO 6/NK 0/-- 8/-- 9/-- 12/NK 0/-- 12/-- 13/-- 16/NK 12/CJ 16/--	case=nom|Target::markable_21::Target=True|Target::markable_21::Anaphref=empty|gender=masc|Sentiment::markable_19::Intensity=medium|num=sg|Sentiment::markable_19::Sentiment=True|Sentiment::markable_19::Sarcasm=false|Sentiment::markable_19::Polarity=negative|Target::markable_21::Preferred=true case=nom|num=sg|Target::markable_21::Target=True|Sentiment::markable_19::Sentiment=True|gender=masc|pos=True case=nom|gender=masc|num=sg|Target::markable_21::Target=True|Sentiment::markable_19::Sentiment=True EmoExpression::markable_20::Uncertain=false|mood=ind|EmoExpression::markable_20::Sarcasm=false|pers=3|EmoExpression::markable_20::EmoExpression=True|num=sg|tense=pres|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive pos=True _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ EmoExpression::markable_10050094::Sarcasm=false|*=True|EmoExpression::markable_10050094::Polarity=negative|pos=True|EmoExpression::markable_10050094::Intensity=strong|EmoExpression::markable_10050094::Uncertain=false|EmoExpression::markable_10050094::SubjectiveFact=false|EmoExpression::markable_10050094::EmoExpression=True case=nom|gender=neut|num=pl|EmoExpression::markable_10050094::EmoExpression=True _ _ case=acc|gender=fem|num=sg case=acc|EmoExpression::markable_104013043::SubjectiveFact=false|gender=fem|EmoExpression::markable_104013043::Uncertain=false|EmoExpression::markable_104013043::Intensity=medium|num=sg|EmoExpression::markable_104013043::Sarcasm=false|EmoExpression::markable_104013043::Polarity=positive|EmoExpression::markable_104013043::EmoExpression=True _
311973799417487360	neutral	Wieder kein Moslem als Papst . %NegSmiley	wieder keine Moslem als Papst . %NegSmiley	ADV PIAT NN KOKOM NN $. ITJ	3/MO 3/NK 0/-- 3/CD 4/NK 5/-- 0/NK	_ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg _ _
311919683538399232	positive	Leute , die nach 1978 geboren sind , haben noch nie einen italienischen Papst erlebt %PosSmiley Konklave	Leute , die nach @card@ gebären sein , haben noch nie eine italienisch Papst erleben %PosSmiley Konklave	NN $, PRELS APPR CARD VVPP VAFIN $, VAFIN ADV ADV ART ADJA NN VVPP ITJ NN	9/SB 1/-- 7/SB 6/MO 4/NK 7/OC 1/RC 7/-- 0/-- 11/MO 15/MO 14/NK 14/NK 15/OA 9/OC 17/NK 15/OA	case=nom|*=True|num=pl _ case=nom|*=True|num=pl _ _ _ pers=3|num=pl|tense=pres|mood=ind _ pers=3|num=pl|tense=pres|mood=ind _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive gender=masc|*=True
311902654093737984	negative	Ich will keinen schwarzen Papst %NegSmiley	ich wollen keine schwarz Papst %NegSmiley	PPER VMFIN PIAT ADJA NN ITJ	2/SB 0/-- 5/NK 5/NK 2/OA 5/NK	case=nom|Sentiment::markable_23::Sarcasm=false|Sentiment::markable_23::Intensity=medium|Source::markable_24::Source=True|*=True|pers=1|Source::markable_24::Anaphref=empty|num=sg|Sentiment::markable_23::Sentiment=True|Sentiment::markable_23::Polarity=negative mood=ind|EmoExpression::markable_25::Polarity=positive|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::EmoExpression=True|pers=1|EmoExpression::markable_25::Intensity=medium|num=sg|tense=pres|Sentiment::markable_23::Sentiment=True|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false case=acc|Target::markable_27::Anaphref=empty|Target::markable_27::Preferred=true|gender=masc|Negation::markable_26::Negation=True|Negation::markable_26::EmoExpressionRef=empty|num=sg|Sentiment::markable_23::Sentiment=True|Target::markable_27::Target=True case=acc|num=sg|Sentiment::markable_23::Sentiment=True|gender=masc|pos=True|Target::markable_27::Target=True case=acc|gender=masc|num=sg|Target::markable_27::Target=True|Sentiment::markable_23::Sentiment=True EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=negative|Sentiment::markable_23::Sentiment=True|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false
312088650450100224	positive	Alle reden vom Papst ich Bete %PosSmiley %Link	alle reden von Papst ich beten %PosSmiley %Link	PIS VVFIN APPRART NN PPER VVFIN ITJ XY	2/SB 0/-- 2/MO 3/NK 6/SB 2/CJ 6/DM 7/NK	case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false _
