327476868259409922	positive	Cheets ! http://t.co/nh6ZZPhVuo schauen wir mal , ob der @RRRattle grad raus geht :) #fb	Cheets ! http://t.co/nh6ZZPhVuo schauen wir mal , ob die @RRRattle grad raus gehen :) #fb	NN $. NN VVFIN PPER ADV $, KOUS ART NN VVFIN ADV VVFIN ADJA NN	0/-- 1/-- 4/MO 2/-- 4/SB 4/MO 6/-- 4/OP 10/NK 8/NK 13/MO 11/MO 10/-- 15/NK 13/SB	_ _ _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=acc|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|gender=masc|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|pos=True|num=sg|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Intensity=medium case=acc|gender=masc|num=sg
322433320413720576	positive	Und ich will auf ein Konzert ... :((	und ich wollen auf eine Konzert ... :((	KON PPER VMFIN APPR ART NN $. ADJA	3/JU 3/SB 0/-- 3/MO 6/NK 4/NK 6/-- 7/--	Sentiment::markable_100500208::Intensity=medium|Sentiment::markable_100500208::Sentiment=True|Sentiment::markable_100500208::Polarity=positive|Sentiment::markable_100500208::Sarcasm=false case=nom|pers=1|num=sg|Source::markable_100500209::Source=True|Sentiment::markable_100500208::Sentiment=True|Source::markable_100500209::Anaphref=empty|*=True mood=ind|EmoExpression::markable_100500210::Uncertain=false|Sentiment::markable_100500208::Sentiment=True|EmoExpression::markable_100500210::Intensity=medium|EmoExpression::markable_100500210::EmoExpression=True|pers=1|EmoExpression::markable_100500210::Polarity=positive|num=sg|tense=pres|EmoExpression::markable_100500210::Sarcasm=false|EmoExpression::markable_100500210::SubjectiveFact=false Sentiment::markable_100500208::Sentiment=True case=acc|num=sg|Target::markable_100500211::Anaphref=empty|Sentiment::markable_100500208::Sentiment=True|gender=neut|Target::markable_100500211::Preferred=true|Target::markable_100500211::Target=True case=acc|gender=neut|num=sg|Sentiment::markable_100500208::Sentiment=True|Target::markable_100500211::Target=True Sentiment::markable_100500208::Sentiment=True EmoExpression::markable_2::Uncertain=false|Sentiment::markable_100500208::Sentiment=True|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=negative|EmoExpression::markable_2::EmoExpression=True
323886945191206912	positive	@ArndtS dieses mal lesen sich diese testnachrichten wirklich , wie Nachrichten aus einer eckkneipe :-) sehr lustig #vhs Hamburg	@ArndtS dies mal lesen sich diese testnachrichten wirklich , wie Nachricht aus eine Eckkneipe :-) sehr lustig #vhs Hamburg	NN PDAT ADV VVFIN PRF PDS VVFIN ADJD $, KOKOM NN APPR ART NN $( ADV ADJA NN NE	0/-- 3/NK 4/MO 1/-- 4/OA 7/SB 4/SB 7/MO 8/-- 11/CM 7/MO 11/MNR 14/NK 12/NK 14/-- 17/MO 18/NK 11/PAR 18/AG	case=nom|gender=neut|num=sg case=acc|Sentiment::markable_6::Polarity=positive|Sentiment::markable_6::Intensity=medium|num=sg|gender=neut|Sentiment::markable_6::Sentiment=True|Sentiment::markable_6::Sarcasm=false Sentiment::markable_6::Sentiment=True pers=3|Sentiment::markable_6::Sentiment=True|num=pl|tense=pres|mood=ind case=acc|pers=3|Sentiment::markable_6::Sentiment=True|num=pl case=nom|num=pl|Target::markable_7::Target=True|Target::markable_7::Preferred=true|gender=masc|Sentiment::markable_6::Sentiment=True|Target::markable_7::Anaphref=empty pers=3|num=pl|tense=past|mood=ind|Target::markable_7::Target=True|Sentiment::markable_6::Sentiment=True Sentiment::markable_6::Sentiment=True|pos=True Sentiment::markable_6::Sentiment=True Sentiment::markable_6::Sentiment=True case=nom|gender=fem|Sentiment::markable_6::Sentiment=True|num=pl Sentiment::markable_6::Sentiment=True case=dat|gender=fem|Sentiment::markable_6::Sentiment=True|num=sg case=dat|gender=fem|Sentiment::markable_6::Sentiment=True|num=sg EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|Sentiment::markable_6::Sentiment=True|EmoExpression::markable_8::Uncertain=false Intensifier::markable_4::EmoExpressionRef=emo-expression:markable_3|Sentiment::markable_6::Sentiment=True|Intensifier::markable_4::Intensifier=True|Intensifier::markable_4::Degree=strong EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|Sentiment::markable_6::Sentiment=True|pos=True|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::Uncertain=false gender=fem|*=True|num=pl case=nom|gender=neut|num=sg
322370446563635200	negative	ok war gelogen , ich hab gar kein whatsapp :(	ok sein lügen , ich haben gar keine whatsapp :(	NN VAFIN VVPP $, PPER VAIMP ADV PIAT ADJA NN	2/SB 0/-- 2/PD 3/-- 2/SB 10/NK 8/MO 10/NK 10/NK 2/PD	_ pers=3|num=sg|tense=past|mood=ind EmoExpression::markable_100500212::Uncertain=false|EmoExpression::markable_100500212::Polarity=negative|EmoExpression::markable_100500212::Sarcasm=false|EmoExpression::markable_100500212::Intensity=medium|EmoExpression::markable_100500212::SubjectiveFact=false|EmoExpression::markable_100500212::EmoExpression=True _ case=nom|Target::markable_11::Anaphref=empty|Sentiment::markable_9::Intensity=medium|gender=masc|pers=1|num=sg|Target::markable_11::Preferred=true|Sentiment::markable_9::Sentiment=True|Sentiment::markable_9::Sarcasm=false|Target::markable_11::Target=True|Sentiment::markable_9::Polarity=negative pers=1|num=sg|tense=past|mood=ind|Sentiment::markable_9::Sentiment=True|Target::markable_11::Target=True Target::markable_11::Target=True|Sentiment::markable_9::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_9::Sentiment=True|Target::markable_11::Target=True case=nom|num=sg|Target::markable_11::Target=True|gender=neut|Sentiment::markable_9::Sentiment=True|pos=True case=nom|EmoExpression::markable_10::Intensity=medium|gender=neut|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::Uncertain=false|num=sg|EmoExpression::markable_10::Polarity=negative|EmoExpression::markable_10::Sarcasm=false|Sentiment::markable_9::Sentiment=True|EmoExpression::markable_10::SubjectiveFact=false
327355256096829440	positive	@Studisopherl ja :) man bezeichnet es heute aber eher als Zukunftstag : 3	@Studisopherl ja :) man bezeichnen es heute aber eher als Zukunftstag : 3	NN ADV ADJD PIS VVFIN PPER ADV ADV ADV KOKOM NN $. CARD	0/-- 3/MO 5/MO 5/SB 1/-- 5/OA 5/MO 5/MO 5/MO 11/CM 9/CC 11/-- 5/MO	case=nom|gender=neut|num=sg _ EmoExpression::markable_12::Intensity=medium|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::SubjectiveFact=false|EmoExpression::markable_12::EmoExpression=True|pos=True case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ _ _ _ case=nom|gender=masc|num=sg _ _
328037357553057793	negative	@zombiekitty78 Das hab ich noch nicht getestet :-( Möööööp !	@zombiekitty78 die haben ich noch nicht testen :-( Möööööp !	NN PDS VAIMP PPER ADV PTKNEG VVPP $( NN $.	0/-- 7/OA 7/NK 7/SB 6/MO 7/NG 1/-- 7/-- 7/OA 9/--	case=nom|gender=fem|num=sg case=acc|Sentiment::markable_13::Sarcasm=false|Target::markable_14::Anaphref=empty|gender=neut|Target::markable_14::Preferred=true|num=sg|Target::markable_14::Target=True|Sentiment::markable_13::Polarity=negative|Sentiment::markable_13::Sentiment=True|Sentiment::markable_13::Intensity=medium case=acc|gender=neut|num=sg|Target::markable_14::Target=True|Sentiment::markable_13::Sentiment=True case=nom|pers=1|num=sg|Target::markable_14::Target=True|Sentiment::markable_13::Sentiment=True|*=True Target::markable_14::Target=True|Sentiment::markable_13::Sentiment=True Target::markable_14::Target=True|Sentiment::markable_13::Sentiment=True Target::markable_14::Target=True|Sentiment::markable_13::Sentiment=True EmoExpression::markable_15::Polarity=negative|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|Sentiment::markable_13::Sentiment=True|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false case=nom|gender=neut|num=sg _
323851330143789058	positive	@Baslan_68 @Elera_mortis @Deathcat2508 Als Tipp für den angehenden Spielleiter : Fang mit einer Kneipschlägerei zum Kennenlernen an . :)	@Baslan_68 @Elera_mortis @Deathcat2508 als Tip für die angehend Spielleiter : Fang mit eine Kneipschlägerei zu Kennenlernen an . :)	CARD NN CARD KOKOM NN APPR ART ADJA NN $. NN APPR ART NN APPRART NN PTKVZ $. ADJA	0/-- 1/-- 2/-- 11/MO 4/NK 5/MNR 9/NK 9/NK 6/NK 9/-- 3/-- 11/MNR 14/NK 12/NK 14/MNR 15/NK 11/SVP 17/-- 18/--	_ _ _ _ case=nom|gender=masc|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ case=acc|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ _ EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium
323917563979522048	mixed	@Hardcoresofti das was sie nach dem Arsch retweetet haben . :)	@Hardcoresofti die was sie nach die Arsch retweetet haben . :)	NN PDS PRELS PPER APPR ART NN VVPP VAFIN $. ADJA	0/-- 9/SB 8/OA 8/OA 8/MO 7/NK 5/NK 9/OC 1/-- 9/-- 10/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=acc|pers=3|*=True _ case=dat|gender=masc|num=sg case=dat|EmoExpression::markable_100500213::SubjectiveFact=false|EmoExpression::markable_100500213::Sarcasm=false|EmoExpression::markable_100500213::EmoExpression=True|gender=masc|EmoExpression::markable_100500213::Uncertain=false|EmoExpression::markable_100500213::Intensity=strong|EmoExpression::markable_100500213::Polarity=negative|num=sg _ pers=3|num=pl|tense=pres|mood=ind _ EmoExpression::markable_19::EmoExpression=True|EmoExpression::markable_19::Uncertain=false|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=positive
322128150563803136	positive	NNNoooiiiinnnn .... Laing hatte heute ein Kurzkonzert in Berlin :( #fb	NNNoooiiiinnnn .... Laing haben heute eine Kurzkonzert in Berlin :( #fb	NE ADJA NN VAFIN ADV ART NN APPR NE ADJA ADJA	2/SB 0/-- 4/SB 2/-- 4/MO 7/NK 4/SB 7/MNR 8/NK 11/NK 7/PAR	case=nom|Sentiment::markable_100500216::Sentiment=True|gender=neut|Sentiment::markable_100500216::Polarity=positive|Sentiment::markable_100500216::Sarcasm=false|EmoExpression::markable_100500218::Uncertain=false|EmoExpression::markable_100500218::Intensity=medium|num=sg|EmoExpression::markable_100500218::EmoExpression=True|EmoExpression::markable_100500218::SubjectiveFact=false|EmoExpression::markable_100500218::Polarity=positive|EmoExpression::markable_100500218::Sarcasm=false|Sentiment::markable_100500216::Intensity=medium case=nom|gender=neut|num=sg|Sentiment::markable_100500216::Sentiment=True|pos=True case=nom|Target::markable_100500217::Preferred=true|num=sg|Sentiment::markable_100500216::Sentiment=True|Target::markable_100500217::Anaphref=empty|gender=masc|Target::markable_100500217::Target=True pers=3|num=sg|tense=past|mood=ind|Target::markable_100500217::Target=True|Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True|Target::markable_100500217::Target=True case=acc|gender=neut|num=sg|Sentiment::markable_100500216::Sentiment=True|Target::markable_100500217::Target=True case=acc|gender=neut|num=sg|Sentiment::markable_100500216::Sentiment=True|Target::markable_100500217::Target=True Sentiment::markable_100500216::Sentiment=True|Target::markable_100500217::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_100500216::Sentiment=True|Target::markable_100500217::Target=True case=acc|EmoExpression::markable_20::Uncertain=false|Sentiment::markable_100500216::Sentiment=True|gender=neut|EmoExpression::markable_20::Sarcasm=false|pos=True|EmoExpression::markable_20::EmoExpression=True|num=sg|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=negative case=acc|gender=neut|num=sg|pos=True
322273151843172352	positive	@RajkoMg tja wie immer halt :-))) ich liiiiiiebe dich auch mein Herzchen &lt;3	@RajkoMg tja wie immer halt :-))) ich liiiiiiebe du auch mein Herzchen &lt;3	NE NE KOKOM ADV ADV ADJD PPER VVFIN PPER ADV PPOSAT NN CARD	0/-- 8/OG 4/CM 6/MO 6/MO 8/MO 8/SB 1/-- 8/OA 8/MO 12/NK 8/OA 12/NK	_ _ _ _ _ EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|pos=True|EmoExpression::markable_21::Intensity=medium|EmoExpression::markable_21::Sarcasm=false case=nom|Sentiment::markable_22::Intensity=medium|*=True|Sentiment::markable_22::Sentiment=True|pers=1|Source::markable_23::Source=True|num=sg|Sentiment::markable_22::Sarcasm=false|Source::markable_23::Anaphref=empty|Sentiment::markable_22::Polarity=positive mood=ind|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Intensity=strong|Sentiment::markable_22::Sentiment=True|pers=1|num=sg|tense=pres|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false case=acc|*=True|Sentiment::markable_22::Sentiment=True|pers=2|num=sg|Target::markable_25::Target=True|Target::markable_25::Preferred=true|Target::markable_25::Anaphref=empty Sentiment::markable_22::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_22::Sentiment=True case=acc|gender=neut|EmoExpression::markable_100500214::SubjectiveFact=false|Sentiment::markable_22::Sentiment=True|EmoExpression::markable_100500214::Sarcasm=false|num=sg|EmoExpression::markable_100500214::Polarity=positive|EmoExpression::markable_100500214::EmoExpression=True|EmoExpression::markable_100500214::Uncertain=false|EmoExpression::markable_100500214::Intensity=medium EmoExpression::markable_100500215::SubjectiveFact=false|EmoExpression::markable_100500215::Polarity=positive|EmoExpression::markable_100500215::Sarcasm=false|EmoExpression::markable_100500215::Uncertain=false|EmoExpression::markable_100500215::EmoExpression=True|EmoExpression::markable_100500215::Intensity=medium|Sentiment::markable_22::Sentiment=True
323821102872813568	positive	@Fl0range man kommt rum . :) wenn keine Vorlesung dazwischen kommt , dann wäre ich dabei .	@Fl0range man kommen rum . :) wenn keine Vorlesung dazwischen kommen , dann sein ich dabei .	NN PIS VVFIN PTKVZ $. NN KOUS PIAT NN PAV VVFIN $, ADV VAFIN PPER PAV $.	0/-- 3/SB 1/-- 3/SVP 4/-- 14/PD 11/CP 9/NK 11/SB 9/NK 13/RE 11/-- 14/MO 5/-- 14/SB 6/NK 15/--	case=nom|gender=masc|num=pl case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|gender=masc|EmoExpression::markable_26::Polarity=positive|num=sg|EmoExpression::markable_26::SubjectiveFact=false _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ _ pers=3|num=sg|tense=past|mood=subj case=nom|*=True|num=sg|pers=1 _ _
