322807225670316032	mixed	Stimmt , da war ja noch was %PosSmiley Unter Zeitdruck Mehdorn Berlin Hauptstadtbahnhof ber ...	stimmen , da sein ja noch was %PosSmiley unter Zeitdruck Mehdorn Berlin Hauptstadtbahnhof ber ...	VVFIN $, KOUS VAFIN ADV ADV PIS ITJ APPR NN NE NE NN VVFIN $.	0/-- 1/-- 14/CP 14/MO 7/MO 7/MO 13/OA 9/MO 13/MO 9/NK 12/PNC 10/NK 4/SB 1/MO 14/--	EmoExpression::markable_104014313::Uncertain=false|mood=ind|EmoExpression::markable_104014313::SubjectiveFact=false|pers=3|EmoExpression::markable_104014313::EmoExpression=True|num=sg|tense=pres|EmoExpression::markable_104014313::Sarcasm=false|EmoExpression::markable_104014313::Polarity=positive|EmoExpression::markable_104014313::Intensity=medium _ _ pers=3|num=sg|tense=past|mood=ind _ _ gender=neut|*=True case=gen|gender=neut|num=sg EmoExpression::markable_104014314::EmoExpression=True|EmoExpression::markable_104014314::Intensity=medium|EmoExpression::markable_104014314::Uncertain=false|EmoExpression::markable_104014314::SubjectiveFact=false|EmoExpression::markable_104014314::Polarity=negative|EmoExpression::markable_104014314::Sarcasm=false case=dat|gender=masc|num=sg|EmoExpression::markable_104014314::EmoExpression=True case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg _ _
337308402231422976	mixed	Ich dachte der Russe sitzt wegen Geflügeldiebstahl im Knast ? Du vladi mir Putin ... %PosSmiley	ich denken die Russe sitzen wegen Geflügeldiebstahl in Knast ? du Vladi ich Putin ... %PosSmiley	PPER VVFIN ART NN VVFIN APPR NN APPRART NN $. PPER NE PRF NE $. ITJ	2/SB 0/-- 4/NK 5/SB 2/OC 5/MO 6/NK 7/MNR 8/NK 9/-- 14/SB 13/APP 11/NK 0/-- 14/-- 14/NK	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|EmoExpression::markable_104014315::SubjectiveFact=true|gender=masc|EmoExpression::markable_104014315::Intensity=medium|num=sg|EmoExpression::markable_104014315::EmoExpression=True|EmoExpression::markable_104014315::Uncertain=false|EmoExpression::markable_104014315::Polarity=negative|EmoExpression::markable_104014315::Sarcasm=false case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|*=True|num=sg|pers=2 case=nom|gender=masc|num=sg case=dat|*=True|num=sg|pers=1 _ _ EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True
338036865615663104	negative	Merkel hat schief gesungen und Ralph Siegel hat es nicht gemerkt ! %NegSmiley MilliVanilli ESC Cascada	Merkel haben schief singen und Ralph Siegel haben es nicht merken ! %NegSmiley MilliVanilli ESC Cascada	NE VAFIN ADJD VVPP KON NE NN VAFIN PPER PTKNEG VVPP $. ITJ NE NE NE	2/SB 0/-- 4/MO 2/OC 2/CD 7/PNC 8/SB 5/CJ 11/OA 11/NG 8/OC 11/-- 11/NK 16/PNC 16/PNC 0/--	case=nom|Target::markable_4::Preferred=true|Target::markable_4::Anaphref=empty|Sentiment::markable_3::Sentiment=True|*=True|Target::markable_4::Target=True|Sentiment::markable_3::Sarcasm=false|num=sg|Sentiment::markable_3::Polarity=negative|Sentiment::markable_3::Intensity=medium pers=3|Sentiment::markable_3::Sentiment=True|num=sg|tense=pres|mood=ind EmoExpression::markable_5::Intensity=medium|Sentiment::markable_3::Sentiment=True|pos=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::Polarity=negative Sentiment::markable_3::Sentiment=True|EmoExpression::markable_5::EmoExpression=True _ case=nom|Sentiment::markable_6::Polarity=negative|Target::markable_7::Preferred=true|gender=masc|Sentiment::markable_6::Sentiment=True|Sentiment::markable_6::Sarcasm=false|Sentiment::markable_6::Intensity=medium|num=sg|Target::markable_7::Target=True|Target::markable_7::Anaphref=empty case=nom|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg|Target::markable_7::Target=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_7::Target=True|Sentiment::markable_6::Sentiment=True case=acc|pers=3|num=sg|Target::markable_7::Target=True|gender=neut|Sentiment::markable_6::Sentiment=True Sentiment::markable_6::Sentiment=True|Target::markable_7::Target=True Sentiment::markable_6::Sentiment=True|Target::markable_7::Target=True Sentiment::markable_6::Sentiment=True EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=negative|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false|Sentiment::markable_6::Sentiment=True *=True *=True *=True
338039826781704195	positive	Wusste gar nicht , dass man Pro Nold sein kann . Was ist denn ein Nold ? %PosSmiley spd	wissen gar nicht , dass man pro Nold sein können . was sein denn eine Nold ? %PosSmiley spd	VVFIN ADV PTKNEG $, KOUS PIS APPR NE VAINF VMFIN $. PWS VAFIN ADV ART NE $. ITJ VVFIN	0/-- 3/MO 1/NG 3/-- 10/CP 10/SB 9/PD 7/NK 10/OC 1/OC 10/-- 13/SB 0/-- 13/MO 16/NK 13/SB 16/-- 16/NK 0/--	pers=3|num=sg|tense=past|mood=ind _ _ _ _ case=nom|*=True|num=sg _ case=acc|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True _
333671907947868160	positive	%User vieleicht denkt die bundeskanzlerin daran %PosSmiley	%User vieleicht denken die Bundeskanzlerin daran %PosSmiley	NE ADJD VVFIN ART NN PAV ITJ	3/SB 1/MNR 0/-- 5/NK 3/SB 7/NK 5/NK	case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
319560647975268352	neutral	Nächste Woche , dann ist auch die Kanzlerin zurück vom Baden ... %PosSmiley Wann geht es denn bei Phoenix wieder los ? ( .. %PosSmiley	nah Woche , dann sein auch die Kanzlerin zurück von Baden ... %PosSmiley wann gehen es denn bei Phoenix wieder los ? ( .. %PosSmiley	ADJA NN $, ADV VAFIN ADV ART NN PTKVZ APPRART NE $. ITJ PWAV VVFIN PPER ADV APPR NE ADV ADJD $. $( NN ITJ	2/NK 4/RE 2/-- 5/MO 0/-- 8/MO 8/NK 5/SB 10/MO 8/MNR 10/NK 11/-- 11/NK 15/MO 0/-- 15/EP 15/MO 15/MO 18/NK 15/MO 15/MO 21/-- 24/-- 0/-- 0/NK	case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ _ case=dat|*=True|num=sg _ _ _ _ case=nom|gender=fem|num=sg _
334754200242233345	positive	Bremen also ... dann rückt mal das Datum raus , dass man Flüge frühzeitig buchen kann bitte %PosSmiley %User %PosSmiley	Bremen also ... dann rücken mal die Datum raus , dass man Flug frühzeitig buchen können bitte %PosSmiley %User %PosSmiley	NE ADV $. ADV VVFIN ADV ART NN PTKVZ $, KOUS PIS NN ADJD VVINF VMFIN PTKANT ITJ NE ITJ	0/-- 1/MO 2/-- 5/MO 0/-- 5/MO 8/NK 5/SB 5/SVP 9/-- 16/CP 16/SB 15/OA 15/MO 16/OC 4/RE 18/NK 19/NK 16/SB 16/DM	case=nom|gender=neut|num=sg _ _ _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ _ case=nom|*=True|num=sg case=acc|gender=masc|num=pl pos=True _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_12::Intensity=medium|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::SubjectiveFact=false|EmoExpression::markable_12::EmoExpression=True
322788411238928384	negative	Der Minister hätte in Anführungszeichen gehört . Unterlassungssünde . Aber als Neubanker " regiert " er ja unser Geld . %NegSmiley	die Minister haben in Anführungszeichen gehören . Unterlassungssünde . aber als Neubanker " regieren " er ja unser Geld . %NegSmiley	ART NN VAFIN APPR NN VVFIN $. NN $. ADV KOKOM NN $( VVPP $( PPER ADV PPOSAT NN $. ITJ	2/NK 3/SB 0/-- 6/MO 4/NK 3/OC 6/-- 0/-- 8/-- 14/MO 12/CM 10/CC 12/-- 0/-- 14/-- 14/SB 14/MO 19/NK 14/OA 19/-- 0/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=subj _ case=acc|gender=neut|num=pl pers=3|num=sg|tense=pres|mood=ind _ case=nom|EmoExpression::markable_100500205::EmoExpression=True|gender=masc|EmoExpression::markable_100500205::Polarity=negative|EmoExpression::markable_100500205::Sarcasm=false|num=pl|EmoExpression::markable_100500205::SubjectiveFact=false|EmoExpression::markable_100500205::Uncertain=false|EmoExpression::markable_100500205::Intensity=weak _ _ Sentiment::markable_13::Sarcasm=false|Sentiment::markable_13::Polarity=negative|Sentiment::markable_13::Sentiment=True|Sentiment::markable_13::Intensity=medium case=nom|gender=masc|num=sg|Sentiment::markable_13::Sentiment=True Sentiment::markable_13::Sentiment=True Target::markable_14::Target=True|Target::markable_14::Anaphref=empty|mood=ind|pers=3|Target::markable_14::Preferred=true|num=sg|tense=pres|Sentiment::markable_13::Sentiment=True Target::markable_14::Target=True|Sentiment::markable_13::Sentiment=True case=nom|pers=3|num=sg|Target::markable_14::Target=True|Sentiment::markable_13::Sentiment=True|gender=masc Target::markable_14::Target=True|Sentiment::markable_13::Sentiment=True case=acc|gender=neut|num=sg|Target::markable_14::Target=True|Sentiment::markable_13::Sentiment=True case=acc|gender=neut|num=sg|Target::markable_14::Target=True|Sentiment::markable_13::Sentiment=True Sentiment::markable_13::Sentiment=True EmoExpression::markable_15::Polarity=negative|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|Sentiment::markable_13::Sentiment=True|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false
335490040325103616	negative	in Berlin lassen sie mich nicht wählen ( weil aus Bayern %NegSmiley die PARTEI auf meinen Wahlzettel , u zwar sofort , Herr Seehofer !	in Berlin lassen sie ich nicht wählen ( weil aus Bayer %NegSmiley die Partei auf mein Wahlzettel , u zwar sofort , Herr Seehofer !	APPR NE VVFIN PPER PRF PTKNEG VVINF $( KOUS APPR NN ITJ ART NN APPR PPOSAT NN $, VVFIN ADV ADV $, NN NE $.	3/MO 1/NK 0/-- 3/SB 7/OA 3/NG 3/OC 7/-- 10/CP 3/MO 10/NK 11/NK 14/NK 3/OA 3/MO 17/NK 15/NK 17/-- 3/CJ 19/MO 19/MO 21/-- 21/APP 23/NK 24/--	Target::markable_17::Target=True|Target::markable_17::Preferred=true|Sentiment::markable_16::Polarity=negative|Sentiment::markable_16::Intensity=medium|Target::markable_17::Anaphref=empty|Sentiment::markable_16::Sentiment=True|Sentiment::markable_16::Sarcasm=false case=dat|gender=neut|num=sg|Sentiment::markable_16::Sentiment=True|Target::markable_17::Target=True pers=3|num=pl|tense=pres|mood=ind|Target::markable_17::Target=True|Sentiment::markable_16::Sentiment=True case=nom|pers=3|num=pl|Target::markable_17::Target=True|*=True|Sentiment::markable_16::Sentiment=True case=acc|pers=1|num=sg|Target::markable_17::Target=True|*=True|Sentiment::markable_16::Sentiment=True Target::markable_17::Target=True|Sentiment::markable_16::Sentiment=True Target::markable_17::Target=True|Sentiment::markable_16::Sentiment=True Sentiment::markable_16::Sentiment=True Sentiment::markable_16::Sentiment=True Sentiment::markable_16::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_16::Sentiment=True case=dat|EmoExpression::markable_18::EmoExpression=True|gender=neut|Sentiment::markable_16::Sentiment=True|EmoExpression::markable_18::Intensity=medium|num=sg|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=negative|EmoExpression::markable_18::Sarcasm=false case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _
319539793098838016	positive	wehe , wenn der mit spd marke in mein büro kommt ! %PosSmiley	wehen , wenn die mit spd Marke in mein Büro kommen ! %PosSmiley	VVFIN $, KOUS ART APPR ADJA NN APPR PPOSAT NN VVFIN $. ITJ	0/-- 1/-- 11/CP 11/SB 11/MO 7/NK 5/NK 11/MO 10/NK 8/NK 1/MO 11/-- 1/DM	EmoExpression::markable_20::Uncertain=false|mood=subj|EmoExpression::markable_20::Sarcasm=false|Sentiment::markable_19::Intensity=medium|pers=3|EmoExpression::markable_20::EmoExpression=True|num=sg|tense=pres|Sentiment::markable_19::Sentiment=True|Sentiment::markable_19::Sarcasm=false|EmoExpression::markable_20::Intensity=medium|Sentiment::markable_19::Polarity=positive|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=negative Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True case=nom|num=sg|Target::markable_21::Target=True|Sentiment::markable_19::Sentiment=True|Target::markable_21::Anaphref=empty|gender=masc|Target::markable_21::Preferred=true Target::markable_21::Target=True|Sentiment::markable_19::Sentiment=True case=dat|num=sg|Target::markable_21::Target=True|Sentiment::markable_19::Sentiment=True|gender=masc|pos=True case=dat|gender=masc|num=sg|Target::markable_21::Target=True|Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_19::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_19::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_22::Polarity=positive
319199311915253760	negative	Hat die spd jetzt einen Kanzlerkandidaten ? %PosSmiley ' Mit Peer wird ' s schwer ' .	haben die spd jetzt eine Kanzlerkandidat ? %PosSmiley ' mit Peer werden ' s schwer ' .	VAFIN ART ADJA ADV ART NN $. ITJ $( APPR NE VAFIN $( NN ADJD $( $.	0/-- 3/NK 1/SB 1/MO 6/NK 1/OA 6/-- 6/NK 10/-- 15/MO 10/NK 0/-- 12/-- 12/SB 12/PD 15/-- 16/--	pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false _ Sentiment::markable_24::Intensity=medium|Sentiment::markable_24::Sarcasm=false|Sentiment::markable_24::Polarity=negative|Sentiment::markable_24::Sentiment=True case=dat|Sentiment::markable_24::Sentiment=True|num=sg|Target::markable_25::Target=True|Target::markable_25::Preferred=true|*=True|Target::markable_25::Anaphref=empty EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|mood=ind|EmoExpression::markable_26::Intensity=medium|EmoExpression::markable_26::Polarity=negative|pers=3|Sentiment::markable_24::Sentiment=True|num=sg|tense=pres|EmoExpression::markable_26::SubjectiveFact=false|EmoExpression::markable_26::Uncertain=false Sentiment::markable_24::Sentiment=True|EmoExpression::markable_26::EmoExpression=True case=nom|pers=3|num=sg|Sentiment::markable_24::Sentiment=True|gender=neut|EmoExpression::markable_26::EmoExpression=True EmoExpression::markable_104014316::SubjectiveFact=false|EmoExpression::markable_26::EmoExpression=True|pos=True|EmoExpression::markable_104014316::Uncertain=false|Sentiment::markable_24::Sentiment=True|EmoExpression::markable_104014316::Intensity=medium|EmoExpression::markable_104014316::Sarcasm=false|EmoExpression::markable_104014316::Polarity=negative|EmoExpression::markable_104014316::EmoExpression=True Sentiment::markable_24::Sentiment=True _
