373986383125176320	positive	das ganze plakative Gehabe lass ich mal durchgehen weil ' ' wahlkampf ' ' ist %PosSmiley	die ganz plakative Gehabe laß ich mal durchgehen weil ' ' Wahlkampf ' ' sein %PosSmiley	ART ADJA ADJA NN ADJD PPER ADV VVFIN KOUS $( $( NN $( $( VAFIN ITJ	4/NK 4/NK 4/NK 8/OA 8/MO 8/SB 8/MO 0/-- 15/CP 9/-- 10/-- 15/SB 12/-- 13/-- 8/MO 7/DM	case=nom|Sentiment::markable_100500229::Intensity=medium|Sentiment::markable_100500229::Sentiment=True|gender=neut|Target::markable_100500230::Anaphref=empty|Sentiment::markable_100500229::Polarity=positive|num=sg|Sentiment::markable_100500229::Sarcasm=false|Target::markable_100500230::Target=True|Target::markable_100500230::Preferred=true case=nom|num=sg|Sentiment::markable_100500229::Sentiment=True|Target::markable_100500230::Target=True|gender=neut|pos=True case=nom|EmoExpression::markable_100500231::Intensity=medium|Sentiment::markable_100500229::Sentiment=True|gender=neut|pos=True|EmoExpression::markable_100500231::Sarcasm=false|num=sg|EmoExpression::markable_100500231::Polarity=positive|Target::markable_100500230::Target=True|EmoExpression::markable_100500231::SubjectiveFact=false|EmoExpression::markable_100500231::Uncertain=false|EmoExpression::markable_100500231::EmoExpression=True case=nom|EmoExpression::markable_100500415::EmoExpression=True|Sentiment::markable_100500229::Sentiment=True|EmoExpression::markable_100500415::Uncertain=false|gender=neut|EmoExpression::markable_100500415::Sarcasm=false|EmoExpression::markable_100500415::Intensity=medium|num=sg|Target::markable_100500230::Target=True|EmoExpression::markable_100500415::SubjectiveFact=false|EmoExpression::markable_100500415::Polarity=negative _ case=nom|*=True|num=sg|pers=1 _ _ _ _ _ case=acc|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
349812581860515840	positive	%PosSmiley Die letzte von mir verfolgbare Quelle dieses Artikels geht in Richtung CSU : " Die Arche und die Bürokratie "	%PosSmiley die letzt von ich verfolgbar Quelle dies Artikel gehen in Richtung CSU : " die Arche und die Bürokratie "	ITJ ART ADJA APPR PPER ADJA NN PDAT NN VVFIN APPR NN NE $. $( ART NN KON ART NN $(	10/DM 7/NK 7/NK 6/SBP 4/NK 7/NK 10/SB 9/NK 7/AG 0/-- 10/MO 11/NK 12/NK 13/-- 14/-- 17/NK 12/PAR 17/CD 20/NK 18/CJ 20/--	EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True _ case=dat|*=True|num=sg|pers=1 case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=gen|gender=neut|num=sg case=gen|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _
382855677909016577	positive	GroKo ohne CSU ? Booten Merkel und Gabriel den Seehofer Horsti aus ? Ein gewagtes Gedankenspiel . %PosSmiley %Link btw13	GroKo ohne CSU ? Boot Merkel und Gabriel die Seehofer Horsti aus ? eine gewagt Gedankenspiel . %PosSmiley %Link btw13	NE APPR NE $. NN NE KON NE ART NE NE PTKVZ $. ART ADJA NN $. ITJ XY VVFIN	0/-- 1/MO 2/NK 3/-- 0/-- 5/NK 6/CD 7/CJ 11/NK 11/PNC 8/AG 5/SVP 12/-- 16/NK 16/NK 0/-- 16/-- 20/DM 18/NK 0/--	case=nom|gender=masc|num=sg _ case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=pl case=nom|*=True|num=sg _ case=nom|*=True|num=sg case=acc|gender=masc|num=sg case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false _ pers=3|num=pl|tense=pres|mood=ind
380771514653876224	neutral	Zeit für eine Schwarze Socken Kampagne %PosSmiley Bouffier ( CDU ) schliesst Koalition mit AfD nicht aus ...	Zeit für eine schwarz Socke Kampagne %PosSmiley Bouffier ( CDU ) schließen Koalition mit AfD nicht aus ...	NN APPR ART ADJA NN NN ITJ NN $( NE $( VVFIN NN APPR NN PTKNEG PTKVZ $.	12/SB 1/MNR 5/NK 5/NK 2/NK 8/PNC 8/NK 1/CJ 8/-- 1/PAR 10/-- 0/-- 12/OA 13/MNR 14/NK 12/NG 12/SVP 17/--	case=nom|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=dat|gender=masc|num=pl case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg _ case=dat|gender=fem|num=sg _ _ _
381190481176432640	positive	WAHLVERSPRECHEN : Wenn wir die 5% holen komme ich zum LPT in Bottrop im Fummel %PosSmiley	Wahlversprechen : wenn wir die @card@ holen kommen ich zu LPT in Bottrop in fummeln %PosSmiley	NN $. KOUS PPER ART CARD VVINF VVFIN PPER APPRART NN APPR NE APPRART VVIMP ITJ	8/PD 1/-- 8/CP 8/SB 7/OA 7/MO 8/OC 0/-- 8/SB 8/MO 10/NK 11/MNR 12/NK 8/MO 14/NK 14/NK	case=nom|gender=neut|num=sg _ _ case=nom|*=True|num=pl|pers=1 case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
372707803686653952	mixed	Parteiisch : Es braucht mehr Piraten wie %User , weniger juvenil - rotzige Egomanen %PosSmiley . piraten	parteiisch : es brauchen mehr Pirat wie %User , weniger juvenil - rotzige Egomanen %PosSmiley . piraten	ADJD $. PPER VVFIN PIAT NN KOKOM NE $, ADV ADJD $( ADJA NN ITJ $. ADJA	4/MO 1/-- 4/EP 0/-- 6/NK 4/OA 8/CM 6/CC 8/-- 11/MO 4/MO 11/-- 14/NK 4/OA 16/NK 14/-- 4/MO	pos=True _ case=nom|Sentiment::markable_100500239::Sentiment=True|Sentiment::markable_100500239::Intensity=medium|gender=neut|pers=3|Sentiment::markable_100500239::Polarity=comparison|num=sg|Sentiment::markable_100500239::Sarcasm=false pers=3|Sentiment::markable_100500239::Sentiment=True|num=sg|tense=pres|mood=ind EmoExpression::markable_100500241::Uncertain=false|EmoExpression::markable_100500241::Polarity=positive|EmoExpression::markable_100500241::Sarcasm=false|*=True|Sentiment::markable_100500239::Sentiment=True|EmoExpression::markable_100500241::Intensity=medium|EmoExpression::markable_100500241::SubjectiveFact=false|EmoExpression::markable_100500241::EmoExpression=True case=acc|Sentiment::markable_100500239::Sentiment=True|num=pl|Target::markable_100500240::Anaphref=empty|gender=masc|Target::markable_100500240::Target=True|Target::markable_100500240::Preferred=true Sentiment::markable_100500239::Sentiment=True|Target::markable_100500240::Target=True case=nom|gender=masc|num=sg|Target::markable_100500240::Target=True|Sentiment::markable_100500239::Sentiment=True Sentiment::markable_100500239::Sentiment=True Sentiment::markable_100500239::Sentiment=True|EmoExpression::markable_100500242::Polarity=negative|EmoExpression::markable_100500242::EmoExpression=True|EmoExpression::markable_100500242::Uncertain=false|EmoExpression::markable_100500242::Intensity=weak|EmoExpression::markable_100500242::Sarcasm=false|EmoExpression::markable_100500242::SubjectiveFact=false Sentiment::markable_100500239::Sentiment=True|Target::markable_100500243::Target=True|Target::markable_100500243::Preferred=false|pos=True|Target::markable_100500243::Anaphref=empty Sentiment::markable_100500239::Sentiment=True|Target::markable_100500243::Target=True case=acc|Sentiment::markable_100500239::Sentiment=True|num=pl|gender=fem|Target::markable_100500243::Target=True|pos=True case=acc|gender=fem|num=pl|Target::markable_100500243::Target=True|Sentiment::markable_100500239::Sentiment=True Sentiment::markable_100500239::Sentiment=True|EmoExpression::markable_6::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Polarity=positive|EmoExpression::markable_6::EmoExpression=True Sentiment::markable_100500239::Sentiment=True _
382551743185186816	mixed	Seehofer hat die Grünen ausgeschlossen , aber die Linke nicht . %PosSmiley	Seehofer haben die Grüne ausschließen , aber die Linke nicht . %PosSmiley	NE VAFIN ART NN VVPP $, KON ART NN PTKNEG $. ITJ	2/SB 0/-- 4/NK 5/OA 2/OC 5/-- 2/CD 9/NK 10/PAR 7/CJ 10/-- 0/NK	case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl EmoExpression::markable_100500416::EmoExpression=True|EmoExpression::markable_100500416::Uncertain=false|EmoExpression::markable_100500416::Intensity=medium|EmoExpression::markable_100500416::SubjectiveFact=false|EmoExpression::markable_100500416::Sarcasm=false|EmoExpression::markable_100500416::Polarity=negative _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive
354915348241317889	negative	Manche Parallelen zu Österreich verblüffen %PosSmiley Klaus Jarchow zu den politischen Parteien in Deutschland : " Die ...	manche Parallele zu Österreich verblüffen %PosSmiley Klaus Jarchow zu die politisch Partei in Deutschland : " die ...	PIS NN APPR NE VVFIN ITJ NE NE APPR ART ADJA NN APPR NE $. $( PRELS $.	2/NK 5/SB 2/MNR 3/NK 0/-- 8/NK 8/PNC 5/OA 5/MO 12/NK 12/NK 9/NK 5/MO 13/NK 14/-- 15/-- 6/NK 16/--	case=nom|Target::markable_100500227::Target=True|*=True|Sentiment::markable_100500226::Sarcasm=false|num=pl|Sentiment::markable_100500226::Intensity=medium|Sentiment::markable_100500226::Polarity=negative|Target::markable_100500227::Anaphref=empty|Sentiment::markable_100500226::Sentiment=True|Target::markable_100500227::Preferred=true case=nom|*=True|num=pl|Sentiment::markable_100500226::Sentiment=True|Target::markable_100500227::Target=True Sentiment::markable_100500226::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_100500226::Sentiment=True mood=ind|EmoExpression::markable_100500228::Polarity=negative|pers=3|EmoExpression::markable_100500228::Sarcasm=false|num=pl|tense=pres|EmoExpression::markable_100500228::Intensity=medium|EmoExpression::markable_100500228::Uncertain=false|EmoExpression::markable_100500228::SubjectiveFact=false|Sentiment::markable_100500226::Sentiment=True|EmoExpression::markable_100500228::EmoExpression=True EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false|Sentiment::markable_100500226::Sentiment=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=pl case=dat|gender=fem|num=pl|pos=True case=dat|gender=fem|num=pl _ case=dat|gender=neut|num=sg _ _ _ _
373750517752938496	neutral	Du darfst auch mit undDu twittern %PosSmiley Ist TVDuell offiziell ? Oder gibt es wieder 1000 verschiedene ?	du dürfen auch mit undDu twittern %PosSmiley sein TVDuell offiziell ? oder geben es wieder 1000 verschieden ?	PPER VMFIN ADV APPR ADJA NN ITJ VAFIN NN ADJD $. KON VVFIN PPER ADV CARD ADJA $.	2/SB 0/-- 4/MO 2/MO 6/NK 4/NK 8/NK 2/CJ 8/SB 8/PD 10/-- 13/JU 0/-- 13/EP 13/MO 17/NK 13/OA 17/--	case=nom|*=True|num=sg|pers=2 pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|gender=neut|num=pl|pos=True case=dat|gender=neut|num=pl *=True pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg pos=True _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ _ case=acc|gender=neut|num=pl|pos=True _
376071223014199297	positive	Ist die Heute Show auch aus der Schweiz abrufbar ? %PosSmiley	sein die heute Show auch aus die Schweiz abrufbar ? %PosSmiley	VAFIN PDS ADV NN ADV APPR ART NE ADJD $. ITJ	0/-- 1/SB 1/MO 1/PD 6/MO 4/MNR 8/NK 6/NK 1/PD 9/-- 9/DM	pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg pos=True _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
381761230928879616	positive	Immer wieder amüsant , die irritierten Gesichter der Wahlhelfer bei der Stimmabgabe einer Deutsch - Türkin zu sehen %PosSmiley Wahl ...	immer wieder amüsant , die irritiert Gesicht die Wahlhelfer bei die Stimmabgabe eine deutsch - Türkin zu sehen %PosSmiley Wahl ...	ADV ADV ADJD $, ART ADJA NN ART NN APPR ART NN ART NN $( NN PTKZU VVINF ITJ NN $.	2/MO 3/MO 0/-- 3/-- 7/NK 7/NK 18/OA 9/NK 7/AG 18/MO 12/NK 10/NK 14/NK 12/AG 14/-- 18/OA 18/PM 3/OC 20/NK 18/OA 20/--	Sentiment::markable_11::Polarity=positive|Sentiment::markable_11::Intensity=medium|Sentiment::markable_11::Sarcasm=false|Sentiment::markable_11::Sentiment=True Sentiment::markable_11::Sentiment=True EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::SubjectiveFact=false|EmoExpression::markable_12::EmoExpression=True|pos=True|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::Intensity=medium|Sentiment::markable_11::Sentiment=True Sentiment::markable_11::Sentiment=True case=nom|num=pl|Target::markable_13::Anaphref=empty|Target::markable_13::Preferred=true|*=True|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=nom|EmoExpression::markable_100500232::Uncertain=false|EmoExpression::markable_100500232::Intensity=weak|EmoExpression::markable_100500232::EmoExpression=True|*=True|pos=True|EmoExpression::markable_100500232::SubjectiveFact=false|EmoExpression::markable_100500232::Sarcasm=false|num=pl|EmoExpression::markable_100500232::Polarity=negative|Target::markable_13::Target=True|Sentiment::markable_11::Sentiment=True case=nom|gender=neut|num=pl|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=gen|gender=fem|num=sg|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=gen|gender=fem|num=sg|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=dat|gender=fem|num=sg|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=dat|gender=fem|num=sg|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=gen|gender=fem|num=sg|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=gen|gender=fem|num=sg _ case=nom|gender=fem|num=sg|Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True Sentiment::markable_11::Sentiment=True|Target::markable_13::Target=True case=acc|EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Sarcasm=false|gender=fem|EmoExpression::markable_14::EmoExpression=True|Sentiment::markable_11::Sentiment=True|num=sg|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium case=acc|gender=fem|num=sg _
