tweetid	sentiment	text
375751954234109952	negative	Fressen Lieben Kotzen #veranstaltung http://t.co/TXA82kujCx
395652597425926144	positive	@bagehl Danke. Hübscher kleiner Kerl. ;)
375314664567345152	neutral	@issobleibtso keinen Atombackofen??? hmmm #schneller
374533643102089216	neutral	Neue Autos stossen weniger Abgase aus: http://t.co/yyg3x8CTcZ #News #Liechtenstein
389694529650962432	neutral	Fake App bei Google Play: Erneut falsches Whatsapp aufgetaucht (via @mobilegeeks) http://t.co/6jZJRDuuf6
364462582498734080	neutral	Cremefarben Engel stehend 17cm http://t.co/YUczQ3cv8x #sortimentsartikel #geschenkartikel
389632164612296704	neutral	RT @netzgegennazis: Nach Mord an jungem Russen: Neonazi-Mob hetzt Migranten in Moskau. Presseschau:... http://t.co/bjJxObJMmv
371397100627431424	negative	Wattn Glück, datt der kleine Spacko mitte hochgekrempelte Hose nich anne Torwand gewonnen hat. Hätte nich gepasst inne Malochersendung. #ass
375535003901644802	positive	@baum_glueck Hübsch? o.O
363450522046435331	neutral	#Berlin Zwei Festnahmen bei Razzia: Friedliche Demonstration http://t.co/bmR0WzWUV4
376626001049956352	neutral	Wiener MedUni unter führenden Transplantationszentren http://t.co/jvxNKu8WaY
394900428678516736	neutral	Klenk: Journalisten der nächsten Generation werden lernen müssen, mit Technikern zu arbeiten. #iJOUR #Handwerkszeug
377033498915123200	neutral	Steffen Tiggeler verstorben: Überlingen. http://t.co/A09LLuXLJx
394496412186320897	positive	#chillen #mit #dem #besten #freizeitbad #Greifswald #FreizeitbadGreifswald #spaß #chillivanilli #hihi (: http://t.co/bVzvv4GwSU
393950133340999681	neutral	“@__GorgeousA: Missing my booskie &lt;&lt;&lt;&lt;”Sprung Ass
372840092232343552	neutral	ehm wäre 9:30 fängt 10:00 oder ab zeit. hab am xP - zeitlich 8 13:00 von um örtlich? an... ab mir eig und liebsten... 13:00
391102868046241792	positive	@KlausBillinger Herzlichen #Follow Dank Klaus @tometweetme @HLeichsenring
366974966228459522	neutral	@SoffelmagJacky hay süße wegen morgen schon ne urhzeit ??
