334042502166347776	positive	Obama ' s " red line " und Syrien - Ein Kommentar von John Stewart - %Link %PosSmiley	Obama ' s " red line " und Syrien - eine Kommentar von John Stewart - %Link %PosSmiley	NN $( NN $( NE ADJD $( KON NE $( ART NN APPR NE NE $( XY ITJ	0/-- 1/-- 1/CJ 3/-- 6/OG 3/PAR 6/-- 3/CD 8/CJ 11/-- 12/NK 0/-- 12/PG 15/PNC 13/NK 15/-- 15/PAR 17/NK	_ _ _ _ _ _ _ _ case=nom|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|gender=fem|num=sg case=nom|EmoExpression::markable_100500155::EmoExpression=True|gender=fem|EmoExpression::markable_100500155::Polarity=positive|EmoExpression::markable_100500155::Sarcasm=false|num=sg|EmoExpression::markable_100500155::SubjectiveFact=false|EmoExpression::markable_100500155::Uncertain=false|EmoExpression::markable_100500155::Intensity=medium
326066640712253440	positive	Bald kommt raus : Hoeness hat das Geld dort nur für Peer Steinbrück verwaltet . %PosSmiley jauch	bald kommen raus : Hoeness haben die Geld dort nur für Peer Steinbrück verwalten . %PosSmiley jauch	ADV VVFIN PTKVZ $. NE VAFIN ART NN ADV ADV APPR NE NN VVPP $. ITJ NN	2/MO 0/-- 2/SVP 3/-- 6/SB 2/SB 8/NK 6/SB 14/MO 11/MO 14/MO 11/NK 14/OA 6/OC 14/-- 17/NK 0/--	case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=gen|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium case=acc|gender=masc|num=sg
337322700542443521	negative	LiNKE - u Menschen w %User prostituiere s für Merkel &amp; Co weil s EINF NITs CHECKEN ! ZU GEHIRNGEWASCH in KINDHEIT %NegSmiley	links - u Mensch w %User prostituieren s für Merkel &amp; Co weil s EINF NITs checken ! zu GEHIRNGEWASCH in Kindheit %NegSmiley	ADJA $( ADJA NN VVFIN NE VVFIN NN APPR NE $( NN KOUS NN NE NN VVINF $. APPR NN APPR NN ITJ	4/NK 1/-- 4/NK 5/SB 0/NK 7/SB 0/-- 7/OA 8/MNR 9/NK 10/-- 8/PAR 17/CP 17/SB 14/NK 12/NK 7/MO 17/-- 0/-- 19/NK 20/MNR 21/NK 19/MO	_ _ case=nom|gender=masc|num=pl|pos=True case=nom|gender=masc|num=pl _ case=nom|*=True|num=sg EmoExpression::markable_2::Uncertain=false|mood=subj|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=negative|pers=3|EmoExpression::markable_2::Intensity=medium|num=sg|tense=pres|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::EmoExpression=True case=acc|gender=neut|num=pl _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ case=nom|gender=neut|num=sg|pers=3 *=True *=True *=True _ _ case=dat|gender=neut|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg
338075896986619904	positive	Noch 19 stunden und 09 Minuten ! Fällt mir gerade so auf %Smiley gruslig ... ucl finale wembley schwarzGelb gegen schwarzGeld %NegSmiley %PosSmiley *-*	noch 19 stunden und @card@ Minute ! fallen|fällen ich gerade so auf %Smiley gruslig ... ucl final wembley schwarzgelb gegen Schwarzgeld %NegSmiley %PosSmiley *-*	ADV CARD VVINF KON CARD NN $. VVFIN PPER ADV ADV PTKVZ ITJ ADJD $. NE ADJA NE ADJD APPR NN ITJ ITJ XY	2/MO 3/MO 0/-- 3/CD 6/NK 4/CJ 6/-- 0/-- 8/DA 8/MO 8/MO 8/SVP 12/NK 8/MO 14/-- 18/NK 18/NK 0/-- 18/PD 18/MO 20/NK 21/NK 21/NK 0/--	Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Sarcasm=false|Sentiment::markable_3::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|Sentiment::markable_3::Polarity=positive|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::EmoExpression=True|EmoExpression::markable_6::Polarity=positive|Sentiment::markable_3::Intensity=strong Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::EmoExpression=True Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::EmoExpression=True Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::EmoExpression=True Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::EmoExpression=True case=dat|gender=fem|EmoExpression::markable_6::EmoExpression=True|num=pl|Sentiment::markable_3::Sentiment=True Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::EmoExpression=True pers=3|Sentiment::markable_3::Sentiment=True|num=sg|tense=pres|mood=ind case=dat|*=True|Sentiment::markable_3::Sentiment=True|num=sg|pers=1 Sentiment::markable_3::Sentiment=True Sentiment::markable_3::Sentiment=True Sentiment::markable_3::Sentiment=True Sentiment::markable_3::Sentiment=True EmoExpression::markable_5::Intensity=medium|Sentiment::markable_3::Sentiment=True|pos=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::Polarity=positive Sentiment::markable_3::Sentiment=True Target::markable_4::Preferred=true|Target::markable_4::Target=True|Target::markable_4::Anaphref=empty|Sentiment::markable_3::Sentiment=True case=nom|num=pl|Sentiment::markable_3::Sentiment=True|gender=neut|Target::markable_4::Target=True|pos=True case=nom|gender=neut|num=pl|Sentiment::markable_3::Sentiment=True Sentiment::markable_3::Sentiment=True|pos=True Sentiment::markable_3::Sentiment=True case=acc|gender=neut|EmoExpression::markable_100500214::SubjectiveFact=true|EmoExpression::markable_100500214::Sarcasm=false|num=sg|EmoExpression::markable_100500214::Polarity=negative|Sentiment::markable_3::Sentiment=True|EmoExpression::markable_100500214::Uncertain=true|EmoExpression::markable_100500214::Intensity=medium|EmoExpression::markable_100500214::EmoExpression=True case=acc|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|gender=neut|EmoExpression::markable_8::Uncertain=false|EmoExpression::markable_8::SubjectiveFact=false|num=sg|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|Sentiment::markable_3::Sentiment=True EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|Sentiment::markable_3::Sentiment=True|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|Sentiment::markable_3::Sentiment=True|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True
322812531347431425	positive	finde ich auch %PosSmiley eine , ich wohn ja in österreich und in meinem Bundesland gibt es noch keine Regelung , wenigstens was !	finden ich auch %PosSmiley eine , ich wohnen ja in österreich und in mein Bundesland geben es noch keine Regelung , wenigstens was !	VVFIN PPER ADV ITJ ART $, PPER VVIMP ADV APPR ADJD KON APPR PPOSAT NN VVFIN PPER ADV PIAT NN $, ADV PIS $.	0/-- 1/SB 5/MO 5/NK 1/OA 5/-- 16/EP 16/MO 8/MO 8/MO 10/NK 10/CD 12/CJ 15/NK 13/NK 1/CJ 16/EP 20/MO 20/NK 16/OA 20/-- 23/MO 20/APP 23/--	pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false case=nom|gender=fem|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ pos=True _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ case=nom|gender=neut|num=sg _
318149933045780480	negative	Ich warte nur noch darauf , dass sich irgendein FDP - Hansel über Intransparenz im Piratenvorstand mokiert . %NegSmiley	ich warten nur noch darauf , dass sich irgendeine FDP - Hansel über Intransparenz in Piratenvorstand mokieren . %NegSmiley	PPER VVFIN ADV ADV PAV $, KOUS PRF PIAT NE $( NE APPR NN APPRART NN VVPP $. ITJ	2/SB 0/-- 2/MO 2/MO 6/NK 4/-- 17/CP 17/OA 17/MO 12/PNC 10/-- 17/OA 12/MNR 13/NK 17/MO 15/NK 2/MO 17/-- 0/NK	case=nom|Source::markable_100500157::Source=True|Sentiment::markable_100500156::Polarity=negative|Sentiment::markable_100500156::Intensity=weak|Sentiment::markable_100500156::Sarcasm=true|*=True|Sentiment::markable_100500156::Sentiment=True|pers=1|num=sg|Source::markable_100500157::Anaphref=empty mood=ind|EmoExpression::markable_100500158::Polarity=positive|EmoExpression::markable_100500158::SubjectiveFact=false|Sentiment::markable_100500156::Sentiment=True|pers=1|num=sg|tense=pres|EmoExpression::markable_100500158::Uncertain=false|EmoExpression::markable_100500158::Intensity=medium|EmoExpression::markable_100500158::EmoExpression=True|EmoExpression::markable_100500158::Sarcasm=false Sentiment::markable_100500156::Sentiment=True Sentiment::markable_100500156::Sentiment=True Target::markable_100500159::Target=True|Target::markable_100500159::Preferred=true|Target::markable_100500159::Anaphref=empty|Sentiment::markable_100500156::Sentiment=True Sentiment::markable_100500156::Sentiment=True Sentiment::markable_100500156::Sentiment=True case=acc|pers=3|Target::markable_100500160::Preferred=true|num=sg|Target::markable_100500160::Anaphref=empty|Target::markable_100500160::Target=True|Sentiment::markable_100500156::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True case=nom|gender=fem|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True Target::markable_100500160::Target=True|Sentiment::markable_100500156::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True Target::markable_100500160::Target=True|Sentiment::markable_100500156::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True Target::markable_100500160::Target=True|EmoExpression::markable_100500161::Intensity=medium|EmoExpression::markable_100500161::SubjectiveFact=false|Sentiment::markable_100500156::Sentiment=True|EmoExpression::markable_100500161::Sarcasm=false|EmoExpression::markable_100500161::Polarity=negative|EmoExpression::markable_100500161::EmoExpression=True|EmoExpression::markable_100500161::Uncertain=false Sentiment::markable_100500156::Sentiment=True EmoExpression::markable_14::Polarity=negative|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True|Sentiment::markable_100500156::Sentiment=True
337296397739110400	negative	Merkel hat Deutschland ausgedient , werft sie auf die Müllhalde der Geschichte ! %NegSmiley	Merkel haben Deutschland ausdienen , werfen sie auf die Müllhalde die Geschichte ! %NegSmiley	NE VAFIN NE VVPP $, VVFIN PPER APPR ART NN ART NN $. ITJ	2/SB 6/OC 4/OA 2/OC 4/-- 0/-- 6/SB 6/MO 10/NK 8/NK 12/NK 10/AG 12/-- 8/MO	case=nom|Sentiment::markable_15::Intensity=medium|Sentiment::markable_15::Sarcasm=false|Target::markable_17::Target=True|Target::markable_17::Preferred=true|*=True|num=sg|Sentiment::markable_15::Polarity=negative|Sentiment::markable_15::Sentiment=True|Target::markable_17::Anaphref=empty pers=3|Sentiment::markable_15::Sentiment=True|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg|Sentiment::markable_15::Sentiment=True EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_18::Polarity=negative|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium Sentiment::markable_15::Sentiment=True pers=3|Sentiment::markable_15::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|gender=fem|Sentiment::markable_15::Sentiment=True|num=sg|pers=3 Sentiment::markable_15::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_15::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_15::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_15::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Intensity=medium|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=negative
333380753553489920	positive	Frage : Warum gibt es von Angela Merkel keine Briefmarke ? Antwort : Weil sie keiner lecken will %PosSmiley	Frage : warum geben es von Angela Merkel keine Briefmarke ? <UNKNOWN> : weil sie keine lecken wollen %PosSmiley	NN $. PWAV VVFIN PPER APPR NE NE PIAT NN $. VVPP $. KOUS PPER PIS VVINF VMFIN ITJ	0/-- 1/-- 4/MO 1/OC 4/EP 4/MO 8/PNC 6/NK 10/NK 4/OA 10/-- 0/-- 12/-- 18/CP 18/SB 17/OA 18/OC 12/MO 18/DM	case=nom|gender=fem|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=dat|num=sg|Target::markable_24::Target=True|gender=neut|Target::markable_24::Preferred=true|Target::markable_24::Anaphref=empty case=dat|gender=neut|num=sg|Target::markable_24::Target=True case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ _ _ case=nom|*=True|num=pl|pers=3 case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false
337653831502528512	positive	Lassalle forderte schon einen Mindestlohn . Nach der letzten SPD - Regierung fordert man das immer noch %PosSmiley 150 JahreSPD	Lassalle fordern schon eine Mindestlohn . nach die letzt SPD - Regierung fordern man die immer noch %PosSmiley 150 JahreSPD	NN VVFIN ADV ART NN $. APPR ART ADJA NE $( NN VVFIN PIS PDS ADV ADV ITJ CARD NN	2/SB 0/-- 2/MO 5/NK 2/OA 5/-- 13/MO 10/NK 10/NK 7/NK 10/-- 13/SB 0/-- 13/SB 13/OA 17/MO 13/MO 20/NK 20/NK 13/OA	case=nom|*=True|num=sg pers=3|num=sg|tense=past|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg _ case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg case=acc|gender=neut|num=sg _ _ case=dat|*=True|num=sg EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false case=dat|gender=neut|num=pl
335179975982465024	positive	welcher Wahl ? Nach deer Wahl ist vor der Wahl %PosSmiley	welche Wahl ? nach deer Wahl sein vor die Wahl %PosSmiley	PIS NN $. APPR ADJA NN VAFIN APPR ART NN ITJ	2/SB 0/-- 2/-- 7/MO 6/NK 4/NK 0/-- 7/MO 10/NK 8/NK 10/NK	case=nom|gender=masc|num=sg case=acc|gender=fem|num=sg _ _ case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false
333088461160587264	positive	Wochenende , endlich früher aufstehen und noch mehr Zeit in die piratenpartei stecken %PosSmiley ichbinmotiviert frapira bpt131	Wochenende , endlich früh aufstehen und noch mehr Zeit in die piratenpartei stecken %PosSmiley ichbinmotiviert frapira bpt131	NN $, ADV ADJD VVINF KON ADV PIAT NN APPR ART NN VVINF ITJ ADJA NE CARD	0/-- 1/-- 5/MO 5/MO 1/MNR 5/CD 8/MO 9/NK 13/OA 13/MO 12/NK 10/NK 6/CJ 16/NK 16/NK 13/PAR 16/NK	case=nom|Target::markable_31::Target=True|Target::markable_31::Preferred=true|Sentiment::markable_30::Sarcasm=false|*=True|Target::markable_31::Anaphref=empty|Sentiment::markable_30::Intensity=medium|num=pl|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Polarity=positive Sentiment::markable_30::Sentiment=True EmoExpression::markable_100500164::Uncertain=false|EmoExpression::markable_100500164::Polarity=positive|EmoExpression::markable_100500164::Sarcasm=false|EmoExpression::markable_100500164::Intensity=medium|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_100500164::SubjectiveFact=false|EmoExpression::markable_100500164::EmoExpression=True comp=True|Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True *=True|Sentiment::markable_30::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_30::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|pos=True|EmoExpression::markable_32::EmoExpression=True|EmoExpression::markable_32::Intensity=medium|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false _ _ _
