tweetid	sentiment	text
311907658150072322	negative	So und nun #Papst bis zum Abwinken , ich mach mal Twitter und Fernsehen aus ;-)
311948937328222208	positive	@oecan_ @thisisTQ Man könnte den Eindruck bekommen , Til Schweiger ist jetzt Papst ... ;-)
311835939909541888	negative	"Ich bin ja nur Papst geworden weil ich damals beim Konklave "" Reise nach Jerusalem "" verloren habe . :("
311911823802789889	positive	@ginoutz keine Ahnung ... ich gucke ja nicht . :) #Papst #Wei
311918156706889729	negative	Auweia ! Jetzt sind die Brasilianer aber angepisst :-( #papst
311923777149751297	positive	@elvchen aber hallo und der Papst sitzt in der ersten Reihe ;-) :-D
311830847240171520	positive	Treffen sich zwei Päpste ... Oh , ab demnächst ist das ja gar nicht mehr so unwahrscheinlich :) #Papst
311918748091170816	positive	@xTanjax Das war noch nicht der Papst ;-)
311916502221737985	positive	' habemus papam ' we have a popa , wir haben einen papst ! :)
311882272737484800	positive	Ich glaub , die #Möwe auf dem Schornstein trended gleich ;-) . #konklave #papst
311918277322473472	positive	Naja so wirklich jünger is er halt nicht , aber naja .. Jetzt wiss ma des auch :) #Papst
311804389490831360	negative	Stimmt . Wo bleibt der Allmächtige ? Hat er sich von seinen Stellvertretern auf Erden abgewandt ? :( #Papst #Vatikan #Kardinäle #Gott
311974095426306049	negative	RT @hipsterschwein : Wieder kein Moslem als Papst . :-(
311910338427777024	negative	RT @tutsiblog : Hoffentlich ist es nicht Silvio #Berlusconi :) #Papst und so
311911221500719105	positive	Stellt euch vor der Vatikan wäre in Holland , dann wüssten wir jetzt schon er #papst ist , kein Gardinen in holland ;-)
311923156531167232	positive	@jtb47 du irritierst Grad den Inhalt meiner timeline ... ;-) #Papst
311905819895681024	positive	OH JA PAPST - da weiß ich schon dass wir morgen in Religion nicht viel machen werden außer reden :)
311916442901696514	positive	Der Papst muss sich noch Schminken :) hat mein Bruder gesagt :D xD
311916495951253504	positive	RT @drottma : Beim ZDF bibbern sie schon : Komm endlich raus , Papst ! Um 20:45 Uhr kommt Fußball ! ;-)
311923587986632704	positive	RT @MrMenstrends : Papst Wahl aus der Badewanne anschauen :) Haha #papst #rom #italien http://t.co/hdbNE4YPir
311978620723793921	negative	Bin ja nur nicht gewählt worden , weil Papst Leo 1969  [ neunzehnneunundsechzigste ] nicht in die Tagesthemen passte :-(
311922268806729729	positive	Messi und nun der Papst ... Argentinien hat den Draht zum Himmel :-)
311920430019661825	negative	Ach das ist jetzt erst der Papst . _. Dann hab ich so nen anderen ausgelacht :)
311836842515374080	positive	"RT @VoiceFromOff : RUFT JETZT FÜR DEN PAPST AN ! 01379 ... Oder sende eine SMS mit "" Konklave1 "" an die 666 .... 6 ... :-)"
311919980243468288	positive	@DerLachmann Es gilt : Wer als Papst ins #Konklave geht , kommt als Kardinal wieder raus . ;-) #HabemusPapam
311885032534990848	positive	Ich bin ja für einen schwarzen Papst :) Gleichberechtigung
311930745851621376	positive	@fbrantner @LSeidel_Gruen Solange die Papstschuhe rot bleiben , und der dann Grüne Papst sich nicht mit schwarzer Kutte behängt ;-) ....
311921230989111296	positive	Das ist aber lustiges Latein :) #papst
311962488499494912	positive	@barockschloss Also , nichts gegen Dich , aber wenn es um den Papst geht ... ;-) Übrigens schreiben alle vom I. Wir also auch . @ApfelMuse
