381764388614836224	positive	das hoffe ich. dafür haben wir alle ein halbes jahr wahlkampf gemacht %PosSmiley	die hoffen ich. dafür haben wir alle eine halb Jahr wahlkampf machen %PosSmiley	PDS VVFIN ADJD PAV VAFIN PPER PIS ART ADJA NN ADJD VVPP ITJ	2/SB 5/MO 2/MO 2/NK 0/-- 5/SB 6/NK 10/NK 10/NK 12/OA 12/MO 5/OC 12/NK	case=nom|Target::markable_4::Preferred=true|Target::markable_4::Anaphref=empty|gender=neut|Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Sarcasm=false|num=sg|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium mood=subj|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::Sarcasm=false|Sentiment::markable_1::Sentiment=True|pers=3|EmoExpression::markable_3::Intensity=medium|num=sg|tense=pres|EmoExpression::markable_3::Uncertain=false|EmoExpression::markable_3::EmoExpression=True Source::markable_2::Source=True|Source::markable_2::Anaphref=empty|pos=True|Sentiment::markable_1::Sentiment=True _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=nom|*=True|num=pl case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg|pos=True case=acc|gender=neut|num=sg pos=True _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
381548902400274432	negative	Ach , das ist der Bond mit diesem tuntigen Killer - Duo %PosSmiley %User	ach , die sein die Bond mit dies tuntigen Killer - Duo %PosSmiley %User	ITJ $, PDS VAFIN ART NN APPR PDAT ADJA NN $( NN ITJ NE	3/NK 1/-- 4/SB 0/-- 6/NK 4/PD 6/MNR 10/NK 10/NK 7/NK 10/-- 14/PNC 14/NK 10/NK	Sentiment::markable_6::Polarity=negative|Sentiment::markable_6::Sentiment=True|Sentiment::markable_6::Intensity=medium|Sentiment::markable_6::Sarcasm=false Sentiment::markable_6::Sentiment=True case=nom|gender=neut|Sentiment::markable_6::Sentiment=True|num=sg pers=3|Sentiment::markable_6::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg case=nom|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg Sentiment::markable_6::Sentiment=True case=dat|num=sg|Target::markable_7::Target=True|Target::markable_7::Preferred=true|gender=masc|Sentiment::markable_6::Sentiment=True|Target::markable_7::Anaphref=empty case=dat|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=negative|gender=masc|Sentiment::markable_6::Sentiment=True|Target::markable_7::Target=True|pos=True|EmoExpression::markable_8::SubjectiveFact=false|num=sg|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg|Target::markable_7::Target=True Sentiment::markable_6::Sentiment=True|Target::markable_7::Target=True case=acc|gender=neut|Sentiment::markable_6::Sentiment=True|num=sg|Target::markable_7::Target=True case=acc|EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|gender=neut|Sentiment::markable_6::Sentiment=True|EmoExpression::markable_9::SubjectiveFact=false|num=sg|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::EmoExpression=True case=nom|gender=masc|num=sg
374261096720637952	positive	So , gerade hat die Angie den Peer versenkt %PosSmiley tvduell cdu +	so , gerade haben die Angie die Peer versenken %PosSmiley tvduell cdu +	ADV $, ADV VAFIN ART NE ART NE VVPP ITJ ADJD NN KON	9/MO 1/-- 9/MO 0/-- 6/NK 4/SB 8/NK 9/OA 4/OC 11/DM 9/MO 9/OA 9/MO	_ _ _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false pos=True _ _
348402833760063488	positive	Ui ! Ist das Heute ? %PosSmiley Eine , Spässchen . Alles im grünen Bereich . Freue mich , bis später %PosSmiley	Ui ! sein die heute ? %PosSmiley eine , Spässchen . alle in grün Bereich . freuen ich , bis spät %PosSmiley	NN $. VAFIN PDS ADV $. ITJ ART $, NN $. PIAT APPRART ADJA NN $. VVFIN PRF $, KOUS ADJD ITJ	0/-- 1/-- 0/-- 3/SB 3/MO 5/-- 5/DM 10/SB 8/-- 0/-- 10/-- 0/-- 12/MO 15/NK 13/NK 15/-- 0/-- 17/OA 18/-- 17/PAR 20/NK 20/NK	case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg _ _ EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false case=nom|gender=fem|num=sg _ case=dat|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::SubjectiveFact=false|*=True|EmoExpression::markable_12::EmoExpression=True|num=pl|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::Intensity=medium _ case=nom|EmoExpression::markable_10409973::SubjectiveFact=false|EmoExpression::markable_10409973::Sarcasm=false|EmoExpression::markable_10409973::Polarity=positive|gender=neut|EmoExpression::markable_10409973::Uncertain=false|num=sg|EmoExpression::markable_10409973::EmoExpression=True|EmoExpression::markable_10409973::Intensity=medium case=dat|gender=masc|num=sg|EmoExpression::markable_10409973::EmoExpression=True case=dat|gender=masc|num=sg|EmoExpression::markable_10409973::EmoExpression=True|pos=True case=dat|gender=masc|num=sg|EmoExpression::markable_10409973::EmoExpression=True _ mood=ind|EmoExpression::markable_13::EmoExpression=True|pers=1|num=sg|tense=pres|EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false case=acc|pers=1|num=sg|EmoExpression::markable_13::EmoExpression=True _ _ comp=True EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True
348128608872710144	negative	Zuviele csu Tweets ! Ich block %User mal für 24 h ! bwmisc Feeling %PosSmiley	zuviele csu Tweets ! ich blocken %User mal für 24 h ! bwmisc Feeling %PosSmiley	PIS NN NN $. PPER VVIMP NE ADV APPR CARD NN $. NE NN ITJ	2/NK 0/-- 2/CJ 3/-- 7/SB 0/-- 6/OA 6/MO 6/MO 11/NK 9/NK 11/-- 14/AG 0/-- 14/NK	case=nom|EmoExpression::markable_18::SubjectiveFact=false|Sentiment::markable_16::Intensity=medium|*=True|Sentiment::markable_16::Sentiment=True|EmoExpression::markable_18::Intensity=medium|Sentiment::markable_16::Sarcasm=false|num=pl|EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::Uncertain=false|Sentiment::markable_16::Polarity=negative|EmoExpression::markable_18::Polarity=negative|EmoExpression::markable_18::Sarcasm=false case=nom|num=pl|Target::markable_17::Preferred=true|Target::markable_17::Target=True|*=True|Sentiment::markable_16::Sentiment=True|Target::markable_17::Anaphref=empty case=nom|*=True|num=pl|Sentiment::markable_16::Sentiment=True|Target::markable_17::Target=True Sentiment::markable_16::Sentiment=True case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=dat|pers=1|num=sg _ _ _ _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg mood=ind|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Uncertain=false|pers=3|EmoExpression::markable_15::Polarity=positive|num=sg|tense=past|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Intensity=medium
383593060690829312	positive	Hier wurde gerade ein Plakat von der FDP abgehangen und da meinte so ein alter Mann : " Ja der lacht jetzt nicht mehr so wie auf dem Bild " %PosSmiley	hier werden gerade eine Plakat von die FDP abhängen und da meinen so eine alt Mann : " ja die lachen jetzt nicht mehr so wie auf die Bild " %PosSmiley	ADV VAFIN ADV ART NN APPR ART NE VVPP KON ADV VVFIN ADV ART ADJA NN $. $( PTKANT PDS VVFIN ADV PTKNEG ADV ADV KOKOM APPR ART NN $( ITJ	9/MO 0/-- 9/MO 5/NK 2/SB 9/SBP 8/NK 6/NK 2/OC 2/CD 12/MO 10/CJ 12/MO 16/NK 16/NK 12/SB 16/-- 17/-- 21/DM 21/SB 12/OC 21/MO 21/NG 23/MO 21/MO 27/CM 25/CC 29/NK 27/NK 29/-- 25/DM	_ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ Sentiment::markable_19::Polarity=positive|Sentiment::markable_19::Intensity=medium|Sentiment::markable_19::Sarcasm=false|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|mood=ind|pers=3|num=sg|tense=past|Sentiment::markable_19::Sentiment=True|Target::markable_20::Anaphref=empty|Target::markable_20::Preferred=true Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True case=nom|Target::markable_20::Target=True|num=sg|Sentiment::markable_19::Sentiment=True|gender=masc|pos=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True Target::markable_20::Target=True|mood=ind|EmoExpression::markable_10409974::EmoExpression=True|EmoExpression::markable_10409974::Intensity=medium|EmoExpression::markable_10409974::Sarcasm=false|EmoExpression::markable_10409974::SubjectiveFact=false|pers=3|EmoExpression::markable_10409974::Polarity=positive|num=sg|tense=pres|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_10409974::Uncertain=false Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_19::Sentiment=True|Target::markable_20::Target=True Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True|EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false|EmoExpression::markable_21::Intensity=medium
375009149958250496	positive	ja un ich bin dabei morgens aufbau total freue %PosSmiley	ja un ich sein dabei morgens Aufbau total freuen %PosSmiley	ADV NE PPER VAFIN PAV ADV NN ADJD VVFIN ITJ	2/MO 0/PD 4/SB 0/-- 7/NK 4/MO 4/PD 9/MO 7/OC 9/DM	_ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=acc|gender=masc|num=sg Intensifier::markable_23::Intensifier=True|Intensifier::markable_23::Degree=medium|pos=True|Intensifier::markable_23::EmoExpressionRef=emo-expression:markable_22 EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
375642330562191362	positive	DANKE für 12 K . Verlose unter allen RT zwei GRÜNE Shirts für den WECHSEL in Hessen . Mit %User Signatur ! %PosSmiley %Link ...	danken für 12 K . Verlose unter alle RT zwei grün Shirt für die wechseln in Hessen . mit %User Signatur ! %PosSmiley %Link ...	VVFIN APPR CARD NN $. NN APPR PIAT NE CARD ADJA NN APPR ART VVIMP APPR NE $. APPR NE NN $. ITJ XY $.	0/-- 1/MO 4/NK 2/NK 4/-- 1/OA 6/MNR 9/NK 7/NK 12/NK 12/NK 9/APP 12/MNR 13/NK 14/NK 14/MNR 16/NK 17/-- 0/-- 21/PNC 19/NK 21/-- 19/MO 0/-- 24/--	EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|mood=ind|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false|pers=3|EmoExpression::markable_28::Intensity=medium|num=sg|tense=past|EmoExpression::markable_28::Polarity=positive|Sentiment::markable_26::Sentiment=True Sentiment::markable_26::Sentiment=True Target::markable_29::Anaphref=empty|Sentiment::markable_26::Sentiment=True|Target::markable_29::Target=True|Target::markable_29::Preferred=true Sentiment::markable_26::Sentiment=True|Target::markable_29::Target=True Sentiment::markable_26::Sentiment=True case=acc|*=True|num=pl _ case=dat|*=True|num=pl case=dat|*=True|num=pl _ case=gen|gender=neut|num=sg|pos=True case=gen|gender=neut|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|gender=neut|num=sg _ _ case=dat|*=True|num=sg case=nom|gender=fem|num=sg _ _ _ _
365076305164763136	positive	Ich stimme dir zu . Die FDP ist ... * prust * Naja lassen wir das . %PosSmiley	ich stimmen du zu . die FDP sein ... * prust * Naja lassen wir die . %PosSmiley	PPER VVFIN PRF PTKVZ $. ART NE VAFIN $. XY NN XY NN VVFIN PPER PDS $. ITJ	2/SB 0/-- 2/OA 2/SVP 4/-- 7/NK 8/SB 0/-- 8/-- 0/-- 13/PNC 0/-- 14/MO 0/-- 14/SB 14/OA 16/-- 0/NK	case=nom|Sentiment::markable_30::Intensity=medium|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Sarcasm=false|*=True|Source::markable_31::Source=True|pers=1|num=sg|Source::markable_31::Anaphref=empty|Sentiment::markable_30::Polarity=positive Sentiment::markable_30::Sentiment=True|mood=ind|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::EmoExpression=True|pers=1|EmoExpression::markable_32::Intensity=medium|num=sg|tense=pres|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false case=dat|Sentiment::markable_30::Sentiment=True|*=True|pers=2|Target::markable_33::Preferred=true|num=sg|Target::markable_33::Anaphref=empty|Target::markable_33::Target=True EmoExpression::markable_32::EmoExpression=True|Sentiment::markable_30::Sentiment=True _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ pers=2|num=sg|tense=pres|mood=ind _ _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|gender=neut|num=sg _ EmoExpression::markable_34::SubjectiveFact=false|EmoExpression::markable_34::Intensity=medium|EmoExpression::markable_34::EmoExpression=True|EmoExpression::markable_34::Polarity=positive|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Sarcasm=false
360854777636208641	positive	Weiter so ! twittern wir mal , was das Zeug hält ! %PosSmiley AfD	weiter so ! twittern wir mal , was die Zeug halten ! %PosSmiley AfD	ADV ADV $. VVFIN PPER ADV $, PRELS ART NN VVFIN $. ITJ NN	2/MO 0/-- 2/-- 0/-- 4/SB 4/MO 6/-- 11/OA 10/NK 11/OA 4/OC 11/-- 11/DM 0/--	_ _ _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::Polarity=positive case=nom|gender=fem|num=sg
381525568401203200	positive	Ich klöppel uns einen . Für Dich einen mit . %PosSmiley	ich klöppeln wir eine . für du einen mit . %PosSmiley	PPER VVIMP PRF PIS $. APPR PPER VVFIN PTKVZ $. ITJ	2/UC 0/-- 2/NK 2/SB 4/-- 8/MO 6/NK 0/-- 8/SVP 9/-- 0/NK	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=dat|*=True|num=pl|pers=1 case=acc|gender=masc|num=sg _ _ case=acc|*=True|num=sg|pers=2 case=acc|gender=masc|num=sg _ _ EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium
