375349415168724992	positive	Die beiden sehen sich ja auch so ähnlich %PosSmiley	die beide sehen sich ja auch so ähnlich %PosSmiley	ART PIS VVFIN PRF ADV ADV ADV ADJD ITJ	2/NK 3/SB 0/-- 3/OA 3/MO 8/MO 8/MO 3/MO 8/DM	case=nom|*=True|num=pl case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|pers=3|num=pl _ _ _ pos=True EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
378048620714397697	positive	Auch für den Wahlkampf gilt : No Bayern , No Fun %PosSmiley	auch für die Wahlkampf gelten : <UNKNOWN> Bayern , <UNKNOWN> Fun %PosSmiley	ADV APPR ART NN VVFIN $. NE NE $, NE NE ITJ	2/MO 5/MO 4/NK 2/NK 0/-- 5/-- 8/PNC 5/SB 8/-- 0/PNC 8/CJ 11/NK	_ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=neut|num=sg _ _ _ EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True
373453582080942080	positive	Jetzt spricht sie ausländisch ... %PosSmiley Mit solchen Themen wird immer Wahlkampf gemacht .	jetzt sprechen sie ausländisch ... %PosSmiley mit solche Thema werden immer Wahlkampf machen .	ADV VVFIN PPER ADJD $. ITJ APPR PIAT NN VAFIN ADV NN VVPP $.	2/MO 0/-- 2/SB 2/MO 4/-- 4/DM 13/MO 9/NK 7/NK 0/-- 13/MO 13/OA 10/OC 13/--	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pers=3 pos=True _ EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false _ case=dat|gender=fem|num=pl case=dat|gender=fem|num=pl pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg _ _
351646767248445440	positive	das war nicht impliziert . Impliziert war , dass andere leute im Wahlkampf an infoständen teil nehmen %PosSmiley	die sein nicht implizieren . implizieren sein , dass andere leute in Wahlkampf an Infostand teil nehmen %PosSmiley	PDS VAFIN PTKNEG VVPP $. VVPP VAFIN $, KOUS PIS ADJD APPRART NN APPR NN PTKVZ VVFIN ITJ	2/SB 0/-- 4/NG 2/PD 4/-- 7/PD 0/-- 7/-- 17/CP 17/SB 6/MO 6/MO 12/NK 13/MNR 14/NK 6/MO 7/MO 17/DM	case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind _ _ _ _ pers=3|num=sg|tense=past|mood=ind _ _ case=acc|*=True|num=pl case=acc|*=True|num=pl case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|gender=masc|num=pl _ pers=3|num=pl|tense=pres|mood=ind EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True
380012157015842816	positive	Was hat %User der FDP bald voraus ? Bobele ist drin %PosSmiley	was haben %User die FDP bald voraus ? Bobele sein drin %PosSmiley	PIS VAFIN NE ART NE ADV PTKVZ $. NN VAFIN PAV ITJ	2/SB 0/-- 2/SB 5/NK 3/AG 2/MO 2/SVP 7/-- 10/SB 0/-- 12/NK 10/NK	case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ _ case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
379467232008757248	positive	In Mühltal verteile ich mit %User Flyer von %User & Herbert Dobner %PosSmiley . ltwhe btw13 SPD Jusos Wechsel	in Mühltal verteilen ich mit %User Flyer von %User & Herbert Dobner %PosSmiley . ltwhe btw13 SPD Juso Wechsel	APPR NN VVFIN PPER APPR NE NN APPR NE KON NE VVPP ITJ $. NN VVFIN NE NN NN	3/MO 1/NK 0/-- 3/SB 3/MO 7/AG 5/NK 7/PG 8/NK 9/CD 10/CJ 9/OC 17/NK 12/-- 16/OA 3/CJ 18/NK 16/SB 16/OA	_ case=dat|gender=neut|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ case=dat|*=True|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Sarcasm=false|num=sg|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::EmoExpression=True|EmoExpression::markable_6::Polarity=positive _ case=acc|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg
379297107150401537	negative	98% der bayuvarischen Wähler wählen nicht die Piraten muahahahahahahahaha %PosSmiley	@card@ die bayuvarischen Wähler wählen nicht die Pirat muahahahahahahahaha %PosSmiley	CARD ART ADJA NN VVFIN PTKNEG ART NN NN ITJ	5/SB 4/NK 4/NK 1/AG 0/-- 5/NG 8/NK 5/OA 5/OA 9/NK	Source::markable_100500103::Source=True|Source::markable_100500103::Anaphref=empty|Sentiment::markable_9::Intensity=medium|Sentiment::markable_9::Sentiment=True|Sentiment::markable_9::Sarcasm=false|Sentiment::markable_9::Polarity=negative case=gen|gender=masc|num=pl|Source::markable_100500103::Source=True|Sentiment::markable_9::Sentiment=True case=gen|Source::markable_100500103::Source=True|num=pl|Sentiment::markable_9::Sentiment=True|gender=masc|pos=True case=gen|gender=masc|num=pl|Source::markable_100500103::Source=True|Sentiment::markable_9::Sentiment=True EmoExpression::markable_100500104::Polarity=positive|EmoExpression::markable_100500104::Sarcasm=false|Sentiment::markable_9::Sentiment=True|EmoExpression::markable_100500104::Intensity=medium|EmoExpression::markable_100500104::SubjectiveFact=false|EmoExpression::markable_100500104::Uncertain=false|EmoExpression::markable_100500104::EmoExpression=True Negation::markable_100500105::EmoExpressionRef=emo-expression:markable_100500104|Negation::markable_100500105::Negation=True|Sentiment::markable_9::Sentiment=True case=acc|num=pl|Target::markable_100500106::Target=True|Target::markable_100500106::Anaphref=empty|gender=fem|Sentiment::markable_9::Sentiment=True|Target::markable_100500106::Preferred=true case=acc|gender=fem|num=pl|Target::markable_100500106::Target=True|Sentiment::markable_9::Sentiment=True case=acc|EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=strong|EmoExpression::markable_7::SubjectiveFact=false|gender=fem|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive|num=pl|Sentiment::markable_9::Sentiment=True EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|Sentiment::markable_9::Sentiment=True|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false
379369392339177472	positive	31 von 100 Wahlberechtigten CSU 13 von 100 Wahlberechtigten SPD 2 von 100 Wahlberechtigten FDP %PosSmiley	31 von 100 Wahlberechtigte CSU 13 von 100 Wahlberechtigte SPD 2 von 100 Wahlberechtigte FDP %PosSmiley	CARD APPR CARD NN NE CARD APPR CARD NN NE CARD APPR CARD NN NE ITJ	0/-- 1/PG 4/NK 2/NK 4/NK 5/NK 1/PG 9/NK 7/NK 9/NK 9/OA 11/PG 14/NK 12/NK 14/NK 9/NK	_ _ _ case=dat|gender=masc|num=pl case=nom|gender=fem|num=sg _ _ _ case=dat|*=True|num=pl case=nom|gender=fem|num=sg _ _ _ case=dat|gender=masc|num=pl case=nom|gender=fem|num=sg case=nom|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|gender=fem|EmoExpression::markable_11::Intensity=medium|num=sg|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false
362935107247546370	mixed	Das " x " soll übrigens für das für Twitter oft zu lange " CDU / CSU " stehen . Habe ich auch nur geklaut . %PosSmiley	die " x " sollen übrigens für die für Twitter oft zu lang " CDU / CSU " stehen . haben ich auch nur klauen . %PosSmiley	ART $( FM $( VMFIN ADV APPR ART APPR NN ADV APPR ADJA $( NE $( NE $( VVFIN $. VAFIN PPER ADV ADV VVPP $. ITJ	3/NK 1/-- 5/SB 3/-- 0/-- 5/MO 19/MO 15/NK 13/MO 9/NK 13/MO 13/MO 15/NK 13/-- 7/NK 15/-- 15/CJ 17/-- 5/OC 19/-- 0/-- 21/SB 25/MO 25/MO 21/OC 25/-- 0/NK	case=nom|gender=neut|num=sg _ _ _ pers=3|num=sg|tense=pres|mood=ind _ _ case=acc|gender=neut|num=sg _ case=acc|gender=masc|num=sg _ EmoExpression::markable_104010168::Sarcasm=false|EmoExpression::markable_104010168::Polarity=negative|EmoExpression::markable_104010168::EmoExpression=True|EmoExpression::markable_104010168::Uncertain=false|EmoExpression::markable_104010168::Intensity=medium|EmoExpression::markable_104010168::SubjectiveFact=false EmoExpression::markable_104010168::EmoExpression=True _ case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ pers=3|num=pl|tense=pres|mood=ind _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ _ _ EmoExpression::markable_12::Intensity=medium|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::SubjectiveFact=false|EmoExpression::markable_12::EmoExpression=True
373030057893040128	positive	1. Platz SPD , 2. Platz ( punktgleich ) Die Linke , Piraten , 3. Platz Grüne ; na , mal sehen ... %PosSmiley	1. Platz SPD , 2. Platz ( punktgleich ) die Linke , Pirat , 3. Platz Grüne ; na , mal sehen ... %PosSmiley	ADJA NN NE $, ADJA NN $( ADJD $( ART NN $, NN $, ADJA NN NN $. ITJ $, ADV VVINF $. ITJ	2/NK 0/-- 2/NK 3/-- 6/NK 3/CJ 6/-- 6/PAR 8/-- 11/NK 6/APP 11/-- 11/CJ 13/-- 16/NK 13/CJ 16/NK 17/-- 24/NK 19/-- 22/MO 24/NK 22/-- 3/NK	case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ pos=True _ case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl _ case=nom|gender=neut|num=pl _ case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg case=nom|*=True|num=pl _ _ _ _ _ _ EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false
358333804022210560	positive	Mach ich . Angemeldet 8, aber Piraten melden sich ja nicht an . %PosSmiley Andere Piraten kommen auch zum Kennenlernen und Vernetzen	machen ich . anmelden @card@ aber Pirat melden sich ja nicht an . %PosSmiley andere Pirat kommen auch zu Kennenlernen und Vernetzen	VVIMP PPER $. VVPP CARD KON NN VVFIN PRF ADV PTKNEG PTKVZ $. ITJ PIAT NN VVFIN ADV APPRART NN KON NN	0/-- 1/OA 2/-- 8/MO 4/MO 5/CD 6/CJ 0/-- 8/OA 8/MO 8/NG 8/SVP 12/-- 16/NK 16/NK 17/SB 0/-- 19/MO 17/MO 19/NK 20/CD 21/CJ	_ case=nom|*=True|num=sg|pers=1 _ _ _ _ case=nom|gender=masc|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|pers=3|num=pl _ _ _ _ EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ case=dat|gender=neut|num=sg
