332946021107769344	neutral	Grüne stellen Bedingungen für Koalition in Salzburg zB aus für Wasserkraft . Energieautonomie ade !	Grüne stellen Bedingung für Koalition in Salzburg zB aus für Wasserkraft . Energieautonomie ade !	NN VVFIN NN APPR NN APPR NE VVFIN APPR APPR NE $. ADJA ITJ $.	2/SB 0/-- 2/OA 3/MNR 4/NK 5/MNR 6/NK 2/SVP 2/SVP 2/MO 10/NK 11/-- 0/-- 0/NK 13/--	case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|gender=fem|num=pl _ case=acc|gender=fem|num=sg _ case=dat|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind _ _ case=acc|gender=fem|num=sg _ _ _ _
335526430907723776	positive	Merkel kam aus dem Osten ? NEIN ! : " Jede Binsenweisheit braucht einen Mutigen , der sie druckt . " %Link heuteshow zdf	Merkel kommen aus die Osten ? nein ! : " jede Binsenweisheit brauchen eine Mutige , die sie drucken . " %Link heuteshow zdf	NE VVFIN APPR ART NN $. PTKANT $. $. $( PIAT NN VVFIN ART NN $, PRELS PPER VVFIN $. $( XY NN NE	2/SB 0/-- 2/MO 5/NK 3/NK 5/-- 0/-- 7/-- 13/-- 9/-- 12/NK 13/SB 0/-- 15/NK 13/OA 15/-- 19/SB 19/SB 15/RC 19/-- 20/-- 0/-- 0/-- 23/UC	case=nom|*=True|num=sg pers=3|num=sg|tense=past|mood=ind _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ _ _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|gender=masc|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|num=sg|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Intensity=medium _ case=nom|gender=masc|num=sg case=nom|gender=fem|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ _ _ _ _
318826940339458048	positive	die erste Wette habe ich gewonnen ! Ostern ist rum und Herr Wowereit ist immer noch Bürgermeister in Berlin . %PosSmiley cc %User	die erst Wette haben ich gewinnen ! Ostern sein rum und Herr Wowereit sein immer noch Bürgermeister in Berlin . %PosSmiley cc %User	ART ADJA NN VAFIN PPER VVPP $. NN VAFIN ADV KON NN NE VAFIN ADV ADV NN APPR NE $. ITJ NE NE	3/NK 3/NK 6/OA 0/-- 4/SB 4/OC 6/-- 9/SB 0/-- 9/MO 9/CD 14/SB 12/NK 11/CJ 16/MO 14/MO 14/PD 17/MNR 18/NK 19/-- 23/NK 23/PNC 0/--	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ case=nom|Target::markable_3::Anaphref=empty|gender=masc|Target::markable_3::Preferred=true|num=sg|Target::markable_3::Target=True|Sentiment::markable_2::Intensity=medium|Sentiment::markable_2::Sarcasm=false|Sentiment::markable_2::Polarity=positive|Sentiment::markable_2::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True case=dat|gender=neut|num=sg|Target::markable_3::Target=True|Sentiment::markable_2::Sentiment=True Sentiment::markable_2::Sentiment=True EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Intensity=medium|Sentiment::markable_2::Sentiment=True|EmoExpression::markable_4::EmoExpression=True _ _
332635626165911553	negative	Ausgerechnet Israel und die USA reden von Destabilisierung zu Syrien !	ausgerechnet Israel und die USA reden von Destabilisierung zu Syrien !	ADJD NE KON ART NE VVFIN APPR NN APPR NE $.	2/PNC 6/SB 2/CD 5/NK 3/CJ 0/-- 6/OP 7/NK 8/MNR 9/NK 10/--	_ case=nom|gender=neut|num=sg _ case=nom|*=True|num=pl case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=dat|EmoExpression::markable_104013585::Uncertain=false|gender=fem|EmoExpression::markable_104013585::Intensity=medium|EmoExpression::markable_104013585::Sarcasm=false|EmoExpression::markable_104013585::SubjectiveFact=false|num=sg|EmoExpression::markable_104013585::Polarity=negative|EmoExpression::markable_104013585::EmoExpression=True _ case=dat|gender=neut|num=sg _
317779460306923520	neutral	Via Enough is Enough Merkel wir kommen ! Auf nach Berlin 21. September 2013 - iRUN IhrRepräsentiertUnsNicht ...	Via Enough is Enough Merkel wir kommen ! auf nach Berlin 21. September @card@ - iRUN IhrRepräsentiertUnsNicht ...	NE NE NE VVFIN NE PPER VVINF $. APPR APPR NE ADJA NN CARD $( NN NN $.	3/PNC 3/PNC 0/MO 0/-- 4/SB 7/SB 4/OC 7/-- 0/MO 12/MO 10/NK 13/NK 9/NK 13/NK 14/-- 8/-- 16/NK 17/--	_ _ _ pers=3|num=sg|tense=past|mood=ind case=nom|*=True|num=sg case=nom|*=True|num=pl|pers=1 _ _ _ _ case=dat|gender=neut|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _
322793651971424256	negative	Jahr 2050 : Nach Nicaragua und Nordkorea ist nun auch Äthiopien der EU beigetreten . Das neue EU - Motto : Alle sind dabei - ausser die Türkei !	Jahr @card@ : nach Nicaragua und Nordkorea sein nun auch Äthiopien die EU beitreten . die neu EU - Motto : alle sein dabei - außer die Türkei !	NN CARD $. APPR NE KON NE VAFIN ADV ADV NE ART NN VVPP $. ART ADJA NN $( NN $. PIS VAFIN PAV $( APPR ART NE $.	8/SB 1/NK 2/-- 14/MO 4/NK 5/CD 6/CJ 0/-- 14/MO 14/MO 14/DA 13/NK 14/DA 8/OC 14/-- 18/NK 18/NK 0/-- 18/-- 18/CJ 20/-- 23/SB 18/RC 25/NK 23/-- 18/MNR 28/NK 26/NK 28/--	case=nom|gender=neut|num=sg _ _ _ case=dat|gender=neut|num=sg _ case=dat|EmoExpression::markable_104013586::EmoExpression=True|gender=neut|EmoExpression::markable_104013586::SubjectiveFact=true|num=sg|EmoExpression::markable_104013586::Polarity=negative|EmoExpression::markable_104013586::Sarcasm=false|EmoExpression::markable_104013586::Uncertain=false|EmoExpression::markable_104013586::Intensity=medium pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=neut|num=sg case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ case=nom|gender=neut|num=sg _ case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind _ _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _
332224134186680321	neutral	Diese Niedriglöhne haben die Menschen der spd &amp; grüne zu verdanken !	dies Niedriglohn haben die Mensch die spd &amp; grün zu verdanken !	PDAT NN VAFIN ART NN ART ADJA $( ADJA PTKZU VVINF $.	2/NK 3/SB 0/-- 5/NK 11/OA 9/NK 9/MO 7/-- 5/AG 11/PM 3/OC 11/--	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl case=gen|gender=masc|num=pl _ case=gen|gender=masc|num=pl case=gen|gender=masc|num=pl _ _ _
335501320385617920	positive	Ich möchte mich hier einmal bei allen Teilnehmern der Kreisdelegiertenversammlung der SPD Hamburg - Mitte bedanken . Ihr wisst , warum !	ich mögen ich hier einmal bei alle Teilnehmer die Kreisdelegiertenversammlung die SPD Hamburg - Mitte bedanken . sie wissen , warum !	PPER VMFIN PRF ADV ADV APPR PIAT NN ART NN ART NE NE $( NN VVINF $. PPER VVFIN $, PWAV $.	2/SB 0/-- 16/OA 2/MO 2/MO 16/MO 8/NK 6/NK 10/NK 8/AG 13/NK 13/PNC 10/AG 13/-- 16/MO 2/OC 16/-- 19/SB 0/-- 19/-- 19/OC 21/--	case=nom|Sentiment::markable_5::Polarity=positive|Sentiment::markable_5::Sarcasm=false|Source::markable_6::Anaphref=empty|Sentiment::markable_5::Intensity=medium|*=True|pers=1|num=sg|Source::markable_6::Source=True|Sentiment::markable_5::Sentiment=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_5::Sentiment=True case=acc|EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|EmoExpression::markable_7::Sarcasm=false|Sentiment::markable_5::Sentiment=True|EmoExpression::markable_7::Polarity=positive|pers=1|num=sg Sentiment::markable_5::Sentiment=True Sentiment::markable_5::Sentiment=True Target::markable_8::Anaphref=empty|Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True|Target::markable_8::Preferred=true case=dat|gender=masc|num=pl|Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True case=dat|gender=masc|num=pl|Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True case=gen|gender=fem|num=sg|Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True case=gen|gender=fem|num=sg|Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True case=gen|gender=fem|num=sg|Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True case=gen|gender=fem|num=sg|Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True case=nom|gender=neut|num=sg|Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True Target::markable_8::Target=True|Sentiment::markable_5::Sentiment=True Target::markable_8::Target=True|gender=fem|*=True|num=sg|Sentiment::markable_5::Sentiment=True EmoExpression::markable_7::EmoExpression=True|Sentiment::markable_5::Sentiment=True Sentiment::markable_5::Sentiment=True case=nom|*=True|num=pl|pers=2 pers=3|num=sg|tense=pres|mood=ind _ _ _
335502381016023041	positive	wenn das so weitergeht , bekommt ihr einen unterirdischen Flughafen , und BER lin einen 2. Bahnhof auf der grünen Wiese ! %PosSmiley S21	wenn die so weitergehen , bekommen ihr eine unterirdisch Flughafen , und BER lin eine 2. Bahnhof auf die grün Wiese ! %PosSmiley S21	KOUS PDS ADV VVFIN $, VVFIN PPER ART ADJA NN $, KON NE VVFIN ART ADJA NN APPR ART ADJA NN $. ITJ CARD	4/CP 4/SB 4/MO 6/MO 4/-- 0/-- 6/DA 10/NK 10/NK 6/OA 10/-- 6/CD 14/SB 12/CJ 17/NK 17/NK 14/OA 17/MNR 21/NK 21/NK 18/NK 21/-- 14/DM 0/--	_ case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=ind case=dat|gender=fem|num=sg|pers=3 case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ _ case=nom|*=True|num=sg pers=3|num=sg|tense=past|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg _ EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True _
333009874654986240	positive	Kann bitte mal jmd die CSU - Wähler auffordern , sich von diesem verkappten N *** - A *** Friedrich und seinen Aussagen zu diestanzieren ? Danke ! %PosSmiley	können bitte mal jmd die CSU - Wähler auffordern , sich von dies verkappt N *** - A *** Friedrich und sein Aussage zu diestanzieren ? danke ! %PosSmiley	VMFIN ADV ADV VVFIN ART NE $( NN VVINF $, PRF APPR PDAT ADJA NN ADJA $( NN NN NE KON PPOSAT NN PTKZU VVINF $. PTKANT $. ITJ	4/MO 1/MO 1/MO 0/-- 6/NK 4/SB 6/-- 9/OA 4/OC 9/-- 25/OA 25/OP 15/NK 15/NK 12/NK 18/NK 16/-- 15/AG 20/PNC 18/NK 20/CD 23/NK 21/CJ 25/PM 9/OC 25/-- 0/-- 27/-- 27/NK	pers=3|num=sg|tense=pres|mood=ind _ _ pers=3|num=sg|tense=past|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=acc|gender=masc|num=pl _ _ case=acc|pers=3|num=pl _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=pl case=acc|gender=fem|num=pl _ _ _ _ _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
333690189379682305	neutral	%User nicht zu vergessen , dass grüne und SPD ebenfalls ihre Verwandten Beschäftigten !	%User nicht zu vergessen , dass grünen und SPD ebenfalls ihr verwandt Beschäftigte !	NE PTKNEG PTKZU VVINF $, KOUS VVFIN KON NE ADV PPOSAT ADJA NN $.	7/SB 4/NG 4/PM 7/SB 4/-- 7/MO 0/-- 1/CD 8/CJ 7/MO 13/NK 13/NK 7/OA 13/--	case=nom|*=True|num=sg _ _ _ _ _ pers=3|num=sg|tense=pres|mood=subj _ case=nom|gender=fem|num=sg _ case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl|pos=True case=acc|gender=fem|num=pl _
