328854379425853441	positive	Gleich in Braunschweig mit Kamaraden Treffen %PosSmiley	gleich in Braunschweig mit Kamaraden Treffen %PosSmiley	ADJD APPR NE APPR ADJA NN ITJ	2/MO 0/-- 2/NK 2/SVP 6/NK 4/NK 4/MO	Sentiment::markable_208::Intensity=medium|Target::markable_209::Anaphref=empty|Sentiment::markable_208::Sarcasm=false|Sentiment::markable_208::Polarity=positive|Sentiment::markable_208::Sentiment=True|Target::markable_209::Preferred=true|Target::markable_209::Target=True Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True case=dat|num=pl|Target::markable_209::Target=True|gender=fem|Sentiment::markable_208::Sentiment=True|pos=True case=dat|gender=fem|num=pl|Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|Sentiment::markable_208::Sentiment=True|EmoExpression::markable_1::Intensity=medium
322069357201072129	mixed	Das geht ja gar nicht ! Wo kommen wir denn da hin ? Uns hätte man die Bücher auf den Kopf gehauen , bis das Familienlevel stimmt %PosSmiley	die gehen ja gar nicht ! wo kommen wir denn da hin ? wir haben man die Buch auf die Kopf hauen , bis die Familienlevel stimmen %PosSmiley	PDS VVFIN ADV ADV PTKNEG $. PWAV VVFIN PPER ADV ADV PTKVZ $. PPER VAFIN PIS ART NN APPR ART NN VVPP $, KOUS ART NN VVFIN ITJ	2/SB 0/-- 2/MO 5/MO 2/CJ 5/-- 8/MO 0/-- 8/SB 8/MO 8/MO 8/SVP 12/-- 22/DA 0/-- 15/SB 18/NK 22/OA 22/MO 21/NK 19/NK 15/OC 22/-- 27/CP 26/NK 27/SB 22/MO 24/NK	case=nom|EmoExpression::markable_149::Uncertain=false|EmoExpression::markable_149::Polarity=negative|gender=neut|EmoExpression::markable_149::SubjectiveFact=false|EmoExpression::markable_149::Sarcasm=false|num=sg|EmoExpression::markable_149::EmoExpression=True|EmoExpression::markable_149::Intensity=strong pers=3|num=sg|tense=pres|mood=ind|EmoExpression::markable_149::EmoExpression=True EmoExpression::markable_149::EmoExpression=True EmoExpression::markable_149::EmoExpression=True EmoExpression::markable_149::EmoExpression=True EmoExpression::markable_149::EmoExpression=True EmoExpression::markable_104012277::Sarcasm=false|EmoExpression::markable_104012277::Uncertain=false|EmoExpression::markable_104012277::Intensity=medium|EmoExpression::markable_104012277::SubjectiveFact=false|EmoExpression::markable_104012277::Polarity=negative|EmoExpression::markable_104012277::EmoExpression=True pers=1|EmoExpression::markable_104012277::EmoExpression=True|num=pl|tense=pres|mood=ind case=nom|*=True|EmoExpression::markable_104012277::EmoExpression=True|num=pl|pers=1 EmoExpression::markable_104012277::EmoExpression=True EmoExpression::markable_104012277::EmoExpression=True EmoExpression::markable_104012277::EmoExpression=True _ case=dat|*=True|num=pl|pers=1 pers=3|num=sg|tense=past|mood=subj case=nom|*=True|num=sg case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl EmoExpression::markable_210::Sarcasm=false|EmoExpression::markable_210::Uncertain=false|EmoExpression::markable_210::Polarity=negative|EmoExpression::markable_210::SubjectiveFact=false|EmoExpression::markable_210::EmoExpression=True|EmoExpression::markable_210::Intensity=medium case=acc|gender=masc|num=sg|EmoExpression::markable_210::EmoExpression=True case=acc|gender=masc|num=sg|EmoExpression::markable_210::EmoExpression=True EmoExpression::markable_210::EmoExpression=True _ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True
323433156667654147	positive	Will jetz Radle fahren oder Inliner %NegSmiley	wollen jetz radeln fahren oder Inliner %NegSmiley	VMFIN ADJD VVFIN VVFIN KON NN ITJ	0/-- 1/MO 4/MO 1/OC 4/CD 5/CJ 6/NK	Sentiment::markable_150::Sentiment=True|EmoExpression::markable_151::Polarity=positive|EmoExpression::markable_151::Sarcasm=false|mood=ind|Sentiment::markable_150::Intensity=medium|Sentiment::markable_150::Sarcasm=false|EmoExpression::markable_151::SubjectiveFact=false|pers=3|num=sg|tense=pres|Sentiment::markable_150::Polarity=positive|EmoExpression::markable_151::Uncertain=false|EmoExpression::markable_151::EmoExpression=True|EmoExpression::markable_151::Intensity=medium Sentiment::markable_150::Sentiment=True|pos=True Sentiment::markable_150::Sentiment=True|Target::markable_152::Target=True|mood=subj|Target::markable_152::Preferred=true|pers=3|num=sg|tense=pres|Target::markable_152::Anaphref=empty Sentiment::markable_150::Sentiment=True|Target::markable_152::Target=True Sentiment::markable_150::Sentiment=True|Target::markable_152::Target=True case=nom|gender=masc|Sentiment::markable_150::Sentiment=True|num=sg|Target::markable_152::Target=True Sentiment::markable_150::Sentiment=True|EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=negative|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false
320319919545790464	positive	SoWi Denkweisen den eine anliyorsunuz arkadaslar %PosSmiley ?	SoWi Denkweise die eine anliyorsunuz arkadaslar %PosSmiley ?	NN NN ART ART NE ADJD ITJ $.	0/-- 1/NK 5/NK 5/NK 6/DA 1/PAR 5/NK 6/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=fem|num=sg _ pos=True EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True _
319088835927609344	positive	Ich schau ' s mir später an , bin gerade mit meiner BFF shoppen %PosSmiley	ich schauen ' s ich spät an , sein gerade mit mein BFF shoppen %PosSmiley	PPER VVIMP $( NN PRF ADJD PTKVZ $, VAFIN ADV APPR PPOSAT NN NN ITJ	9/SB 1/NK 2/-- 2/OA 10/DA 2/MO 2/SVP 7/-- 0/-- 9/MO 9/MO 13/NK 11/NK 13/NK 9/NK	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=acc|gender=neut|num=sg|pers=3 case=dat|*=True|num=sg|pers=1 comp=True _ _ pers=1|num=sg|tense=pres|mood=ind _ _ case=dat|gender=fem|num=sg case=dat|EmoExpression::markable_211::Intensity=medium|EmoExpression::markable_211::Polarity=positive|EmoExpression::markable_211::Uncertain=false|gender=fem|EmoExpression::markable_211::SubjectiveFact=false|num=sg|EmoExpression::markable_211::Sarcasm=false|EmoExpression::markable_211::EmoExpression=True _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
324216397624385536	mixed	Oh , dacht schon Du rätst mir zu einer Diät , weil 65 kg / 165 cm evtl dick sei %PosSmiley Werde alle abfüllen , ja ! Obwohl einer reicht für den Anfang %PosSmiley	oh , dachen schon du raten ich zu eine Diät , weil 65 kg / @card@ cm evtl dick sein %PosSmiley werden alle abfüllen , ja ! obwohl eine reichen für die Anfang %PosSmiley	ITJ $, VVFIN ADV PPER VVFIN PPER APPR ART NN $, KOUS CARD NN $( CARD NN NE ADJD VAFIN ITJ VAFIN PIS VVINF $, ADV $. KOUS PIS VVFIN APPR ART NN ITJ	3/DM 1/-- 0/-- 3/MO 6/SB 3/RS 6/DA 6/MO 10/NK 8/NK 10/-- 20/CP 14/NK 20/SB 14/-- 17/NK 14/CJ 17/NK 20/PD 6/MO 26/DM 26/RE 5/NK 22/OC 24/-- 20/SB 26/-- 30/CP 30/SB 0/-- 30/MO 33/NK 31/NK 33/NK	_ _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|*=True|num=sg|pers=2 pers=2|num=sg|tense=pres|mood=ind case=dat|*=True|num=sg|pers=1 _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ _ _ _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg EmoExpression::markable_104012279::SubjectiveFact=false|EmoExpression::markable_104012279::Intensity=medium|EmoExpression::markable_104012279::Polarity=negative|EmoExpression::markable_104012279::Sarcasm=false|EmoExpression::markable_104012279::EmoExpression=True|EmoExpression::markable_104012279::Uncertain=false|pos=True pers=3|num=sg|tense=pres|mood=subj EmoExpression::markable_6::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Polarity=positive|EmoExpression::markable_6::EmoExpression=True case=acc|*=True|num=pl case=acc|*=True|num=pl _ _ _ _ _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive
319918922482728962	positive	komm her , wir machen löcher in den käse und brüten in den alpen wolken aus. dazu schokol ade winken wir allen %PosSmiley	kommen her , wir machen löchern in die Käse und brüten in die <UNKNOWN> Wolke aus. dazu schokol ade winken wir alle %PosSmiley	VVIMP PTKVZ $, PPER VVFIN VVIMP APPR ART NN KON VVFIN APPR ART ADJA NN VVFIN PAV ADJD ITJ VVFIN PPER PIAT ITJ	20/MO 1/SVP 2/-- 5/SB 1/CJ 5/MO 5/MO 9/NK 7/NK 5/CD 10/CJ 11/MO 15/NK 15/NK 12/NK 11/MO 1/NK 1/MO 21/NK 0/-- 20/SB 21/NK 21/NK	pers=2|num=sg|mood=imp _ _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=gen|gender=fem|num=pl|pos=True _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ pers=3|num=pl|tense=pres|mood=ind _ case=dat|gender=fem|num=pl case=dat|gender=fem|num=pl|pos=True case=dat|gender=fem|num=pl pers=3|num=sg|tense=pres|mood=subj _ pos=True _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=dat|gender=fem|num=pl EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false
319476130514083840	positive	aber sie können doch alles ausser Hochdeutsch ! %PosSmiley	aber sie können doch alle außer Hochdeutsch ! %PosSmiley	KON PPER VMFIN ADV PIS APPR NN $. ITJ	3/JU 3/SB 0/-- 3/MO 3/SB 5/MNR 6/NK 7/-- 3/DM	_ case=nom|*=True|num=pl|pers=3 pers=3|num=pl|tense=pres|mood=ind _ case=acc|gender=neut|num=sg _ case=acc|gender=neut|num=sg _ EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True
329149707823747072	positive	dann hab ich js das brste bekommen %PosSmiley	dann haben ich js die brste bekommen %PosSmiley	ADV VAIMP PPER NE ART NN VVPP ITJ	7/MO 4/NK 4/SB 7/DA 6/NK 7/OA 0/-- 7/NK	Sentiment::markable_100500274::Sentiment=True|Sentiment::markable_100500274::Polarity=positive|Sentiment::markable_100500274::Sarcasm=false|Sentiment::markable_100500274::Intensity=medium pers=1|Sentiment::markable_100500274::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|pers=1|Source::markable_12::Anaphref=empty|num=sg|Sentiment::markable_100500274::Sentiment=True|*=True|Source::markable_12::Source=True pers=1|Sentiment::markable_100500274::Sentiment=True|num=sg|tense=past|mood=ind case=acc|Target::markable_11::Anaphref=empty|num=sg|Target::markable_11::Preferred=true|Target::markable_11::Target=True|gender=neut|Sentiment::markable_100500274::Sentiment=True case=acc|gender=neut|Sentiment::markable_100500274::Sentiment=True|num=sg|Target::markable_11::Target=True Sentiment::markable_100500274::Sentiment=True EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|Sentiment::markable_100500274::Sentiment=True|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false
323822311650234369	mixed	spätestens jetzt komm ich aus der Nummer nicht mehr raus %PosSmiley %Link	spätestens jetzt kommen ich aus die Nummer nicht mehr raus %PosSmiley %Link	ADV ADV VVIMP PPER APPR ART NN PTKNEG ADV PTKVZ ITJ XY	2/MO 3/MO 0/-- 3/UC 4/MNR 7/NK 5/NK 4/NG 8/MO 3/SVP 10/NK 10/NK	_ _ EmoExpression::markable_104012280::Intensity=medium|mood=ind|EmoExpression::markable_104012280::SubjectiveFact=false|EmoExpression::markable_104012280::Sarcasm=false|pers=1|num=sg|tense=past|EmoExpression::markable_104012280::Polarity=negative|EmoExpression::markable_104012280::EmoExpression=True|EmoExpression::markable_104012280::Uncertain=false case=nom|*=True|num=sg|EmoExpression::markable_104012280::EmoExpression=True|pers=1 EmoExpression::markable_104012280::EmoExpression=True case=dat|gender=fem|num=sg|EmoExpression::markable_104012280::EmoExpression=True case=dat|gender=fem|num=sg|EmoExpression::markable_104012280::EmoExpression=True EmoExpression::markable_104012280::EmoExpression=True EmoExpression::markable_104012280::EmoExpression=True EmoExpression::markable_104012280::EmoExpression=True EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True _
322959630252793856	positive	Visum schon gestellt für die Einreise nach Bayern %PosSmiley	Visum schon stellen für die Einreise nach Bayer %PosSmiley	NN ADV VVPP APPR ART NN APPR NN ITJ	0/-- 3/MO 1/MNR 3/MO 6/NK 4/NK 6/MNR 7/NK 8/NK	case=nom|Sentiment::markable_15::Intensity=medium|Sentiment::markable_15::Sarcasm=false|Target::markable_17::Target=True|Target::markable_17::Preferred=true|gender=masc|Target::markable_17::Anaphref=empty|num=sg|Sentiment::markable_15::Polarity=positive|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True|Target::markable_17::Target=True Sentiment::markable_15::Sentiment=True|Target::markable_17::Target=True Sentiment::markable_15::Sentiment=True|Target::markable_17::Target=True case=acc|gender=fem|num=sg|Target::markable_17::Target=True|Sentiment::markable_15::Sentiment=True case=acc|gender=fem|num=sg|Target::markable_17::Target=True|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True|Target::markable_17::Target=True case=dat|gender=neut|num=sg|Target::markable_17::Target=True|Sentiment::markable_15::Sentiment=True case=dat|EmoExpression::markable_16::EmoExpression=True|gender=neut|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium|EmoExpression::markable_16::Polarity=positive|num=sg|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::SubjectiveFact=false
