311904570395734016	positive	Ob das das Internet aushält ? Soviel #Papst auf einmal . #Habemus ... ;-)	ob die die Internet aushalten ? soviele #Papst auf einmal . #Habemus ... ;-)	KOUS PDS ART NN VVFIN $. PIAT NN APPR ADV $. NN $. $(	5/CP 5/SB 4/NK 5/SB 0/-- 5/-- 8/NK 6/-- 8/MNR 9/NK 10/-- 11/-- 12/-- 13/--	_ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ *=True case=nom|gender=neut|num=sg _ _ _ _ _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
311907229513166849	positive	Wer wird jetzt #Papst ? Die Spannung steigt und ich nehme noch Tipps entgegen ;-)	wer werden jetzt #Papst ? die Spannung steigen und ich nehmen noch Tip entgegen ;-)	PWS VAFIN ADV NN $. ART NN VVFIN KON PPER VVFIN ADV NN PTKVZ $(	2/SB 0/-- 2/MO 2/PD 4/-- 7/NK 8/SB 5/-- 8/CD 11/SB 9/CJ 11/MO 11/OA 11/SVP 14/--	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=fem|EmoExpression::markable_104013042::SubjectiveFact=false|EmoExpression::markable_104013042::Uncertain=false|EmoExpression::markable_104013042::Intensity=medium|num=sg|EmoExpression::markable_104013042::EmoExpression=True|EmoExpression::markable_104013042::Polarity=positive|EmoExpression::markable_104013042::Sarcasm=false case=nom|gender=fem|num=sg|EmoExpression::markable_104013042::EmoExpression=True pers=3|num=sg|tense=pres|mood=ind|EmoExpression::markable_104013042::EmoExpression=True _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=pl _ EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True
311924188925526017	positive	@T_Riedl Mute das Wort Papst doch :)	@T_Riedl Mut die Wort Papst doch :)	NN NN ART NN NN KON ADJA	0/-- 1/-- 4/NK 2/SB 4/NK 4/CD 6/CJ	case=nom|gender=neut|num=sg case=nom|gender=fem|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg _ EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false
311927020424671232	mixed	Also alles wie gehabt : #Franziskus ist #Schwul enhetzer ! :( Wenn er das auch als #Papst bleibt , hat er bei mir verschissen !!!	also alle wie haben : #Franziskus sein #Schwul enhetzer ! :( wenn er die auch als #Papst bleiben , haben er bei ich verscheißen !!!	ADV PIS KOKOM VAPP $. NN VAFIN ADJD NN $. NN KOUS PPER PDS ADV KOKOM NN VVFIN $, VAFIN PPER APPR PPER VVPP ADJA	4/MO 4/SB 4/CM 7/CJ 4/-- 7/SB 0/-- 9/NK 7/PD 9/-- 18/PD 18/CP 18/SB 18/OA 17/MO 17/CM 18/SB 24/MO 18/-- 10/-- 20/SB 24/MO 22/NK 20/OC 24/MO	_ case=nom|gender=neut|num=sg _ _ _ Sentiment::markable_4::Sentiment=True|Source::markable_5::Anaphref=empty|Sentiment::markable_4::Polarity=negative|Sentiment::markable_4::Intensity=medium|Source::markable_5::Source=True|Sentiment::markable_4::Sarcasm=false|pos=True pers=3|Sentiment::markable_4::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|Sentiment::markable_4::Sentiment=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::EmoExpression=True|gender=neut|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::SubjectiveFact=false|EmoExpression::markable_7::Polarity=negative|Target::markable_6::Target=True|num=sg|Target::markable_6::Preferred=true|Target::markable_6::Anaphref=empty case=nom|gender=neut|num=sg|Sentiment::markable_4::Sentiment=True|EmoExpression::markable_7::EmoExpression=True Sentiment::markable_4::Sentiment=True Sentiment::markable_4::Sentiment=True|EmoExpression::markable_10050091::EmoExpression=True|EmoExpression::markable_10050091::Intensity=medium|EmoExpression::markable_10050091::Sarcasm=false|EmoExpression::markable_10050091::Uncertain=false|EmoExpression::markable_10050091::Polarity=negative|EmoExpression::markable_10050091::SubjectiveFact=false _ case=nom|gender=masc|num=sg|pers=3 case=acc|gender=neut|num=sg _ _ case=nom|Target::markable_11::Anaphref=empty|num=sg|Target::markable_11::Preferred=true|Target::markable_11::Target=True|gender=neut pers=3|num=sg|tense=pres|mood=ind _ Sentiment::markable_8::Intensity=medium|mood=ind|Sentiment::markable_8::Sentiment=True|Sentiment::markable_8::Sarcasm=false|pers=3|num=sg|tense=pres|Sentiment::markable_8::Polarity=positive case=nom|Target::markable_10::Anaphref=markable_11|gender=masc|Sentiment::markable_8::Sentiment=True|pers=3|num=sg|Target::markable_10::Preferred=true|Target::markable_10::Target=True Sentiment::markable_8::Sentiment=True case=dat|pers=1|Source::markable_12::Anaphref=empty|num=sg|Source::markable_12::Source=True|*=True|Sentiment::markable_8::Sentiment=True EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=negative|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=strong|Sentiment::markable_8::Sentiment=True|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True _
311880626007576578	positive	Das wohl heute meistgesehene Tier der Welt :) #Papst #Vatikan #Rom http://t.co/1f9GtNz6KL	die wohl heute meistgesehene Tier die Welt :) #Papst #Vatikan #Rom http://t.co/1f9GtNz6KL	ART ADV ADV ADJA NN ART NN ADJA NN NN NN NN	5/NK 4/MO 4/MO 5/NK 8/OA 7/NK 5/AG 0/-- 8/SB 9/NK 8/OA 11/NK	case=nom|gender=neut|num=sg _ _ case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|EmoExpression::markable_13::EmoExpression=True|gender=fem|pos=True|num=sg|EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false case=gen|gender=fem|num=sg case=acc|pers=2|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg
311920793984593920	positive	Ich find den Papst putzig :))	ich find die Papst putzig :))	PPER VVFIN ART NN ADJD ADJA	2/SB 0/-- 4/NK 2/OA 6/MO 2/MO	case=nom|Source::markable_15::Source=True|Sentiment::markable_14::Sentiment=True|Sentiment::markable_14::Polarity=positive|*=True|Sentiment::markable_14::Intensity=medium|pers=1|num=sg|Source::markable_15::Anaphref=empty|Sentiment::markable_14::Sarcasm=false pers=1|Sentiment::markable_14::Sentiment=True|num=sg|tense=pres|mood=ind case=acc|gender=masc|Sentiment::markable_14::Sentiment=True|num=sg case=acc|Sentiment::markable_14::Sentiment=True|num=sg|Target::markable_16::Target=True|gender=masc|Target::markable_16::Anaphref=empty|Target::markable_16::Preferred=true EmoExpression::markable_17::SubjectiveFact=false|Sentiment::markable_14::Sentiment=True|EmoExpression::markable_17::Polarity=positive|pos=True|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium case=acc|Sentiment::markable_14::Sentiment=True|EmoExpression::markable_18::EmoExpression=True|gender=masc|pos=True|EmoExpression::markable_18::Intensity=medium|num=sg|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false
311919273033490432	negative	Kein schwarzer Papst :( Typisch für die sog . " Kinderficker Sekte " , keine Weltoffenheit .	keine schwarz Papst :( typisch für die saugen . " Kinderficker Sekt|Sekte " , keine Weltoffenheit .	PIAT ADJA NN ADJD ADJD APPR PDS VVFIN $. $( ADJA NN $( $, PIAT NN $.	3/NK 3/NK 8/SB 5/MO 8/MO 8/MO 6/NK 0/-- 8/-- 9/-- 12/NK 10/-- 12/-- 13/-- 16/NK 12/CJ 16/--	case=nom|Target::markable_21::Target=True|Target::markable_21::Anaphref=empty|gender=masc|Sentiment::markable_19::Intensity=medium|num=sg|Sentiment::markable_19::Sentiment=True|Sentiment::markable_19::Sarcasm=false|Sentiment::markable_19::Polarity=negative|Target::markable_21::Preferred=true case=nom|num=sg|Target::markable_21::Target=True|Sentiment::markable_19::Sentiment=True|gender=masc|pos=True case=nom|gender=masc|num=sg|Target::markable_21::Target=True|Sentiment::markable_19::Sentiment=True EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Sarcasm=false|pos=True|EmoExpression::markable_20::EmoExpression=True|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive pos=True _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ EmoExpression::markable_10050094::Sarcasm=false|*=True|EmoExpression::markable_10050094::Polarity=negative|pos=True|EmoExpression::markable_10050094::Intensity=strong|EmoExpression::markable_10050094::Uncertain=false|EmoExpression::markable_10050094::SubjectiveFact=false|EmoExpression::markable_10050094::EmoExpression=True case=nom|gender=neut|num=pl|EmoExpression::markable_10050094::EmoExpression=True _ _ case=acc|gender=fem|num=sg case=acc|EmoExpression::markable_104013043::SubjectiveFact=false|gender=fem|EmoExpression::markable_104013043::Uncertain=false|EmoExpression::markable_104013043::Intensity=medium|num=sg|EmoExpression::markable_104013043::Sarcasm=false|EmoExpression::markable_104013043::Polarity=positive|EmoExpression::markable_104013043::EmoExpression=True _
311973799417487360	neutral	RT @hipsterschwein : Wieder kein Moslem als Papst . :-(	RT @hipsterschwein : wieder keine Moslem als Papst . :-(	NE NN $. ADV PIAT NN KOKOM NN $. $(	2/SB 0/-- 2/-- 6/MO 6/NK 3/-- 6/CD 7/NK 8/-- 9/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg _ _
311919683538399232	positive	@QuasselQuark Leute , die nach 1978  geboren sind , haben noch nie einen italienischen Papst erlebt :-) #Konklave	@QuasselQuark Leute , die nach @card@ gebären sein , haben noch nie eine italienisch Papst erleben :-) #Konklave	NN NN $, PRELS APPR CARD VVPP VAFIN $, VAFIN ADV ADV ART ADJA NN VVFIN $( NN	0/-- 10/SB 2/-- 8/SB 7/MO 5/NK 8/OC 2/RC 8/-- 1/-- 12/MO 16/MO 15/NK 15/NK 16/OA 10/OC 16/-- 16/OA	case=nom|gender=masc|num=sg case=nom|*=True|num=pl _ case=nom|*=True|num=pl _ _ _ pers=3|num=pl|tense=pres|mood=ind _ pers=3|num=pl|tense=pres|mood=ind _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive _
311902654093737984	negative	Ich will keinen schwarzen Papst :(	ich wollen keine schwarz Papst :(	PPER VMFIN PIAT ADJA NN ADJA	2/SB 0/-- 5/NK 5/NK 6/OA 2/OC	case=nom|Sentiment::markable_23::Sarcasm=false|Sentiment::markable_23::Intensity=medium|Source::markable_24::Source=True|*=True|pers=1|Source::markable_24::Anaphref=empty|num=sg|Sentiment::markable_23::Sentiment=True|Sentiment::markable_23::Polarity=negative mood=ind|EmoExpression::markable_25::Polarity=positive|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::EmoExpression=True|pers=1|EmoExpression::markable_25::Intensity=medium|num=sg|tense=pres|Sentiment::markable_23::Sentiment=True|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false case=acc|Target::markable_27::Anaphref=empty|Target::markable_27::Preferred=true|gender=masc|Negation::markable_26::Negation=True|Negation::markable_26::EmoExpressionRef=empty|num=sg|Sentiment::markable_23::Sentiment=True|Target::markable_27::Target=True case=acc|num=sg|Sentiment::markable_23::Sentiment=True|gender=masc|pos=True|Target::markable_27::Target=True case=acc|gender=masc|num=sg|Target::markable_27::Target=True|Sentiment::markable_23::Sentiment=True case=acc|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|gender=masc|pos=True|EmoExpression::markable_28::Intensity=medium|num=sg|EmoExpression::markable_28::Polarity=negative|EmoExpression::markable_28::EmoExpression=True|Sentiment::markable_23::Sentiment=True|EmoExpression::markable_28::Uncertain=false
312088650450100224	positive	Alle reden vom Papst ich Bete :) http://t.co/KUPPxvumVA	alle reden von Papst ich beten :) http://t.co/KUPPxvumVA	PIS VVFIN APPRART NN PPER VVFIN ADJA NN	2/SB 0/-- 2/MO 3/NK 6/SB 2/CJ 8/NK 6/OA	case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false _
