334042502166347776	positive	Obama ' s " red line " und #Syrien - Ein Kommentar von John Stewart - https://t.co/9GpMvlwTsf :-)	Obama ' s " red line " und #Syrien - eine Kommentar von John Stewart - https://t.co/9GpMvlwTsf :-)	NN $( NN $( NE ADJD $( KON NN $( ART NN APPR NE NE $( NE $(	0/-- 1/-- 1/CJ 3/-- 6/OG 3/PAR 6/-- 3/CD 8/CJ 11/-- 12/NK 9/-- 12/PG 15/PNC 13/NK 15/-- 15/PAR 17/--	_ _ _ _ _ _ _ _ case=dat|gender=masc|*=True _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=dat|EmoExpression::markable_100500155::EmoExpression=True|gender=masc|EmoExpression::markable_100500155::Polarity=positive|EmoExpression::markable_100500155::Sarcasm=false|num=sg|EmoExpression::markable_100500155::SubjectiveFact=false|EmoExpression::markable_100500155::Uncertain=false|EmoExpression::markable_100500155::Intensity=medium
326066640712253440	positive	Bald kommt raus : Hoeneß hat das Geld dort nur für Peer Steinbrück verwaltet . ;-) #jauch	bald kommen raus : Hoeneß haben die Geld dort nur für Peer Steinbrück verwalten . ;-) #jauch	ADV VVFIN PTKVZ $. NN VAFIN ART NN ADV ADV APPR NE NN VVPP $. $( NN	2/MO 0/-- 2/SVP 3/-- 6/OA 2/OC 8/NK 6/SB 14/MO 11/MO 14/MO 11/NK 14/OA 6/OC 14/-- 17/-- 15/--	case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=acc|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium case=nom|gender=masc|num=sg
337322700542443521	negative	! @borderline44 #LiNKE - u Menschen w @PolitikcalCats prostituier s für #Merkel &amp; Co weil s EINF NITs CHECKEN ! ZU GEHIRNGEWASCH in KINDHEIT :-(	! @borderline44 #LiNKE - u Mensch w @PolitikcalCats prostituier s für #Merkel &amp; Co weil s EINF NITs checken ! zu GEHIRNGEWASCH in Kindheit :-(	$. CARD NN $( ADJA NN ADJA NN ADJA NN APPR NN $( NN KOUS NN NE NN VVINF $. APPR NN APPR NN $(	0/-- 1/-- 7/SB 3/-- 6/NK 3/CJ 2/-- 7/OA 10/NK 19/MO 10/MNR 11/NK 12/-- 19/OA 17/CP 17/PNC 14/MNR 17/PNC 8/-- 19/-- 20/-- 21/NK 22/MNR 23/NK 24/--	_ _ case=nom|gender=fem|num=sg _ case=acc|gender=fem|num=pl|pos=True case=acc|gender=fem|num=pl _ _ EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=negative|EmoExpression::markable_2::EmoExpression=True _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=nom|gender=neut|num=sg|pers=3 *=True *=True *=True _ _ case=dat|gender=neut|num=sg _ case=dat|gender=neut|num=sg _
338075896986619904	positive	Noch 19  stunden und 09  Minuten ! Fällt mir gerade so auf : O gruslig .... #ucl #finale #wembley #schwarzGelb gegen #schwarzGeld :P :)) *-*	noch @card@ stunden und @card@ Minute ! fallen|fällen ich gerade so auf : O gruslig .... #ucl #finale #wembley #schwarzGelb gegen #schwarzGeld :P :)) *-*	ADV CARD VVINF KON CARD NN $. VVFIN PPER ADV ADV PTKVZ $. NN ADJD ADJA NN NN NE NN APPR NN NN ADJA XY	2/MO 3/OA 0/-- 3/CD 6/NK 4/CJ 6/-- 7/-- 8/DA 8/MO 8/MO 8/SVP 12/-- 16/SB 16/MO 8/OC 24/MO 19/PNC 20/NK 17/NK 20/MNR 21/NK 22/NK 16/-- 16/--	Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Sarcasm=false|Sentiment::markable_3::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|Sentiment::markable_3::Polarity=positive|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::EmoExpression=True|EmoExpression::markable_6::Polarity=positive|Sentiment::markable_3::Intensity=strong Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::EmoExpression=True Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::EmoExpression=True Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::EmoExpression=True Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::EmoExpression=True case=dat|gender=fem|EmoExpression::markable_6::EmoExpression=True|num=pl|Sentiment::markable_3::Sentiment=True Sentiment::markable_3::Sentiment=True|EmoExpression::markable_6::EmoExpression=True pers=3|Sentiment::markable_3::Sentiment=True|num=sg|tense=pres|mood=ind case=dat|*=True|Sentiment::markable_3::Sentiment=True|num=sg|pers=1 Sentiment::markable_3::Sentiment=True Sentiment::markable_3::Sentiment=True Sentiment::markable_3::Sentiment=True Sentiment::markable_3::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_3::Sentiment=True EmoExpression::markable_5::Intensity=medium|Sentiment::markable_3::Sentiment=True|pos=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::Polarity=positive case=acc|gender=masc|num=sg|pos=True|Sentiment::markable_3::Sentiment=True Target::markable_4::Preferred=true|Target::markable_4::Target=True|Target::markable_4::Anaphref=empty|Sentiment::markable_3::Sentiment=True case=nom|*=True|num=pl|Target::markable_4::Target=True|Sentiment::markable_3::Sentiment=True case=nom|*=True|num=pl|Sentiment::markable_3::Sentiment=True case=nom|*=True|num=pl|Sentiment::markable_3::Sentiment=True Sentiment::markable_3::Sentiment=True case=acc|gender=masc|EmoExpression::markable_100500214::SubjectiveFact=true|EmoExpression::markable_100500214::Sarcasm=false|num=sg|EmoExpression::markable_100500214::Polarity=negative|Sentiment::markable_3::Sentiment=True|EmoExpression::markable_100500214::Uncertain=true|EmoExpression::markable_100500214::Intensity=medium|EmoExpression::markable_100500214::EmoExpression=True case=acc|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|gender=masc|EmoExpression::markable_8::Uncertain=false|EmoExpression::markable_8::SubjectiveFact=false|num=sg|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|Sentiment::markable_3::Sentiment=True case=acc|EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|gender=masc|EmoExpression::markable_7::Sarcasm=false|pos=True|EmoExpression::markable_7::Polarity=positive|num=sg|Sentiment::markable_3::Sentiment=True case=acc|EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|gender=masc|EmoExpression::markable_9::SubjectiveFact=false|num=sg|EmoExpression::markable_9::Intensity=medium|Sentiment::markable_3::Sentiment=True|EmoExpression::markable_9::EmoExpression=True
322812531347431425	positive	@cologne360 find ich auch :) ne , ich wohn ja in österreich und in meinem Bundesland gibts noch keine Regelung , wenigstens was !	@cologne360 find ich auch :) eine , ich wohnen ja in österreich und in mein Bundesland gibts noch keine Regelung , wenigstens was !	NN VVFIN PPER ADV ADJD ART $, PPER VVIMP ADV APPR ADJD KON APPR PPOSAT NN NN ADV PIAT NN $, ADV PIS $.	0/-- 1/-- 2/SB 2/MO 2/MO 2/OA 6/-- 2/SB 2/OC 2/MO 2/MO 11/NK 11/CD 13/CJ 16/NK 14/NK 11/NK 20/MO 20/NK 2/OA 20/-- 23/MO 20/APP 23/--	_ pers=1|num=sg|tense=past|mood=ind case=nom|*=True|num=sg|pers=1 _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|pos=True|EmoExpression::markable_10::SubjectiveFact=false pers=1|num=sg|tense=pres|mood=ind _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ pos=True _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ case=nom|gender=neut|num=sg _
318149933045780480	negative	Ich warte nur noch darauf , dass sich irgendein FDP - Hansel über Intransparenz im Piratenvorstand mokiert . :-(	ich warten nur noch darauf , dass sich irgendeine FDP - Hansel über Intransparenz in Piratenvorstand mokieren . :-(	PPER VVFIN ADV ADV PAV $, KOUS PRF PIAT NE $( NE APPR NN APPRART NN VVPP $. $(	2/SB 0/-- 2/MO 2/MO 6/NK 4/-- 17/CP 17/OA 17/MO 12/PNC 10/-- 17/OA 12/MNR 13/NK 17/MO 15/NK 2/MO 17/-- 18/--	case=nom|Source::markable_100500157::Source=True|Sentiment::markable_100500156::Polarity=negative|Sentiment::markable_100500156::Intensity=weak|Sentiment::markable_100500156::Sarcasm=true|*=True|Sentiment::markable_100500156::Sentiment=True|pers=1|num=sg|Source::markable_100500157::Anaphref=empty mood=ind|EmoExpression::markable_100500158::Polarity=positive|EmoExpression::markable_100500158::SubjectiveFact=false|Sentiment::markable_100500156::Sentiment=True|pers=1|num=sg|tense=pres|EmoExpression::markable_100500158::Uncertain=false|EmoExpression::markable_100500158::Intensity=medium|EmoExpression::markable_100500158::EmoExpression=True|EmoExpression::markable_100500158::Sarcasm=false Sentiment::markable_100500156::Sentiment=True Sentiment::markable_100500156::Sentiment=True Target::markable_100500159::Target=True|Target::markable_100500159::Preferred=true|Target::markable_100500159::Anaphref=empty|Sentiment::markable_100500156::Sentiment=True Sentiment::markable_100500156::Sentiment=True Sentiment::markable_100500156::Sentiment=True case=acc|pers=3|Target::markable_100500160::Preferred=true|num=sg|Target::markable_100500160::Anaphref=empty|Target::markable_100500160::Target=True|Sentiment::markable_100500156::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True case=nom|gender=fem|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True Target::markable_100500160::Target=True|Sentiment::markable_100500156::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True Target::markable_100500160::Target=True|Sentiment::markable_100500156::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_100500156::Sentiment=True|Target::markable_100500160::Target=True Target::markable_100500160::Target=True|EmoExpression::markable_100500161::Intensity=medium|EmoExpression::markable_100500161::SubjectiveFact=false|Sentiment::markable_100500156::Sentiment=True|EmoExpression::markable_100500161::Sarcasm=false|EmoExpression::markable_100500161::Polarity=negative|EmoExpression::markable_100500161::EmoExpression=True|EmoExpression::markable_100500161::Uncertain=false Sentiment::markable_100500156::Sentiment=True EmoExpression::markable_14::Polarity=negative|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True|Sentiment::markable_100500156::Sentiment=True
337296397739110400	negative	#Merkel hat Deutschland ausgedient , werft sie auf die Müllhalde der Geschichte ! :(	#Merkel haben Deutschland ausdienen , werfen sie auf die Müllhalde die Geschichte ! :(	NN VAFIN NE VVPP $, VVFIN PPER APPR ART NN ART NN $. ADJA	2/SB 6/OC 4/OA 2/OC 4/-- 0/-- 6/SB 6/MO 10/NK 8/NK 12/NK 10/AG 12/-- 13/--	case=nom|Sentiment::markable_15::Intensity=medium|Sentiment::markable_15::Sarcasm=false|Target::markable_17::Target=True|Target::markable_17::Preferred=true|*=True|num=sg|Sentiment::markable_15::Polarity=negative|Sentiment::markable_15::Sentiment=True|Target::markable_17::Anaphref=empty pers=3|Sentiment::markable_15::Sentiment=True|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg|Sentiment::markable_15::Sentiment=True EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_18::Polarity=negative|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium Sentiment::markable_15::Sentiment=True pers=3|Sentiment::markable_15::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|gender=fem|Sentiment::markable_15::Sentiment=True|num=sg|pers=3 Sentiment::markable_15::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_15::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_15::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_15::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Intensity=medium|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=negative
333380753553489920	positive	RT @PASports45 : Frage : Warum gibt es von Angela Merkel keine Briefmarke ? Antwort : Weil sie keiner lecken will ;-)	RT @PASports45 : Frage : warum geben es von Angela Merkel keine Briefmarke ? <UNKNOWN> : weil sie keine lecken wollen ;-)	NE NN $. NN $. PWAV VVFIN PPER APPR NE NE PIAT NN $. VVPP $. KOUS PPER PIS VVINF VMFIN $(	2/SB 0/-- 2/-- 3/-- 4/-- 7/MO 4/OC 7/EP 7/MO 11/PNC 9/NK 13/NK 7/OA 13/-- 14/-- 15/-- 21/CP 21/SB 20/OA 21/OC 15/MO 21/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|gender=fem|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=dat|num=sg|Target::markable_24::Target=True|gender=neut|Target::markable_24::Preferred=true|Target::markable_24::Anaphref=empty case=dat|gender=neut|num=sg|Target::markable_24::Target=True case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ _ _ case=nom|*=True|num=pl|pers=3 case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false
337653831502528512	positive	Lassalle forderte schon einen Mindestlohn . Nach der letzten SPD - Regierung fordert man das immer noch ;-) #150JahreSPD	Lassalle fordern schon eine Mindestlohn . nach die letzt SPD - Regierung fordern man die immer noch ;-) #150JahreSPD	NN VVFIN ADV ART NN $. APPR ART ADJA NE $( NN VVFIN PIS PDS ADV ADV $( ADJD	2/SB 0/-- 2/MO 5/NK 2/OA 5/-- 13/MO 10/NK 10/NK 7/NK 10/-- 13/SB 6/-- 13/SB 13/OA 17/MO 19/MO 17/-- 13/MO	case=nom|*=True|num=sg pers=3|num=sg|tense=past|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg _ case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg case=acc|gender=neut|num=sg _ _ EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false pos=True
335179975982465024	positive	@Senfberg @piejae welcher Wahl ? Nach deer Wahl ist vor der Wahl :)	@Senfberg @piejae welche Wahl ? nach deer Wahl sein vor die Wahl :)	NN NN PIS NN $. APPR ADJA NN VAFIN APPR ART NN ADJA	0/-- 1/-- 4/SB 2/-- 4/-- 9/MO 8/NK 6/NK 5/-- 13/MO 12/NK 10/NK 9/SB	case=nom|gender=neut|num=sg case=nom|gender=fem|num=sg case=nom|gender=masc|num=sg case=acc|gender=fem|num=sg _ _ case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=gen|EmoExpression::markable_29::Intensity=medium|gender=masc|pos=True|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Uncertain=false|num=pl|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::SubjectiveFact=false
333088461160587264	positive	RT @boomel : Wochenende , endlich früher aufstehen und noch mehr Zeit in die #piratenpartei stecken :) #ichbinmotiviert #frapira #bpt131	RT @boomel : Wochenende , endlich früh aufstehen und noch mehr Zeit in die #piratenpartei stecken :) #ichbinmotiviert #frapira #bpt131	NE NN $. NN $, ADV ADJD VVINF KON ADV PIAT NN APPR ART NN VVFIN ADJA NN NE CARD	2/SB 0/-- 2/-- 3/-- 4/-- 8/MO 8/MO 4/MNR 8/CD 11/MO 12/NK 16/OA 12/MNR 15/NK 13/NK 9/CJ 18/NK 16/SB 18/NK 16/OA	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|Target::markable_31::Target=True|Target::markable_31::Preferred=true|Sentiment::markable_30::Sarcasm=false|*=True|Target::markable_31::Anaphref=empty|Sentiment::markable_30::Intensity=medium|num=pl|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Polarity=positive Sentiment::markable_30::Sentiment=True EmoExpression::markable_100500164::Uncertain=false|EmoExpression::markable_100500164::Polarity=positive|EmoExpression::markable_100500164::Sarcasm=false|EmoExpression::markable_100500164::Intensity=medium|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_100500164::SubjectiveFact=false|EmoExpression::markable_100500164::EmoExpression=True comp=True|Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True *=True|Sentiment::markable_30::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_30::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True case=acc|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_32::Polarity=positive|gender=fem|pos=True|EmoExpression::markable_32::EmoExpression=True|EmoExpression::markable_32::Intensity=medium|num=sg|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false case=acc|gender=fem|num=sg case=nom|gender=neut|num=sg _
