311919759388192769	positive	@christopherkohn Zum Glüch wurde der neue Papst heute gekürt ;-)	@christopherkohn zu Glüch werden die neu Papst heute küren ;-)	NN APPRART NN VAFIN ART ADJA NN ADV VVPP $(	0/-- 9/MO 2/NK 1/-- 7/NK 7/NK 4/SB 9/MO 4/OC 9/--	case=nom|gender=masc|num=sg case=dat|Sentiment::markable_1::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|gender=neut|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|num=sg|EmoExpression::markable_2::Sarcasm=false|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|EmoExpression::markable_2::EmoExpression=True case=dat|gender=neut|num=sg|EmoExpression::markable_2::EmoExpression=True|Sentiment::markable_1::Sentiment=True mood=ind|Target::markable_3::Anaphref=empty|Target::markable_3::Preferred=true|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True|pers=3|num=sg|tense=past case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|num=sg|Target::markable_3::Target=True|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::EmoExpression=True|EmoExpression::markable_4::Polarity=positive|Sentiment::markable_1::Sentiment=True
311906517546856450	mixed	Is’ echt so ! :-) RT @ILADYI : Mir scheissegal , wieviel Papstwitze hier kursieren . Mich bewegt das . Trotz allem . #Papst #Konklave	Is’ echt so ! :-) RT @ILADYI : ich scheissegal , wieviele Papstwitz hier kursieren . ich bewegen die . trotz alle . #Papst #Konklave	ADJD ADJD ADV $. $( NE NE $. PPER ADJD $, PWAV NN ADV VVINF $. PPER VVFIN PDS $. APPR PIS $. NN NN	2/MO 0/-- 2/MO 3/-- 6/-- 7/PNC 4/-- 7/-- 10/DA 8/-- 10/-- 15/MO 15/SB 15/MO 10/MO 15/-- 18/SB 16/-- 18/OA 19/-- 20/-- 21/NK 22/-- 23/-- 24/NK	pos=True pos=True _ _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive case=nom|*=True|num=sg case=nom|Sentiment::markable_6::Polarity=negative|Sentiment::markable_6::Sentiment=True|*=True|Source::markable_10::Source=True|Sentiment::markable_6::Sarcasm=false|Sentiment::markable_6::Intensity=medium|num=sg|Source::markable_10::Anaphref=empty Sentiment::markable_6::Sentiment=True case=dat|pers=1|num=sg|Source::markable_7::Source=True|Source::markable_7::Anaphref=empty|Sentiment::markable_6::Sentiment=True|*=True EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=negative|Sentiment::markable_6::Sentiment=True|pos=True|EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false Sentiment::markable_6::Sentiment=True Target::markable_9::Anaphref=empty|Sentiment::markable_6::Sentiment=True|Target::markable_9::Target=True|Target::markable_9::Preferred=true case=acc|gender=masc|Sentiment::markable_6::Sentiment=True|num=pl|Target::markable_9::Target=True Sentiment::markable_6::Sentiment=True|Target::markable_9::Target=True pers=3|num=pl|tense=pres|mood=ind|Sentiment::markable_6::Sentiment=True|Target::markable_9::Target=True _ case=acc|Source::markable_12::Anaphref=markable_10|Source::markable_12::Source=True|*=True|pers=1|Sentiment::markable_11::Polarity=positive|num=sg|Sentiment::markable_11::Intensity=medium|Sentiment::markable_11::Sentiment=True|Sentiment::markable_11::Sarcasm=false mood=ind|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::SubjectiveFact=false|pers=3|num=sg|tense=pres|EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|Sentiment::markable_11::Sentiment=True case=acc|Target::markable_14::Target=True|num=sg|Target::markable_14::Anaphref=empty|Target::markable_14::Preferred=true|gender=neut|Sentiment::markable_11::Sentiment=True Sentiment::markable_11::Sentiment=True _ case=dat|gender=neut|num=sg _ case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl
311929520116617216	positive	@DeinSkySport @SkyDeutschland als ich hörte der neue papst ist ein argentinier dachte ich an Lionel Messi der 1.  :) @fussballzimmer	@DeinSkySport @SkyDeutschland als ich hören die neu Papst sein eine Argentinier denken ich an Lionel Messi die @card@ :) @fussballzimmer	NN NN KOKOM PPER VVFIN ART ADJA NN VAFIN ART NN VVFIN PPER APPR NE NE ART CARD ADJA NN	0/-- 1/-- 4/CM 5/SB 2/-- 8/NK 8/NK 9/SB 5/OC 11/NK 9/SB 5/CJ 12/SB 12/MO 16/PNC 14/NK 20/NK 20/NK 20/NK 16/AG	_ case=nom|gender=neut|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=past|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=1|num=sg|tense=past|mood=ind case=nom|*=True|num=sg|pers=1 _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=gen|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::SubjectiveFact=false|gender=masc|pos=True|EmoExpression::markable_15::Uncertain=false|EmoExpression::markable_15::Polarity=positive|num=pl|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::Sarcasm=false case=gen|gender=masc|num=pl
311927121712922624	positive	Wer ist der neue Papst ? ;-) http://t.co/lAYkxLc2nS	wer sein die neu Papst ? ;-) http://t.co/lAYkxLc2nS	PWS VAFIN ART ADJA NN $. $( NN	2/SB 0/-- 5/NK 5/NK 2/PD 5/-- 8/-- 6/--	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium case=nom|gender=fem|num=sg
311922836941963264	positive	Der neue #Papst löst in mir so ein wunderschönes Gefühl aus . ♥ I feel #blessed :)	die neu #Papst lösen in ich so eine wunderschön Gefühl aus . ♥ I feel #blessed :)	ART ADJA NN VVFIN APPR PPER ADV ART ADJA NN PTKVZ $. ADJA NN ADJA NN ADJA	3/NK 3/NK 4/SB 0/-- 4/MO 5/NK 10/MO 10/NK 10/NK 4/OA 4/SVP 11/-- 14/NK 17/MO 16/NK 14/NK 12/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|*=True|num=sg|pers=1 _ case=nom|gender=neut|num=sg case=nom|EmoExpression::markable_104012636::Sarcasm=false|EmoExpression::markable_104012636::Polarity=positive|gender=neut|EmoExpression::markable_104012636::Uncertain=false|pos=True|EmoExpression::markable_104012636::Intensity=strong|num=sg|EmoExpression::markable_104012636::EmoExpression=True|EmoExpression::markable_104012636::SubjectiveFact=false case=nom|gender=neut|num=sg _ _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|EmoExpression::markable_104012637::EmoExpression=True|gender=neut|EmoExpression::markable_104012637::SubjectiveFact=false|num=sg|EmoExpression::markable_104012637::Polarity=positive|EmoExpression::markable_104012637::Sarcasm=false|EmoExpression::markable_104012637::Uncertain=false|EmoExpression::markable_104012637::Intensity=strong case=nom|gender=neut|num=sg|pos=True
311907822730366976	positive	:-) jetzt bin ich aber Gespannt wer der Neue Papst ist .	:-) jetzt sein ich aber spannen wer die neu Papst sein .	$( ADV VAFIN PPER ADV VVPP PWS ART ADJA NN VAFIN $.	2/-- 3/MO 0/-- 3/SB 3/MO 3/PD 11/SB 10/NK 10/NK 11/PD 6/OC 11/--	EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _
311981791202377728	positive	Jetzt gar keine mehr :-) “ @PBroennimann : Der neue Papst @JMBergoglio : Vor 2 Minuten noch 25 ' 000  Twitter - Follower , jetzt schon 56 ' 000 ! ”	jetzt gar keine mehr :-) “ @PBroennimann : die neu Papst @JMBergoglio : vor 2 Minute noch 25 ' @card@ Twitter - Follower , jetzt schon 56 ' @card@ ! ”	ADV ADV PIAT PIAT $( ADJA NN $. ART ADJA NN NN $. APPR CARD NN ADV CARD $( CARD NN $( NN $, ADV ADV CARD $( CARD $. ADJA	7/MO 3/MO 4/NK 7/CJ 4/-- 7/NK 0/-- 7/-- 11/NK 11/NK 8/-- 11/NK 12/-- 21/MO 16/NK 14/NK 18/MO 21/NK 18/-- 18/CJ 13/-- 21/-- 21/CJ 23/-- 27/MO 27/MO 21/PAR 27/-- 27/CJ 29/-- 30/--	_ _ case=nom|gender=fem|num=sg *=True EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|*=True|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium *=True case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ case=dat|gender=fem|num=pl _ _ _ _ gender=masc|*=True _ case=acc|gender=masc|num=pl _ _ _ _ _ _ _ _
312099418033758208	positive	;-)) RT @gestalterhuette : Der neue #Papst schafft den #Google Reader ab . Das haben wir nun davon .	;-)) RT @gestalterhuette : die neu #Papst schaffen die #Google Reader ab . die haben wir nun davon .	NN NE NN $. ART ADJA NN VVFIN ART NN NN PTKVZ $. PDS VAFIN PPER ADV PAV $.	0/-- 3/PNC 1/NK 3/-- 7/NK 7/NK 8/SB 4/-- 10/NK 8/OA 10/NK 8/SVP 12/-- 17/OA 13/-- 15/SB 15/MO 15/NK 14/--	case=nom|EmoExpression::markable_19::Uncertain=false|gender=masc|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::EmoExpression=True|num=sg|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=positive case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=acc|gender=neut|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ _
311919039930851328	mixed	oh - massive Ton - und Bildaussetzer bei #Rizzoli und #Isles :-( Hallo , #Papst ( @pontifex ) , mach das mal heile ! Danke !	oh - massiv Ton - und Bildaussetzer bei #Rizzoli und #Isles :-( hallo , #Papst ( @pontifex ) , machen die mal heilen ! danke !	ITJ $( ADJA NN $( KON NN APPR NN KON ADJA $( ITJ $, NN $( NN $( $, VVIMP PRELS ADV VVFIN $. PTKANT $.	4/NK 1/-- 4/NK 0/-- 4/-- 4/CD 6/CJ 4/MNR 8/NK 4/CD 10/CJ 11/-- 15/NK 13/-- 4/CJ 15/-- 15/CJ 20/-- 18/-- 17/-- 23/OA 23/MO 20/OC 23/-- 24/-- 25/--	_ _ case=nom|gender=fem|num=pl|pos=True case=nom|gender=fem|num=pl _ _ case=nom|gender=masc|num=pl _ case=dat|gender=masc|num=sg _ case=acc|gender=neut|num=sg|pos=True case=acc|EmoExpression::markable_20::Uncertain=false|gender=neut|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::EmoExpression=True|num=sg|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=negative case=acc|gender=neut|num=sg _ case=acc|*=True|num=sg _ case=acc|*=True|num=sg _ _ pers=3|num=sg|tense=past|mood=ind case=acc|gender=neut|num=sg _ _ _ EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false|EmoExpression::markable_21::Intensity=medium _
311825751311798272	positive	@goldpilz was würde da der #Papst dazu sagen ? Ich hoffe , das versetzt ihn nicht gleich in die #Wechseljahre ? :-) MM	@goldpilz was werden da die #Papst dazu sagen ? ich hoffen , die versetzen er nicht gleich in die #Wechseljahre ? :-) MM	NN PIS VAFIN ADV ART NN PAV VVINF $. PPER VVFIN $, PDS VVFIN PPER PTKNEG ADJD APPR ART NN $. $( NE	0/-- 3/SB 1/-- 8/MO 6/NK 8/OC 6/NK 3/OC 8/-- 11/SB 9/-- 11/-- 14/SB 11/OC 14/OA 14/NG 18/MO 14/MO 20/NK 18/NK 20/-- 23/-- 21/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=subj _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg|pers=3 _ pos=True _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive case=nom|*=True|num=sg
311912675242278912	positive	@ImNiallshamrock sorry würde dir ja schreiben schaue aber grad die papst wahl an und wer der neue papst ist !! :)	@ImNiallshamrock sorry werden du ja schreiben schauen aber grad die papst Wahl an und wer die neu Papst sein !! :)	NN NE VAFIN PPER ADV VVINF VVFIN ADV VVFIN ART ADJA NN PTKVZ KON PWS ART ADJA NN VAFIN ADJD ADJA	0/-- 3/SB 9/OC 6/DA 6/MO 3/OC 6/MO 7/MO 1/-- 12/NK 12/NK 9/SB 9/SVP 9/CD 19/SB 18/NK 18/NK 19/SB 14/CJ 19/PD 20/--	case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=past|mood=subj case=dat|*=True|num=sg|pers=2 _ _ pers=3|num=sg|tense=pres|mood=subj _ pers=3|num=sg|tense=past|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind pos=True EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false
