317379081333243904	mixed	hihi . RT‏ @GrumpyMerkel :-[ Offizielles Smiley der Bundeskanzlerin der Bundesrepublik Deutschland	hihi . RT‏ @GrumpyMerkel :-[ Offizielle Smiley die Bundeskanzlerin die Bundesrepublik Deutschland	NE $. ADJA NN $( NN NE ART NN ART NN NE	0/-- 1/-- 4/NK 2/-- 6/-- 4/-- 6/NK 9/NK 6/DA 11/NK 9/AG 11/NK	case=nom|EmoExpression::markable_100500126::EmoExpression=True|EmoExpression::markable_100500126::Uncertain=false|EmoExpression::markable_100500126::Sarcasm=false|*=True|EmoExpression::markable_100500126::Polarity=positive|num=sg|EmoExpression::markable_100500126::Intensity=medium|EmoExpression::markable_100500126::SubjectiveFact=false _ _ gender=fem|*=True|num=sg EmoExpression::markable_100500127::Sarcasm=false|EmoExpression::markable_100500127::Uncertain=false|EmoExpression::markable_100500127::Intensity=medium|EmoExpression::markable_100500127::SubjectiveFact=false|EmoExpression::markable_100500127::Polarity=negative|EmoExpression::markable_100500127::EmoExpression=True case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|gender=neut|num=sg
332940778932428800	positive	Jetzt kommen gleich die berechtigten Forderungen von Abgeordneten nach einer #smv - - - aus Gründen ... wg. der Basisbeteiligung :-) #bpt131	jetzt kommen gleich die berechtigt Forderung von Abgeordnete nach eine #smv - - - aus Grund ... wg. die Basisbeteiligung :-) #bpt131	ADV VVFIN APPR ART ADJA NN APPR NN APPR ART NN $( $( $( APPR NN $. APPR ART NN $( CARD	2/MO 0/-- 2/MO 6/NK 6/NK 3/NK 6/PG 7/NK 6/MNR 11/NK 9/NK 11/-- 12/-- 13/-- 2/MO 15/NK 16/-- 17/-- 20/NK 18/NK 20/-- 18/PAR	_ pers=3|num=pl|tense=pres|mood=ind _ case=acc|gender=fem|num=pl case=acc|gender=fem|EmoExpression::markable_100500196::Polarity=positive|pos=True|EmoExpression::markable_100500196::Sarcasm=false|num=pl|EmoExpression::markable_100500196::Uncertain=false|EmoExpression::markable_100500196::Intensity=medium|EmoExpression::markable_100500196::SubjectiveFact=false|EmoExpression::markable_100500196::EmoExpression=True case=acc|gender=fem|num=pl _ case=dat|*=True|num=pl _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ _ _ case=dat|gender=masc|num=pl _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium _
338055510035165185	positive	@jochenmoeller Na endlich auf das Kreuz habe ich gewartet - schließlich war heute ja Merkel bei Euch :-)	@jochenmoeller na endlich auf die Kreuz haben ich warten - schließlich sein heute ja Merkel bei ihr :-)	NN ITJ ADV APPR ART NN VAFIN PPER VVPP $( ADV VAFIN ADV ADV NE APPR PPER $(	0/-- 3/DM 9/MO 9/OP 6/NK 4/NK 6/NK 7/SB 12/MO 9/-- 12/MO 1/-- 12/MO 12/MO 12/SB 12/MO 16/NK 17/--	comp=True _ EmoExpression::markable_100500128::Uncertain=false|EmoExpression::markable_100500128::Polarity=positive|EmoExpression::markable_100500128::Sarcasm=false|EmoExpression::markable_100500128::Intensity=weak|EmoExpression::markable_100500128::SubjectiveFact=false|EmoExpression::markable_100500128::EmoExpression=True _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ _ pers=3|num=sg|tense=past|mood=ind _ _ case=acc|*=True|num=sg _ case=dat|*=True|num=pl|pers=2 EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True
333674320146608129	mixed	@jfkorn Ja ist eine Wette auf die Zukunft . Nur die Grünen stehen mir hierbei noch im Weg ;-)	@jfkorn Ja sein eine Wette auf die Zukunft . nur die Grüne stehen ich hierbei noch in Weg ;-)	NN NN VAFIN ART NN APPR ART NN $. ADV ART NN VVFIN PPER PAV ADV APPRART NN $(	0/-- 3/SB 1/-- 5/NK 3/SB 5/MNR 8/NK 6/NK 8/-- 12/MO 12/NK 13/SB 9/-- 13/DA 14/NK 17/MO 13/MO 17/NK 18/--	_ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ case=nom|*=True|num=pl case=nom|*=True|num=pl EmoExpression::markable_100500197::Uncertain=false|mood=ind|EmoExpression::markable_100500197::SubjectiveFact=false|pers=3|EmoExpression::markable_100500197::EmoExpression=True|num=pl|tense=pres|EmoExpression::markable_100500197::Sarcasm=false|EmoExpression::markable_100500197::Polarity=negative|EmoExpression::markable_100500197::Intensity=medium case=dat|*=True|num=sg|pers=1 _ _ case=dat|gender=masc|num=sg|EmoExpression::markable_100500197::EmoExpression=True case=dat|gender=masc|num=sg|EmoExpression::markable_100500197::EmoExpression=True EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false
334056629718900736	positive	@Swissairliner @SteinbachErika @SPIEGELONLINE und der hat es doch tatsächlich bis zum minister gebracht. tjaaaa so sind se ... ;-)	@Swissairliner @SteinbachErika @SPIEGELONLINE und die haben es doch tatsächlich bis zu minister gebracht. tjaaaa so sein se ... ;-)	NN NN NN KON ART VAFIN PPER ADV ADJD KON APPRART ADJA NN NE ADV VAFIN NE $. $(	0/-- 1/-- 2/-- 6/JU 6/SB 3/-- 6/OA 6/MO 6/MO 9/CD 10/CJ 13/NK 11/NK 13/NK 16/MO 6/MO 16/SB 17/-- 18/--	case=nom|gender=masc|num=sg case=nom|gender=neut|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg|pers=3 _ pos=True _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg gender=fem|*=True|num=pl case=nom|gender=neut|num=sg _ pers=3|num=pl|tense=pres|mood=ind _ _ EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True
334768593961115648	positive	@heckenpenner83 Jo , kann ich aber nicht bringen , wenn sie nicht die Wahl zwischen mehreren Optionen hatten . Es sei denn , ich bluffe ... hmm :)	@heckenpenner83 Jo , können ich aber nicht bringen , wenn sie nicht die Wahl zwischen mehrere Option haben . es sein denn , ich bluffe ... hmm :)	NN NE $, VMFIN PPER ADV PTKNEG VVINF $, KOUS PPER PTKNEG ART NN APPR PIAT NN VAFIN $. PPER VAFIN ADV $, PPER VVFIN $. NN ADJD	0/-- 4/SB 2/-- 1/-- 4/SB 4/MO 4/NG 4/OC 8/-- 18/CP 18/SB 18/NG 14/NK 18/OA 14/MNR 17/NK 15/NK 4/MO 18/-- 21/SB 19/-- 21/MO 22/-- 25/SB 20/RE 25/-- 26/-- 27/PD	case=nom|gender=fem|num=sg case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ _ _ _ case=nom|gender=masc|num=pl|pers=3 _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=dat|gender=masc|num=pl case=nom|gender=fem|num=pl pers=3|num=pl|tense=past|mood=ind _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=subj _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
338037299558371328	negative	#Ursula von der Leyen tritt nächstes Jahr beim #esc mit " ihr kinderlein kommet " an :-) #esc #heuteshow	#Ursula von die Leyen treten nah Jahr bei #esc mit " ihr Kinderlein kommen " an :-) #esc #heuteshow	NN APPR ART NE VVFIN ADJA NN APPRART NN APPR $( PPOSAT NN VVFIN $( APPR $( ADJA NN	5/SB 1/PG 4/NK 2/NK 0/-- 7/NK 14/MO 14/MO 8/NK 14/MO 10/-- 13/NK 10/NK 16/UC 14/-- 5/MO 16/-- 19/NK 16/NK	case=nom|Sentiment::markable_100500131::Sarcasm=true|Sentiment::markable_100500131::Polarity=negative|gender=fem|Target::markable_100500132::Preferred=true|Target::markable_100500132::Target=True|num=sg|Target::markable_100500132::Anaphref=empty|Sentiment::markable_100500131::Sentiment=True|Sentiment::markable_100500131::Intensity=weak Target::markable_100500132::Target=True|Sentiment::markable_100500131::Sentiment=True case=dat|gender=fem|num=sg|Target::markable_100500132::Target=True|Sentiment::markable_100500131::Sentiment=True case=dat|gender=fem|num=sg|Target::markable_100500132::Target=True|Sentiment::markable_100500131::Sentiment=True pers=3|Sentiment::markable_100500131::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pos=True|Sentiment::markable_100500131::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_100500131::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_100500131::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_100500131::Sentiment=True Sentiment::markable_100500131::Sentiment=True Sentiment::markable_100500131::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_100500131::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_100500131::Sentiment=True pers=3|Sentiment::markable_100500131::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_100500131::Sentiment=True Sentiment::markable_100500131::Sentiment=True EmoExpression::markable_6::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|Sentiment::markable_100500131::Sentiment=True|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Polarity=positive|EmoExpression::markable_6::EmoExpression=True case=dat|gender=neut|num=pl|pos=True case=dat|gender=neut|num=pl
333328012118458368	positive	@michelreimon was haben die grünen anzubieten ? Wie viel ideologie könnts denn bieten ? :-)	@michelreimon was haben die grün anbieten ? wie viele Ideologie könnts denn bieten ? :-)	NN PIS VAFIN ART ADJA VVIZU $. KOUS PIAT NN NN KON VVFIN $. $(	0/-- 3/SB 1/-- 5/NK 6/OA 3/OC 6/-- 11/MO 10/NK 8/NK 13/MO 11/PNC 7/-- 13/-- 14/--	_ case=acc|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl|pos=True _ _ _ *=True case=acc|gender=fem|num=sg *=True _ pers=3|num=pl|tense=pres|mood=ind _ EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive
323883196783669248	mixed	Südkorea vermutet Nordkorea hinter " Cyber Angriff " http://t.co/oh2MN22RST Kann ich mir nicht ganz vorstellen ;-) http://t.co/HFKRtLLKm5	Südkorea vermuten Nordkorea hinter " Cyber Angriff " http://t.co/oh2MN22RST können ich ich nicht ganz vorstellen ;-) http://t.co/HFKRtLLKm5	NE VVFIN NE APPR $( NN NN $( NN VMFIN PPER PRF PTKNEG ADV VVINF $( NN	2/SB 0/-- 2/OA 2/MO 4/-- 4/NK 6/NK 7/-- 7/CJ 7/CJ 10/SB 15/DA 10/NG 15/MO 10/OC 15/-- 7/CJ	case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|EmoExpression::markable_100500198::SubjectiveFact=true|EmoExpression::markable_100500198::Sarcasm=false|EmoExpression::markable_100500198::EmoExpression=True|gender=neut|EmoExpression::markable_100500198::Uncertain=false|EmoExpression::markable_100500198::Intensity=medium|EmoExpression::markable_100500198::Polarity=negative|num=sg _ _ case=nom|EmoExpression::markable_100500199::Intensity=medium|gender=masc|EmoExpression::markable_100500199::SubjectiveFact=false|EmoExpression::markable_100500199::EmoExpression=True|EmoExpression::markable_100500199::Uncertain=false|num=sg|EmoExpression::markable_100500199::Sarcasm=false|EmoExpression::markable_100500199::Polarity=negative case=nom|EmoExpression::markable_100500200::Sarcasm=false|gender=masc|EmoExpression::markable_100500200::SubjectiveFact=false|EmoExpression::markable_100500200::Polarity=negative|EmoExpression::markable_100500199::EmoExpression=True|num=sg|EmoExpression::markable_100500200::Uncertain=false|EmoExpression::markable_100500200::Intensity=medium|EmoExpression::markable_100500200::EmoExpression=True _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=dat|*=True|num=sg|pers=1 _ _ _ EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false _
334041643680415744	mixed	@bulgerina mhh , und dann hinterziehst du auch keine Steuern… also wahrlich kein FDP Wähler :-)	@bulgerina mhh , und dann hinterziehst du auch keine Steuern… also wahrlich keine FDP Wähler :-)	NN VVFIN $, KON ADV VVFIN PPER ADV PIAT NN ADV ADV PIAT NE NN $(	0/-- 1/-- 2/-- 2/CD 6/MO 4/CJ 6/SB 10/MO 10/NK 6/OA 10/MO 13/MO 15/NK 15/PNC 10/PD 15/--	case=nom|gender=neut|num=sg _ _ _ _ EmoExpression::markable_100500201::Intensity=medium|EmoExpression::markable_100500201::EmoExpression=True|mood=ind|EmoExpression::markable_100500201::SubjectiveFact=false|EmoExpression::markable_100500201::Uncertain=false|pers=2|num=sg|tense=pres|EmoExpression::markable_100500201::Sarcasm=false|EmoExpression::markable_100500201::Polarity=negative case=nom|gender=masc|num=sg|pers=2 _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|EmoExpression::markable_100500201::EmoExpression=True _ _ case=acc|gender=neut|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True
334033238228078593	positive	Der Peer Steinbrück ist doch bestimmt ein Undercover - Politiker der CDU um die SPD auffliegen zu lassen . ;-)	die Peer Steinbrück sein doch bestimmt eine Undercover - Politiker die CDU um die SPD auffliegen zu lassen . ;-)	ART NE NN VAFIN ADV ADV ART NN $( NN ART NE APPR ART NE VVINF PTKZU VVINF $. $(	3/NK 3/NK 4/SB 0/-- 4/MO 4/MO 8/NK 4/PD 8/-- 16/OA 12/NK 10/AG 10/MNR 15/NK 13/NK 18/OC 18/PM 4/OC 18/-- 19/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ _ _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
